Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,2.579799797,2.592329643,2.657629599,2.735817216,2.701206269,2.746020113,2.717741418,2.730008897,2.733790346,2.609508169
Algeria,4.063034895,3.90116876,3.959521139,4.008124322,4.186122799,4.164145183,4.132162386,4.20228041,4.603240367,4.620833467
Angola,,,,3.428947283,3.582864832,3.5365,3.490086912,3.502455342,,
Argentina,4.827502958,4.676357921,4.735389863,4.755679015,4.799817476,4.872717787,4.870111305,4.890595868,4.962193157,4.916235205
Armenia,2.444921808,2.4372759,2.567710016,2.491641483,2.506487003,2.544971594,2.579128436,2.611880974,2.611853525,2.438802491
Australia,4.937598782,4.976150414,4.990102554,5.054805687,5.034725799,5.044998422,5.074591127,5.065833138,5.069483887,5.034145548
Austria,4.320990987,4.317127501,4.344193202,4.359301441,4.346698375,4.394705463,4.375263236,4.355280864,4.348470834,4.268688219
Azerbaijan,3.136694413,3.043621656,2.931301423,3.076863765,3.179409008,3.180335726,3.276717516,3.356723396,3.627659648,3.658523028
Bahrain,2.215158146,2.408382521,2.462525872,2.591639679,2.421678534,2.46732111,2.489534279,2.678172308,2.880846579,2.920128681
Bangladesh,4.496023949,4.116295202,4.190624881,4.249885005,4.264735163,4.319245437,4.342666657,4.35756167,4.633250243,4.585308403
Barbados,1.721447096,1.606706172,1.501573919,1.667815465,1.668440135,1.736238123,1.742559594,1.788568077,1.486,1.183511229
Belgium,4.446570409,4.453420477,4.501331543,4.483300471,4.444492951,4.482695958,4.471778872,4.449856004,4.465028415,4.386164541
Belize,,,,,1.127011324,,,,,
Benin,2.136650451,2.17830788,2.251453361,2.279726247,2.297838931,2.326663132,2.325423191,2.3672,2.409048072,2.353922124
Bhutan,,,,,,,1.579950403,1.581324588,1.557135266,1.530207029
Bolivia,2.708466096,2.864241574,2.958627054,3.00471105,3.018689894,3.06443305,3.052343284,3.123643119,3.163527595,3.133296785
"Bosnia and Herzegovina",3.116624341,2.901676287,2.951919998,2.941121853,2.855160599,2.90086151,2.875773199,2.8781,2.880483595,2.772039802
Botswana,2.466588556,2.404607886,2.60237317,2.681373071,2.756305915,2.769930073,2.793056784,2.879563638,2.658679588,2.534049095
Brazil,5.53992385,5.561175743,5.613040349,5.641115087,5.666328608,5.687965892,5.683675591,5.682785835,5.839023014,5.759231371
Brunei,,2.025015094,2.101602601,2.065858372,2.075202292,1.910200487,1.898482418,2.0434,2.1882,2.333088885
Bulgaria,3.517493489,3.600565126,3.660693299,3.563467167,3.550047197,3.553174496,3.572095146,3.562784002,3.607735905,3.528908137
"Burkina Faso",2.564005274,2.384380589,2.409091762,2.4846694,2.534441121,2.591727776,2.58661075,2.709327974,,
Burundi,1.739904662,1.336714651,1.371282988,1.360263158,1.427944413,1.677024282,1.718453149,1.755996052,1.899172627,1.666846701
"Cape Verde",,,,1,1,1.052088781,1.020974282,1,1.195023017,1.033638201
Cambodia,3.111965274,2.687446783,2.778681696,2.80172031,2.818285273,2.868488806,2.896181906,2.99915286,2.965694916,2.885311604
Cameroon,2.989443681,2.934894626,2.975219241,3.007213664,3.034391873,3.078843635,3.108727462,3.148370651,3.203183151,3.151461089
Canada,5.275213987,5.301474285,5.315748346,5.342446416,5.338581424,5.356914647,5.377951235,5.368911038,5.333515267,5.295956142
Chad,1.97556028,2.125422767,2.159240457,2.185087847,2.483795691,2.49418995,2.502044977,2.672821331,2.693156055,2.539203517
Chile,4.020689982,4.03998329,4.145974376,4.138437936,4.157145542,4.274405408,4.311600164,4.337051085,4.386738288,4.327933932
China,6.733870557,6.434506103,6.502867494,6.611652144,6.698763694,6.765640009,6.802522372,6.815675445,6.970375824,7
Colombia,4.543097052,4.380761837,4.535972812,4.561266099,4.564025784,4.604605571,4.623057049,4.642974356,4.723845611,4.693768586
"Congo (Kinshasa)",,,,,,,,,,3.024710047
