Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.782042936,0.781918907,0.741232533,0.723152495,0.739891256,0.748816858,0.754930994,0.76833326,0.78344261,0.815678776,0.8479093,0.873166682,0.86948966,0.86622344,0.873813869,0.868111805,0.877727284,0.88789948,0.894190385,0.90342799,0.915497785,0.925734454,0.939278518,0.955206111,0.975610196,1.002699513,1.032812987,1.054151484
Albania,0.128135672,0.163427046,0.169306572,0.22151377,0.349318167,0.370645807,0.372943161,0.347439762,0.422881663,0.394778013,0.505065592,0.683884796,0.786664283,0.833626315,0.843254425,0.68284429,0.664760455,0.755875484,0.730900567,0.586584136,0.633060948,0.671455387,0.695745947,0.724944476,0.760682548,0.786134864,0.812039712,0.831077742
Algeria,0.854427702,0.90184721,0.957265824,1.02050466,1.108088998,1.18002379,1.257165514,1.340634821,1.4156371,1.522451934,1.615593279,1.701355603,1.780822213,1.816211361,1.879188208,1.938412118,1.992181208,2.042527965,2.086986499,2.132370601,2.175348635,2.230531573,2.269762451,2.326986412,2.386384599,2.433784219,2.452730955,2.497742194
"American Samoa",0.509921392,0.51949492,0.52950327,0.539894014,0.551179881,0.573982316,0.595508706,0.663380164,0.557886679,0.470627951,0.567006918,0.540853285,0.626482813,0.717513368,0.673531423,0.630483502,0.629589493,0.600378843,0.599563252,0.584737645,0.6224454,0.591985265,0.631635714,0.688138668,0.683058382,0.730642242,0.745577611,0.766667466
Andorra,1.963726858,2.088635048,2.167434375,2.178113735,2.17695794,2.184458222,2.233559956,2.286429641,2.361991265,2.410363996,2.425421938,2.441614367,2.459973685,2.544087622,2.631143526,2.644040234,2.65726104,2.662436745,2.663346413,2.653600624,2.647305362,2.625841237,2.646612552,2.643925142,2.658427594,2.646826069,2.660922212,2.674515443
Angola,0.784979287,0.805129433,0.832544652,0.874943377,0.90603504,0.894545187,0.83479195,0.818920616,0.916861595,0.840319438,0.770669768,0.711505981,0.659965152,0.636277048,0.629116767,0.596075723,0.584082385,0.566065545,0.555148192,0.55127899,0.548677143,0.551883721,0.560483954,0.564533409,0.558634953,0.571609292,0.577855005,0.592409373
"Antigua and Barbuda",0.388441745,0.423340756,0.464269591,0.510931763,0.677105042,0.807735433,0.88874476,1.007495343,1.077457349,1.116396277,1.146193826,1.149840724,1.12763766,1.087571281,1.046419456,1.029913652,1.013765155,1.005282942,0.99911052,0.957967706,0.955410493,0.934270767,0.896710862,0.88965054,0.892271798,0.885317552,0.977651777,1.025794549
Argentina,0.997998682,1.032955956,1.116797319,1.162158335,1.21603853,1.290646687,1.394764318,1.538167674,1.535242821,1.573360113,1.50083557,1.539209357,1.555832408,1.551875515,1.519819449,1.524164245,1.561956417,1.645962327,1.599844404,1.607899466,1.619233776,1.652025344,1.666086232,1.675372587,1.649956023,1.645106659,1.741042968,1.802543002
Armenia,0.162618412,0.179824494,0.200092441,0.203942165,0.204741318,0.208854311,0.194889317,0.192709063,0.189500178,0.190848391,0.198296811,0.21349301,0.248824615,0.271450952,0.343696613,0.440265093,0.572986056,0.645223462,0.767618797,0.856959481,0.94754984,1.049542519,1.187118148,1.244289228,1.304364504,1.354922761,1.375349907,1.387155438
Australia,2.703106363,2.767692288,3.010425442,3.20176607,3.660675623,4.086266303,4.423027196,4.995178136,5.59554806,5.683176419,5.223961086,4.392775015,4.059018018,3.938472395,3.833218566,3.758470214,3.678011268,3.833450606,4.024215648,4.170988531,4.206890985,4.251105715,4.215878879,4.342942643,4.673664603,4.894838535,5.017921343,5.105868315
Austria,0.889606246,1.092420332,1.315989354,1.587184177,1.813811936,1.936603048,1.957957341,1.852029205,1.842089481,1.919758187,2.061126478,2.0681472,2.10195851,2.309065613,2.422124244,2.479928396,2.474024852,2.533088382,2.554555277,2.682150274,2.657164312,2.57166942,2.415950563,2.269690673,2.133412341,2.067137945,1.964599717,2.028733971
Azerbaijan,0.20454306,0.219306893,0.233716627,0.241644152,0.258433721,0.283881702,0.274428357,0.262074792,0.257075908,0.263274752,0.290285679,0.371437707,0.418457401,0.468759492,0.505870487,0.548090243,0.611033652,0.764370997,0.687727316,0.67612341,0.683079912,0.688756853,0.689088069,0.690554141,0.68759366,0.679308915,0.675204435,0.677178334
