Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,4.92,4.98,0.000104686,0.000111516,0.000111694,0.000109347,0.000105756,0.000102865,4.96,3.39,1.94,1.3,1.05,1.17,1.3,1.36,1.48,1.63,1.8,2.05,2.44,2.82,3.22,3.65,4.01,4.35,4.73,0.000100483
Albania,0.000589176,0.000607059,0.000604641,0.00059122,0.000583,0.000595354,0.000617325,0.000631567,0.000663267,0.00073371,0.000750124,0.000771539,0.000830591,0.000908902,0.000972209,0.00101873,0.00106775,0.001106794,0.001188303,0.00124742,0.00128586,0.001275292,0.001296472,0.001317825,0.001325746,0.001348012,0.001372676,0.00138655
Algeria,0.00045053,0.000467323,0.000485056,0.000502157,0.000534638,0.0005474,0.000560147,0.000573702,0.000581804,0.00052549,0.000460946,0.0004404,0.000442633,0.000443347,0.000464002,0.000489584,0.000517373,0.000546994,0.000577796,0.000608756,0.000647641,0.000686282,0.00071929,0.000754521,0.000791237,0.00082476,0.000855777,0.000895721
"American Samoa",0.003236684,0.003327231,0.003437817,0.003533681,0.003640236,0.003756472,0.003884092,0.004017207,0.004135297,0.004252145,0.004346532,0.004432316,0.004519802,0.004594186,0.004704197,0.004835007,0.004981291,0.005140845,0.005289579,0.005450034,0.005590471,0.005793764,0.005933845,0.006074229,0.006177019,0.006315268,0.006422886,0.00652002
Andorra,0.012072388,0.012746313,0.013383394,0.013817249,0.014346973,0.014880323,0.015550988,0.016303268,0.017146419,0.01768466,0.017826899,0.017987637,0.018057935,0.018825912,0.019445053,0.019674405,0.019930322,0.020139374,0.020262864,0.020226198,0.020008572,0.02032538,0.020230617,0.019814082,0.019582086,0.019301926,0.019256228,0.019317021
Angola,0.000343306,0.000344509,0.00034659,0.000350669,0.000356856,0.000348021,0.000326598,0.000323814,0.000387786,0.000383381,0.00036317,0.000349695,0.000379315,0.000422205,0.000442525,0.00044627,0.000458175,0.000469455,0.000491934,0.00050191,0.000519642,0.000537421,0.000553201,0.000571163,0.000582381,0.000609732,0.000628249,0.000648563
"Antigua and Barbuda",0.001262634,0.001231339,0.001236867,0.001281413,0.001316634,0.001291664,0.001387411,0.001423444,0.001423411,0.001320835,0.001181603,0.001063639,0.000987373,0.000935105,0.00090058,0.000868051,0.000842604,0.000820412,0.000800712,0.000790446,0.00078198,0.000780281,0.000784391,0.000797792,0.00082441,0.000835475,0.000831126,0.000839563
Argentina,0.004157222,0.004440588,0.004764015,0.00516547,0.00562578,0.006109923,0.006721307,0.008254669,0.007066204,0.005942739,0.005288944,0.004367914,0.003166861,0.002698152,0.002050161,0.001222791,0.001355794,0.001225443,0.000876802,0.001038743,0.000811502,0.000879224,0.001388666,0.00161178,0.001933436,0.002120762,0.002067675,0.002110993
Armenia,0.004339081,0.004405754,0.00459699,0.004604136,0.004711608,0.004804782,0.00468136,0.004639178,0.004532568,0.004216496,0.004131598,0.004153287,0.004095499,0.004038695,0.004072192,0.004086252,0.00409089,0.004051291,0.004024832,0.004024077,0.003997476,0.003896361,0.003785032,0.003649676,0.003586102,0.00351115,0.003400083,0.003420648
Australia,0.018118412,0.019726586,0.021619902,0.020498166,0.023902337,0.02343857,0.024075663,0.021253934,0.016183956,0.016469153,0.017851497,0.017787466,0.018024763,0.016140641,0.016258635,0.016566378,0.016029648,0.014278037,0.015655175,0.01644658,0.015243216,0.013083229,0.013854964,0.013483174,0.012143898,0.013633711,0.013856597,0.014218003
Austria,0.007338278,0.0078092,0.007159858,0.006512279,0.003736497,0.003603145,0.006651968,0.006888792,0.005296433,0.012576662,0.019049171,0.026016351,0.029281565,0.029499043,0.037138879,0.041314239,0.042819831,0.042110908,0.041581869,0.037940626,0.037102754,0.037453914,0.040435554,0.042127289,0.045593131,0.046985548,0.046209205,0.044890778
Azerbaijan,0.004385435,0.004240836,0.0042211,0.004291136,0.004267884,0.004228882,0.004227022,0.004129115,0.00402046,0.003918661,0.003859656,0.003791236,0.003763363,0.003832019,0.003946748,0.004046137,0.004113464,0.004205976,0.004311183,0.004363857,0.004434822,0.004448399,0.004427977,0.004406288,0.004352422,0.004255179,0.004193491,0.004178242
Bahamas,0.002443354,0.002492926,0.002586403,0.002593983,0.002509979,0.002524177,0.002548257,0.002381864,0.002382055,0.002307192,0.001956936,0.001705052,0.001533428,0.00154587,0.001560666,0.00146237,0.001456183,0.001428695,0.001434726,0.001437361,0.001453072,0.001447422,0.00146,0.001417583,0.001420576,0.00144976,0.001463958,0.00146496
Bahrain,0.000758841,0.000763007,0.000774971,0.000762176,0.000742977,0.000771261,0.0007797,0.000796085,0.000804412,0.00072644,0.000664571,0.000633875,0.000578126,0.000542265,0.000517082,0.000494756,0.000464498,0.000442804,0.000431051,0.000426566,0.000433307,0.000438398,0.000426168,0.000420463,0.000423522,0.000427658,0.000433311,0.000444509
Bangladesh,0.00017595,0.000167668,0.000172246,0.00017316,0.000175317,0.000183902,0.000187251,0.000194412,0.000201797,0.000216584,0.000231054,0.000245493,0.00026225,0.000284248,0.000296478,0.000311185,0.000340026,0.000360502,0.000369292,0.000364911,0.000374889,0.00038921,0.000401551,0.00042206,0.000453808,0.000488194,0.000522568,0.000569961
Barbados,0.002056583,0.002199204,0.00228397,0.002277825,0.002253858,0.002335941,0.002406748,0.002366198,0.002381947,0.002350463,0.002142164,0.001884313,0.001786379,0.001759532,0.001686722,0.00163646,0.001597287,0.001585125,0.001556688,0.001524427,0.001514238,0.001512098,0.001529511,0.001557753,0.001576837,0.001577544,0.001581107,0.00159148
Belarus,0.00131956,0.001330477,0.001371741,0.001448441,0.00149525,0.001563614,0.001603858,0.001631948,0.001666737,0.001720153,0.001717444,0.001781096,0.001900048,0.001952801,0.002031315,0.002124437,0.002158491,0.00217515,0.002199377,0.002275352,0.002312031,0.002383394,0.002307859,0.002328102,0.002298021,0.002216118,0.002236984,0.002300414
