Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,6.52,6.524,6.528,6.532,6.536,6.54,5.884,5.228,4.572,3.916,3.26,4.088,4.916,5.744,6.572,7.4,7.06,7.02,9.81,9.66,9.64,9.57,9.42,9.4,9.63,9.73,9.78,9.71,9.69,9.63,9.59,9.55
Algeria,6.53,6.168,5.806,5.444,5.082,4.72,4.822,4.924,5.026,5.128,5.23,5.444,5.658,5.872,6.086,6.3,5.94,5.58,5.22,4.86,4.5,4.674,4.848,5.022,5.196,5.37,5.696,6.022,6.348,6.674,7,6.89,7.08,7.18,6.99,7.51,7.58,7.49,7.61,7.01,7.17,7.12,7,7.17,7.2,6.85,7.25
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,4.06,4.45,5.03,5.24,5.57,5.67,6.56,6.73,6.79,6.89,5.61
Argentina,7.87,6.796,5.722,4.648,3.574,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.314,4.128,4.942,5.756,6.57,7.198,7.826,8.454,9.082,9.71,9.45,7.01,6,6.19,5.44,6.17,7.11,6.9,7.03,6.59,7.07,6.58,6.25,4.78,6.46,5.61
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.11,9.21,9.43,8.98,8.88,9.44,9.18,9.15,9.34,9.18,9.36,9.48,9.52
Australia,9.62,9.39,9.16,8.93,8.7,8.47,8.576,8.682,8.788,8.894,9,9.07,9.14,9.21,9.28,9.35,9.31,9.27,9.23,9.19,9.15,9.2,9.25,9.3,9.35,9.4,9.4,9.4,9.4,9.4,9.4,9.33,9.21,9.28,9.36,9.44,9.46,9.5,9.43,9.62,9.47,9.41,9.51,9.25,9.26,9.36,9.45
Austria,8.38,8.312,8.244,8.176,8.108,8.04,8.112,8.184,8.256,8.328,8.4,8.382,8.364,8.346,8.328,8.31,8.574,8.838,9.102,9.366,9.63,9.614,9.598,9.582,9.566,9.55,9.566,9.582,9.598,9.614,9.63,9.58,9.63,9.65,9.62,9.55,9.54,9.56,9.54,9.58,9.64,9.59,9.54,9.63,9.61,9.62,9.43
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,7.25,7.59,6.71,6.3,6.58,6.25,6.45,6.86,6.77,7.45,7.31,7.51
Bahamas,9.03,8.532,8.034,7.536,7.038,6.54,6.482,6.424,6.366,6.308,6.25,6.296,6.342,6.388,6.434,6.48,6.588,6.696,6.804,6.912,7.02,7.026,7.032,7.038,7.044,7.05,7.014,6.978,6.942,6.906,6.87,6.99,7.2,7.2,7.21,6.82,6.66,6.74,6.82,7.07,7.3,7.11,7.08,7.11,6.87,6.78,6.89
Bahrain,9,8.752,8.504,8.256,8.008,7.76,7.828,7.896,7.964,8.032,8.1,8.202,8.304,8.406,8.508,8.61,8.646,8.682,8.718,8.754,8.79,8.918,9.046,9.174,9.302,9.43,9.368,9.306,9.244,9.182,9.12,8.8,8.77,8.78,8.72,8.82,9.1,9.12,9.09,8.26,8.39,8.55,8.61,8.71,9.12,9.18,9.4
