Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,13.1,,,,,
Angola,,,,,,,,30,,,,,,,,,,,,,,,
Albania,,,,,,,41.1191,37.8953,34.6715,31.4476,28.2238,25,21.28,17.56,13.84,10.12,6.4,,,,,,
Argentina,,,,,,,,,,,15.7,14.5368,13.3737,12.2105,11.0473,9.8842,8.721,7.5578,6.394649,,,,
Armenia,,,,,,,,,,,,,,,,,12,,,,,,
Azerbaijan,,,,,,,12.01427,10.7714,9.5286,8.2857,7.0429,5.8,,,,,,,,,,,
Burundi,,,,,,,38.38014,33.2041,28.0281,22.8521,17.676,12.5,16.26,20.02,23.78,27.54,31.3,,,,,,
Benin,,,,,,,,,,,,,72.8,64.7333,56.6667,48.6,40.5333,32.4667,24.4,,,,
"Burkina Faso",,,,,,,,,,49,49,49,49,50.65,52.3,53.95,55.6,,,,,,
Bangladesh,,,,,,,,,,20.9036756108,22.5025,24.1012,25.7,22.8469,19.9939,17.1408,14.2878,11.4347,8.5817,5.72861,,,
"Bosnia and Herzegovina",,,,,,,22.8,20.95,19.1,17.25,15.4,13.55,11.7,,,,,,,,,,
Belarus,,,,,,,,,,,,12.1,10.6571,9.2143,7.7714,6.3286,4.8857,3.4429,2,,,,
Bolivia,,,,,,,,,24,23.9667,23.9333,23.9,26.9333,29.9667,33,21.8,21.3228,20.8456,20.3684,19.89117,17.5406,15.19,
Brazil,,,,,,,,,,,9.4,8.9667,8.5333,8.1,6.9,6.6,6.175,5.75,5.0238,4.297545,4.77860482242506,3.52,
"Central African Republic",,,,,,,66.5,63.51,60.52,57.53,54.54,51.55,48.56,45.57,42.58,39.59,36.6,,,,,,
Chile,,,,,,,,,,5.1,5.2222,5.3444,5.4667,5.5889,5.7111,5.8333,5.9556,6.0778,6.2,,,,
"Ivory Coast",,,,,,,40.9,42.0333,43.1667,44.3,45.4333,46.5667,47.7,45.85,44,42.15,40.3,38.45,36.6,,,,
Cameroon,,,,,,,,14.46574,19.3048,24.1438,28.9829,33.8219,38.661,43.5,48.525,53.55,58.575,63.6,,,,,
"Congo (Kinshasa)",,,,,,,39.9,38.4143,36.9286,35.4429,33.9571,32.4714,30.9857,29.5,26.1667,22.8333,19.5,24.4141,29.3282,34.2422,39.1563205839221,,
"Congo (Brazzaville)",,,,,,,,,,,,29.9,30.1143,30.3286,30.5429,30.7571,30.9714,31.1857,31.4,,,,
Colombia,,,,,,,,,,,,6.2,5.75,5.3,6.795,8.29,8.6933,9.0967,9.5,9.0349,8.569861,6.92,
"Costa Rica",,,,,,,,,,,8.1,7.4286,6.7571,6.0857,5.4143,4.7429,4.0714,3.4,3.108,2.816,2.524,2.232,1.94
