Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,9.3,,,,,
Angola,,,,,,,,30.1,,,,,,,,,,,,,,,
Albania,,,,,,,36.58605,33.6688,30.7516,27.8344,24.9172,22,18.7,15.4,12.1,8.8,5.5,,,,,,
Argentina,,,,,,,,,,,12.9,11.9157,10.9313,9.947,8.9626,7.9783,6.9939,6.0096,5.025251,,,,
Armenia,,,,,,,,,,,,,,,,,9.9,,,,,,
Azerbaijan,,,,,,,9.729839,8.8239,7.9179,7.0119,6.106,5.2,,,,,,,,,,,
Burundi,,,,,,,36.96453,31.9116,26.8587,21.8058,16.7529,11.7,15.74,19.78,23.82,27.86,31.9,,,,,,
Benin,,,,,,,,,,,,,74.4,66.0167,57.6333,49.25,40.8667,32.4833,24.1,,,,
"Burkina Faso",,,,,,,,,,50,47.3667,44.7333,42.1,44.15,46.2,48.25,50.3,,,,,,
Bangladesh,,,,,,,,,,17.5385033159,17.0923,16.6462,16.2,14.6003,13.0006,11.4009,9.8012,8.2015,6.6018,5.002084,,,
"Bosnia and Herzegovina",,,,,,,20.2,18.6,17,15.4,13.8,12.2,10.6,,,,,,,,,,
Belarus,,,,,,,,,,,,11.7,10.3571,9.0143,7.6714,6.3286,4.9857,3.6429,2.3,,,,
Bolivia,,,,,,,,,23.2,22.8,22.4,22,25.3667,28.7333,32.1,20.2,20.2021,20.2042,20.2063,20.20834,17.0642,13.92,
Brazil,,,,,,,,,,,7,6.7,6.4,6.1,5.2,5,4.6,4.2,3.7076,3.215266,3.53264903343174,2.54,
"Central African Republic",,,,,,,67,64.02,61.04,58.06,55.08,52.1,49.12,46.14,43.16,40.18,37.2,,,,,,
Chile,,,,,,,,,,4.1,4.1444,4.1889,4.2333,4.2778,4.3222,4.3667,4.4111,4.4556,4.5,,,,
"Ivory Coast",,,,,,,40.7,41.5333,42.3667,43.2,44.0333,44.8667,45.7,44.1667,42.6333,41.1,39.5667,38.0333,36.5,,,,
