Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,2.832575294,2.827873448,3.177444928,3.421303016,3.729771057,3.634132688,3.35556635,3.392697588,3.238288768,3.138458692
Algeria,3.733529412,3.067933014,3.146111549,3.719821646,3.288031383,2.884409154,3.111083365,3.325327744,3.333905849,3.109052815
Angola,,,,3.057087,2.339364128,2.2873,2.235294,2.034871292,,
Argentina,3.33560136,3.183713797,3.213663003,3.251458765,3.128804105,3.011321135,3.014538839,3.03199328,2.969042039,2.777941117
Armenia,2.51796661,2.503997038,2.637967879,2.60300645,2.764129209,3.454657991,3.788726533,3.646311228,3.606823169,3.587813659
Australia,5.916335472,5.856131769,5.53057519,5.167269726,4.8744564,4.874215486,4.623541504,4.627476516,4.337052001,4.225857752
Austria,5.75156466,5.670111252,5.323873428,5.127425798,5.129290359,4.698757984,4.693713804,4.826890578,4.77191531,4.824517252
Azerbaijan,2.930814961,2.899056019,3.1681514,3.026440787,3.315383983,3.461229028,3.271960842,3.238019089,3.238019089,3.631007799
Bahrain,4.056194272,4.240195445,4.407471192,4.765342487,5.250608562,5.055348414,4.621518225,4.640969407,4.630693059,4.586150595
Bangladesh,2.820025651,3.09370482,3.463800423,3.59315325,3.486086294,3.475311626,3.768720429,3.867360781,3.280286998,2.996776646
Barbados,4.286291211,4.075427856,3.925808266,4.00365966,4.427756007,4.408298556,4.160833229,3.952536439,3.8195,3.686363598
Belgium,5.5176637,5.494104926,5.273522723,5.212201747,5.008100397,4.690773268,5.068504335,5.242596517,5.063731004,5.079309451
Belize,,,,,3.002735,,,,,
Benin,3.743022829,3.857732397,3.9113012,4.307789161,4.415417707,3.753372069,3.185166471,3.0702,2.955223799,2.747819459
Bhutan,,,,,,,4.190831,4.374817573,3.883053629,3.678436295
Bolivia,2.874518486,2.53579379,2.687188028,3.07361126,3.287414818,3.386739454,3.442882668,3.521723783,3.193161805,3.041207255
"Bosnia and Herzegovina",2.761422903,2.37051783,2.393825581,3.071946981,3.398439,3.7945248,4.118595,3.616,3.113402128,3.25970316
Botswana,3.057803933,3.250965243,3.706630689,3.835129197,3.827154461,4.019342251,4.018742807,3.946439386,3.759304061,3.710492381
Brazil,4.273181568,4.555381294,4.516402151,4.511446276,4.573023331,4.62068768,4.532928476,4.29346613,3.72124015,3.626741141
