Country,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.152,0.152,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.135,0.135,0.184,0.184,0.184,0.184,0.203,0.203,0.203,0.203,0.203,0.212,0.184,0.184,0.184,0.266,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.268,0.268,0.272,0.272,0.275,0.255,0.255,0.192,0.192,0.258,0.258,0.258,0.258,0.258,0.258,0.263,0.3,0.285,0.285,0.285,0.302,0.304,0.319,0.319,0.318,0.344,0.319,0.319,0.319,0.276,0.311,0.444,0.435,0.435,0.435,0.435,0.435,0.435,0.423,0.423,0.423,0.423,0.374,0.363,0.226,0.161,0.161,0.183,0.133,0.14,0.14,0.14,0.145,0.154,0.396,0.424,0.464,0.489,0.48,0.512,0.502,0.514,0.467,0.467,0.467,0.504,0.483,0.517,0.413,0.376,0.433,0.441
Albania,,,,,,,,,,,,,0.22,0.238,0.222,0.196,0.196,0.196,0.191,0.191,0.194,0.251,0.214,0.242,0.245,0.229,0.245,0.25,0.266,0.279,0.341,0.341,0.341,0.341,0.341,0.341,0.336,0.322,0.322,0.311,0.312,0.312,0.312,0.312,0.355,0.689,0.706,0.721,0.716,0.721,0.698,0.698,0.738,0.738,0.738,0.748,0.748,0.748,0.748,0.748,0.739,0.739,0.739,0.739,0.739,0.739,0.765,0.765,0.765,0.765,0.787,0.787,0.786,0.781,0.781,0.781,0.78,0.78,0.78,0.78,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.762,0.658,0.635,0.635,0.657,0.657,0.583,0.597,0.581,0.569,0.602,0.604,0.672,0.672,0.672,0.636,0.633,0.631,0.631,0.639,0.639,0.639,0.639,0.674,0.68,0.682,0.674,0.661,0.622,0.658
Algeria,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.215,0.215,0.215,0.205,0.201,0.201,0.201,0.209,0.213,0.213,0.212,0.212,0.212,0.214,0.226,0.226,0.226,0.226,0.226,0.216,0.216,0.373,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.706,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.709,0.65,0.699,0.699,0.671,0.671,0.671,0.671,0.671,0.671,0.62,0.657,0.699,0.686,0.663,0.649,0.683,0.683,0.683,0.683,0.674,0.646,0.646,0.657,0.657,0.657,0.661,0.654,0.643,0.66,0.662,0.622,0.676,0.711,0.707,0.684,0.669,0.718,0.685,0.669,0.69
Angola,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.056,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.059,0.074,0.074,0.074,0.074,0.074,0.078,0.166,0.231,0.191,0.191,0.171,0.19,0.19,0.19,0.19,0.19,0.19,0.172,0.172,0.172,0.172,0.21,0.212,0.174,0.17,0.17,0.17,0.17,0.17,0.17,0.155,0.181,0.176,0.152,0.192,0.192,0.192,0.192,0.192,0.192,0.21,0.21,0.21,0.21,0.223,0.223,0.223,0.223,0.257,0.319,0.251
Argentina,0.387,0.387,0.387,0.387,0.387,0.379,0.363,0.363,0.363,0.37,0.387,0.387,0.387,0.387,0.387,0.359,0.443,0.508,0.508,0.509,0.467,0.467,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.449,0.44,0.517,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.52,0.52,0.52,0.535,0.536,0.6,0.723,0.776,0.776,0.776,0.776,0.788,0.788,0.788,0.717,0.614,0.576,0.576,0.645,0.741,0.735,0.735,0.725,0.699,0.699,0.699,0.582,0.518,0.476,0.476,0.52,0.504,0.504,0.55,0.694,0.685,0.57,0.459,0.459,0.459,0.488,0.482,0.482,0.492,0.807,0.807,0.807,0.807,0.807,0.807,0.755,0.724,0.759,0.759,0.759,0.759,0.769,0.772,0.772,0.772,0.749,0.749,0.755,0.755,0.755,0.755,0.762,0.786,0.772,0.757,0.765,0.78,0.774,0.717,0.75,0.747,0.735,0.747,0.692,0.683
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.878,0.835,0.777,0.777,0.833,0.805,0.803,0.803,0.817,0.752,0.725,0.717,0.711,0.711,0.743,0.743,0.743,0.743,0.72,0.707,0.712,0.712,0.712,0.728,0.683,0.703,0.734,0.674,0.751,0.815
Australia,,0.612,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.64,0.64,0.653,0.653,0.696,0.696,0.705,0.705,0.705,0.705,0.777,0.777,0.777,0.777,0.777,0.744,0.744,0.744,0.744,0.744,0.788,0.788,0.788,0.788,0.788,0.788,0.797,0.801,0.827,0.827,0.847,0.847,0.848,0.827,0.871,0.877,0.87,0.878,0.878,0.878,0.867,0.867,0.867,0.856,0.861,0.863,0.863,0.863,0.863,0.863,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.869,0.869,0.872,0.895,0.87,0.87,0.886,0.867,0.869,0.877,0.876,0.869,0.871,0.856,0.859,0.829,0.855,0.831
Austria,,,,,,,,,,,,,,,,,,,0.642,0.638,0.667,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.582,0.582,0.582,0.576,0.512,0.441,0.441,0.441,0.483,0.525,0.567,0.609,0.651,0.693,0.735,0.777,0.847,0.847,0.847,0.847,0.847,0.847,0.856,0.856,0.87,0.838,0.881,0.881,0.881,0.881,0.881,0.884,0.884,0.884,0.887,0.887,0.887,0.861,0.861,0.861,0.866,0.908,0.922,0.922,0.93,0.904,0.911,0.918,0.918,0.918,0.914,0.914,0.914,0.914,0.914,0.914,0.89,0.89,0.89,0.89,0.896,0.896,0.886,0.886,0.886,0.856,0.856,0.867,0.867,0.867,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.859,0.866,0.862,0.869,0.86,0.86,0.876,0.873,0.88,0.878,0.874,0.906,0.876
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.562,0.537,0.667,0.522,0.335,0.315,0.315,0.315,0.328,0.321,0.317,0.34,0.359,0.339,0.335,0.365,0.359,0.358,0.332,0.345,0.325,0.32,0.274,0.368,0.368,0.398,0.303,0.328,0.292,0.334
Bahrain,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.117,0.117,0.117,0.117,0.116,0.264,0.264,0.279,0.279,0.279,0.279,0.355,0.355,0.402,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.434,0.434,0.434,0.44,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.45,0.378,0.392,0.398,0.398,0.385,0.372,0.372,0.372,0.399,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.406,0.444,0.441,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.45,0.347,0.35,0.35,0.35,0.35,0.35,0.35,0.351,0.343
