Country,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.023,0.023,0.033,0.033,0.033,0.033,0.03,0.03,0.03,0.03,0.034,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.036,0.048,0.053,0.053,0.047,0.123,0.122,0.122,0.122,0.122,0.114,0.117,0.125,0.09,0.09,0.084,0.087,0.087,0.084,0.089,0.089,0.085,0.085,0.087,0.089,0.089,0.089,0.095,0.1,0.1,0.105,0.12,0.12,0.095,0.089,0.086,0.094,0.095,0.095,0.1,0.1,0.093,0.094,0.092,0.088,0.102,0.156,0.16,0.172,0.172,0.173,0.173,0.173,0.166,0.166,0.109,0.109,0.112,0.11,0.083,0.083,0.085,0.082,0.083,0.083,0.084,0.086,0.086,0.084,0.097,0.101,0.089,0.091,0.093,0.093,0.093,0.093,0.086,0.074,0.074,0.074,0.074,0.083,0.231,0.232,0.257,0.351,0.425,0.415,0.422,0.406,0.362,0.369,0.371,0.362,0.403,0.396,0.383,0.369,0.368,0.347
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,0.091,0.097,0.097,0.096,0.13,0.111,0.213,0.23,0.211,0.167,0.181,0.169,0.175,0.177,0.151,0.141,0.141,0.151,0.174,0.174,0.172,0.172,0.125,0.109,0.095,0.055,0.053,0.053,0.052,0.051,0.05,0.123,0.164,0.164,0.171,0.174,0.182,0.182,0.182,0.182,0.182,0.183,0.183,0.18,0.178,0.179,0.179,0.178,0.177,0.177,0.177,0.176,0.174,0.174,0.174,0.178,0.186,0.186,0.185,0.182,0.174,0.174,0.174,0.175,0.182,0.182,0.182,0.18,0.173,0.173,0.173,0.173,0.174,0.173,0.173,0.182,0.291,0.39,0.447,0.439,0.449,0.404,0.377,0.407,0.398,0.392,0.438,0.531,0.535,0.495,0.531,0.55,0.516,0.517,0.531,0.543,0.543,0.537,0.525,0.556,0.547,0.547,0.563,0.499,0.481
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.046,0.046,0.046,0.046,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.05,0.075,0.075,0.095,0.102,0.102,0.102,0.116,0.084,0.073,0.092,0.088,0.081,0.081,0.081,0.085,0.081,0.103,0.154,0.195,0.135,0.086,0.086,0.086,0.086,0.086,0.088,0.088,0.088,0.088,0.088,0.091,0.2,0.205,0.205,0.203,0.203,0.211,0.213,0.215,0.215,0.215,0.22,0.221,0.229,0.372,0.369,0.179,0.171,0.167,0.187,0.322,0.322,0.335,0.344,0.338,0.338,0.346,0.336,0.353,0.354,0.353,0.361,0.356,0.337,0.323,0.341,0.351,0.335,0.319,0.293,0.287,0.306,0.32,0.3
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.011,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.022,0.023,0.073,0.074,0.074,0.074,0.074,0.073,0.073,0.073,0.073,0.073,0.072,0.072,0.072,0.072,0.072,0.076,0.088,0.095,0.157,0.157,0.157,0.157,0.157,0.157,0.152,0.152,0.163,0.162,0.17,0.175,0.179,0.179,0.179,0.195,0.223,0.305,0.317,0.311,0.304,0.304,0.304,0.304,0.316,0.354,0.386
Argentina,,,,,,,,,,,,,,,,,,,,,,0.048,0.065,0.065,0.065,0.065,0.065,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.087,0.087,0.087,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.154,0.282,0.282,0.278,0.307,0.28,0.273,0.317,0.318,0.358,0.427,0.385,0.385,0.386,0.386,0.391,0.391,0.389,0.389,0.399,0.399,0.369,0.369,0.376,0.376,0.383,0.383,0.41,0.41,0.389,0.389,0.415,0.415,0.393,0.393,0.398,0.398,0.381,0.381,0.402,0.402,0.382,0.382,0.375,0.375,0.398,0.398,0.215,0.215,0.215,0.215,0.236,0.211,0.211,0.211,0.211,0.211,0.236,0.212,0.25,0.304,0.294,0.291,0.352,0.513,0.496,0.486,0.508,0.523,0.506,0.501,0.51,0.505,0.522,0.525,0.517,0.524,0.413,0.13,0.237,0.284,0.279,0.284,0.276,0.281,0.281,0.278,0.294,0.302,0.305,0.152,0.097,0.094,0.236,0.364,0.406,0.383,0.383,0.377,0.379,0.357,0.366,0.293,0.138,0.191,0.347,0.48,0.451,0.475,0.269,0.295,0.524,0.528,0.299,0.113,0.105,0.11,0.108,0.116,0.13,0.242,0.582,0.534,0.14,0.074,0.074,0.074,0.074,0.074,0.076,0.129,0.83,0.84,0.795,0.81,0.811,0.821,0.82,0.809,0.81,0.821,0.843,0.833,0.838,0.834,0.816,0.813,0.837,0.843,0.826,0.819,0.81,0.807,0.793,0.793,0.783,0.804,0.768,0.777,0.816,0.79,0.764,0.756,0.747,0.745,0.834,0.812
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581,0.652,0.614,0.601,0.618,0.505,0.419,0.37,0.419,0.414,0.483,0.463,0.466,0.36,0.379,0.362,0.365,0.35,0.331,0.333,0.369,0.356,0.388,0.363,0.367,0.356,0.356,0.389,0.49,0.805
Australia,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.148,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.272,0.318,0.318,0.318,0.318,0.32,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.504,0.504,0.596,0.59,0.584,0.58,0.58,0.58,0.581,0.59,0.59,0.59,0.59,0.591,0.6,0.6,0.588,0.586,0.588,0.606,0.606,0.604,0.595,0.595,0.596,0.606,0.605,0.595,0.595,0.597,0.608,0.593,0.592,0.591,0.591,0.597,0.601,0.601,0.593,0.589,0.597,0.597,0.59,0.582,0.641,0.651,0.789,0.789,0.804,0.804,0.803,0.786,0.786,0.774,0.77,0.771,0.773,0.78,0.767,0.752,0.714,0.691,0.74,0.756,0.782,0.783,0.784,0.812,0.812,0.811,0.802,0.802,0.804,0.82,0.83,0.828,0.793,0.793,0.795,0.798,0.798,0.796,0.787,0.777,0.764,0.715,0.765,0.761,0.757,0.771,0.804,0.839,0.839,0.838,0.782,0.783,0.789,0.782,0.804,0.803,0.82,0.82,0.821,0.829,0.832,0.834,0.859,0.867,0.844,0.844,0.844,0.86,0.86,0.857,0.843,0.843,0.846,0.871,0.858,0.85,0.865,0.866,0.874,0.874,0.87,0.872,0.872,0.878,0.882,0.876,0.876,0.872,0.868,0.868,0.897,0.886,0.885,0.895,0.897,0.897,0.893,0.899,0.896,0.889,0.897,0.892,0.877,0.877,0.875,0.879,0.879,0.879,0.879,0.879,0.885,0.895,0.904,0.892,0.879,0.886,0.878,0.863,0.864,0.838
Austria,0.049,0.049,0.049,0.049,0.047,0.04,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.036,0.036,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.108,0.19,0.145,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.04,0.054,0.054,0.054,0.054,0.054,0.054,0.15,0.207,0.207,0.218,0.215,0.215,0.226,0.226,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.209,0.209,0.209,0.222,0.249,0.26,0.255,0.255,0.255,0.255,0.255,0.255,0.253,0.253,0.253,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.282,0.288,0.288,0.288,0.284,0.277,0.277,0.26,0.26,0.26,0.26,0.315,0.312,0.354,0.719,0.719,0.705,0.646,0.654,0.654,0.692,0.71,0.71,0.705,0.67,0.67,0.23,0.116,0.097,0.097,0.097,0.093,0.185,0.277,0.369,0.461,0.553,0.645,0.737,0.775,0.797,0.797,0.794,0.805,0.798,0.795,0.79,0.789,0.789,0.81,0.828,0.828,0.833,0.846,0.846,0.847,0.859,0.859,0.842,0.832,0.832,0.832,0.832,0.828,0.836,0.845,0.869,0.872,0.867,0.87,0.87,0.87,0.854,0.856,0.863,0.863,0.853,0.848,0.855,0.858,0.859,0.854,0.865,0.859,0.876,0.862,0.856,0.857,0.859,0.858,0.858,0.845,0.846,0.873,0.873,0.873,0.877,0.862,0.855,0.863,0.885,0.884,0.894,0.871,0.89,0.872,0.868,0.874,0.867,0.852,0.835,0.806,0.809
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,0.247,0.351,0.418,0.22,0.277,0.24,0.248,0.249,0.252,0.248,0.254,0.25,0.242,0.22,0.218,0.213,0.215,0.215,0.213,0.209,0.213,0.197,0.21,0.188,0.189,0.193,0.207,0.205,0.206
Baden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139,0.206,0.206,0.206,0.206,0.206,0.174,0.174,0.174,0.174,0.174,0.249,0.27,0.27,0.247,0.247,0.243,0.243,0.237,0.237,0.235,0.245,0.246,0.229,0.246,0.25,0.248,0.248,0.248,0.267,0.263,0.206,0.203,0.203,0.203,0.214,0.214,0.214,0.213,0.213,0.221,0.258,0.265,0.265,0.266,0.266,0.255,0.255,0.26,0.26,0.259,0.259,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
