Country,2013,2014,2015,2016,2017,2018
Afghanistan,3,3,3,2,2,2
Albania,8,8,8,8,8,8
Algeria,4,4,4,4,4,3
Andorra,12,12,12,12,12,12
Angola,4,4,3,3,3,3
"Antigua and Barbuda",11,11,11,12,12,12
Argentina,11,11,11,11,11,11
Armenia,5,5,5,5,5,4
Australia,12,12,12,12,12,12
Austria,12,12,12,12,12,12
Azerbaijan,1,1,1,1,1,1
Bahamas,12,12,12,12,12,12
Bahrain,3,3,2,2,2,2
Bangladesh,9,9,7,7,7,7
Barbados,12,12,12,12,12,12
Belgium,12,12,12,12,12,12
Belize,12,12,12,12,12,12
Benin,8,8,8,9,9,9
Bhutan,8,10,10,10,10,10
Bolivia,11,11,11,11,11,10
"Bosnia and Herzegovina",8,8,8,8,7,7
Botswana,10,10,10,10,10,10
Brazil,11,11,11,11,11,11
Bulgaria,11,10,11,11,11,11
"Burkina Faso",5,5,2,6,7,7
"Burma (Myanmar)",3,3,3,3,5,5
Burundi,4,4,4,1,1,1
Cambodia,3,3,4,4,4,4
Cameroon,2,3,3,3,3,3
Canada,12,12,12,12,12,12
"Cape Verde",12,12,12,12,12,12
"Central African Republic",7,5,3,1,3,3
Chad,3,3,3,2,2,2
Chile,12,12,12,12,12,12
Colombia,10,10,10,10,10,10
Comoros,9,9,9,9,9,9
"Congo (Brazzaville)",1,1,1,1,1,
"Congo (Kinshasa)",3,3,3,3,,
"Costa Rica",12,12,12,12,12,12
Croatia,12,12,12,12,12,12
Cyprus,11,11,11,11,11,11
"Czech Republic",12,12,12,12,12,12
Denmark,12,12,12,12,12,12
Djibouti,3,3,3,3,2,2
Dominica,12,12,12,12,12,11
"Dominican Republic",10,10,10,10,9,9
Ecuador,7,7,7,7,7,7
Egypt,3,1,2,3,3,3
"El Salvador",12,12,12,10,11,11
Estonia,12,12,12,12,12,12
Ethiopia,1,1,1,1,1,1
Fiji,,,9,9,8,8
Finland,12,12,12,12,12,12
France,12,12,12,12,12,12
Gabon,2,2,2,2,2,
Gambia,2,2,2,1,3,7
Georgia,7,8,9,9,9,9
Germany,12,12,12,12,12,12
Ghana,12,12,12,12,12,12
Greece,12,12,12,12,12,12
Grenada,12,12,12,12,12,11
Guatemala,9,9,9,8,8,8
Guinea,5,6,6,6,6,6
"Guinea Bissau",2,3,8,7,7,7
Guyana,11,11,11,11,11,11
Haiti,5,4,4,4,3,5
Honduras,6,7,7,7,7,7
"Hong Kong",3,3,3,3,3,2
Hungary,12,12,9,9,9,9
Iceland,12,12,12,12,12,12
India,11,11,12,12,12,12
Indonesia,11,11,10,11,11,11
Iran,2,3,3,3,3,3
Iraq,7,7,8,8,8,8
Ireland,12,12,12,12,12,12
Israel,12,12,12,12,12,12
Italy,11,12,12,12,12,12
"Ivory Coast",5,6,6,7,7,7
Jamaica,12,12,12,12,12,12
Japan,12,12,12,12,12,12
Jordan,2,2,2,2,3,3
Kazakhstan,2,2,2,2,1,1
Kenya,6,7,7,7,7,6
Kiribati,12,12,12,12,12,12
Kosovo,6,6,9,9,9,9
Kuwait,2,2,2,2,2,2
Kyrgyzstan,6,6,6,6,5,4
Latvia,12,12,12,12,12,12
Lebanon,5,4,2,2,3,3
Lesotho,10,10,10,10,10,10
Liberia,9,9,9,9,9,8
Libya,9,9,5,4,1,
Liechtenstein,12,12,12,12,10,10
Lithuania,12,12,12,12,12,12
Luxembourg,12,12,12,12,12,12
"Macedonia (F.Y.R.O.M.)",8,8,7,6,6,6
Madagascar,1,6,9,9,9,9
Malawi,8,8,8,8,8,8
Malaysia,6,6,6,6,6,6
Maldives,7,7,7,7,7,5
Mali,1,6,6,6,6,6
Malta,12,12,12,12,12,12
"Marshall Islands",11,11,11,12,12,12
Mauritania,3,3,3,3,3,3
Mauritius,12,12,12,12,12,12
Mexico,9,9,9,9,9,9
Micronesia,12,12,12,12,12,12
Moldova,11,11,10,10,10,10
Monaco,10,10,10,10,7,7
Mongolia,11,11,11,11,11,11
Montenegro,9,9,9,9,8,8
