Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,0.072,0.094,0.095,0.1,0.1,0.121,0.12,0.115,0.122,0.12,0.021,0.02,0.016,0.016,0.016,0.011,0.013,0.012,0.012,0.012,0.012,0.007,0.008,0.006739496,0.006739496,0.000739496,0.000739496,0.006,0.009000099,0.011000976,0.02,0.031,0.032,0.034,0.038
Albania,0.14853572,0.152,0.198,0.227,0.182,0.183,0.188,0.193,0.177,0.185,0.118,0.091,0.064,0.061,0.065,0.067,0.082,0.072737377,0.065,0.066737377,0.06,0.051,0.051,0.068,0.07,0.017,0.019,0.015365157,0.015,0.013,0.025361626,0.036368689,0.039606959,0.039678366,0.048
Algeria,2.80357586,3.038,3.226,3.605,3.858,3.908,3.969,4.217,4.298,4.503,4.753,4.916,5.031,4.883,4.736,5.048,5.248,5.592755762,5.747,6.018,6.190540653,6.170702644,6.390569688,6.79,6.901,7.474,7.417,7.127,7.175,6.942,6.925,7.013,6.993,6.507,6.559
Angola,0.3359572,0.292,0.276,0.396,0.463,0.511,0.622,0.79,0.989,0.991,1.037,1.092,1.152,1.113,1.168,1.404,1.542,1.549,1.596,1.615,1.622,1.609,1.942,1.956,2.293,2.675,3.032,3.734,4.201,4.033,4.102,3.777,3.855,3.887,3.755
Argentina,1.597153618,1.671,1.729,1.785,1.853,1.835,1.843,1.834,1.906,1.985,2.015,2.105,2.279,2.477,2.685,2.911,3.027,3.281,3.376,3.405,3.492,3.66,3.572,3.741,3.755,3.409313384,3.448423119,3.364285843,3.318595063,3.196194466,3.081320055,2.933990944,2.813096291,2.707090006,2.682546383
Armenia,--,--,--,--,--,--,--,--,--,--,--,--,0.031,0.044,0.036,0.02,0.041,0.031,0.033,0.036,0.035,0.033,0.042,0.041,0.046,0.029369399,0.028407869,0.027557959,0.026588558,0.02688929,0.026815075,0.027635825,0.0249039,0.0254198,0.02656885
Aruba,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,0.0002928,,,,,
Australia,3.65998396,4.12,4.209,4.568,4.95,5.472,5.644,6.229,5.815,6.179,6.73,7.049,7.265,7.222,7.347,7.861,8.05,8.481,8.93,9.036,9.8,10.204,10.434,10.29,10.371,10.73578992,10.86090263,11.233,11.279,11.704,12.444,12.446,12.838,13.543,14.405
Austria,0.501718404,0.499,0.503,0.489,0.473,0.491,0.488,0.427930093,0.522,0.522,0.491,0.494,0.517,0.532,0.507,0.536,0.498,0.507,0.527,0.564,0.576,0.566,0.569,0.501,0.517,0.144229977,0.165247975,0.178019768,0.119019708,0.12001952,0.109009756,0.109,0.112,0.088,0.088
Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,0.778,0.716,0.662,0.646,0.652,0.619,0.732,0.84,0.836,0.879,0.878,0.906,0.887,1.152,1.634,2.212,2.497,2.769,2.844,2.72,2.585,2.491,2.47
Bahrain,0.220521312,0.238,0.243,0.251,0.241,0.271,0.295,0.331,0.297,0.3,0.313,0.334,0.288,0.352,0.348,0.344,0.334,0.398,0.405,0.407,0.415,0.424,0.445,0.453,0.458,0.477,0.5,0.528,0.551009854,0.55301952,0.542,0.546,0.612,0.7,0.748
Bangladesh,0.053,0.061,0.068,0.072422232,0.098846778,0.103443475,0.112443475,0.130443475,0.14944469,0.16629565,0.16329565,0.17329565,0.20429646,0.22129565,0.24429565,0.26329565,0.27229646,0.27429565,0.29629565,0.32429565,0.35,0.373,0.408,0.456,0.496,0.523054995,0.579119028,0.617019768,0.681019708,0.74601952,0.763,0.759,0.835,0.863,0.902
Barbados,0.00036645,0.00036645,0.00236645,0.0024188,0.0044188,0.0044188,0.0044188,0.0033141,0.00397371,0.003,0.004,0.003834064,0.003804682,0.004,0.00381666,0.003969599,0.003,0.003,0.004,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002739496,0.002,0.002739496,0.002,0.002,0.002
Belarus,--,--,--,--,--,--,--,--,--,--,--,--,0.097175814,0.097195871,0.097196004,0.09320624,0.08816544,0.084214473,0.085285516,0.087194294,0.087275427,0.08630999,0.085284844,0.0842835,0.08534055,0.08129997,0.081932386,0.081879676,0.081009854,0.07600976,0.072,0.072,0.065622568,0.064732433,0.065
Belgium,0.185,0.188,0.217,0.29768271,0.336,0.4,0.443988891,0.461,0.455629172,0.432495893,0.44042252,0.438363156,0.443209668,0.425168712,0.41304616,0.421,0.439075221,0.478,0.468,0.498,0.492060671,0.477,0.487,0.486,0.489,0.493416795,0.493855015,0.515770261,0.454946934,0.475523978,0.473475989,0.475691784,0.398263218,0.420710565,0.332307085
Belize,0.00041552,0.00041812,0.00041816,0.000420801,0.0004176,0.00041788,0.00041784,0.00041676,0.00041296,0.00041728,0.00041608,0.00041744,0.00041368,0.00041236,0.00041264,0.00082496,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.00040226,0.005399041,0.006395657,0.007000296,0.008000293,0.009,0.008,0.007,0.006,0.004
Benin,,,,0.009,0.016,0.018,0.018,0.016,0.011,0.009,0.009,0.009,0.013,0.013,0.013,0.007,0.004017578,0.003017362,0.002017335,0.002017384,0.002020402,0.002020666,0.002020346,2.03E-05,1.00E-05,0,3.97E-05,2.97E-05,,,,,,,
Bhutan,6.23E-05,7.32E-05,8.36E-05,8.42E-05,8.35E-05,8.36E-05,0.003,0.012,0.016,0.016,0.016,0.016,0.017,0.017,0.018,0.019,0.02,0.019,0.018,0.018,0.018,0.021,0.023,0.026,0.023,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.001
Bolivia,0.148636508,0.136,0.152,0.151,0.157,0.151,0.149,0.148,0.158,0.169,0.171,0.17,0.178,0.173,0.177,0.197,0.2,0.205,0.212,0.186,0.216,0.276,0.321,0.362,0.505,0.571569943,0.598575302,0.633612808,0.634,0.549,0.616,0.672,0.764,0.873,0.913
"Bosnia and Herzegovina",--,--,--,--,--,--,--,--,--,--,--,--,0.056805504,0.042,0.055,0.092,0.077,0.123,0.144,0.151,0.155,0.159,0.124,0.121,0.138,0.081,0.082,0.086,0.095,0.094,0.089,0.099,0.097,0.087,0.088
Botswana,0.007,0.008,0.008,0.008,0.008,0.009,0.01,0.01,0.012,0.013,0.016,0.016,0.018,0.018,0.018,0.018,0.015,0.016,0.019,0.015,0.019,0.018,0.019,0.017,0.018,0.02,0.019,0.017,0.018,0.015,0.02,0.016,0.03,0.03,0.03
Brazil,1.89300992,1.987,2.205519996,2.524,3.027,3.368,3.398,3.441,3.528,3.721,3.764,3.917,3.971,4.101,4.270534964,4.479,4.845,5.076,5.491,5.896,6.375,6.167,6.714,7.031,7.155,4.338185374,4.590477467,4.664659225,4.770805811,4.937604151,5.254657525,5.459232037,5.486115918,5.574678485,6.012793508
Brunei,0.9461577,0.806,0.764,0.79,0.736,0.711,0.736,0.689,0.682,0.672,0.723,0.681,0.704,0.711,0.722,0.751,0.726,0.742,0.702,0.775,0.816,0.837,0.793,0.829,0.85,0.881,0.986,0.863,0.835,0.737,0.765,0.828,0.776,0.729,0.677
Bulgaria,0.294459534,0.318,0.346,0.367,0.38,0.362,0.379,0.393,0.40733005,0.40633005,0.367465842,0.336321304,0.32627918,0.345,0.352,0.393,0.417,0.39,0.392,0.347704181,0.38,0.380138717,0.403070277,0.372066887,0.365033231,0.341482246,0.356070737,0.334248293,0.342250452,0.32384252,0.336029622,0.406995584,0.369560166,0.330555896,0.361244084
"Burkina Faso",,,,,,,,,,,9.36E-05,0.000135668,0.00020684,0.000484523,0.000742752,0.000969328,0.001,0.001,0.000795366,0.001,0.000989497,0.000547649,0.000651072,0.000972,0.001,,,,,,,,,,
"Burma (Myanmar)",0.0860996,0.082,0.094,0.098,0.107,0.107,0.106,0.092,0.079,0.088,0.084,0.087,0.085795684,0.090634808,0.101476106,0.100476106,0.096318274,0.094317404,0.101317404,0.090317404,0.165,0.276,0.378,0.431,0.458,0.54,0.536,0.565,0.523,0.483,0.51,0.502,0.509,0.515,0.677
Burundi,2.08E-05,2.09E-05,2.09E-05,0.00024196,0.00040716,0.000480562,0.000637206,0.000979386,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000991922,0.000999698,0.001,0.001,0.001,0.00090144,,,,,,,,,,
Cambodia,0.000509012,0.000554009,0.00057497,0.000420801,0.0003132,0.000365645,0.00041784,0.000468855,0.0005162,0.000563328,0.000644924,0.000667904,0.000692914,0.000711321,0.000732436,0.000752776,0.00079618,0.000582141,0.00050985,0.000449944,0.000479447,0.000320323,0.00030519,0.000497053,0.000420756,0.000149985,0.000168623,0.000158144,,,,,,,
Cameroon,0.140264144,0.208,0.258,0.268,0.316,0.426,0.408,0.402,0.381,0.396,0.377,0.36,0.332,0.303,0.261,0.269,0.264,0.3,0.294,0.251,0.22,0.202,0.184,0.18,0.183,0.179,0.194720426,0.18149068,0.177739496,0.167739496,0.141739496,0.139,0.147,0.149,0.18
Canada,10.12763118,9.935,9.93,10.184,11.116,11.771,11.683,12.321,13.134,13.034,13.109,13.639,14.187,15.082,16.007,16.473,16.862,17.006,16.997,17.26,17.728,17.841,18.194,18.116,18.503,15.1362394,15.59305405,15.75494372,15.1221395,14.55834924,14.60954878,14.77905838,15.20399877,15.8374507,16.71073158
"Cape Verde",,,,,,,,,,,,,,2.06E-05,5.16E-05,6.19E-05,7.24E-05,7.15E-05,8.16E-05,8.18E-05,8.16E-05,6.20E-05,6.10E-05,5.12E-05,6.01E-05,6.00E-05,6.94E-05,6.92E-05,5.91E-05,6.83E-05,,,,,
"Central African Republic",0.000685608,0.000679445,0.000710872,0.000673281,0.00072036,0.00062682,0.000793896,0.000760587,0.000763976,0.000771968,0.000790552,0.0007827,0.000796334,0.000793793,0.000814964,0.00082496,0.00083754,0.000847679,0.000825957,0.000828306,0.000846683,0.000847306,0.000834186,0.000840375,0.001,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,0.082,0.39,0.402,0.36,0.328,0.29,0.272,0.279,0.262,0.239,0.239,0.251
