Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,,,,,,,,,,785.1615259,865.5924812,762.7253617,776.934749,826.952081,890.9533599,923.7288675,1010.819221,864.1994597,1149.536096,989.2001485,966.6832838,1000.122013,1018.263142,916.5551906,963.9271695,921.893044,927.7445187,896.4377624,813.2556955,572.781844,418.2866298,412.3788805,441.2492954,417.034843,447.8488703,384.5949583,426.6828191,576.1836323,580.4947642,597.2652527,660.0479841,648.1683871,715.4144831,719.5843781,706.8594077,679.8617651,710.7484985,732.3166818,729.1543727,764.9686166,687.8962599,801.329975,808.4558396,
Algeria,,,,,,,,,,,,231.5799303,261.4652848,305.1273352,319.2224366,330.3970489,366.5218965,398.6561135,476.7783643,586.3413003,579.4515536,610.8345989,771.2354976,807.8430626,776.3375866,786.3260082,862.414157,827.55223,849.7071264,820.3104783,856.1588758,883.7253617,883.7402571,867.5753004,819.2650281,838.7687879,798.1448359,804.8663494,820.6475782,863.7872094,865.665961,856.2127437,904.3246883,948.9594863,948.2381886,973.8789478,1027.736466,1073.999661,1069.200216,1149.374185,1109.892461,1135.74446,1223.591791,1241.038357,1321.099494,
Angola,,,,,,,,,,,,555.8825563,584.315151,567.5612397,564.5782944,536.4041997,515.4481137,493.8022292,527.3257501,518.2228915,510.9863492,496.8536451,472.8292881,468.8811287,457.7807777,470.3734795,462.1985073,460.8182832,467.2141698,464.9752093,483.3573938,479.871503,467.1091801,468.0537528,459.4536308,445.3262087,445.3476721,442.781325,429.832644,438.8703257,437.337646,442.0003785,446.903822,465.5403074,462.1575455,430.9350672,456.2469133,469.6202015,490.5364205,514.4113538,520.6751162,521.825839,552.6229322,534.119063,545.0404908,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.760705,1485.1795,1488.5983,1492.0171,1495.4359,1498.8546,1502.2734,1505.6922,1509.111,1512.5298,1515.9486,1519.3674,1522.7861,1526.2049,1529.623713,1534.96241,1583.592651,1597.706307,,,,,,,,
Argentina,,,,,,,,,,,,1380.921398,1379.818923,1411.496781,1415.682954,1378.546993,1404.744778,1420.567765,1426.91926,1484.565823,1487.617079,1430.440084,1416.540023,1419.930165,1447.819825,1360.665414,1421.546979,1477.043426,1504.819091,1441.482265,1407.38675,1430.514982,1483.779437,1468.220775,1541.657524,1544.355772,1582.138202,1613.918988,1650.343735,1659.992827,1661.117041,1562.68636,1502.037194,1589.545082,1717.650525,1709.572352,1840.440442,1845.098116,1923.139812,1850.861533,1908.28056,1933.523032,1920.080959,1951.439454,2015.18704,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178.547354,2317.918745,1199.774893,651.9387779,419.8223933,511.1731982,562.1619745,594.2502057,609.996706,593.5422175,656.3095764,657.4801149,618.4712269,656.5090665,698.1092524,842.7003491,864.8267703,972.6530963,1032.957961,903.5465128,863.0283622,944.3545496,1030.768008,1002.368059,1018.07124,
Australia,3063.554271,3115.787084,3172.974865,3284.050959,3349.414167,3463.215578,3546.53798,3692.80795,3763.558415,3792.934763,4063.41137,3989.629744,4035.206344,4264.271226,4294.161626,4345.871446,4405.702986,4671.195674,4629.618471,4683.853176,4737.482031,4694.676425,4817.489524,4555.146203,4651.712429,4602.95653,4623.739075,4772.370465,4702.841606,5001.103102,5061.508459,4927.78159,4959.214919,5147.53665,5089.788967,5129.223661,5393.580635,5469.599989,5553.653466,5610.344711,5644.064951,5446.973214,5569.640992,5568.764941,5598.088178,5564.087169,5709.344668,5868.347097,5964.665776,5862.551944,5793.116026,5745.23219,5576.565362,5470.940423,5338.090681,5489.961259
Austria,1546.261468,1554.034906,1675.873621,1823.995225,1855.085155,1851.843564,1902.756408,1920.212124,2045.828123,2181.632309,2418.210129,2508.520919,2627.322496,2830.946802,2730.437326,2654.848729,2866.97592,2797.421922,2893.022299,3138.916143,3067.01192,2897.009398,2830.221781,2843.405568,2953.68815,3051.597062,3061.588862,3174.745392,3204.562182,3138.983488,3240.111359,3415.173082,3245.592076,3255.784704,3234.492985,3373.603565,3580.420798,3550.404171,3606.610379,3591.809466,3570.498826,3758.457569,3773.651728,3973.624327,4007.569904,4085.567651,4078.812226,4019.59017,4032.148426,3798.151168,4051.19602,3921.900515,3886.767732,3919.251478,3765.434361,3804.494503
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3165.494902,3087.874708,2464.597399,2175.284456,1947.691984,1809.154327,1513.673193,1444.319459,1485.153418,1369.111898,1403.433268,1410.965455,1414.528111,1476.590884,1539.230121,1599.960676,1559.568746,1411.55734,1520.313919,1334.166178,1279.552594,1369.350999,1472.897391,1474.003433,1502.078168,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517.466696,2484.7011,2451.9356,2419.17,2386.4044,2353.6389,2320.8733,2288.1077,2255.3422,2222.5766,2189.811,2157.0455,2124.2799,2091.5143,2058.748752,2113.901637,2102.254117,2071.113085,,,,,,,,
Bahrain,,,,,,,,,,,,6394.722031,5971.473457,8495.334555,9009.062725,8000.645299,9584.323635,8188.762266,7844.320855,8814.106267,7794.794492,8295.063081,9071.024744,8502.888103,8833.122558,9921.653196,10261.44107,9523.90901,10493.49745,10248.37349,10555.27079,10108.35385,10837.7268,11142.36134,11555.53615,11408.51944,11109.67083,12181.22132,12406.71042,11851.5266,11988.72127,11738.14599,11548.54941,11566.50028,10894.96269,11675.40667,11604.24931,11234.22155,11318.77551,10339.60097,10207.85148,9911.796343,9657.568698,10416.78989,10593.99714,
Bangladesh,,,,,,,,,,,,85.59864378,86.87936102,92.48557875,93.89426141,94.34059216,98.01763955,97.75963173,98.34927624,99.39656051,103.1334516,102.4145143,105.3123599,104.9961465,103.7127635,106.7699186,111.2847344,106.6554276,114.1562699,116.7998234,119.9545805,115.477325,119.15375,123.0689467,125.7874922,133.9446139,131.8906722,134.903763,137.7494292,136.7841763,138.7883454,148.9587133,149.7331122,155.0327858,155.3449513,158.9185389,168.001385,173.4069409,179.9679144,187.2600424,200.5458238,205.6670193,213.3035485,215.282959,222.2209592,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236.63776,1246.39,1256.1422,1265.8944,1275.6466,1285.3988,1295.151,1304.9032,1314.6554,1324.4076,1334.1598,1343.912,1353.6642,1363.4164,1373.168651,1423.310913,1447.067507,1452.109361,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4465.375012,4348.467922,3620.731989,3076.700752,2615.739317,2427.669413,2501.348819,2505.604626,2466.16516,2411.568947,2462.411056,2485.565111,2550.108823,2643.687513,2752.759003,2768.821539,2965.377967,2917.907033,2932.103273,2790.137339,2900.042284,3097.656624,3222.44927,2881.507357,2928.520216,
