Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,2.266447934,1.58558991,0.753546902,0.72794269,0.745051748,0.74931605,0.739649067,0.738235477,0.733430976,0.742697803,0.747850646,2.538318911,0.723402875,0.760434569,0.762018636,0.829572305,0.707810169,0.68145498,0.637068901,0.599571995,0.576868916,0.548819504,0.682379981,0.511813242,0.49890193,0.484733501,0.474820055,0.466851648
Albania,0.1385716,0.148153992,0.148636367,0.160002699,0.163645638,0.172925876,0.176321707,0.180742384,0.186226816,0.195700049,0.190475077,0.190961899,0.188753839,0.177496337,0.265034128,0.155398967,0.156136952,0.167002505,0.172149744,0.164036153,0.174318106,0.170826556,0.344475914,0.167442797,0.16674502,0.165724728,0.164397755,0.380602612
Algeria,0.19863249,0.194719615,0.190002561,0.186035277,0.183936257,0.179878865,0.176985142,0.175402547,0.17393959,0.173379203,0.172935049,0.171599079,0.17047435,0.287352007,0.16442259,0.161403484,0.157323452,0.155375207,0.15320179,0.150830464,0.147976333,0.143945045,0.139582471,0.136738434,0.133172772,0.130251315,0.126406973,0.123799635
"American Samoa",2.169795121,2.139523244,2.102078667,2.052120357,2.012210487,1.991584733,1.974039232,1.904791374,1.906228776,1.931036592,1.959046156,2.023837462,2.173895678,2.205928885,2.214236372,2.256208681,2.319773703,2.308701513,2.331988583,2.451303739,2.249790254,2.175690484,2.131376475,2.096523406,2.04719717,2.013059989,2.03932409,2.054563299
Andorra,0.349772763,0.346406395,0.347759423,0.350439347,0.360408996,0.368979093,0.374151109,0.374072272,0.378716818,0.385850586,0.39514193,0.404253869,0.412300421,0.402385517,0.397822071,0.397500792,0.396641046,0.407023805,0.415012705,0.427610816,0.435890007,0.436260243,0.445693086,0.454468935,0.456965635,0.46224276,0.467531285,0.471868688
Angola,1.139053436,1.135827498,1.134299884,1.141396623,1.143443374,1.113498988,1.058057596,1.023919587,1.063109438,1.02518672,0.99796292,0.966738901,0.936733299,0.913641252,0.917889155,0.881012927,0.854194469,0.8224278,0.789039103,0.749535946,0.717332528,0.68277733,0.651247252,0.617946788,0.581278864,0.556692265,0.52225007,0.501594067
"Antigua and Barbuda",0.556459233,0.548995737,0.552667561,0.539792147,0.544164396,0.528364984,0.505951577,0.476505897,0.450245973,0.415158195,0.407116631,0.408625407,0.408372467,0.40946414,0.415994626,0.423751754,0.426639543,0.428355445,0.433610533,0.443718744,0.453582552,0.469444189,0.4871882,0.504820777,0.530828744,0.545195434,0.521889911,0.516724149
Argentina,0.240472398,0.252579868,0.268975023,0.276346169,0.286417232,0.296606482,0.314353439,0.329918311,0.328181085,0.334629898,0.413958022,0.334902488,0.325628588,0.315334594,0.299951798,0.301545085,0.293042864,0.388800218,0.283574264,0.271677295,0.263849302,0.251016244,0.248282748,0.245955396,0.234049955,0.228054653,0.229462809,0.228618777
Armenia,5.462860276,5.798597735,6.412103908,6.633876609,6.599578148,6.333201538,6.070868439,5.810099092,5.594474415,5.274779892,4.966167329,4.810730873,4.7131359,4.675686586,4.701647727,4.834863411,5.19251311,4.674311913,4.793449268,4.44896195,3.987023149,3.392653652,2.339538013,1.928412724,1.665210867,1.486048174,1.42977074,1.511080527
Australia,0.266723031,0.264550196,0.267883111,0.336126597,0.34186721,0.287631702,0.287551271,0.285337569,0.277696805,0.277894275,0.297109498,0.28598017,0.300305963,0.311465785,0.328772405,0.320881914,0.323574151,0.329077956,0.334032448,0.475862986,0.308358007,0.300465853,0.281133803,0.2725049,0.342554724,0.277210875,0.282510564,0.288744357
