Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,1,1.5,2,2,2,2,2,2,2,2,2,2.5,3
Albania,6,6,6,6,6,6,6,6,6,6,6,6,6
Algeria,2,3,4,4.5,5,5,5,5,5,5,5,5,5
Angola,2,2,2,3,4,5,6,5,4,4,4,4,4
Argentina,6,6.5,7,7,7,7,7,7,7,7,7,7,7
Armenia,5,5,5,5,5,5,5,5,5,5.5,6,6,6
Azerbaijan,5,5,5,5.5,6,6,6,6,6,6,6,6,6
Bahrain,6,5.5,5,5.5,6,5.5,5,4.5,4,3.5,3,2.5,2
Bangladesh,4,3.5,3,3.5,4,4,4,4,4,4,4,4,4
Belarus,7,6,5,5,5,5,5,5,5,5.5,6,6,6
Benin,4,4,4,4,4,4.5,5,5,5,4.5,4,4,4
Bhutan,,,3,3,3,3.5,4,4.5,5,5,5,5,5
Bolivia,5,5,5,5,5,5,5,5,5,5,5,5,5
"Bosnia and Herzegovina",5,5,5,5,5,5,5,5,5,5,5,5,5
Botswana,7,7,7,7,7,7,7,7,7,7,7,7,7
Brazil,6,6.5,7,7,7,7,7,7,7,7,7,7,7
Bulgaria,8,8,8,7.5,7,7,7,7,7,7.5,8,7.5,7
"Burkina Faso",4,3.5,3,3,3,3,3,3,3,3,3,3,3
"Burma (Myanmar)",1,1,1,1,1,1,1,1,1,1.5,2,2,2
Burundi,2,2.5,3,3,3,4,5,5,5,5,5,5,5
Cambodia,3,3,3,3,3,3,3,3,3,3,3,3,3
Cameroon,4,4,4,4.5,5,5,5,5,5,5,5,5,5
"Central African Republic",4,3.5,3,3,3,3,3,3,3,3,3,3,3
Chad,2,2,2,2,2,2,2,2,2,2,2,2,2
Chile,6,6.5,7,7,7,7,7,7,7,7,7,7,7
China,5,4.5,4,4.5,5,5,5,5,5,5.5,6,6,6
Colombia,6,6,6,6,6,6,6,6,6,6,6,6,6
"Congo (Brazzaville)",,,8,5.5,3,2.5,2,2,2,2,2,2,2
"Congo (Kinshasa)",1,4.5,8,4.5,1,1,1,1,1,1,1,1,1
"Costa Rica",8,7.5,7,7.5,8,8,8,8,8,7.5,7,7.5,8
Croatia,8,8.5,9,8.5,8,8,8,8,8,8,8,8,8
Cuba,8,8,8,8,8,8,8,7.5,7,6.5,6,6,6
"Czech Republic",9,9,9,9,9,9,9,9,9,9,9,9,9
"Dominican Republic",5,5,5,5,5,4.5,4,4,4,4,4,4,4
Ecuador,5,5,5,5,5,5,5,5,5,5.5,6,6,6
Egypt,4,4,4,4,4,4,4,3.5,3,3.5,4,4,4
"El Salvador",4,4,4,4,4,4.5,5,5,5,5,5,5,5
Eritrea,4,3,2,2.5,3,2,1,1,1,1,1,1,1
Estonia,9,9,9,9,9,9,9,9,9,9,9,9,9
Ethiopia,4,3,2,2.5,3,3,3,3.5,4,3,2,2,2
Georgia,4,4,4,4,4,4,4,4,4,5,6,5.5,5
Ghana,4,5,6,6.5,7,7,7,7,7,6.5,6,6,6
Guatemala,3,3,3,3.5,4,4,4,4,4,4,4,4,4
Guinea,4,3,2,3,4,4,4,4.5,5,5,5,5,5
Haiti,3,3,3,3,3,3,3,3,3,3,3,3,3
Honduras,4,4,4,4,4,4,4,4,4,4,4,4,4
Hungary,9,9,9,9,9,8.5,8,8,8,8,8,7.5,7
India,5,4.5,4,4,4,4,4,4,4,4,4,4,4
Indonesia,5,5,5,5,5,5,5,5,5,5,5,5,5
Iran,4,4.5,5,4,3,3,3,2.5,2,2,2,2,2
Iraq,4,3.5,3,3,3,3,3,3,3,2.5,2,2,2
"Ivory Coast",2,2,2,2,2,2,2,2,2,2.5,3,3,3
Jamaica,6,6,6,6,6,6,6,6,6,6,6,6,6
Jordan,5,5,5,5,5,5,5,5,5,5,5,5,5
Kazakhstan,5,5.5,6,6,6,6,6,6,6,6,6,6,6
Kenya,5,4.5,4,3.5,3,3,3,4,5,5,5,5,5
Kosovo,,,,,6,6,6,6,6,6,6,6,6
Kuwait,,,4,4.5,5,5.5,6,6,6,6,6,6,6
Kyrgyzstan,5,4.5,4,4.5,5,5,5,5,5,5,5,5,5
Laos,4,3.5,3,3,3,3.5,4,4,4,4.5,5,5,5
Latvia,8,8,8,8,8,8,8,8,8,8,8,8,8
Lebanon,6,6,6,6,6,6,6,6,6,6,6,5,4
Lesotho,,,,,5,5,5,5,5,5.5,6,5.5,5
Liberia,1,1,1,2,3,3.5,4,4,4,4,4,4,4
Libya,5,5.5,6,6.5,7,7,7,6,5,4,3,3,3
Lithuania,8,8.5,9,9,9,9,9,9,9,9,9,9,9
"Macedonia (F.Y.R.O.M.)",7,7.5,8,7.5,7,7,7,7,7,7,7,7,7
Madagascar,4,3.5,3,3,3,3.5,4,4,4,4,4,4,4
Malawi,2,2.5,3,3.5,4,4.5,5,5,5,5,5,5,5
Malaysia,7,7,7,7,7,7,7,7,7,7,7,6.5,6
Mali,5,4.5,4,4,4,4,4,3.5,3,3.5,4,4,4
