Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,3.787186377,3.858993665,3.817315464,4.135955719,4.530106026,3.860398422,3.25197725,3.30219433,3.893850191,4.300284422
Algeria,4.139225897,3.700136005,3.347837257,3.481444825,3.254348565,2.633117258,3.076751007,3.687969757,3.574732614,3.37048458
Angola,,,,2.671984,2.377602213,2.6107,2.84375,2.648351515,,
Argentina,3.461623177,3.276197169,3.240438257,3.277485871,3.18145,2.956432486,2.916879749,3.007511538,2.830747833,2.738350091
Armenia,3.445721884,3.388731842,3.321556063,3.2492182,3.375547822,3.634807721,3.789717231,3.75526827,3.625539659,3.853129367
Australia,6.080059056,6.105081125,6.1996483,6.165805396,6.139191577,5.916260914,5.45215128,5.618109488,5.741503461,5.601648473
Austria,6.085228939,6.095990815,6.160705144,6.154702751,5.912581194,5.643405262,5.562970322,5.516658494,5.493983367,5.444961861
Azerbaijan,4.159221395,4.255335978,4.11967515,3.912191895,3.866409205,3.862860512,4.013571889,4.013833772,4.013833772,4.220576159
Bahrain,4.684549392,4.936094918,5.320347355,5.325469671,5.285695537,5.197206503,4.964079541,4.964764634,5.083319029,5.137124842
Bangladesh,2.902889582,2.958104659,3.084648121,3.26783665,3.217253893,2.930423155,2.840167589,2.909938574,2.955699579,3.13335306
Barbados,5.315649133,5.459393681,5.561292267,5.546828649,5.474204403,5.248786589,5.112932707,4.962613203,4.7561,4.549585685
Belgium,5.403762909,5.443268714,5.523286348,5.511803839,5.635016961,5.415861306,5.340353751,5.529346095,5.55561385,5.561944718
Belize,,,,,3.290439,,,,,
Benin,3.940126502,3.821628557,3.7784459,3.493623292,3.614174632,3.585220431,3.675529888,3.5916,3.507692337,3.523983955
Bhutan,,,,,,,4.398328,4.525427477,4.502127793,4.537958497
Bolivia,3.43311295,2.905543108,2.568557741,3.156242019,3.40294739,3.411326111,3.613444696,3.85210147,3.320341317,2.555827433
"Bosnia and Herzegovina",3.138544049,3.008951207,2.553122781,2.602537736,2.960322,3.08718995,3.190991,3.0852,2.979381561,3.098659822
Botswana,4.630504657,4.829547432,5.139811339,4.963251029,4.864670684,4.784739656,4.616696541,4.472910399,4.436460845,4.431895061
Brazil,3.771735498,3.816525512,3.62213362,3.548718561,3.7118527,3.687879702,3.747160739,3.606845974,3.002837881,2.806845863
Brunei,,4.536805,4.834618212,5.041450968,5.034712726,4.989741944,5.005098379,4.8465,4.688,4.529411793
Bulgaria,3.881387281,3.717135496,3.425345599,3.296754592,3.415750303,3.523319673,3.552247761,3.680682382,3.644911665,3.630398375
"Burkina Faso",3.889223058,3.930765797,3.845568169,3.48703105,3.774039815,4.122903072,3.590053882,3.426829626,,
Burundi,3.856596946,3.504518968,2.844242631,2.934544927,2.894689591,2.55642005,2.824186273,3.128194718,3.128194718,2.920633969
"Cape Verde",,,,4.581939,4.504540774,4.369609754,4.197153649,4.075621357,4.055621841,3.994523668
Cambodia,3.781873183,3.715407771,3.666567723,3.664116712,3.730549061,3.759468462,3.803332353,3.756012707,3.797525021,3.825493771
Cameroon,3.258754209,3.161166205,3.251849723,3.212147393,3.273528323,3.415090924,3.458394592,3.700416218,3.486940656,3.196409148
Canada,5.85815428,6.049195864,6.235168088,6.344268421,6.492241515,6.224995541,5.687336794,5.649971837,5.573552689,5.463483612
Chad,3.132722749,2.841991112,2.939970014,3.06898862,2.863419689,2.847600837,2.911577788,3.164213449,3.022130067,2.650395968
Chile,5.456582122,5.338853623,5.471716327,5.559092091,5.540119823,5.309372171,5.10441135,4.982130181,4.531757484,4.173960069
China,3.70715436,4.167850239,4.26069427,4.183579484,4.107244705,4.039720703,4.166557405,4.159169326,3.999584505,4.084925564
