Country,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,6.6,7,7.4,7.5667,7.7333,7.9,,,
Albania,12.6,13.3,14,15,15.8,16.3,16.1,15.9,15.8
Algeria,13.7,14.2,14.6,,,,,,
Angola,,7.5,7.2,,,,,,
"Antigua and Barbuda",13.2,13,12.6,13.4,,,,,
Argentina,17.8,18.1,18.4,18.3,18.3,18.5,18.6,18.9,
Armenia,13.2,13.4,13.4,13.4,13.4,13.5,13.4,,
Aruba,13.8,13.9,13.7,14.2,,,,,
Australia,,,,,,,23.7,23.3,
Austria,,,,,,16.1,16.2,16.4,
Azerbaijan,,,,,,,,13.2,13.5
Bahrain,,,14.3,14.3,14.6,14.7,15.8,16.2,16.1
Bangladesh,9,9.325,9.65,9.975,10.3,10.625,10.95,11.275,11.6
Barbados,17.3,16.8,16.7,,,,,,
Belarus,16.1,16.1,16.2,16.3,16.1,16,16,15.9,15.7
Belgium,20,20,20.1,20.2,20.4,20.7,20.8,20.6,
Belize,12.7,12.7,12.8,13.2,13,13,13,13.6,13.4
Benin,,,9.8,10.4,11,11.1,11.4,11.5,
Bermuda,,,13.3,12.9,12.8,12.3,12.3,,
Bhutan,11.1,11.6,12,12.4,12.3,,,,
Brazil,14.2,14.25,14.3,14.3,15.6,15.8,15.7,,
Brunei,14.4,14.3,14.6,15.2,15.3,15.2,14.9,14.9,14.8
Bulgaria,14.5,14.7,14.8,14.8,15.2,15.4,15.3,15,
"Burkina Faso",5.7,6.2,6.6,7,7.3,7.5,8,8.3,8.7
"Burma (Myanmar)",,,,,,,,,10.5
Burundi,,9.9,10.4,10.6,10.9,11.3,11.45,11.6,11.1
Cameroon,9.3,9.65,10,10.7,11,11.3,11.6,11.9,
Canada,15.7,15.5,15.7,16.2,16.3,16.4,16.5,16.6,
"Cape Verde",12.6,12.7,12.9,12.7,13,12.8,12.4,12.2,12.1
"Central African Republic",5.2,5.3667,5.5333,5.7,,,,,
Chad,5.1,5.2,5.8,6,6.2,6.4,,,
Chile,15,15.3,15.5,15.6,16.2,16.4,16.5,16.7,
China,12.7,12.9,13.1,13.3,13.7,,,,
Colombia,14.6,14.6,14.7,14.4,14.8,14.7,14.7,14.9,14.9
Comoros,,,,,11.1,11.1,,,
"Congo (Brazzaville)",,,,10.4,,,,,
"Congo (Kinshasa)",7.5,7.85,8.2,8.2,8.5,,,,
"Costa Rica",,,14.8,14.9,15.2,15.6,15.7,15.8,
Croatia,14.6,15.1,15.2,15.4,15.8,15.8,15.8,15.7,
Cuba,18.8,17.6,16.8,15.6,14.8,14.55,14.3,14.4,
Curacao,,,,,19,,,,
Cyprus,14.5,13.8,13.9,14,14.3,14.7,15,,
"Czech Republic",16.3,16.5,16.6,16.6,17.4,17.5,17.6,17.6,
Denmark,17.5,17.6,19.1,19.3,19.8,20,20.1,19.8,
Djibouti,4.8,5.15,5.5,,,,,,
"Dominican Republic",,,,13.6,13.65,13.7,14.5,14.5,
Ecuador,,,,15.6,15.7667,15.9333,16.1,,
Egypt,11.6,11.7,11.8,12.2,12.5,12.6,12.85,13.1,
"El Salvador",12.3,12.3,12.5,12.5,12.7,12.5,12.2,11.9,
Eritrea,4.8,4.8,4.9,5,5.1,5.2,4.9,,
Estonia,17.3,17.4,17.4,17.4,17.2,17,16.9,16.8,
Ethiopia,7.5,7.6,7.8,7.9,,,,,
Finland,17.4,17.5,17.7,17.7,20.1,20.1,20.1,20.1,
France,15.3,15.4,15.5,15.6,15.7,15.9,15.7,15.8,
Gambia,8.8,8.6,,,,,,,
Georgia,,,,,14.1,14.5,15,15.3,15.7
Germany,,,,,16.7,16.7,16.9,17,
Ghana,9.9,10.25,10.6,10.9,11.1,10.9,11.4,11.4,11.4
Greece,,16.1,16.2,16.5,16.6,17,17.35,17.7,
Grenada,16.2,16.3167,16.4333,16.55,16.6667,16.7833,16.9,17.4,17
Guatemala,,,,,10.4,10.5,10.6,,
Guinea,,,7.3,7.4667,7.6333,7.8,,,
Guyana,10.9,11.3,11.8,11.7,,,,,
Honduras,,11.1,11,10.9,10.7,10.4,10.7,,
Hungary,15.6,15.6,15.5,15.6,16,15.8,15.6,15.4,
Iceland,19.6,19.8,19.7,19.9,20.7,20.8,20.5,20.4,
India,10.2,10.5,11,11.45,11.9,12.2,12.3,12.9,
Indonesia,11.9,12.3,12.5,12.9,12.8,12.8,13,13.2,13.4
Iran,12.9,13,13.5,14.9,14.7,14.6,,,
Ireland,17.2,17.6,18,17.9,18.15,18.4,18.8,18.9,
Israel,16.1,16.25,16.4,16.4,16.5,16.5,16.5,16.5,
Italy,16.8,16.8,17.1,16.9,16.7,16.7,16.6,16.6,
"Ivory Coast",,,,,,7.7,8.1,8.7,
Japan,14.8,14.9,15,15.1,15.1,15.1,15.2,15.2,
Kazakhstan,,14.7,15,15.3,15.3,15.3,15.4,15.4,15.5
Kenya,10.2,,,,,,,,
Kuwait,,,,,14.3,,,,
Kyrgyzstan,12.9,12.7,12.6,13,13.4,13.5,13.6,13.7,13.6
Laos,9,9.3,9.7,10,10.4,10.7,10.9,10.9,10.8
Latvia,16.6,16.4,16.2,16,16.4,16.3,16.5,16.7,
Lebanon,13.1,13,13,12.4,12.1,11.4,,,
Lesotho,,,,11.6,11.2,11.1,11,,
Liechtenstein,13.5,13.4,13.7,13.8,13.65,13.5,13.4,13.4,
Lithuania,17.6,17.5,17.5,17.3,17.2,17,16.9,16.9,
Luxembourg,,14,14,14,14.0333,14.0667,14.1,14.3,
Macau,13.1,13.3,13.5,13.5,14,14.6,15.2,16.1,16.5
"Macedonia (F.Y.R.O.M.)",12.8,12.9,12.95,13,13,13.1,13.5,,
Madagascar,10,10,10,10.1,10.2,10.3,10.5,10.4,
Malawi,,10.2,10.4,,,,,,
Malaysia,13.1,13.3,13.2,13.4,13.7,13.9,14,14.1,13.8
Mali,6.4,6.6,6.8,6.7667,6.7333,6.7,6.7,,
Malta,,15.2,15.2,15.4,15.5,15.8,16.3,16.4,
Mauritania,7.5,7.6,7.6,8,8.4,8.55,8.7,8.4,8.5
Mauritius,14.3,14.4,14.7,15.3,15.2,15.6,15.5,15.5,15.5
Mexico,12.9,13,13.1,13.3,13.5,13.7,13.9,14.4,
Moldova,12.2,12.1,12.1,12.1,12.1,12.1,11.9,11.8,11.8
Mongolia,15,15.3,,,,,,,
Montenegro,15.2,15.4,15.3667,15.3333,15.3,15.2667,15.2333,15.2,15.3
Morocco,10.2,10.6,10.9,11.2,11.56,11.92,12.28,12.64,13
Mozambique,8.7,8.9,8.7,8.6,9.2,9.2,9.2,9.25,9.3
Nepal,10.9,11.9,12.4,12.5,12.6,12.6,12.6,12.6,12.7
Netherlands,16.8,17.1,18,17.9,18.0667,18.2333,18.4,18.3,
"New Zealand",21,20.5,20.2,20,19.8,19.6,19.7,19.7,
Niger,3.7,4.1,4.4,4.6,4.8333,5.0667,5.3,5.55,5.8
Nigeria,,7.9,8.2,,,,,,
"North Korea",,,,,,,10.4,,
Norway,18.1,18.3,18.3,18.2,18.4,18.3,18.5,18.7,
Oman,13.3,13.5,13.7,14.2,14.7,15,15.3,15.5,
Pakistan,6.8,6.8,6.8,7,7,7.4,7.4,7.8,7.7
Palau,,,,,17.8,,,,
Panama,13.2,13.3,13.2,13.2333,13.2667,13.3,13.3,,
Paraguay,12.7,12.6,,,,,,,
Peru,,,,,,,,14.8,
Philippines,11.6,11.88,12.16,12.44,12.72,13,,,
Poland,15.7,16.1,16.1,16.2,17.2,16.8,17,17.3,
Portugal,16.2,16.3,16.3,16.4,16.7,16.4,16.3,16.2,
"Puerto Rico",17,17.4,17,15.5,15.4,15.3,16.6,,
Qatar,13.6,13.7,13.9,13.5,13.3,13.7,14.2,14.1,14.1
Romania,16.1,16,15.5,14.8,14.8333,14.8667,14.9,14.6,
Russia,14.3,14.75,15.2,15,15.3,15.3,15.7,15.9,
Rwanda,11,11.2,11.4,11.6,11.4,11.4,10.9,11.2,11.2
"Saint Thomas and Principe",10.4,10.2,10.45,10.7,11.1,11.5,12.6,,
"San Marino",,16.5,15.8,15.6,,,,,
"Saudi Arabia",13.3,13.875,14.45,15.025,15.6,16,,,
Senegal,,7.8,8.7,8.9,9,9.3,9.25,9.2,9.4
Serbia,14,13.9,14.5,14.6,14.8,14.8,15,15.1,15.3
Seychelles,14,13.9,12.6,14.1,14.4,16.3,16.4,16.3,
Singapore,,,,,,,,16.6,
Slovakia,15.6,15.6,15.6,15.5,15.5,15.4,15.2,15,
Slovenia,17.8,17.9,18,17.7,18.4,18,18,18.2,
"South Africa",,,,13.1,13.4,13.7,13.85,14,
"South Korea",15.9,16,16,15.9,15.8,15.9,15.9,15.8,
Spain,16.9,17.3,17.6,17.8,17.9,18,18.1,18.2,
"Sri Lanka",,13.8,13.9,14.1,14.3,14.2333,14.1667,14.1,14.3
Sudan,6.9,6.9,6.6,6.9,7.2,7.3,7.4,,
Swaziland,,,10.7,10.75,10.8,,,,
Sweden,16.5,16.7,16.5,16.6,19.5,19.5,19.8,20,
Switzerland,15.3,15.5,15.6,15.7,15.9,16,16.1,16.1,
Syria,11.5,11.6,12.1,12.6,8.7,,,,
Tajikistan,10.3,10.2,10.3,10.4,10.5,,,,
Tanzania,,8.6,8.4333,8.2667,8.1,,,,
Thailand,13.7,13.7,14,13.8,13.7,16.2,16,15.8,
"Timor Leste",11.3,12,,,,,,,
Togo,,,,,,,,,11.4
Tunisia,14.9,15,15.1,15.24,15.38,15.52,15.66,15.8,
Turkey,12.4,13.2,13.7,13.9,15.9,16.5,16.8,17.2,
Turkmenistan,,,,,,10.5,,,
Ukraine,15.2,15.1,15,15.1,15.1,15.2,,,
"United Arab Emirates",,,,,,,,14.3,
"United Kingdom",16.6,16.8,16.2,16.1,18.2,18.4,17.9,19.8,
"United States",16.8,16.9,17,17,16.8,16.9,16.9,16.9,
Uzbekistan,11.3,11.3,11.3,11.4,11.5,11.5,11.5,11.7,11.8
"West Bank and Gaza",13.8,14,14,13.9,13.7,13.7,13.7,13.6,13.7
Yemen,,7.2,7.6,,,,,,
Zimbabwe,,,,10.2,10.1,,,,
