Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,,,,,,,,,31.87772926,32.5654,33.2531,33.9407,34.62837838,35.4351,36.24190065,37.7516,39.26138401,39.31009702,41.1972,43.08426073,43.523,43.96164219,44.8495,45.73732719,,
Belgium,,,,,,,,,,,,,29.87258141,30.13761468,31.13944879,31.42174432,30.3856642,30.90840558,32.27684347,32.48231313,33.52883675,33.4992224,35.8404846,36.46885004,,
"Czech Republic",,,,,,,,,,30.94725511,31.65394402,32.22503161,32.89171975,32.64974365,35.10020211,38.24486682,38.32380642,38.55989938,39.34273754,39.31774965,37.95561688,38.8920976,38.99551776,39.61966448,38.11447656,38.83897022
Denmark,,,,,,,,,,34.80124132,34.50980392,35.13160046,33.83579217,34.93423065,35.52042947,36.43685567,38.26934796,35.70340274,35.9643,36.22526636,33.69458128,36.75171737,43.83365201,45.34731324,48.41269841,
Finland,,,,,,,,,,,,,,,40.21779947,41.90679473,42.83710328,43.10465523,42.85211887,42.41582784,44.18760469,42.96782887,44.1958781,44.3649686,43.90809036,44.1898527
France,,,,,,,,,,,30.75193152,34.14740136,32.05251607,32.03426011,32.68905986,32.9279893,33.14107795,33.8582866,34.72171232,35.07383737,34.86443125,35.1629099,35.39395218,35.71619412,36.1841624,
Germany,,,,,,,,,,,,,,27.07408672,28.34805392,28.49792864,29.76581629,30.48623159,31.26951355,32.4486836,33.03291508,33.45929804,34.40406148,34.91679752,34.93517583,35.43080108
Greece,,,,,,,,,,37.54552076,38.0371,38.52859135,38.6895,38.85034688,39.8298,40.80932785,42.0239,43.2384,44.4529,45.6674,46.882,48.09648835,48.987,49.87743668,,
Hungary,31.07979734,31.58831909,30.03064351,31.76521364,34.94794024,38.28220859,30.6010929,33.67463026,37.12748344,33.55599214,37.42079761,35.61484919,38.16913688,39.90037788,38.57456511,38.16191856,38.07302558,38.78134994,38.22608696,40.03013561,40.74495771,41.12554113,41.51239958,41.64644714,42.95988493,42.89348172
Iceland,,,,,,,,,,37.27161998,33.8276,30.38348083,36.2289,42.07436399,42.7721,43.46978558,44.11067194,44.73180077,44.73180077,46.82926829,44.5609,42.29249012,39.301,36.30952381,38.1961,40.08264463
Ireland,,,,,,,,,,,,,31.51618399,30.63063063,30.95238095,35.44857768,37.30769231,36.99115044,38.84156729,35.09369676,33.27841845,35.72621035,36.20071685,37.79069767,38.41911765,
Italy,,,,,,,,,36.05810463,37.64997248,40.23336214,38.4013312,38.48066642,38.65087124,40.43329405,39.85545754,44.0507531,43.77375985,44.18935492,43.76536367,44.92747135,46.06788952,45.91207096,46.49723037,46.88846507,46.96601514
Japan,,,,,,,,,,,,11.30251167,11.47786531,11.6714459,12.23144997,12.54260395,13.20999228,13.83570105,14.09759435,14.64791082,15.5548707,15.35164898,15.8861868,16.22772479,16.8520856,17.75057831
