Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,5.548550129,5.5187,5.4888,5.458859921,6.517310143,6.6089,6.7004,6.792,6.8836,6.975140095,8.5291,10.083,11.637,13.1909,14.7449,16.2988,17.8528,19.4067,20.9607,22.5146,24.06855011,23.1376,22.2067,21.2758,20.3449,19.414,18.4831,17.5522,16.6213,15.6904,14.7595,13.8286,12.8977,11.96681976,11.95956993,12.6736,13.3876,14.1016,14.8156,15.52962017,18.0036,20.47759056,17.2268,13.9761,10.72531986,,
Albania,,14.57882977,15.3111,16.0433,16.7755,17.5077,18.24,18.9722,19.70442963,19.7848,19.8652,19.94560051,21.2631,22.58065033,22.64706039,22.17044067,23.63759995,24.78462982,25.23077011,25.97950935,27.1924,28.40531921,27.09140968,29.58333015,27.05750084,26.9946804,27.81884956,29.6249,31.43100929,36.56526947,38.19232178,39.3141,40.4358,41.5576,42.6794,43.8011,44.9229,46.0447,47.1664,48.2882,49.4099,50.53170013,50.7934,51.05514908,52.35509872,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.61873055,31.61424065,31.6175499,31.61665916,33.13946915,34.24597931,35.15134048,36.4629,37.77442932,38.45959854,39.19792175,40.7069397,41.84928131,41.75067139,42.81079102,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44443893,50,47.61904907,43.5626,39.50616837,41.0175,42.52873993,61.06195068,51.9606,42.8593,33.75796127,44.85980988,45.09804153,62.72726822,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.35176086,20.41312027,20.44,20.46693039,22.418,24.369,26.32,28.271,30.2221,32.1731,34.1241,36.0752,38.02619934,34.683,31.3399,27.9967,24.65357971,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.61904907,61.84970856,63.00577927,54.33789825,,,,
Argentina,30.64911079,34.53710175,35.30062866,34.92198181,37.44520187,39.07839966,40.00563812,38.28470993,40.06418991,40.25043869,43.31164932,43.98051834,43.62562943,45.86996078,46.26343155,46.24393845,47.29727936,50.4744606,50.683,50.8915,51.1,51.3085,51.517,51.7255,51.934,52.1425,52.351,52.5595,52.76797104,53.97853851,54.40423965,49.10256958,50.12630081,50.2444,50.36257935,51.7579,53.15328979,51.6237,50.0941,48.56447983,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.10406113,54.7879982,53.5440712,54.12751007,54.04956818,53.77780151,54.35179901,54.7179184,55.17219925,55.911129,55.31901932,55.29389954,56.47225952,57.4128685,58.46625137,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.13724899,44.5121994,41.76470947,46.5408783,45.56212997,46.55171967,44.73683929,45.72650146,50,53.99060822,52.38095093,53.57143021,53.94736862,53.20755005,53.50876999,54.31034088,61.62791061,
Australia,,,,,,,,,,,,,,,,22.56940079,24.4836,26.3979,28.31212044,29.33844948,33.07575989,33.28102112,31.43357086,32.0325,32.6315,33.2305,33.8295,34.4284,35.0274,35.6264,36.2254,36.8244,37.4233,38.0223,38.6213,39.2203,39.8192,40.4182,41.0172,41.6162,42.2151,42.8141,43.4131,44.01205826,,,
Austria,,11.91977024,11.47799015,12.21788979,11.61622047,13.43568039,13.6421,13.8485,14.0549,14.2613,14.4677,14.67413998,15.5913,16.5084,17.4255,18.3426609,19.0491,19.7556,20.462,21.1685,21.875,22.5814,23.2879,23.9943,24.70079041,25.1576004,26.11141014,26.97677994,27.3873,27.7979,28.2084,28.6189,29.02946091,29.36790085,31.1058,32.8438,34.58169937,32.05638885,32.45119858,33.06034088,37.66479111,38.92901993,39.80289841,42.10128021,42.55495834,42.68943024,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.60453033,50.09090042,53.86272812,51.92753983,52.37929153,52.80429077,53.74694061,54.02978897,55.88703918,56.32638168,
Bahamas,,,,,,,,,,,,,,,,,,,47.79116058,48.9996,50.208,51.4164,52.6248,53.8332,55.0416,56.25,,,,,,,,,,,,,,,,,,,,,
Bahrain,,37.5,36.36363983,37.83784103,34.8837204,16.41790962,13.92405033,17.82177925,16.4145,15.0073,13.60000038,13.20755005,20.43478012,23.2798,26.1249,28.96995926,36.63594055,32.74161911,27.93833923,28.3802,28.8221,29.26391029,27.93387985,28.35051918,28.85495949,29.668,30.4811,31.2942,32.1073,32.9204,33.7335,34.5465,35.3596,36.17269897,36.17787933,36.0814,35.985,35.8886,35.7922,35.6957,35.5993,35.5029,35.40644073,37.46673965,36.39115906,32.85713959,
Bangladesh,8.068320274,8.4146,8.7608,9.1071,9.4534,9.7996,10.14589024,9.984740257,10.04815006,10.54424953,10.5004797,12.28180027,10.81009007,11.93054008,12.5419302,18.16889954,18.34577942,16.9457,15.5457,14.1456,12.74557972,12.989,13.2325,13.476,13.7194,13.9629,14.2064,14.4498,14.6933,14.93675041,15.41075039,15.73044968,15.80970955,15.58460999,15.39696026,15.23797035,16.10095978,18.08422089,19.89312935,20.36244965,18.7087,17.0550499,17.04066086,17.317,17.59342957,,
Barbados,,,,,,,,,,,,28.3911705,28.0455,27.6999,27.35425949,28.2951,29.236,30.1769,31.1177,32.0586,32.9995,33.9403,34.8812,35.8221,36.763,37.7038,38.6447,39.5856,40.5264,41.46730042,46.45550919,50.84458923,50.4918,50.139,49.7862,49.4334,49.0805,48.72774124,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.86381149,52.51179886,53.54088974,54.20505905,54.0856514,54.93561935,55.67541885,55.98833084,55.90798187,59.25177002,58.44934082,58.7227211,58.92319107,60.53535843,58.12979126,60.94240189,61.19284821,
Belgium,,,,,,,,,,,,,,,,,,30.58810997,30.9762,31.3642292,31.73991013,32.50053024,33.7421,34.9835701,35.82487869,36.0847,36.3444,36.6042,36.864,37.1238,37.38354874,37.98880005,38.79336166,39.26036835,39.89532089,40.65724945,41.37414932,42.13628006,42.47718048,42.94258881,45.1531601,45.57535934,45.96485901,46.87739944,48.16796112,,
Belize,,53.33332825,55,54.7727,54.5454483,65.21739197,64.6719,64.1264,63.581,63.0355,62.49,61.9445,61.399,60.8536,60.3081,59.7626,59.2171,58.6716,58.1262,57.5807,57.0352,56.4897,55.9442,55.3988,54.8533,54.3078,53.7623,53.2168,52.6713,52.1259,51.5804,51.0349,50.4894,49.9439,49.3985,48.853,48.3075,47.762,47.2165,46.6711,46.1256,45.58010864,50.23809814,49.28229904,50.58824158,50,
Benin,,12.1212101,13.46154022,10,9.243700027,9.5319,9.82,10.1082,10.3964,10.6845,10.9727,11.2609,11.5491,11.8372,12.1254,12.4136,12.7017,12.9899,13.2781,13.5662,13.8544,14.1426,14.43074989,9.865469933,12.3302002,11.6488,10.9674,10.2859,9.6045,8.923080444,8.912190437,8.900520325,9.0389,9.1772,9.3156,9.4539,9.5923,9.7306,9.869000435,7.582709789,7.826089859,8.332030296,,,,,
Bermuda,,,,,,,,,,,,32.83581924,33.8576,34.8793,35.9011,36.9229,37.9446,38.9664,39.9881,41.0099,42.0317,43.0534,44.0752,45.0969,46.1187,47.1405,48.1622,49.184,50.2057,51.2275,52.2493,53.27103043,54.5454483,55.6873,56.8292,57.9710083,56.2582,54.5454483,52.5739,50.60240936,57.83132935,54.92958069,54.09835815,54.6354,55.17240906,59.61537933,
Bhutan,,,,,,,,,,41.66667175,27.02703094,27.0031,26.9791,26.9551,26.9311,26.9071,26.8832,26.8592,26.8352,26.8112,26.7872,26.7633,26.7393,26.7153,26.6913,26.6673,26.6434,26.6194,26.5954,26.5714,26.5474,26.5235,26.4995,26.4755,26.4515,26.4275,26.4036,26.3796,26.35560989,24.5275,22.69939041,24.47257042,27.43454933,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.60695076,,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.26119995,40.25748825,38.3197403,39.80099869,41.56547928,41.86352158,43.11985016,43.42969894,
Botswana,,,14.70588017,20,13.33333015,21.42856979,17.74193954,18.2405,18.739,19.2375,19.736,20.2346,20.7331,21.2316,21.7301,22.2287,22.7272,23.2257,23.7242,24.2228,24.7213,25.2198,25.7183,26.2168,26.7154,27.2139,27.71241951,28.1787,28.6449,29.1111,29.5773,30.0436,30.5098,30.976,31.4423,31.9085,32.3747,32.841,33.3072,33.7734,34.2397,34.7059,35.1721,35.6383,36.1046,36.5708,37.03704071
Brazil,20.70842934,21.93831062,22.67065048,23.3885498,25.0562191,25.9041,26.7521,27.6,28.4479,29.29582024,30.2747097,34.5641,38.8535,43.14286041,41.6751,40.2073,38.7396,37.2718,35.80405045,36.36442184,40.64310837,37.55136108,37.30868912,38.40298843,37.82035828,38.8675,39.9146,40.9618,42.00894165,40.76601028,40.83594131,42.1506691,52.76832962,46.47296906,43.84069061,44.32075882,44.0274,43.73405075,43.73590851,44.83343887,44.87902832,45.05509186,45.17633057,45.110569,45.41167831,,
"British Virgin Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.35065079,50.9957,52.6407,54.28570938,53.1044,51.92308044,50.3004,48.6777,47.0549,45.4322,43.80952072,45.7033,47.5972,49.491,51.3848,53.2786,55.17240906,
Brunei,,,,,,,,27.08333015,27.2672,27.45097923,27.2289,27.0067,26.7846,26.5625,25.26316071,20.5786,15.89404011,14.36781979,14.8556,15.3434,15.8312,16.3189,16.80672073,17.42424011,16.37010956,19.2312,22.0923,24.9535,27.81456947,32.12850952,33.74740982,32.94573975,33.81443024,35.36584854,36.36363983,38.81356049,39.34426117,42.68104935,42.15827179,42.31975174,45.2312088,44.55733109,46.12129974,46.62668991,47.3895607,46.92982101,
Bulgaria,,26.11978912,27.34041023,29.14377022,29.28520012,31.26329994,32.19132996,31.04561043,34.43405914,35.51161957,36.11912155,38.80099869,34.42127991,37.36557007,36.54647064,35.9967804,36.66403961,35.35319138,37.41419983,37.83374023,37.85659027,39.52584076,39.20848083,38.49198914,38.06034088,40.83792877,41.22893906,40.92689133,40.7912,40.6556,40.51990128,42.09130096,44.83686829,44.13211823,45.16807175,44.98152161,45.84416962,45.4422493,47.0907402,47.33787155,48.61663818,47.51065063,47.44935989,47.82572174,48.18790054,,
"Burkina Faso",,,33.33332825,26.6667,20,18.62745094,19.5868,20.5461,21.50538063,18.10345078,17.0378,15.9721,14.9065,13.84082985,12.6761,11.5114,10.3467,9.182,8.0173,6.8526,5.6879,4.5232,3.3585,2.193779945,2.5066,2.8194,3.1322,3.445,3.7579,4.0707,4.3835,4.6963,5.0091,5.3219,5.6348,5.947579861,7.2421,8.536589622,8.151450157,7.79324007,8.515060425,8.41121006,8.744210243,8.346540451,10.3152,12.2839,14.25259018
Burundi,,6.862750053,7.0634,7.264,7.4646,7.6652,7.8659,8.0665,8.2671,8.467740059,11.25541019,10.4859,9.7163,8.9468,8.1772,7.4077,6.638120174,6.9619,7.2856,7.6094,7.9331,8.256879807,11.13173008,10.97122002,10.7832,10.5953,10.4073,10.2193,10.0314,9.8434,9.6554,9.467459679,11.9233,14.37907982,14.49925041,14.46242046,13.9803,13.4981,13.0159,12.5337,12.05156994,12.25948048,12.25948048,12.29160023,11.42856979,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.86206818,45.88235092,41.44329834,42.98892975,38.81356049,42.80302811,40.38031006,42.11663055,38.76092148,37.23403931,37.79698181,39.50529861,40.26353836,
Cambodia,,,,8.591070175,9.3664,10.1417,10.917,11.6923,12.4676,13.2429,14.0182,14.7935,15.5688,16.3441,17.1194,17.8947,18.67,19.4453,20.2206,20.9959,21.7712,22.5465,23.3218,24.0971,24.87244987,27.42346954,22.1038,16.78404045,17.6791,18.57411003,18.56970978,17.79660988,17.87393951,16.7456,15.6171999,15.6124897,11.40754032,11.5242,11.641,11.7577,11.8744,11.99108028,12.9089,13.8267,14.7445,15.66226006,
Cameroon,,9.545450211,9.352519989,13.41462994,13.447,13.4793,13.5116,13.544,13.5763,13.6086,13.6409,13.6733,13.7056,13.7379,13.7703,13.8026,13.8349,13.8673,13.8996,13.9319,13.9643,13.9966,14.0289,14.0612,14.0936,14.1259,14.1582,14.1906,14.2229,14.2552,14.2876,14.31989002,14.8265,15.3332,15.8398,16.3465,16.8532,17.3598,17.8664608,18.4374,19.00826073,19.3755703,20.91308022,20.92378044,20.08968925,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,33.7389183,33.8096199,33.77473831,35.6191,37.4634,39.3077,41.15200043,41.15166092,,,,,,,,,,,,,,,,
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.10525894,45.4545517,33.33332825,31.5646,29.7959,28.0272,26.2585,24.4897995,44,58.82352829,,,,,,,,
"Central African Republic",,,,,,,,,,,10.75269032,15.31532001,12.13591957,13.42105007,15.95744991,11.8642,7.770959854,9.8439,11.9167,13.98964024,13.0907,12.1917,11.2927,10.3938,9.4948,8.5959,7.6969,6.7979,5.899,5,9.230770111,10.6843,12.1378,13.5913,15.0448,16.4984,17.9519,19.4054,20.85890007,17.0309,13.203,9.375,,,,,
