Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,2211,2855,3023,2142,3089,4229,4375,4341,5218,4659,3889,3740,4813,3500,4759,4141,3555,3929,4167,4822,2740,2249,2456,3338,2400,2597,3250,3333,2127,3321,3667,3667,3667,3667,3667,3667,3667,3667,3667,3700,3700,3700,3630,3624,3630,3305,3305,3300,4287,3300,3300,3630,3834
Albania,2269,2373,2832,2817,3598,3612,3217,1899,2275,2273,2066,2500,2870,2876,2918,2979,3273,3442,3810,2596,3349,3518,2955,4063,5867,5633,5536,3167,4833,3333,1500,2500,3000,3100,3000,3000,3125,2955,2932,2949,3369,2381,3000,2972,3046,2870,2632,2568,2973,3108,3108,3108,3108
Algeria,1579,1700,1848,2215,2554,1472,1717,1897,1923,1122,1585,2617,3659,2351,2907,4447,1692,2200,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2121,1659,1984,1910,1738,1288,1583,1914,1601,1510,1392,1561,1322,1149,1413,2785,1552,1357,958,862,1085,1170,1050,1050
Angola,7170,8918,7832,8185,8368,8593,7678,8581,7463,7144,6707,8593,6367,7101,5870,4756,4342,4474,3662,6667,4375,5789,4706,3822,5128,5128,5128,5128,5128,5100,5024,4706,4706,4308,4257,4332,4400,4454,4938,5120,7217,6926,6910,6783,6697,6565,6430,6404,6456,6141,5157,5281,5276
"Antigua and Barbuda",2540,2267,1573,1800,1250,1266,1050,1309,1571,1625,1628,1607,1918,1842,2770,1981,2107,2238,1515,838,455,240,625,667,720,611,611,588,533,493,492,507,433,299,455,382,327,382,364,400,443,431,429,429,429,429,429,429,429,429,429,536,531
Argentina,2499,2060,2649,2018,2625,2659,2672,2608,2835,3263,2386,2280,2785,2758,3460,3464,3165,3681,2640,2615,3019,3825,3310,3856,3862,3583,3709,5740,3473,5572,6021,4801,5033,4784,5410,4477,3401,3619,3087,4084,4342,3859,4563,4454,4314,4810,4368,5521,4716,5656,5478,4471,5595
Australia,2176,2750,1559,2028,5651,7922,6688,9338,9282,7754,4582,9925,6514,6811,8545,8356,7932,10625,10663,11093,11830,13005,10446,10284,13583,15102,14205,10998,15095,12731,16022,17772,14311,12500,15244,13860,15403,15192,12663,15949,15532,17196,17243,17622,20103,17794,20989,21180,20061,18569,15735,20530,22905
Austria,7755,7821,10560.3,13299.6,16038.9,18778.2,21517.5,24256.8,26996.1,29735.4,32474.7,35214,37953.3,40692.6,43431.9,46171.2,48910.5,51649.8,54389.1,57128.4,59867.7,62607,65346.3,68085.6,70824.9,73564.2,76303.5,79042.8,81782.1,84521.4,87260.7,90000,74962,72417,14063,7678,7857,8036,8215,8393,8571,8750,51780,51820,49825,54214,60095,63156,62109,61121,61209,65229,34912
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4764,4241,4346,3921,3460,1983,2541,3590,3721,3325,4474,5727,6691,6766,4976,4683,3793,5086,4176,5137,6435,6376
Bangladesh,15334,16478,15519,14249,14461,14045,12778,11584,13492,13262,10990,13204,12405,12215,15130,13248,13089,13868,14059,13898,14436,14947,15839,13437,14629,14660,15646,16690,14868,14997,16130,15953,16294,16353,15197,16465,17428,16677,17094,17889,18363,17931,18991,18061,20230,20884,18761,19732,21735,21645,21139,18848,20104
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4856,5896,5867,6082,6215,3615,4754,2736,4537,3938,3838,5736,7338,6991,4435,5930,7791,7238,7735,7525,9025,8419
Belgium,12042,11574,11665,11845,11561,10999,12279,12063,11703,9450,12225,12420,12582,12424,10464,9418,11718,11772,12383,10854,11952,12169,10584,12042,11916,11232,11826,11844,9414,9990,10800,10963,10638,10386,11661,12139,12767,11170,12580,,,,,,,,,,,,,,
Benin,679,602,616,915,919,997,1346,1948,2509,3246,3222,4044,3014,2311,2773,2869,2699,2448,2930,2446,2750,4473,4285,5842,4066,4673,3922,4511,4664,4822,4943,5396,7595,5524,5267,4626,4131,3977,3311,4760,3952,4209,3947,3896,3935,3842,3241,3575,3728,3501,4470,2506,3083
Bhutan,,,,,,,33333,40000,40000,33333,33333,33333,33333,33333,33333,33333,35000,35000,35000,35000,35000,35000,35000,35000,35000,33333,34667,33333,35000,32990,39509,39430,39351,39271,39192,39113,39033,38954,38875,38795,38716,38637,38653,38745,38755,38889,39127,39293,39443,39578,39695,40000,39744
Bolivia,4950,4950,6600,4125,4950,5868,5401,6091,6161,6159,5904,3261,5513,4855,4113,4252,3989,5477,4592,2829,4540,4699,3853,4092,4600,3389,2787,3688,4960,5616,5188,3756,5032,5802,5632,5288,4249,3676,3200,1611,3200,2257,2426,3200,2317,2306,2230,2502,2380,2397,2328,2254,2302
Botswana,10000,8000,8000,15594,18182,20326,11496,9112,10967,5625,9167,9000,8636,8636,8636,8636,8636,8636,8636,8636,8636,8636,8636,8636,8636,8636,8636,8636,8636,5957,6561,4427,3825,4494,3839,4214,7700,7889,7684,8182,13518,9460,10047,11423,13066,11632,9980,11491,11250,9302,6818,6667,6383
Brazil,3046,3290,3011,2965,2837,3264,2086,2254,2241,2085,2337,2382,2583,2750,2451,2009,2275,2010,2285,2314,2493,2528,2567,2619,3448,3237,3826,4121,3980,4190,4703,4329,4807,4960,5172,6000,6516,6112,8919,9615,10677,10145,10796,11244,10199,11153,12167,12341,12338,12076,12181,11228,12320
Bulgaria,2636,3416,3174,4143,3556,5556,5055,3036,3948,4093,4308,4951,4160,3931,5185,2621,3725,3894,4652,3745,4316,4739,4848,4497,3385,4595,4555,3858,4074,3975,4177,2134,2307,2464,3969,2988,2101,2348,3644,2323,2233,3770,5201,4461,5006,3458,4176,5118,6897,7430,6281,4963,6449
"Burkina Faso",349,615,597,568,507,1093,953,1602,1530,1023,1396,1706,1413,1828,2672,2511,1984,3116,3501,3111,3315,4004,3917,4160,4793,5201,3436,3376,3784,4539,2854,3898,4836,3350,4401,4358,5204,4072,5568,5165,3299,3882,3673,3452,4027,4971,3886,4969,4504,4105,3797,3878,4448
Burundi,2636,2385,1804,2849,2250,2073,2966,3032,2977,3507,3884,2277,2065,2337,2054,1689,2304,2696,2628,3105,3490,3382,3500,3575,3916,4676,4543,3929,4013,3317,4041,3672,4237,4649,3130,2595,2812,4004,3696,3057,2680,3559,3000,2667,2778,2500,2364,2652,2627,2440,3347,2980,3268
Cambodia,10293,20635,21344,14177,13636,18070,18939,14961,7611,13894,15323,17264,20972,20088,21269,13100,8355,9029,13444,34000,23333,16071,11905,14520,18448,16000,16968,15139,18349,14400,21250,17661,16754,21500,30960,16931,22069,29760,63215,72035,78093,59663,60933,68272,61264,62496,59153,65042,76143,49337,89213,86203,87316
Cameroon,1396,2216,2271,2027,2300,2116,1856,2487,3139,2744,1595,1802,1700,2340,2610,3040,3177,4795,5476,4914,4849,5237,5192,5184,5083,4924,4739,5536,4823,4963,5242,5337,5028,4433,4164,4715,4243,4353,4411,4281,4865,4266,4254,4634,4483,4433,5207,4184,3540,4276,4333,4307,3715
Canada,,,,12308,12191.5,12075,12148.5,12222,12200.5,12179,12093,12045,12049,12020,12036,12021,12045,12031,12045,12031,12006,12090,12018,12027,12021,12062,12053,12018,12114,12115,12097,12016,12036,12277,12011,12033,11992,12008,12062,12043,12010,12007,12014,12030,12017,12013,12025,11957,11875,11875,11875,11999,12292
"Central African Republic",784,834,772,869,790,1179,1438,1684,1656,1592,1308,1429,1240,1311,938,1250,856,1042,1179,1080,1323,1913,1685,2148,1562,1134,1329,1575,2722,2984,2109,2488,2745,2788,3291,3269,3053,2918,1639,2199,2670,3314,2814,2727,2620,2479,1229,1544,2204,2048,1587,1972,2052
Chad,552,989,1328,1235,1055,1508,1268,1868,1475,1172,1359,1410,1597,1953,1946,1714,1612,1876,1840,1874,1957,2773,3408,2503,2613,2752,3242,2636,3135,2916,2395,2357,2343,3008,2949,3175,2672,2144,2332,2071,2206,2536,1922,2722,2355,2489,2300,2300,4125,1000,1414,2203,1714
Chile,9107,9286,9286,9286,9286,9286,9464,9554,9643,10648,11600,11400,11522,12000,10357,11525,12203,10748,10748,10563,10570,10633,10692,10719,10719,10750,10741,10802,10802,10772,10416,10434,10453,10471,10490,10509,10528,10541,10552,10551,10688,10728,10837,10867,10882,10602,10490,10498,10458,10417,10378,10133,10048
China,2531,2560,3101,3738,4542,5047,4975,5110,4699,4907,4656,4447,5623,5399,5368,4806,4941,5308,5787,6344,6780,6808,8242,9780,10173,9266,9909,8663,8526,9238,9403,7515,8742,8672,9823,9885,11147,10708,10996,11556,11699,13012,10486,12323,12643,12513,13515,13599,13260,12644,13369,14827,14723
Taiwan,13766,13518,14013,16035,14475,14624,15530,14174,14704,14309,12759,13640,12406,15323,11609,12702,12034,13798,13587,12972,11850,11656,14396,13020,9874,12115,14566,13459,7603,8932,8289,7167,6769,7521,7143,8733,7917,8468,8616,8949,8818,9046,9041,10922,8375,8486,8548,9426,8918,9005,10856,14115,12709
Colombia,5719,5454,5823,5121,5138,5284,6144,6562,5795,5297,5724,6492,5342,6377,5951,5871,4988,4142,6110,6311,6214,6554,7138,7278,6636,6912,7122,5805,6544,6524,6897,5817,7033,8656,8260,8252,8699,8983,7938,8436,7907,8307,8924,9222,8777,7892,8611,7257,8377,8621,8513,8337,8384
Comoros,6920,7347,7356,6443,6467,4380,5260,3944,2725,2786,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Costa Rica",6638,6828,6881,6565,6276,6394,6303,6434,7015,8636,8571,9306,8010,7941,8512,6946,5532,3217,3645,6038,6960,5486,6587,7169,8708,7694,6991,10222,6739,6601,9373,8965,8666,9086,9228,9291,9345,9477,9511,9539,9811,9531,9612,9723,7889,7819,6945,6170,8006,7784,7666,7574,9947
"Ivory Coast",1398,1467,1540,1611,1842,2626,3080,3249,3439,3642,3249,3841,3781,3977,4073,4008,4745,4729,4355,4798,4408,4530,5121,4283,6063,5382,5842,6309,6014,5338,5829,4559,5187,5271,4547,3907,4624,6012,6080,6078,4931,5701,6376,3061,4870,3893,2053,3898,3786,4397,3477,4978,2967
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10746,9280,10313,6667,7000,6000,5000,5264.4,5528.8,5793.2,6057.6,6322,6400,6478,6556,6634,6712,6790,6869,6947,7025,7103
Cuba,5773,4379,5133,8616,8142,8797,9040,10310,10401,10629,10743,10222,10687,10499,10613,10640,10372,10492,10289,10457,10088,10984,10976,10943,10932,11165,11605,11875,11571,10109,8114,8516,8734,8910,9446,8934,8808,8706,9324,9447,9533,9627,9528,9942,10046,10360,10572,10953,11303,11741,12043,12929,13543
Cyprus,1163,1196,1188,1464,1956,1860,2629,2821,3937,2537,2120,1018,2308,3333.6667,4359.3333,5385,5385,5000,4000,3846,3333,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33021,24532,32279,26770,29210,23609,23329,17798,25369,27383,21793,33180,29942,30165,26534,33272,30131,25385,18629,18451,45000
Czechoslovakia,5433,5071,5825,5799,6119,6222,6479,6102,6998,5854,7426,8298,7784,7077,7419,5435,6934,8817,6278,7820,5642,7455,7964,9445,8999,8897,8528,7764,9661,8834,4714,7422,,,,,,,,,,,,,,,,,,,,,
"North Korea",2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2304,2304,2304,2304,2304,2304,2304,2304,2304,2391,2681,2800,3120,3462,3929,4655,4968,5323,5548,5781,5735,6234,6022,6484,6000,6197,5854,6347,5890,6531,6801,6613,6631,6579,6488,6533,6938,6882,6295,6272,6308,6949,6923
"Congo (Kinshasa)",2942,1690,1840,2186,1937,1961,1873,1792,1956,1572,1354,1528,1458,1302,1360,1231,1183,1124,679,1139,881,1411,1546,1520,1404,1499,1541,1690,1670,1737,1780,1831,1865,1895,1950,1946,1961,1961,1950,1851,1760,1724,1675,1863,1851,1872,1899,1911,2083,2048,2012,1974,1922
Denmark,10000,10000,10000,10000,10000,10000,10000,10000,10000,7197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominican Republic",2933,2932,3605,3190,3205,3605,3341,4744,3568,3969,3769,3676,3497,3384,3165,2767,3342,3424,3326,3148,3219,3087,3201,3194,3178,3139,3148,3011,3042,3107,3181,3217,3285,3394,4039,3964,4067,3936,3938,3849,4009,4167,4074,3182,2800,2353,2192,1923,1940,2052,1998,1940,2019
Ecuador,1824,1726,1692,2300,2492,3557,3417,3550,4607,6055,7997,4993,4581,4595,5217,5706,7328,6643,6581,8755,7391,7271,8401,8082,6805,6195,6049,6980,5847,6423,6165,6318,7521,7682,7831,9081,10061,12649,11318,12890,11814,12630,13233,12949,12103,11447,12960,12524,12051,11850,11644,11433,11301
Egypt,4128,6645,6536,7510,6582,5905,6467,7184,8005,7632,8164,8026,7431,7367,6976,7759,6890,8926,9714,10159,10135,10315,9574,9691,9928,9541,8987,7750,7177,7389,8444,10462,11149,8482,8189,8983,9513,7084,8691,10277,10755,9791,8885,9760,7483,9421,9242,8194,8142,8940,8374,7933,7989
"El Salvador",7308,7636,8164,6651,7477,6778,8200,8825,9003,8303,9085,9617,8306,8087,8630,7976,8594,7845,6379,7483,7606,7556,8063,7945,7921,6618,7968,7491,7680,7258,8180,9916,9580,9843,9604,11036,11962,9828,6993,7225,7491,7621,7497,7679,5890,6845,6803,6450,6193,6068,5927,5665,5670
"Equatorial Guinea",4000,4000,5000,5000,4260,2570,1180,3000,4000,4000,4000,4091,4091,4182,4182,3917,3917,3917,4000,3429,3571,3125,3125,3000,3000,3000,3000,3000,2833,2709,2398,2361,2323,2285,2389,2462,2778,2382,2312,2242,2172,2103,2035,1967,1899,1831,1764,1698,1632,1568,1278,1463,1316
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747,5000,7333,8700,14317,1981,1548,5130,12154,10396,9346,4587,8308,12270,4831,6968,7976,7774,7840,7906,,
