Country,2011,2012,2013,2014,2015,2016,2017
Afghanistan,2.616230011,3.015,3.4137,3.812425613,4.9285,6.0446,7.160684586
Albania,22.67261124,26.3132,29.9537,33.59423447,35.0971,36.6001,38.10295868
Algeria,20.40729713,26.9619,33.5164,40.07096481,36.4702,32.8695,29.26873016
Angola,38.92834473,33.3961,27.8639,22.33164597,,,
Argentina,31.81856346,38.1632,44.5078,50.85235977,50.8207,50.789,50.75725174
Armenia,18.14856148,17.014,15.8794,14.74475002,23.4653,32.1859,40.90643692
Australia,98.59228516,98.7403,98.8882,99.03623199,99.0892,99.1421,99.19509125
Austria,96.56330872,96.8331,97.1029,97.37266541,97.707,98.0414,98.37577057
Azerbaijan,14.25925064,18.1385,22.0177,25.89698792,26.5045,27.1121,27.71962547
Bahrain,48.77767181,54.7654,60.7532,66.74097443,69.6296,72.5182,75.40673828
Bangladesh,26.01169586,26.1589,26.3061,26.45328712,29.581,32.7087,35.83634567
Belarus,58.07223511,62.7015,67.3308,71.96009064,75.0861,78.2121,81.33817291
Belgium,97.18457031,97.9584,98.7323,99.50619507,99.2766,99.0471,98.81755066
Belize,,,,52.28493881,,,
Benin,9.807353973,11.0705,12.3337,13.5968771,18.5932,23.5896,28.58588791
Bhutan,,,,27.68187904,,,
Bolivia,25.1057682,29.4169,33.728,38.03910065,43.3103,48.5816,53.85283279
"Bosnia and Herzegovina",47.72136307,47.5002,47.279,47.05781555,49.6191,52.1805,54.7417984
Botswana,28.3603344,35.1526,41.9449,48.73712158,48.0876,47.4381,46.788517
Brazil,51.01784515,55.603,60.1882,64.77331543,65.6871,66.6009,67.51464844
Bulgaria,55.45131683,58.0208,60.5902,63.15970993,66.6521,70.1445,73.63685608
"Burkina Faso",10.81371021,11.4255,12.0372,12.64900875,19.9323,27.2156,34.4989357
"Burma (Myanmar)",,,,17.40021515,20.2597,23.1192,25.97871208
Burundi,5.928002834,6.1941,6.4602,6.726228237,,,
Cambodia,3.712341309,9.3074,14.9025,20.49763298,20.8406,21.1835,21.52639389
Cameroon,10.88144398,10.647,10.4126,10.17819881,16.7956,23.413,30.0303688
Canada,97.23316193,97.8876,98.542,99.1964798,99.4153,99.634,99.85279846
"Central African Republic",3.411751986,4.4627,5.5137,6.5647,7.6157,8.6666,9.717617035
Chad,6.769446373,7.1219,7.4743,7.826761246,10.1679,12.5091,14.85025883
Chile,40.9744339,47.0378,53.1011,59.1644516,63.2009,67.2373,71.27378845
China,60.00867462,65.4224,70.836,76.24973297,76.2881,76.3264,76.36473083
Colombia,25.35456085,28.2209,31.0873,33.95365906,36.7939,39.6342,42.47443008
Comoros,17.89295769,,,,,,
"Congo (Brazzaville)",7.5586586,10.0267,12.4947,14.96268177,16.973,18.9833,20.9935627
"Congo (Kinshasa)",2.751881838,6.6088,10.4658,14.32278347,17.6215,20.9201,24.21882248
"Costa Rica",40.66184616,47.1878,53.7138,60.23972702,60.4528,60.666,60.87906265
Croatia,87.18468475,87.3539,87.5232,87.69241333,86.0273,84.3621,82.69694519
Cyprus,83.07365417,85.4788,87.8839,90.28901672,90.1974,90.1058,90.01422119
"Czech Republic",80.51358795,80.1335,79.7535,79.37345123,79.1106,78.8477,78.58478546
Denmark,99.49790192,99.6653,99.8326,100,100,100,100
Djibouti,8.762782097,,,,,,
"Dominican Republic",37.37682343,43.5681,49.7593,55.95061111,55.348,54.7454,54.14283752
Ecuador,33.15991592,35.7143,38.2686,40.82298279,41.4174,42.0119,42.6063385
Egypt,6.517278194,7.4473,8.3774,9.307484627,15.2031,21.0988,26.9944191
"El Salvador",10.13223362,17.3905,24.6487,31.90692902,29.3979,26.8889,24.37995911
Estonia,97.26136017,97.33,97.3986,97.46718597,97.7699,98.0726,98.37523651
Ethiopia,,,,21.00403214,23.6945,26.385,29.07543182
Finland,99.81770325,99.8785,99.9392,100,99.8621,99.7242,99.58627319
France,96.57256317,96.2039,95.8352,95.46658325,94.0734,92.6803,91.28713226
Gabon,17.17235565,21.6946,26.2169,30.73914719,38.3941,46.0491,53.70412445
Georgia,34.92280579,36.5363,38.1498,39.76325607,47.7129,55.6626,63.61225891
Germany,98.70453644,98.9503,99.196,99.44180298,99.361,99.2801,99.19924927
Ghana,27.0882988,31.1846,35.281,39.37730789,44.1593,48.9414,53.72341919
Greece,75.70966339,79.344,82.9783,86.6126709,85.9207,85.2288,84.53689575
