Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,1.767271669,2.154737115,2.06130543,1.803768324,1.426305805,1.613489919,1.71331925,1.560823086,1.486925826,1.457243018
Algeria,2.730438095,2.805525951,2.511811069,2.170527858,2.128383565,2.16787495,2.085772422,2.108020163,2.463012765,2.497790334
Angola,,,,1.51866,1.237449031,1.3354,1.433333,1.424693543,,
Argentina,3.77138001,3.354133481,2.660168183,2.381831364,2.621820263,2.471760459,2.273410049,2.218636105,2.450850983,2.815923133
Armenia,2.637953072,3.04895564,2.695585773,2.01433105,2.465594217,2.674991202,2.543581713,2.545969214,2.572837904,2.594226283
Australia,5.886880534,5.338195072,4.599189793,4.593849295,4.660762938,4.721652086,4.96867164,4.810994083,4.978193539,5.063403548
Austria,5.472549638,4.940164804,4.294119847,3.759164124,3.56033554,3.769108925,3.873294638,3.769977129,4.254563897,4.665718964
Azerbaijan,3.38585451,2.912658495,3.23810105,3.342351313,3.438526852,3.540666872,3.359605636,3.078927084,3.078927084,3.363263289
Bahrain,5.674121842,4.896267386,3.897672673,3.859595807,4.630910622,4.514890055,4.269927018,4.10377269,3.825124197,3.965246874
Bangladesh,5.036454422,4.726912205,4.468731077,4.6305765,4.535893225,4.015161584,3.912945763,4.072245636,4.122288721,3.676802935
Barbados,4.796279264,4.474168755,4.093629813,3.407582584,3.20334893,3.084347502,3.054052537,3.075640088,3.0716,3.067465336
Belgium,5.316248871,4.949128973,4.167174496,3.613263742,3.856138669,4.067680756,3.857728302,3.860668954,4.443515957,4.88650481
Belize,,,,,1.435037,,,,,
Benin,3.664233631,3.468199943,3.405078242,3.713600893,3.510052068,3.0028577,2.587150477,3.0782,3.569230795,3.398089337
Bhutan,,,,,,,3.27406,3.460413582,3.744910956,3.850983267
Bolivia,3.490387296,3.014005698,2.630002921,2.916968427,3.282685196,3.592264464,3.456527858,3.295928518,3.305361621,3.129642832
"Bosnia and Herzegovina",3.842090291,3.533818447,3.078125562,2.773920446,2.746504,3.09076495,3.372433,2.9525,2.532608747,2.696267027
Botswana,4.815594406,4.562927493,3.782281192,3.589557307,3.772251462,3.864350661,3.821993001,3.628254178,3.61354411,3.86176405
Brazil,4.780786694,4.637395714,4.241519122,3.919172291,4.235165441,4.056538855,3.846530854,3.641169051,3.417680507,3.384197061
Brunei,,2.588629,2.584433295,2.586107781,2.351268866,2.413133648,2.414485174,2.4717,2.529,2.586206913
Bulgaria,3.4414107,3.731037864,3.415471263,3.088843309,3.250569237,3.193832178,3.006345684,3.03565253,3.090565678,3.463535975
"Burkina Faso",3.896151669,3.640767704,3.113341538,3.132044,3.479678803,3.257777699,2.696485221,2.230206747,,
Burundi,2.082455829,2.667709955,2.435065827,1.54868618,1.558665313,1.788404573,1.818718137,1.838411184,1.838411184,2.34755533
"Cape Verde",,,,3.813006,3.649481178,3.236181485,2.988485411,3.040869892,3.349184101,3.358918965
Cambodia,1.813634059,2.024662491,2.185143536,2.270138699,2.512373439,2.816684675,2.614961426,2.181950973,2.274819178,2.335124199
Cameroon,2.532905372,2.750196346,3.23542238,3.1050815,3.048086208,3.247127903,2.98850711,2.900874459,3.124379665,3.349484477
Canada,5.488639053,5.101297694,4.687322515,4.709904842,4.987437134,4.861861589,4.678782952,4.882936935,5.134012352,5.126647138
Chad,2.233323719,2.040677337,2.278610333,2.360412853,2.379604314,2.498266401,2.141800757,1.809035131,2.158990123,2.456934629
Chile,5.865961755,5.385860227,4.705865611,4.433340791,4.725881249,4.640689412,4.45911685,4.362958395,4.500841931,4.809429699
China,4.15211631,4.122468636,3.890081712,3.848860718,3.963708866,3.890250299,4.035760643,4.161901729,4.001998338,4.237420358
Colombia,4.57754028,4.193298322,3.643824333,3.456478099,3.700055738,3.779122178,3.658328267,3.44305135,3.474031079,3.545904804
"Congo (Kinshasa)",,,,,,,,,,2.263157845
"Costa Rica",3.776541363,3.622433826,3.075671442,2.50627925,2.445819596,2.478443187,2.471550943,2.430799273,2.710395878,2.752970467
"Ivory Coast",,4.296726,4.023872233,4.08360718,4.036033446,3.889567461,3.453957792,3.322575636,4.097484464,4.095670329
Croatia,4.608325308,4.546700693,3.668754751,2.876356123,2.93632655,2.88921779,2.83440812,2.841474461,2.925779485,2.998687858
Cyprus,4.348939713,4.372947296,4.013514627,3.647860049,3.471645931,3.154078102,2.797778159,2.544981583,2.313256886,2.272698416
"Czech Republic",4.524504964,4.388125798,4.368778654,3.971590727,3.521352525,3.2818891,3.033192029,3.170337118,3.678637357,3.71580271
Denmark,5.580201631,5.169001962,4.089678071,3.735235083,4.214123615,3.753698912,3.527248179,3.896578133,4.259367244,4.2852403
"Dominican Republic",2.854318753,3.014707665,2.7740108,2.466748658,2.522426515,2.696086524,2.818847238,2.819895261,3.081372766,3.270455133
Ecuador,3.556022254,2.983864877,2.643865589,2.833001065,3.236577699,3.34958,3.663655213,3.5149,3.366071463,3.274838128
