Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,,,,,,1.442045045,7.051710518,12.27019624,13.83814341,15.80335708,18.15203663,18.53714331,18.91492859,18.8289,18.7429,18.65689771,18.56310004,18.28875049,
Afghanistan,,,,,,,0.000832685,0.000884925,0.001950741,0.001897588,0.001849646,0.003609042,0.005282097,0.0052,0.005029416,0.004909715,0.004795317,0.022079691,0.026889758
Angola,,,,,,,,,0.043556955,0.066053838,0.087046064,0.079253328,0.076729781,0.078377681,0.098518169,0.103774201,0.306045088,0.672968878,0.523521411
Albania,,,,,,,,0.008510292,0.1622,0.315833823,2.027492802,2.919536619,3.350292352,4.065147629,5.062738707,5.75292813,6.527599404,7.596854658,8.227068256
Andorra,,,,,1.602479097,4.76051981,7.945863901,12.73161543,17.85116699,22.78945038,25.85001688,29.1651305,31.45031897,33.08675271,34.33511996,35.00972001,35.89385301,37.91723286,39.82447324
"United Arab Emirates",,0.012682952,0.065194003,0.267360215,0.515885854,0.900110232,1.534606405,3.116983535,4.935147988,6.551272504,8.201308057,8.945263859,9.320790752,9.713822686,10.37393227,11.14829466,11.55839995,12.88953223,13.29981078
Argentina,,,,0.252190834,0.393328876,0.6817124,1.417113816,2.39786147,4.061956264,6.610501641,7.85042465,8.772380304,9.977251823,11.22554546,12.53095176,15.08223447,15.57170188,16.26343491,16.93874298
Armenia,,,,0.000196081,0.000262553,0.000329377,0.033050728,0.066005134,0.0982,0.13043993,0.463444353,1.343865581,3.157959383,5.417223324,7.142041595,8.165718482,9.144970325,9.577593598,10.12594267
"Antigua and Barbuda",,,,,,,2.033823637,7.025979531,1.846238633,2.684929559,5.841896214,18.5561993,8.160902411,6.806425265,14.67401677,17.38845363,11.83019262,10.89063623,9.985551626
Australia,,,,0.630155388,1.309180367,2.590070997,5.005321616,9.824209034,18.69106653,21.6231,24.55521678,23.69181885,24.59328685,24.41455206,24.88018575,25.62273287,27.65955673,28.54145037,30.44211286
Austria,,0.635626847,2.375234126,3.982885766,5.573540832,7.381186841,10.61861746,14.24998701,17.30013302,19.51521651,20.72612399,22.43894946,24.40393415,24.87522071,25.167924,26.27971624,27.6669166,28.69325283,29.3775973
Azerbaijan,,,,,0.012077633,0.0166,0.021,0.025503895,0.045643361,0.166474309,0.675853087,1.112809258,5.226055387,10.58273509,14.71264402,18.18868169,19.94842398,19.76010603,18.58293602
Burundi,,,,,,,,,,,0.001855227,0.001792378,0.003812514,0.005209446,0.007127215,0.015094663,0.016217116,0.033655121,0.035372692
Belgium,0.106858174,0.22455567,1.404457178,4.465790195,7.886840554,11.96854719,15.51525303,19.13369521,23.15496115,25.56292539,27.68605306,29.02903684,30.82948735,32.1965793,33.3813498,34.48085259,35.99290946,36.84966063,38.00608379
Benin,,,,,0.000283219,0.000273948,0.001022366,0.002395396,0.017741099,0.0081539,0.093878579,0.206270399,0.284275229,0.383801501,0.415503315,0.411460328,0.42850094,0.673383807,0.814711015
"Burkina Faso",,,,,0.000406623,0.001145422,0.001181502,0.00286099,0.012407525,0.047291637,0.070028976,0.079145585,0.088190151,0.087919505,0.087046642,0.076540438,0.030890465,0.040246447,0.046960344
Bangladesh,,,,,,,,,,0.029844924,0.033790641,0.211834403,0.274321057,0.306484724,0.388157065,0.974057518,1.951372689,3.05024743,3.766623743
Bulgaria,,,,,,,0.08587947,2.153628979,5.046300256,8.317655323,11.24105602,13.40328493,15.22122564,17.13862118,18.29866618,19.68106352,20.65972954,22.69959921,23.25333339
Bahrain,,,,0.168300778,0.67982543,1.261174679,1.822779873,2.436744913,4.062038948,6.611401333,8.38842405,11.708639,12.3779777,22.55021025,22.41470239,22.52383515,21.3949592,18.60970519,16.81957187
Bahamas,,,,1.36598406,2.439821511,3.466466428,3.971153846,4.066389537,4.943358898,5.993293359,7.320434059,8.911061463,6.852187807,4.230054241,20.95117755,19.20906051,20.17089638,20.90522747,21.9904817
"Bosnia and Herzegovina",,,0.000704158,0.00175287,0.005464931,0.038503211,0.170760818,0.353159985,1.032216243,2.189153106,4.880864788,7.580565551,10.16404619,11.20632758,12.24327815,13.47773892,14.1814646,16.62407152,17.36897523
Belarus,,,,,0.000202987,0.00125714,0.007716057,0.016182579,0.118696194,1.77151258,5.001987798,11.46666653,17.5599906,22.2008592,26.91989248,29.7738364,28.84034987,31.35639018,33.29528607
Belize,,,,,,0.363853127,1.066631452,1.846866726,2.596913813,2.613593481,2.741326684,2.770616844,2.888899691,3.066270393,3.077516509,2.982826152,2.913838673,4.99974108,6.190103712
Bermuda,,,,,,,,28.82423562,36.74868272,44.6281,52.5074613,61.71696599,61.73884929,61.616,61.4932,61.3703494,53.05601809,45.74704932,
Bolivia,,,,,0.037655413,0.06365904,0.094943081,0.138678819,0.184808973,0.351130621,0.806520334,0.961974326,0.944686121,0.712309475,1.111898162,1.444055027,1.592812978,1.641350074,2.567407973
Brazil,0.000590067,0.004069617,0.057304982,0.187039248,0.407483497,0.531629332,1.715918235,1.737272082,2.533831747,4.00503848,5.223520654,6.062297331,7.223440846,9.055291779,9.624498717,10.66102504,11.67573652,12.24815561,12.97409798
Barbados,,,,,,10.08661813,10.88517845,11.67607322,14.11304256,17.06005205,17.72693546,20.53898482,20.03951554,22.22608622,23.61548049,23.81852419,27.1720512,27.22570457,30.07625766
Brunei,,,,0.559104018,0.79588461,1.085256851,1.735602014,2.209262809,2.392333005,3.045564178,4.353159784,5.078346856,5.417044255,5.70339867,4.814937002,6.595992187,7.149962784,8.033107838,8.325534004
Bhutan,,,,,,,,,,,0.297619478,0.479460415,1.210005314,1.814158746,2.260110916,2.716503945,3.26287437,3.589877663,3.9408867
