Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,9000,10000,11000,12000,13055,13887,15718,17469,18712,19000,20400,21000,21500,27300,33576,33220,35064,36557,38100,37132,37132,37390,38003,38259,38651,38609,38461,36700,35040,35520,36000,35000,35000,35000,,,,
Afghanistan,7700,8020,8340,8660,8980,9300,10640,11980,13320,14660,16000,17100,18200,19300,20400,21500,22200,22200,25300,25300,25800,31700,28000,29000,30000,31000,32000,33000,34000,35000,36200,37000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,33050,36700,31438.3333,26176.6667,20915,15653.3333,10391.6667,5130,16620,13509,90017,95769,101931,110000,114192,118769,127794,134636
Angola,6666,7332.8,7999.6,8666.4,9333.2,10000,10600,11200,11800,12400,13000,14000,15000,16000,17000,18000,19000,20000,25000,30000,36000,36700,49280,45890,46000,47350,48090,62000,65000,67000,70000,72000,48900,53300,53020,52740,52625,62279,65100,67200,64900,76800,80200,85043,94280,96760,98165,94294,114296,303179,281122,159485,208345,214950,287416,284925,304493,161070,171858,124726
Albania,6845,8274.2,9703.4,11132.6,12561.8,13991,45792.8,77594.6,109396.4,141198.2,173000,142732,112464,82196,51928,21660,22500,23800,24700,26000,27300,29000,30000,31000,32000,33275,35000,36000,37000,38550,40000,41500,44848,43000,41500,42150,63850,86800,115675,140392,152687,197496,220000,255000,274557,278973,256000,300000,343591,363000,333066,338844,312000,281200,235734,226718,248640,246720,248631,242859
Andorra,,,,,,500,778,1056,1334,1612,1890,2283.4,2676.8,3070.2,3463.6,3857,4174,4713,5543,6329,7026,8944,10385,12000,13000,14000,15588,16885,17911,19427,21502,23416,25302,26760,28362,29795,30964,31980,32946,33607,34215,34505,34922,35171,35040,35444,36507,37153,37375,37882,38171,38401,38320,38572,38237,38850,38694,38411,39375,39657
"United Arab Emirates",,,,,,,,,,,,,,,,25808,36061,49830,72082,96386,120591,142591,163098,177841,188806,207052,220678,247800,296143,352730,396435,437503,491549,553206,615124,672330,738074,835090,915223,975178,1020097,1052930,1093654,1135758,1187734,1236860,1309683,1385523,1595991,1580148,1479485,1825496,1967486,2086015,2103036,2258646,2285809,2320837,2341392,2362602
Argentina,914656,951724.8,988793.6,1025862.4,1062931.2,1100000,1137400,1174800,1212200,1249600,1287000,1359800,1432600,1505400,1578200,1651000,1678000,1692000,1728000,1797000,1879000,2199000,2361350,2271525,2599607,2710894,2859209,2965970,3175756,3084000,3026732,3131235,3594533,3982435,4986887,5714158,6262637,6826799,7095464,7223168,7894205,8131435,7708568,8603869,8760566,9441673,9459794,9500000,9742833,9768135,9914208,9722525,9455639,9662084,9822465,10073125,10164849,9744368,9764014,7737345
Armenia,,,,,,,,,,,,,,,,190000,210000,250000,270000,290000,300000,340000,360000,380000,400000,420000,440000,470000,501000,530000,560000,572100,578400,583460,587113,582800,579500,567800,556600,544197,533387,531456,542846,563679,578973,594404,603900,624700,626600,599900,592300,586943,583685,578450,572772,551366,531624,501013,477932,451571
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,4600,4600,4650,4700,4750,4800,4850,4900,5500,5500,6000,8000,9500,9800,10000,10100,10200,10200,10252,12587,14053,10713,10354,10400,10400,10400,10400,10400,10400,10200,10000,10000,9900,10000,,,,
"Antigua and Barbuda",,,,,,,,,,,1700,1740,1780,1820,1860,1900,1900,2220,2540,2860,3180,3500,4000,5000,5796,7000,8000,9500,11000,13000,15980,13670,16820,19210,24284,25890,28000,31000,34000,36500,38300,37264,38046,38000,38000,36480,37500,37900,38000,37350,36322,35484,33159,33133,19915,20000,22504,24000,,
Australia,1561968,1651574.4,1741180.8,1830787.2,1920393.6,2010000,2148800,2287600,2426400,2565200,2704000,2871000,3038000,3205000,3372000,3539000,3700000,3907000,4165945,4449468,4742662,5069342,5356572,5591667,5850594,6186835,6501468,6816301,7091549,7419982,7786889,8046029,8257000,8540000,8850000,8900000,9170000,9350000,9540000,9760000,10050000,10060000,10400000,10460000,10370000,10120000,9940000,9760000,9370000,10709000,10625000,10573000,10471000,10350000,9190000,8500000,8480000,8460000,8200000,7820000
Austria,428807,474045.6,519284.2,564522.8,609761.4,655000,717800,780600,843400,906200,969000,1076200,1183400,1290600,1397800,1505000,1623000,1747000,1885000,2033000,2191000,2323000,2438672,2547908,2640843,2729389,2818437,2906736,3001319,3102814,3223161,3344179,3466493,3579900,3691800,3796900,3901600,3969400,4008000,3939000,3997000,3997000,3883000,3877000,3821000,3739000,3605000,3407000,3285000,3253000,3398000,3388000,3380000,3334000,3518900,3609900,3567200,3762801,3772429,3753076
Azerbaijan,,,,,,,,,,,,,,,,210000,230000,270000,290000,320000,340000,390000,410000,430000,450000,470000,500000,530000,559000,590000,620000,620150,620300,620390,635237,639532,645068,658296,680200,730000,801200,864800,926000,941366,1013400,1094200,1176976,1253300,1310500,1401100,1506585,1683876,1724004,1757855,1795448,1796027,1700233,1688325,1681407,1673211
Burundi,,,,,,1400,1520,1640,1760,1880,2000,2140,2280,2420,2560,2700,2600,2480,2360,2240,2120,2000,2200,2430,3810,5310,6631,7107,7346,7666,7950,10236,12888,15550,15788,17255,15181,15867,17849,18993,20000,20543,22084,23895,27744,27800,27886,28500,30411,31121,34972,30010,17394,21253,21669,21774,19540,23409,24810,20936
Belgium,779262,833403.6,887545.2,941686.8,995828.4,1049970,1108684.2,1167398.4,1226112.6,1284826.8,1343541,1444824.8,1546108.6,1647392.4,1748676.2,1849960,1941000,2050000,2178000,2317000,2441993,2587107,2722107,2818084,2924966,3032418,3227160,3367192,3525140,3711641,3912629,4096071,4264342,4395695,4543468,4682086,4623685,4768235,4856502,5008640,5036422,5131694,4931600,4875000,4801000,4794583,4727800,4847263,4734517,4636079,4639780,4634252,4634782,4586500,4532475,4488711,4371055,4281818,4106864,3930410
Benin,2176,2200.8,2225.6,2250.4,2275.2,2300,2540,2780,3020,3260,3500,3862.6,4225.2,4587.8,4950.4,5313,5861,6371,7032,7692,8515,9409,9680,9950,10581,10882,12033,13184,13596,14236,14778,15011,15760,20409,23945,28206,32679,36453,38354,43656,51644,59298,62669,66511,72789,76267,77342,110765,115289,127149,133427,152715,156715,159443,195662,194666,124883,56787,48508,35917
"Burkina Faso",,,,,,,,,,,1500,1680,1860,2040,2220,2400,2600,4000,4000,4890,5780,6670,7180,7488,7797,7950,9582,11556,12804,14493.5,16183,17844,19784,21873,26328,30043,34055,36258,41218,47338,53217,58036,61908,66639,85225,91191,94758,116746,148157,152461,143963,141529,141358,137421,124595,75075,75727,76000,76760,75291
Bangladesh,,,,,,,,,,,45000,48000,51000,54000,57000,60000,68000,76000,86000,89000,95000,101000,108000,114580,121100,151400,163900,174400,187100,192000,218000,221513,232700,245947,262274,286605,316081,368017,412607,432968,491303,564880,605931,742048,830950,1070000,1134000,1186919,1344456,1234895,1280782,977700,961589,1082348,974181,864263,766183,707568,1449646,1449646
Bulgaria,,,,,,,,,,,,,,,,,,,,805000,908000,1144300,1130300,1352700,1400000,1500000,1600000,1745000,1886000,1994000,2175423,2205483,2339668,2410427,2487918,2562915,2647459,2681074,2757990,2833395,2881786,2887000,2871801,2817512,2726800,2490022,2399424,2300355,2189773,2205394,2164258,2272834,2132905,1942424,1816974,1654879,1478975,1289853,1120392,972255
Bahrain,,,,,,3200,3820,4440,5060,5680,6300,7840,9380,10920,12460,14000,15700,19400,22262,33310,41220,45627,50503,56974,64330,69297,72907,75080,82996,87737,93995,100581,112530,124353,135853,140850,144391,152303,157619,165369,170976,173855,175446,185756,191553,193520,194196,203541,220386,238000,228000,276523,299416,291499,284684,280115,279864,299815,274733,274541
Bahamas,,,,,,,,,,,20400,20880,21360,21840,22320,22800,26400,26500,29200,29100,31080,32240,39720,36275,38803,41986,48433,53891,58400,61853,69872,78161,76806,76180,78836,83707,89463,98125,105869,111184,114347,123302,126556,131856,139936,133074,131564,132854,132756,128964,129314,132995,135000,136000,125658,120925,121088,113852,113455,91129
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000,600000,250000,237843,272250,302889,333182,367921,780000,847026,902836,938019,951526,968857,989000,1064452,1031355,998644,998615,955937,886313,846484,847694,772684,744991,759344,792535,790620
Belarus,75000,82980,90960,98940,106920,114900,143440,171980,200520,229060,257600,304120,350640,397160,443680,490200,541000,584300,631400,675900,722900,756700,803200,860300,972100,1002900,1114874,1227516,1347501,1464128,1574158,1673460,1744496,1814359,1890000,1968435,2127972,2312599,2489851,2638468,2751905,2862376,2967163,3071342,3175886,3284272,3367950,3671850,3718094,3983178,4138600,4207978,4407040,4468600,4514315,4540676,4515382,4499821,4488821,
Belize,1018,1374.4,1730.8,2087.2,2443.6,2800,2840,2880,2920,2960,3000,3060,3120,3180,3240,3300,3345,3518,3588,3851,3870,3898,5229,6039,6079,7000,8000,10000,12250,15254,17320,21276,24840,28624,28192,28947,29600,30667,32487,36116,35754,35237,31300,33278,33716,33770,34325,33905,31124,31168,30288,28844,25415,24051,22700,23603,22400,21084,20869,18500
Bermuda,9300,9948.4,10596.8,11245.2,11893.6,12542,13240.4,13938.8,14637.2,15335.6,16034,16327.2,16620.4,16913.6,17206.8,17500,17900,19383,20500,21500,22371,23499,26453,27480,28720,29823,31356,32818,34588,36298,37319,38989,39786,42068,44215,46402,48524,51853,53730,54933,56073,56151,56000,54000,53850,52471,57654,57600,57600,57700,57800,63400,69000,72000,29234,12000,20351,21883,,
Bolivia,,,,,,,,,,,,,,,,,,,,,135100,142000,148100,150000,157719,158746,159774,164248,165296,169932,182686,204059,208034,231739,242823,246881,348595,384530,452381,502568,510755,524391,590638,610261,625428,646291,666553,678198,788972,804217,851203,878483,880371,874381,876111,881235,867346,851110,711961,
Brazil,650000,690000,730000,770000,810000,850000,930000,1010000,1090000,1170000,1250000,1440248.4,1630496.8,1820745.2,2010993.6,2201242,2510000,3060000,3720000,4290073,4950000,5330000,5822397,6300000,6700000,7201516,7451000,7810000,8270000,8790000,9409000,10075924,10841000,11303000,12269000,13263000,15105886,17038823,19986556,24985000,30926272,37430779,38810685,39205000,39578903,39852600,38800200,39399622,41235247,41496998,42141418,43025835,44305294,45038117,44128188,43677141,42003948,40375698,38311924,33700982
Barbados,6933,7706.6,8480.2,9253.8,10027.4,10801,12377.2,13953.4,15529.6,17105.8,18682,20354.8,22027.6,23700.4,25373.2,27046,28962,31313,32539,33765,34539,34962,38190,41917,46050,48488,51692,55040,59487,66113,72141,77977,80095,82507,85376,90132,96547,108457,113031,115000,123832,128956,133000,134000,135732,134878,134261,134261,135000,135700,137486,140668,143358,148735,135775,149532,139715,120471,128043,138312
Brunei,,,,,,,,,,,,,,,,,,7200,8200,9500,11100,14006,15000,17000,19000,20808,22300,24612,27570,30217,35000,39092,48107,55228,61620,68127,78794,76789,77742,79086,80500,88440,81280,81925,83100,83890,80176,79554,80786,80549,79901,79839,70933,71288.5,71644,76002,74213,83794,82588,86590
Bhutan,,,,,,250,277,304,331,358,385,422,459,496,533,570,670,670,670,1100,1190,1200,1300,1400,1450,1500,1600,1650,1700,1838,1871,2500,2959,3809,4572,5243,6074,6430,10437,11990,14145,17553,19615,23657,30285,33000,31526,29857,27475,26348,26292,27490,27005,26485,23823,21811,21081,21364,22015,21581
Botswana,400,560,720,880,1040,1200,1420,1640,1860,2080,2300,2780,3260,3740,4220,4700,5000,5500,5900,6400,7128,7812,8486,9459,10079,10576,11751,14591,18215,22195,26367,32607,36477,43487,50447,59673,72189,85592,102016,123819,135900,148155,148155,131399,131774,136463,132034,136946,142282,137422,137422,149578,160488,174165,169236,160490,142122,141207,142481,141077
"Central African Republic",,,,,,,,,,,,,,,,,,,2557,2385,2617,2474,2860,2800,2767,2600,3902,4100,4340,4520,5008,5358,6092,6757,7373,8385,9704,9814,9563,9860,9468,8917,9000,9500,10000,10000,8390.25,6780.5,5170.75,3561,929,815,823,800,800,1881,1964,2104,2193,
Canada,4987502,5043801.6,5100101.2,5156400.8,5212700.4,5269000,5518000,5767000,6016000,6265000,6514000,6866800,7219600,7572400,7925200,8278000,8614000,8920000,9271000,9595000,9979000,10294500,10335442,10468344,11827271,12480666,12948041,13444317,13975828,14647789,15295819,15814928,16246589,16716802,17250407,17567000,17974000,18660000,19294000,20380000,20840000,21126000,20622000,20612000,20563000,18148000,18236000,18282026,18250000,18708000,18394000,18274000,17726000,16921000,16403600,15612271,15155520,14469000,13842000,13267000
Switzerland,1090975,1165980,1240985,1315990,1390995,1466000,1561800,1657600,1753400,1849200,1945000,2050000,2155000,2260000,2365000,2470000,2523000,2599000,2677000,2755000,2839000,2925000,3010000,3095057,3184401,3277026,3381492,3499609,3632765,3784506,3942701,4080651,4184841,4265818,4257596,4480000,4571000,4688000,4884000,5066000,5235733,5383483,5387568,5323452,5253450,5149736,5021743,4927184,4827882,5131810,4907773,4898770,4721981,4593321,4374700,4140000,3772545,3559361,3269952,3100000
Chile,131803,138042.4,144281.8,150521.2,156760.6,163000,177800,192600,207400,222200,237000,249000,261000,273000,285000,297000,308000,325000,345000,351000,363000,386706,404196,436860,481002,537089,557987,580795,625466,645863,864155,1056027,1283048,1520291,1587000,1818000,2151000,2693286,3046698,3108799,3302498,3478492,3467013,3252063,3345102,3460645,3383597,3459611,3524790,3555311,3459367,3370104,3292502,3347231,3427749,3445880,3375037,3200245,2997192,2750272
China,,,,,,,,,,,,,,,,1692000,1761000,1833000,1925000,2033000,2140700,2220900,2342500,2508000,2774000,3120000,3504000,3907000,4727000,5680400,6850300,8450600,11469100,17332000,27295300,40705700,54947000,70310000,87420937,108715763,144829000,180368000,214222000,262747000,311756000,350445000,367786000,365637000,340359000,313732000,294383000,285115000,278153000,266985000,249430000,230996000,206624000,193757000,192085000,191033000
"Ivory Coast",3690,4672,5654,6636,7618,8600,10280,11960,13640,15320,17000,18404.4,19808.8,21213.2,22617.6,24022,26206,27696,30521,32656,37465,42590,47025,50970,51739,57088,61111,63640,66663,68375,72753,81284,83869,90165,103268,115790,129808,142322,170001,219283,263667,293568,324839,238000,257932,258515,270573,247573,356502,282070,283343,276494,276135,272145,242684,277248,289108,305562,302398,271724
Cameroon,,,,,,,,,,,,,,,,12989,13529,14112,15152,16576,17204,18304,21316,25086,28115,29861,32400,35000,36000,38468,40218,41933,54672,57168,58200,65597,70558,75200,93920,94599,95000,106287,110881,97393,99439,100331,130694,188874,255306,435413,539504,668965,737445,799016,1156230,1050281,1051073,885762,902253,925978
"Congo (Kinshasa)",,,,,,,,,,,22300,23220,24140,25060,25980,26900,26900,25300,25300,25300,26600,24030,24971,25630,28670,29010,29000,29000,29186,32000,34000,35000,36000,36000,36000,36000,36000,9100,9350,9550,9810,9980,10000,9733,10524,10579,9700,3500,37320,42320,41990,56970,59534,,,,,,,
"Congo (Brazzaville)",,,,,,3900,4100,4300,4500,4700,4900,5040,5180,5320,5460,5600,6299,6518,6936,7693,8492,8882,8963,9545,9751,10159,10303,10905,15010,15768,15852,16905,17915,19177,20553,21410,22000,22000,22000,22000,22000,22000,22000,7000,13820,15907,13754,13404,9050,11600,13400,14200,14932,15679,16300,17000,17000,17000,,
Colombia,274937,298549.6,322162.2,345774.8,369387.4,393000,433600,474200,514800,555400,596000,644320,692640,740960,789280,837600,861200,936600,1010800,1022300,1075700,1134460,1293030,1298843,1506427,1702291,1798793,1918297,2070360,2176541,2414726,2633273,2821700,3139468,3513000,3872845,4645453,5394757,6366944,6665422,7192778,7371545,7766000,7848266,7588676,7678804,7860205,7924098,7928944,7473867,7186165,7126730,7066130,7141461,7180937,7109254,7115984,6987654,6973573,7012306
Comoros,,,,,,100,140,180,220,260,300,330,360,390,420,450,500,600,700,800,900,1000,1100,1200,1400,1594,1772,2013,2314,2889,3265,3641,3851,4010,4272,4377,4980,5507,6226,6521,6773,8876,10258,13245,15083,16939,19061,26025,28809,30787,21210,23146,24000,23000,23500,14599,13049,17212,10320,10042
"Cape Verde",188,274.8,361.6,448.4,535.2,622,708.8,795.6,882.4,969.2,1056,1142.8,1229.6,1316.4,1403.2,1490,1479.8,1469.6,1459.4,1449.2,1439,1565.1,1700,1890,2190,2282,3722,5614,6406,6800,8246,9095,11629,15252,18450,21513,25232,33241,39985,46865,54644,64132,70187,71716,71700,71600,71578,71764,71860,71874,71971,74503,70220,66177,59621,63584,64724,64970,62680,57511
