Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,54.2,54.86,54.83,59.32,62.16,64.32,70.44,73.56,74.62,67.96,63.06,68.45,73.81,76.27,78.49,84,75.08,81.19,80.2,80.1,79.91,79.04,77.24,74.33,69.44,63.35,65.7,64.73,64.35,69.39,73.16,70.94,75.68,80.77,84.85,90.04,96.75,103.06,101.85,85.42,76.81,95.34,98.78,95.89,106.38,97.73,109.34,100.86,117.5,116.67,111.51,122.92,120.11,124.69
Albania,30.14,30.96,29.03,33.43,31.37,35.3,37.07,38.01,39.2,40.35,42.44,43.24,46.64,47.62,47.83,52.75,55.48,57.62,58.83,57.71,59.59,62.02,67.53,62.78,62.06,61.48,63.97,61.84,69.16,68.69,59.02,63.96,71.7,79.42,85.73,86.63,81.74,84.35,82.2,86.45,89.5,89.91,95.19,99.85,97.95,102.2,103.74,107.98,112.4,118.32,124.6,132.82,133.32,139.59
Algeria,38.37,39.9,39.92,35.59,41.32,27.66,30.38,39.07,36.05,37.42,38.86,35.14,33.54,36.22,39.44,37.08,30.62,30.38,34.31,37.13,38.18,34.73,36.66,39.24,48.02,48.69,49.19,47.43,51.77,50.66,59.41,64.86,62.38,57.7,64.78,76.42,62.84,69.76,73.46,69.71,74.36,76.23,88.38,97.94,99.04,103.02,93.24,95.85,119.29,124.84,134.38,146.93,163.77,160.87
"American Samoa",74.95,75.71,84.72,87.03,90.2,91.8,86,84.22,88.79,86.01,77.95,76.66,75.4,73.05,71.83,70.34,69.18,64.88,57.85,64.8,61.38,61.23,59.92,57.82,56.64,57.73,48.79,51.35,51.64,56.45,52.4,55.05,60.26,63.66,66.72,70.87,73.93,89.82,73.22,80.86,90.42,94.31,100.86,97.41,97.83,104.76,108.88,109.94,113.55,114.49,114.4,110.24,117.61,116.47
Angola,28.94,29.97,30.39,31.77,32.6,33.21,34.11,34.39,36.58,38.38,38.44,36.95,39.15,38.3,36.93,36.56,35.59,35.7,34.81,34.83,34.07,34.61,35.24,35.65,36.14,37.47,38.02,37.87,37.89,38,39.6,42.32,41.89,47.67,46.07,49.12,48.93,56.83,54.02,62.74,71.36,80.96,86.83,93.32,101.8,104.87,117.89,127.57,159.8,168.81,185.05,153.18,207.44,174.85
"Antigua and Barbuda",115.77,116.51,143.18,147.06,100.13,80.96,69.04,56.03,69.02,71.07,112.8,63.39,60.76,59.2,58.5,59.8,62.6,72.63,78.78,87.87,90.95,87.26,85.2,83.92,96.81,97.82,100.07,102.9,86.98,91.75,96.71,98.19,97.69,97.95,97.77,97.39,97.64,96.72,99.1,99.96,101.56,103.34,105.61,107.2,94.78,98.02,101.75,104.48,101.5,86.67,88.2,85.46,86.06,87.89
Argentina,36.87,39.46,43.29,40.12,38.15,41.93,46.18,43.31,47.04,45.91,42.82,42.75,44.29,47.64,48.69,53.88,53.72,57.81,58.65,54.03,58.41,59.46,57.88,59.62,60.54,62.15,59.05,60.8,55.97,62.8,65.08,65.09,64.53,68.69,73.7,71.42,77.23,83.4,85.39,85.91,87.04,86.53,90.18,92.22,104.4,103.38,113.54,115.06,96.73,112.7,116.99,107.48,117.9,116.64
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.3,59.51,74.44,67.6,73.84,62.71,68.66,67.93,66.33,69.5,72.64,77.28,86.77,102.04,111.19,122.72,117.97,121.61,111.57,123.91,136.17,142.65,146.52
Australia,38.89,44.07,45.87,48.96,47.15,51.85,47.07,54.19,51.22,53.78,56.58,58.14,62.44,56.74,61.6,65.61,64.77,74.3,71.06,62.78,67,61.1,72.61,69,68.67,70.37,69.19,71.98,71.14,74.27,73.51,79.2,83.03,77.94,85.75,94.87,95.38,100.64,107.15,105.42,110.46,93.98,106.89,100.78,107.86,91.36,96.92,103.8,105.47,102,109.3,116.13,116.7,113.98
Austria,71.39,69.09,73.97,76.17,66.47,71.21,75.81,78.12,77.14,77.08,74.48,73.34,77.96,79.68,82.11,82.31,81.25,84.39,85.43,89.55,85.15,97.62,91.26,92.85,88.69,91.15,89.63,95.7,91.58,92.12,92.6,91.66,91.87,97.66,96.58,97.71,99.14,101.96,105.73,100.84,103.02,102.22,97.73,101.24,100.23,98.53,102.81,107.17,105.4,106.24,111.31,104.68,104.39,110.02
