Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,12.76681679,39.30332784,37.41893547,30.48131404,60.79203517,37.38771223,21.80411686,40.07885291,108.4351933,28.13491955,28.65309846,29.84370239,11.82031823,5.002458561,3.647379726,9.620895767,22.2158172,29.27174426,20.07557365,25.22213107,28.0088035,27.46931165,28.060627,27.62637563,42.14784903,57.17089382,67.74634404
Albania,0.012049077,0.014164395,0.358460422,0.464604424,0.89521845,0.83702707,0.970020336,65.13734854,0.525414444,0.386452391,0.031795189,0.31987627,0.256094984,0.287135392,0.28414922,0.025208145,0.025863308,0.266192834,0.033822568,0.0313052,0.030829863,0.02982751,0.028850136,0.027971015,0.027210661,0.02659347,0.026097853
Algeria,0.012784357,0.139581488,0.962217803,3.016182941,7.423727967,10.81963497,3.646433586,6.596276328,10.56274939,3.679279478,3.603235303,4.745753194,3.268902263,8.807903855,1.398523356,0.627937569,0.831048679,1.550511846,1.203042339,1.526393264,0.649243644,0.723567226,0.871233964,0.466409023,0.288894598,0.225198287,0.15175425
"American Samoa",0.00940086,0.009431242,0.009439709,0.009569037,0.009565631,0.00943873,0.009498541,0.009539073,0.009565462,0.009673645,0.009659226,0.009631878,0.009654104,8.182559768,1.605536129,3.139287628,4.612791039,3.018489333,1.484307147,49.33503966,0.009539007,0.009543706,0.009511613,1.336308023,0.009504186,0.009434566,0.009372684
Andorra,0.010425533,0.010433902,0.01043541,0.010387915,0.010341135,0.010229831,0.010140897,0.009964237,0.009902599,0.009829716,0.009779543,0.009723506,0.009668256,0.009682581,0.009750665,0.009729544,0.00972535,0.009728105,0.009745432,0.00979869,0.009836944,0.009876336,0.009920544,0.009937263,0.010021285,0.010032682,0.010031966
Angola,23.88558091,4.679314952,19.88229804,106.4851891,33.25637748,1.698954443,0.978001565,0.733561825,8.138178922,18.98428777,8.722714816,14.58130058,3.591805742,0.372230005,0.39507735,0.0143946,0.014405562,0.724313887,0.01465632,0.447680641,0.01505115,0.632948594,0.015033398,0.014815037,0.014486364,0.300168361,0.350594483
"Antigua and Barbuda",0.057078497,1.741221796,0.061565192,0.062798914,0.061998598,0.059094047,0.056752046,0.050153758,0.039479794,0.035748771,0.028712111,0.026535993,0.030049029,0.033985827,0.036431192,0.039648164,0.044814095,0.051073596,0.054219196,0.059061871,0.048076275,0.042685956,0.041148258,0.030053555,0.0220696,0.025206596,0.025749128
Argentina,0.452960789,0.410502988,0.542985862,0.356967393,0.161399584,0.149197344,0.146903469,0.265140196,0.26517222,0.129317022,0.099997243,0.072812071,0.049826941,0.033234839,0.022541911,0.01768319,0.015283853,0.013463151,0.012721829,0.012497332,0.012367616,0.012304563,0.012279649,0.156688391,0.012257085,0.012153501,0.012033915
Armenia,0.189542234,0.191322622,2.742698793,1.188952333,1.113497316,0.19565765,0.19696441,0.198131628,0.201396363,0.178786447,0.159904999,0.149757946,0.144130741,0.143029205,0.145523092,0.151941112,0.84761048,0.140901602,0.823724052,0.730124187,0.696809089,0.768284855,0.671296412,0.384372102,0.945824431,1.833376009,0.012507291
Australia,0.035088331,0.034216397,0.032841963,0.030093923,0.030956235,0.028143911,0.024969211,0.154549402,0.030016539,0.028822013,0.02752942,0.024356928,0.025512149,0.021963878,0.020907533,0.020002447,0.021538532,0.023074991,0.022946736,0.023188053,0.023439277,0.179578911,0.023200957,0.021919956,0.023976107,0.023067612,0.022856858
Austria,0.015365065,0.014735592,0.013283914,0.012331718,0.010374821,0.010230947,0.010368304,0.010231126,0.010158015,0.639192614,0.010183403,0.010104418,0.209094778,0.294759466,0.010057403,0.303218376,0.228745482,0.118864103,0.178880706,0.214527607,0.310128841,0.009672624,0.200362335,0.234782275,0.009518708,0.009479784,0.009449066
Azerbaijan,0.069190189,0.559067766,30.52034575,15.99934212,20.18376065,0.677687395,0.086567321,0.596674261,0.512123094,0.076150118,0.598107884,0.219943816,0.198363235,0.188502193,0.248612333,0.240839469,0.021254745,0.014499045,0.352136367,0.015687402,0.016042677,0.016427884,0.185774847,0.132691471,0.494329816,0.66701334,0.018902095
Bahamas,0.329851897,0.326981962,6.152631058,0.308641304,0.315842218,0.274163468,0.24189711,0.215335194,0.154934102,0.826416243,0.107405486,0.088258428,0.442975892,0.120697766,0.130983415,0.149963021,0.174036196,0.224225883,0.275059373,0.346046445,1.471658407,0.65541021,0.335844682,0.271293303,0.273435857,9.018704845,0.26070932
Bahrain,0.358475377,0.355382788,0.35404804,0.352187527,0.349840233,4.382267278,2.935331339,0.343016488,0.34088965,0.338486846,0.336981651,0.341011741,0.340142079,0.335102314,0.331964409,0.323906937,0.314453832,0.301405883,0.286612905,0.272131591,0.259170186,4.257096542,4.161800541,0.234036155,0.230745542,0.23067898,0.231419972
