Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
Albania,,,,,,,,,,,,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2
Algeria,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Angola,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Argentina,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
Armenia,,,,,,,,,,,,2,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1
Australia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Austria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Azerbaijan,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,
Bangladesh,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Barbados,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Belarus,,,,,,,,,,,,2,1,2,1,,,,,,,,,,,,,,,,
Belgium,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Belize,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Benin,,,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1
Bhutan,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
Bolivia,,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,2,2,1,1,1,1
Botswana,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brazil,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
Bulgaria,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1
"Burkina Faso",,,,,,,,,,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1
Burundi,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Cambodia,,,,,,,,,,,,,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
Cameroon,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
Canada,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Cape Verde",,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
"Central African Republic",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chad,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Chile,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1
Colombia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1
Comoros,,,,,,,,,,,,,,,,,,,,,2,1.5,1,2,2,1,1,1,1,1,2
"Congo (Brazzaville)",,,,,,,,,,,2,2,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,1
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,
"Costa Rica",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Croatia,,,,,,,,,,,,1,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1
