Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,4,4,4,4,4,4,4,4,4,4,4,4,4
Albania,9,8.5,8,8,8,7.5,7,7,7,7,7,7,7
Algeria,5,5,5,5.5,6,6,6,6,6,6,6,6,6
Angola,3,4,5,5.5,6,6,6,5.5,5,4.5,4,4,4
Argentina,8,8,8,8,8,8,8,8,8,8,8,8.5,9
Armenia,5,4.5,4,4,4,4,4,4.5,5,5,5,5,5
Azerbaijan,3,3.5,4,3.5,3,3.5,4,3.5,3,3,3,2.5,2
Bahrain,4,4,4,3.5,3,3,3,3,3,2.5,2,2,2
Bangladesh,7,7,7,7,7,7,7,6.5,6,5,4,4,4
Belarus,4,3.5,3,3,3,3,3,3,3,3,3,3,3
Benin,9,8.5,8,7.5,7,7.5,8,7.5,7,7,7,7.5,8
Bhutan,,,4,5,6,6,6,6.5,7,7,7,7,7
Bolivia,8,7.5,7,7,7,7,7,7.5,8,8,8,8,8
"Bosnia and Herzegovina",8,8,8,7,6,6,6,6,6,6,6,6,6
Botswana,8,8,8,7.5,7,7,7,7.5,8,7.5,7,7,7
Brazil,8,8,8,8,8,8,8,8,8,8,8,8,8
Bulgaria,8,8,8,8,8,8,8,7.5,7,7,7,7,7
"Burkina Faso",6,6,6,6.5,7,7,7,7,7,7,7,7,7
"Burma (Myanmar)",1,1,1,1,1,1,1,3,5,5,5,5,5
Burundi,5,5.5,6,5.5,5,4.5,4,4,4,4,4,3.5,3
Cambodia,5,5,5,5,5,4.5,4,4,4,4,4,3.5,3
Cameroon,3,3.5,4,4,4,4,4,4,4,3.5,3,3,3
"Central African Republic",5,5.5,6,5.5,5,5,5,5.5,6,6.5,7,6.5,6
Chad,4,3,2,2,2,2.5,3,2.5,2,2.5,3,3,3
Chile,10,10,10,10,10,10,10,9.5,9,9,9,9.5,10
China,2,2,2,2,2,2,2,2,2,2,2,2,2
Colombia,5,5.5,6,6,6,6,6,6,6,6.5,7,7,7
"Congo (Brazzaville)",,,,,4,4,4,4,4,3.5,3,3,3
"Congo (Kinshasa)",3,3.25,3.5,3.75,4,4,4,3.5,3,3,3,3.5,4
"Costa Rica",10,10,10,10,10,10,10,10,10,10,10,10,10
Croatia,10,9,8,7.5,7,7,7,7,7,7,7,7,7
Cuba,2,2,2,2,2,2,2,2.5,3,3,3,3,3
"Czech Republic",10,10,10,10,10,10,10,10,10,9.5,9,9.5,10
"Dominican Republic",7,7.5,8,8,8,8,8,8,8,8,8,8,8
Ecuador,7,7.5,8,7,6,6,6,5.5,5,4.5,4,4.5,5
Egypt,4,4.5,5,4.5,4,4,4,5,6,5,4,3.5,3
"El Salvador",7,7.5,8,7.5,7,7.5,8,8,8,8,8,8,8
Eritrea,1,1,1,1,1,1,1,1,1,1,1,1,1
Estonia,10,10,10,10,10,10,10,10,10,10,10,10,10
Ethiopia,4,3,2,3,4,3.5,3,2.5,2,2,2,2,2
Georgia,6,6.5,7,6.5,6,6,6,6.5,7,7.5,8,8,8
Ghana,8,8.5,9,8.5,8,8.5,9,9,9,8.5,8,8,8
Guatemala,5,5.5,6,6,6,6,6,5.5,5,5.5,6,6,6
Guinea,4,4,4,4.5,5,5.5,6,6.5,7,6.5,6,6,6
Haiti,4,4,4,4.5,5,5,5,5.5,6,6,6,6.5,7
Honduras,6,6,6,6.5,7,7,7,6.5,6,6,6,5.5,5
Hungary,10,10,10,10,10,9,8,7.5,7,6.5,6,6,6
India,9,9,9,9,9,9,9,8.5,8,7.5,7,7,7
Indonesia,7,6.5,6,6.5,7,7,7,6.5,6,6,6,6,6
Iran,4,4,4,3.5,3,2.5,2,1.5,1,1,1,1.5,2
Iraq,5,5,5,5,5,5,5,4.5,4,3.5,3,3,3
"Ivory Coast",3,3.5,4,4.5,5,4,3,4,5,5.5,6,6.5,7
Jamaica,10,10,10,10,10,10,10,10,10,10,10,10,10
Jordan,5,5,5,4.5,4,4,4,4,4,4,4,4,4
Kazakhstan,3,3.5,4,4,4,4,4,3.5,3,3,3,3,3
Kenya,6,7,8,7,6,7,8,8,8,7.5,7,7,7
Kosovo,,,,,7,6.5,6,6,6,6,6,6,6
Kuwait,,,6,6.5,7,6.5,6,6,6,5.5,5,4.5,4
Kyrgyzstan,4,5.5,7,5.5,4,5.5,7,7,7,7,7,6.5,6
Laos,1,1,1,1,1,1,1,1,1,1,1,1,1
Latvia,10,10,10,10,10,9.5,9,9,9,8.5,8,8,8
Lebanon,6,7,8,7.5,7,7,7,6.5,6,6.5,7,7,7
Lesotho,,,,,4,4,4,5,6,6,6,5.5,5
Liberia,5,5,5,5,5,5.5,6,6,6,6,6,6.5,7
Libya,1,1.5,2,2,2,1.5,1,4,7,6.5,6,5,4
Lithuania,10,10,10,9.5,9,9,9,9,9,9,9,9,9
"Macedonia (F.Y.R.O.M.)",9,8.5,8,7.5,7,6.5,6,5.5,5,4.5,4,4,4
Madagascar,7,7.5,8,7,6,5.5,5,4.5,4,4,4,4,4
Malawi,6,6,6,6.5,7,6.5,6,6.5,7,7,7,7,7
Malaysia,5,5.5,6,5.5,5,5,5,5,5,4.5,4,4,4
Mali,9,9,9,8.5,8,8,8,6.5,5,6,7,7,7
Mauritania,,,8,7,6,6.5,7,7,7,7,7,6.5,6
Mauritius,9,9,9,9,9,8.5,8,8,8,7.5,7,7,7
Mexico,7,7,7,7,7,6.5,6,6,6,6,6,5.5,5
Moldova,6,6.5,7,6.5,6,6.5,7,7,7,7,7,6.5,6
Mongolia,6,6,6,6,6,6,6,6,6,6,6,6.5,7
Montenegro,,,7,7,7,6.5,6,6,6,6,6,6,6
Morocco,5,5,5,5,5,4.5,4,4,4,4,4,3.5,3
Mozambique,7,7,7,6.5,6,6.5,7,7,7,6.5,6,5.5,5
Namibia,9,9,9,8.5,8,8.5,9,9,9,8.5,8,8,8
Nepal,6,6,6,6,6,6,6,6.5,7,7,7,7,7
Nicaragua,7,7.5,8,7.5,7,7,7,7,7,7,7,6.5,6
Niger,5,5,5,4,3,6,9,9,9,8.5,8,7.5,7
Nigeria,7,7,7,6.5,6,6.5,7,7,7,6.5,6,6,6
"North Korea",1,1,1,1,1,1,1,1,1,1,1,1,1
Oman,,,4,4,4,4,4,3,2,2,2,1.5,1
Pakistan,5,5,5,5.5,6,5.5,5,4.5,4,3.5,3,3,3
Panama,7,7.5,8,8,8,7.5,7,7,7,7,7,7,7
"Papua New Guinea",10,10,10,10,10,10,10,9.5,9,9,9,8.5,8
Paraguay,6,6.5,7,7,7,7,7,6.5,6,6,6,6,6
Peru,8,8,8,8,8,8,8,8,8,8,8,8,8
Philippines,8,7,6,5.5,5,5,5,5.5,6,6,6,6,6
Poland,9,8.5,8,8.5,9,9,9,9,9,9.5,10,9,8
Qatar,,,,,7,7,7,6.5,6,5.5,5,4.5,4
Romania,8,8,8,8,8,8,8,7.5,7,7,7,7,7
Russia,5,4.5,4,4,4,4,4,4,4,4,4,4,4
Rwanda,3,3,3,3.5,4,3.5,3,3,3,3,3,3,3
"Saudi Arabia",2,2,2,2.5,3,2.5,2,2,2,2,2,2,2
Senegal,9,8,7,7,7,7.5,8,8.5,9,8.5,8,8,8
Serbia,8,8,8,7.5,7,7,7,6.5,6,6.5,7,7,7
"Sierra Leone",6,6,6,6,6,6,6,6.5,7,6.5,6,6,6
Singapore,4,3.5,3,3,3,3,3,3,3,3,3,3,3
Slovakia,10,10,10,9.5,9,8.5,8,8.5,9,9,9,9,9
Slovenia,10,9.5,9,9,9,9,9,9,9,8.5,8,8,8
Somalia,3,3,3,2,1,1,1,1.5,2,2,2,2,2
"South Africa",10,10,10,9,8,8,8,8,8,8,8,7.5,7
"South Korea",9,9,9,8.5,8,7.5,7,7,7,7,7,7,7
"South Sudan",,,,,,,,,4,3.5,3,3,3
"Sri Lanka",7,7,7,6,5,5,5,4.5,4,4,4,5.5,7
Sudan,2,3,4,4.5,5,4,3,3,3,3,3,3,3
Syria,1,1.5,2,2,2,2,2,2,2,2,2,2,2
Taiwan,10,10,10,10,10,10,10,9.5,9,9,9,9,9
Tajikistan,4,4,4,3.5,3,3,3,3,3,3,3,2.5,2
Tanzania,6,6.5,7,6.5,6,6,6,6,6,6,6,6,6
Thailand,6,5.5,5,5,5,5,5,4.5,4,3,2,2,2
Togo,4,4,4,5,6,6,6,5.5,5,5,5,5,5
Tunisia,1,1,1,1.5,2,2.5,3,4.5,6,6,6,6,6
Turkey,6,6,6,6.5,7,7,7,6.5,6,5.5,5,4.5,4
Turkmenistan,1,1,1,1,1,1,1,1,1,1,1,1,1
Uganda,7,7.5,8,7,6,5.5,5,5.5,6,5.5,5,5,5
Ukraine,7,7.5,8,8,8,7,6,6,6,7,8,7.5,7
"United Arab Emirates",4,4,4,4.5,5,4.5,4,3.5,3,2.5,2,2.5,3
Uruguay,10,10,10,10,10,10,10,10,10,10,10,10,10
Uzbekistan,2,2,2,2,2,2,2,2,2,2,2,2,2
Venezuela,5,5,5,4.5,4,4,4,4,4,4,4,4,4
Vietnam,2,2,2,2,2,2,2,2,2,2,2,1.5,1
Yemen,5,4.5,4,4,4,3.5,3,3.5,4,3.5,3,3,3
Zambia,6,6.5,7,7,7,7,7,7,7,6.5,6,5.5,5
Zimbabwe,4,3.5,3,3,3,3.5,4,4,4,4,4,4,4
