Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,23378628009,25352757518,25620370017,28483515604,30065529260,34196594612,35431559621,42879503311,46495656382,49338254431,56460103814,57566226633,58321801150,58970664734,60287050237
Albania,14978051140,10546195932,9786869827,10726409334,11616701307,13161722580,14359439336,12803184016,13956603984,15840909286,16896962591,18238637422,19010381840,20107944441,21256018909,22472037478,23692496697,25090354002,26979657655,27883476189,28917953154,29655360961,30076467086,30410315869,30957701554,31759506025,32858384932
Algeria,265253000000,262070000000,266787000000,261185000000,258834000000,268670000000,279685000000,282762000000,297182000000,306692000000,318407000000,327986000000,346384000000,371330000000,387303000000,410184000000,417093000000,431161000000,441337000000,448541000000,464842000000,478284000000,494425000000,508109000000,527362000000,547209000000,567456000000
Angola,53485330049,52843506094,49197304173,37045570049,38342164996,42329750163,47070682167,50789266063,54245354800,56002795626,57689642488,60124702191,55951770351,58887836446,65294584236,77218322301,93229637862,114293000000,130085000000,133224000000,137764000000,143162000000,150543000000,160800000000,168526000000,173593000000,173593000000
"Antigua and Barbuda",1092513229,1116295856,1129226204,1188850155,1268220112,1212932132,1293044093,1363788241,1428313341,1481273695,1571403792,1489751037,1505955352,1597977348,1690842700,1797150779,2027275231,2215601284,2216657603,1949870557,1812566041,1780605553,1848935753,1845236187,1930168594,2009826596,2097770150
Argentina,353996000000,398846000000,446471000000,472844000000,500440000000,486201000000,513072000000,554688000000,576044000000,556542000000,552151000000,527808000000,470306000000,511867000000,558086000000,607486000000,656372000000,715495000000,744525000000,700460000000,771384000000,817698000000,809305000000,828771000000,807947000000,829336000000,810276000000
Armenia,13241360920,11692121893,6804814620,6205991016,6541114704,6992451514,7402586818,7648432626,8206768207,8477591558,8977769460,9835742702,11132713294,12695834752,14024814657,15969454960,18077104187,20562561750,21981378511,18871015949,19286178300,20192628680,21646497945,22360832378,23165822344,23860797013,23908518607
Aruba,,,,,,,,,,,,,,,,,,,,,,3671232222,,,,,
Australia,487767000000,485936000000,488057000000,507882000000,528459000000,549013000000,570692000000,593221000000,619561000000,650581000000,675745000000,688787000000,715325000000,737274000000,767839000000,792437000000,816036000000,846635000000,877945000000,893853000000,911782000000,933417000000,967340000000,992199000000,1018090000000,1042740000000,1071580000000
Austria,240050000000,248312000000,253510000000,254846000000,260968000000,267930000000,274356000000,280405000000,290388000000,300813000000,310945000000,315145000000,320363000000,322785000000,331519000000,338616000000,349962000000,362636000000,368247000000,354257000000,361090000000,371229000000,373998000000,374462000000,376877000000,380506000000,386141000000
Azerbaijan,60946791250,60520163735,46842606492,36021964604,28925637570,25512412077,25844073485,27343029882,30077332946,32303055759,35888694708,39441675484,43622492770,48508212064,53456049887,67568447490,90879561543,113644000000,125886000000,137733000000,144419000000,144514000000,147693000000,156255000000,159380000000,161133000000,156138000000
Bahamas,6224182973,5963901046,5735747078,5753402105,5934571915,6194432066,6456055805,6589195137,6899972801,7392915823,7699666117,7901830639,8115545882,8012904952,8083649626,8358113189,8568475518,8692420420,8490393586,8135417039,8261272360,8311829626,8567843014,8568918701,8523739868,8382824935,8404338665
Bahrain,17644257487,19625707388,20938666891,23633474717,23574390679,24500862240,25507849176,26296806897,27556424680,28741350655,30264640743,31018543103,32139599248,34075673021,36454477689,38922059305,41439759050,44876127789,47678699564,48889630050,51008705640,52020628205,53962168892,56885031775,59359440967,61058289068,
Bangladesh,136764000000,141530000000,149234000000,156265000000,162344000000,170658000000,178376000000,186385000000,196035000000,205190000000,216051000000,227021000000,235722000000,246895000000,259831000000,276813000000,295282000000,316125000000,335136000000,352044000000,371659000000,395684000000,421489000000,446835000000,473919000000,504973000000,540894000000
Barbados,3462563894,3327523613,3137854209,3162957063,3226216208,3291490997,3422040574,3584250379,3718317759,3730434636,3896553111,3804308499,3834405258,3917659929,3972772176,4130291576,4364420908,4441421707,4459010722,4278821036,4290156179,4322598139,4335496750,4332369814,4335105883,4374192583,4442594308
Belarus,85117948717,84096533332,76023266132,70245497906,62026774651,55575990088,57132117809,63645179240,68991374296,71337081022,75474631722,79041039028,83028870737,88876754079,99052913943,108364000000,119200000000,129452000000,142656000000,142941000000,154081000000,162623000000,165439000000,167133000000,170013000000,163502000000,159171000000
Belgium,306011000000,311620000000,316390000000,313346000000,323458000000,331172000000,336449000000,348932000000,355825000000,368504000000,381895000000,384994000000,391848000000,394883000000,409236000000,417807000000,428249000000,442799000000,446108000000,435914000000,447662000000,455705000000,456330000000,456045000000,463552000000,470395000000,476006000000
Belize,968677627.2,1070360129,1199186083,1274453762,1276466618,1284686725,1303041336,1349236482,1399710833,1522610643,1721140223,1807466817,1899983080,2077185721,2173784579,2229840876,2332024679,2357777479,2433898206,2451254767,2532745315,2586033030,2684942297,2720224565,2831237855,2896339797,2873783549
Benin,7281933690,7589653602,7814133608,8270179892,8437270644,8947320415,9334227963,9869516849,10260449609,10808506330,11441883948,12051783372,12611524838,13045871410,13623755116,13856936261,14403871440,15266161439,16013194855,16384577181,16731414124,17227124155,18055797651,19354568603,20585039357,21016184357,21852899134
Bermuda,2405862615,2320830206,2319443808,2389225839,2403551952,2509287756,2574541183,2692970077,2797995910,2892642283,3162154265,3390538833,3340433777,3454366159,3534551202,3593726911,3792958313,3900901739,3960503379,3751223364,3672668488,3550019929,3378392790,3293556129,,,
Bhutan,1249305960,1244210339,1301455106,1327306776,1393028419,1491572883,1574581493,1659196960,1757322379,1897626506,2029189412,2195659523,2431206377,2617542155,2771883125,2969312154,3172691209,3741422281,3919826548,4180778174,4671219173,5039821055,5295426154,5408880477,5719645280,6090928652,6466521118
Bolivia,25417776632,26756409462,27196953754,28358071901,29681618624,31070206991,32425284448,34031700725,35743275683,35895858517,36796058737,37415630452,38345620544,39385300629,41028965643,42843033922,44898218039,46947500637,49834113568,51507045388,53632598252,56423688392,59313864686,63344841873,66803831147,70048618747,73035435394
"Bosnia and Herzegovina",,,,,5812438951,7021426285,13267523143,17830167911,20611673457,22590394066,23832865838,24881511818,26200232011,27248241308,28910383966,31442421984,33133545363,35031685633,36951950237,35891473136,36166851984,36495336684,36154766731,37020381256,37420895754,38549480540,39315716632
Botswana,11175473237,12009019277,12359330813,12596148833,13053126535,13970814882,14785285459,15972033645,16087350634,17642553549,17993233855,18038320196,19133161609,20018241535,20559899466,21496741232,23294700953,25222748319,26798019275,24747351712,26866623780,28491602187,29761235623,33137178835,34512124134,33925440081,34909277844
Brazil,1544990000000,1568350000000,1561030000000,1633850000000,1721010000000,1797030000000,1836700000000,1899050000000,1905480000000,1914420000000,1993150000000,2020850000000,2082550000000,2106310000000,2227640000000,2298970000000,2390050000000,2535120000000,2664270000000,2660920000000,2861240000000,2974960000000,3032110000000,3123220000000,3138960000000,3020640000000,2912060000000
Brunei,21911944834,22601281770,23676782035,23748895091,24495892218,25592991541,26329639158,25942284992,25797395034,26584772069,27342284375,28092567737,29180339200,30027723259,30179158548,30296104963,31628442732,31677334552,31062884657,30514769017,31307837411,32480415591,32776910360,32080063898,31326263640,31148701801,30380725976
Bulgaria,81052972580,74207761114,68811084869,67792532987,69025008857,70999254872,72135242924,71341755315,73838716632,69696364646,73188814237,76297893551,80889594070,84996781204,90568801758,97122535035,103681000000,111639000000,117944000000,112967000000,113028000000,115193000000,115228000000,116222000000,117766000000,122026000000,126227000000
"Burkina Faso",7235850446,7892140957,7910506819,8184319910,8291944312,8765942850,9731489002,10346211080,11102283178,11924316094,12141367491,12944324635,13507791646,14561728970,15213872267,16531676827,17565428799,18558754697,19912522715,20502334500,22234028342,23684080409,25212337086,25921979429,27007059165,28086807428,29733169029
Burundi,5889202771,6183476602,6245929615,5856183607,5631891775,5185845946,4770978271,4695119716,4918137902,4868464710,4826748585,4925977226,5145011760,5082050812,5327699756,5375649054,5665109338,5936231951,6235899991,6452187532,6696461064,6977151646,7257588874,7591006442,7944817041,7634578343,7589746511
"Cape Verde",566468507.9,574422557.7,637250870.7,692744660.8,825631387.8,942967117.4,1049961115,1166700265,1312739470,1460063606,1668631777,1705869873,1795443245,1870425611,2061154268,2203630691,2379563066,2740559155,2922820603,2885688331,2928015322,3044224922,3077160949,3101864322,3120823310,3154092726,3277694564
Cambodia,,,,10118108202,11038801867,11750021141,12385972162,13082038149,13737321724,15373403487,16721262254,18083775263,19273495897,20912879329,23075381634,26132889756,28947685177,31903988922,34038869058,34068379722,36099903974,38652011936,41478767114,44559768497,47710823823,51067798981,54582580284
Cameroon,33414647780,32142017714,31145614133,28675123285,29266806488,30475048824,31971964798,33671005671,35319322455,36754091816,38288053621,40016480155,41620758680,43298488681,44901335539,45932653147,47413523255,48957148497,50369095294,51342150959,53020345598,55215701705,57749405978,60961247834,64574399632,68302439597,71393874984
Canada,869849000000,851358000000,858876000000,881681000000,921299000000,945969000000,961209000000,1002350000000,1041260000000,1095020000000,1151770000000,1172160000000,1207450000000,1229210000000,1267140000000,1307710000000,1342010000000,1369700000000,1383400000000,1342590000000,1383990000000,1427470000000,1452380000000,1488330000000,1526510000000,1540880000000,1563500000000
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,2823463452,,,,,
"Central African Republic",2740634996,2725491809,2550404084,2558954969,2684342467,2877616348,2762509019,2908920229,3045643622,3155286028,3076737314,3214105606,3330345091,3150590207,3339464442,3369793809,3530569551,3693241774,3769105796,3833528831,3950322452,4080711502,4248542917,2689329687,2717299201,2847726468,2976765097
Chad,6614722472,7179298108,7753745579,6535644784,7198155752,7287164498,7448536790,7869631798,8416695541,8359222117,8285687626,9251644247,10037220772,11514866991,15387244430,18054243761,18171282566,18765755998,19338616642,20154260616,22885183257,22904148163,24938626547,26360128600,28178973531,28686194920,26678161275
Chile,119071000000,128364000000,142698000000,152100000000,159751000000,174022000000,185861000000,199666000000,208301000000,207442000000,218493000000,225710000000,232722000000,242243000000,259708000000,274622000000,291971000000,306293000000,317104000000,312143000000,330386000000,350575000000,369221000000,384156000000,391492000000,400311000000,406672000000
China,1732760000000,1893800000000,2163030000000,2462990000000,2784460000000,3089330000000,3396050000000,3709540000000,4000280000000,4307000000000,4672730000000,5062430000000,5524660000000,6079090000000,6693760000000,7456570000000,8405010000000,9601150000000,10528100000000,11517700000000,12742700000000,13957900000000,15054500000000,16222400000000,17406200000000,18607300000000,19854000000000
Colombia,258185000000,264065000000,277354000000,283916000000,300485000000,316117000000,322616000000,333683000000,335584000000,321476000000,335685000000,341318000000,349864000000,363573000000,382962000000,400986000000,427843000000,457366000000,473588000000,481410000000,500530000000,533513000000,555088000000,582143000000,607720000000,626268000000,638543000000
Comoros,658530458.3,622998796.1,676146346.4,696470882.8,659720328.9,683537086.9,674708054.1,701901087.2,710904109.1,724582783.3,803186066.7,821923887.6,841031803.6,858727970.3,875212132.8,900045469.8,923868772.2,931261134,934988663.7,953220942.4,974191803,999520790.7,1029506414,1065539139,1087506714,1098546195,1122714212
"Congo (Kinshasa)",44322410982,40589997928,36328044669,31435001973,30209037901,30420500813,30109246571,28417996160,27956444126,26762664591,24913116293,24389897745,25108854659,26509381956,28295683240,30031666177,31629645446,33609493565,35701987121,36721300313,39320760557,42019985293,45027716856,48856650252,53502899890,57185360031,58446468776
"Congo (Brazzaville)",12544967571,12845465641,13180982531,13051850658,12334902615,12826488496,13376806620,13293226707,13790068070,13433981021,14451736789,15001278806,15688617909,15816207802,16366079084,17635392732,18735135296,18438703723,19466157004,20920060529,22750912219,23529134761,24423240907,25263572639,26976427946,27690345067,27174013462
"Costa Rica",24109013879,24729078422,27003303099,28917166954,30214757583,31460057677,31849475397,33621881292,35962535832,37380665886,38776659193,40130146629,41451132013,43215075093,45089129284,46834472245,50224226207,54326488829,56852452418,56300671900,59088604516,61633610782,64590125734,66055693385,68471220380,71705298733,74809269104
"Ivory Coast",39180243996,39196278577,39100419918,39025157436,39341732121,42145123523,45402658112,47102330747,49424795774,50224255409,49185416882,49245114164,48423881889,47765541810,48353904781,49186195094,49931780276,50813094565,52105191009,53799367179,54884843974,52476906029,58095348126,63259688377,68822794330,75129288986,81706941227
Croatia,,,,,,58943867069,62406051959,66553229983,67792371866,67158174233,69688355876,72081735812,75863485722,80079907732,83349418764,86819955950,90974395789,95659581702,97623822550,90415491337,88877298004,88627319350,86688659512,85766360576,85344598042,86745480176,89286504946
Cyprus,13512014698,13611936242,14891458090,14995698340,15880444358,17225230322,17454844957,17902667884,18839971683,19749668828,20880219213,21632045965,22367341785,22921127981,23968693092,24861363377,25982656441,27235205099,28287564180,27786181036,28152341163,28242765356,27350921618,25722790203,25328858112,25754198972,26484204894
"Czech Republic",206308000000,182345000000,181422000000,181534000000,186815000000,198438000000,206937000000,205541000000,204892000000,207838000000,216763000000,223378000000,227057000000,235235000000,246873000000,262777000000,280847000000,296376000000,304411000000,289672000000,296320000000,302260000000,299843000000,298392000000,306494000000,320396000000,328168000000
