Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,1.959122893,1.312530908,1.112557519,2.232271773
Albania,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596802,1.104938262,-1.251596645,1.78064396,5.637243178,-0.787842655,-1.420039655,9.83654897,-9.575640169,-29.5889977,-7.199999986,9.600000045,8.29999998,13.29999999,9.100000008,-10.83785574,9.00885254,13.50117338,6.666620499,7.940331425,4.231371018,5.773490561,5.709556596,5.720819947,5.431012739,5.9,7.529999989,3.350000009,3.709999994,2.550000005,1.419999998,1.109999993,1.799999998,2.590000005,3.459999994
Algeria,-13.60544133,-19.68504183,34.31372878,5.839413007,6.20689821,-4.804970943,9.452962563,10.79623857,8.433280282,8.862657109,-11.33171917,27.42396948,3.813176297,7.494917703,5.045341613,8.386756484,5.258585987,9.214835701,7.47782655,0.790606973,2.999996087,6.400004116,5.400003024,5.59999653,3.699997255,0.400001003,-0.699997526,-1.00000549,4.40000216,0.80000058,-1.200000584,1.800002301,-2.100000759,-0.899996549,3.79999479,4.09999847,1.099999938,5.100003611,3.200001551,3.819678496,3.008395466,5.60932319,7.201872244,4.301624264,5.907791268,1.684488319,3.372875154,2.360134861,1.632243838,3.634145353,2.891865995,3.374768651,2.767638867,3.789121212,3.763466958,3.7
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814111262,0.538358008,-0.401606426,-4.166666667,1.963534362,-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-3.215926493,1.424050633,1.092043682,
Andorra,,,,,,,,,,,4.649465361,8.149743489,7.788467203,5.61878973,0.542205659,3.30378705,2.838575566,1.463000179,0.041557195,2.208727607,-0.132474511,1.246461113,1.770118317,1.784686694,2.321433032,3.253321778,5.547122171,5.094326203,4.827034244,3.78138759,2.546002872,0.929211956,-1.031484011,2.383187691,2.757499187,4.649740149,9.067672199,3.194790296,4.099080837,1.165787079,6.066780597,6.426845139,12.02391974,8.069504291,7.839704496,4.585310593,0.078039378,-8.594256008,-3.817986024,-5.347977181,-4.802675037,-1.760010328,-0.063514313,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,2.800000008,7.900000004,5.599999981,0.400000019,-0.300000019,-1.199999989,-6.900000002,-24.69999999,3.499999989,10.40000002,11.19999997,7.90000001,6.804762116,3.239799671,3.012076171,4.220965147,-6.940461553,5.247494541,10.87957748,18.26145032,20.73512488,22.5930543,13.81714581,2.412869693,3.407654794,3.918596986,5.155440545,6.81358577,4.804472704,3.006980545,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,4.383621181,8.079742374,8.161435314,3.814916847,-0.08400885,5.364009643,10.16500109,7.643790495,11.49382819,6.626370731,5.213268558,5.252278102,3.011645772,2.176873116,1.158326269,5.280071488,6.676195163,-4.35949399,6.604818088,5.471131932,4.731313712,3.707894618,6.084634973,-5.196166358,1.087719703,6.110539449,5.811431058,6.287283752,12.80496079,9.289614439,0.047676393,-12.03555504,-7.041724676,-1.763273019,3.837469787,-0.200091657,4.602793308,4.126997099,4.375678654
Argentina,5.42784288,-0.852021523,-5.308196827,10.13029766,10.56943334,-0.659726172,3.191996623,4.822500782,9.679526008,3.045643319,5.658131083,1.628416516,2.811754041,5.533804395,-0.028412103,-2.018251517,6.934147755,-4.506124802,10.22276346,4.151762342,-5.689528,-4.957178519,3.875123424,2.211773504,-7.586677184,7.87577983,2.909993131,-2.556904877,-7.496189584,-2.398959219,12.66971009,11.94077473,5.906919492,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.647271415,-2.298175991
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998792,5.40000279,6.899998407,5.865400748,3.321079696,7.3,3.3,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003,3.300000002,3.600000001,2.999999997,0.199999998
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.245085912,7.814431719,6.66662183,1.154469392,4.514062033,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,,,,,,,
