Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,6536.041016,6155.557129,4290.957031,3111.926025,4371.648926,4015.593994,3713.435059,3469.332031,3219.7229,2960.12793,2667.485107,4146.664063,4624.745117,4437.737793,4709.75,4834.673828,5371.015137,5440.941895,6417.600098,6744.200195,6853.138184,7466.367188,7239.279785,6968.056152,6721.231934,6595.128906
Albania,8017.40918,7623.229004,8685.555664,9602.84668,11040.43848,12009.65625,10424.43945,11409.79004,12918.74316,13639.11914,16325.74121,15402.2041,16297.77832,17441.94922,18692.51758,19796.23438,21397.75977,23244.13086,24601.49609,25912.27734,26810.10547,27292.48047,28577.76172,30128.94336,30634.59375,31256.47461
Algeria,51043.84766,51247.55469,48130.52734,46372.92578,48308.60547,49180.63672,45955.14844,47262.53906,47759.03516,50254.9375,49535.5625,50119.99609,50997.69141,48214.39063,48527.05469,46695.00781,48180.44531,46882.07813,46183.52734,46581,46998.49609,48087.73047,46931.375,48427.65625,49691.80078,50782.08594
Angola,11878.72852,10670.20801,7670.210938,7702.882813,8262.68457,8969.926758,9431.704102,9808.429688,9828.810547,9809.25,9922.989258,10984.78516,11156.98633,11982.56348,13773.63867,16212,19378.76172,21385.14648,21073.32031,20987.17383,21086.92383,21414.03125,22073.20898,22286.39648,22125.18359,21377.40625
Argentina,14235.08984,15807.4873,17014.55273,18038.71094,18544.97852,18935.12109,19646.34766,19635.5293,18988.12305,18774.82031,18131.25391,16314.15527,16721.13086,16435.35547,17279.77734,18077.6582,19229.29492,19618.29297,19451.24023,21068.08203,22564.37109,22399.56641,22618.29297,22386.72266,22476.26563,21792.2207
Armenia,9821.390625,5783.637207,5456.018066,5832.132813,6384.453125,6869.275879,7035.518066,7634.526855,7849.617188,8422.103516,9174.02832,10250.92578,11555.23535,12623.06738,14221.80664,15976.04883,18027.0332,19067.74023,16633.62109,16414.99219,16525.40039,17398.26953,17503.64063,18221.05273,18423.70313,18877.11133
Australia,62673.08203,63176.40625,65392.64063,65970.57031,66050.89063,68006.58594,70065.42969,71791.20313,74003.34375,75000.71094,75741.61719,77288.70313,77981.66406,79717.75,79465.83594,79618.19531,80065.51563,80911.17969,82018.21094,81719.625,82042.22656,84102.42969,85437.26563,86868.42969,87808.15625,88980.96094
Austria,70829.80469,71161.21875,71480.3125,70335.16406,72060.14844,75031.34375,76298.17969,79171.80469,80719.72656,83174.82813,83135.16406,83900.85938,83560.45313,87381.70313,87532.02344,88491.35156,89423.5625,89264.1875,86138.07031,87171.08594,88676.88281,88749.20313,88988.47656,90300.89063,90788.23438,92168.90625
Azerbaijan,21618.77539,16153.17871,12027.79688,9400.634766,8111.163086,8077.480957,8610.524414,9407.210938,9734.256836,11386.80664,12109.7002,12957.72168,13954,14825.58008,18167.24219,23737.34961,28952.60742,30786.78125,32663.39063,33734.28516,33220.50781,33233.04688,34410.30859,34500.82422,34245.02344,33241.85156
Bahamas,52538.26563,50329.13281,48060.35938,48617.23828,48760.57422,51091.73438,51410.51172,53061.49219,55486.20703,56166.45703,55182.46484,55960.55469,54317.32031,52483.24219,52369.02344,50570.17188,49889.00781,47385.92969,47116.97266,46505.57813,45974.59766,45755.95313,46028.48828,45709.19922,44226.14063,43376.22266
Bahrain,89133.47656,92017.24219,100189.4688,96174.96094,96133.03125,97673.00781,97871.10156,99225.85938,99696.64844,100635.4688,97452.70313,95805.88281,95636.65625,95235.63281,92543.19531,87578.74219,84012.625,79558.34375,73898.36719,71339.86719,71320.04688,73243.32813,77189.61719,80585.77344,82276.55469,83173.82813
Bangladesh,3042.125,3196.870117,3235.111084,3314.477051,3444.166016,3495.749023,3650.074951,3647.50293,3791.184082,3836.516113,3972.229004,4066.594971,4243.775879,4417.938965,4646.245117,4930.211914,5217.420898,5449.048828,5811.095215,6071.86084,6344.134766,6631.778809,6883.524902,7157.354004,7478.916992,7832.979004
Barbados,29732.49219,29594.16602,30434.6875,29602.7168,28517.00195,28073.83203,29185.36523,29267.70703,28578.01758,29340.4082,28484.15234,29092.79883,29701.05078,29281.45508,30092.65234,31561.42969,31552.17969,31854.92578,31185.05469,31553.09375,31741.35742,32339.08203,32186.64453,32506.76367,32517.63086,33073.00391
Belarus,15634.45801,14315.59473,13401.64844,11991.69238,10883.01953,11306.54395,12751.51953,13978.23047,14616.11133,15393.36133,16068.8584,16828.23438,17962.08203,19967.35742,21765.32813,23910.80273,25898.31836,28459.62109,28487.34766,30673.37109,32408.12109,32980.10938,33351.61328,33969.73828,32779.58594,32111.52148
Belgium,82061.57031,82322.88281,82279.55469,85089.0625,86111.07813,87533.92969,89883.25781,91282.40625,91442.15625,91651.63281,93999.86719,94286.8125,94997.55469,95960.28125,96619.89063,98458.28906,99160.30469,98615.97656,97033.05469,98282.96875,99863.17969,99695.29688,99392.5,100160.4375,100913.5391,101705.1953
Belize,17268.03125,19563.32617,21457.72656,21281.54492,21012.96289,20649.11523,20057.12109,20106.53906,20436.46875,21535.8457,21246.85547,21632.80859,22735.77148,22874.2832,22713.70313,22242.49219,21237.67773,20861.0918,21154.20313,21015.29492,20592.28125,20611.32227,19547.96875,19487.80664,18707.12109,18371.9082
Benin,3766.49292,3751.745117,3798.061035,3719.179932,3789.389893,3835.110107,3947.905029,3998.677979,4090.956055,4201.542969,4284.780762,4337.844238,4342.904785,4350.191895,4271.14209,4302.064941,4414.780762,4485.146973,4446.441895,4396.5,4383.288086,4443.829102,4601.463867,4748.359863,4826.662109,4894.876953
Bhutan,6514.678223,6955.154785,7263.477051,7664.237793,8220.74707,8507.518555,8849.220703,8800.633789,9058.339844,9218.161133,9308.138672,9589.46875,9641.552734,9683.091797,9912.741211,10206.35059,11738.9668,11986.19238,12524.73926,13775.91504,14764.55762,15514.25,15498.79004,15986.48438,16345.68262,16894.25391
Bolivia,10335.63965,10206.73438,10335.60742,10183.52734,10405.57129,10585.7041,10325.83496,10656.57422,10636.8291,10711.32129,10680.45898,10664.07324,10677.3584,10708.86914,11027.11914,11215.07617,11391.12402,11487.44043,11619.33691,12178.25391,12140.46484,12367.31738,12933.65234,13361.96387,13696.09473,13921.05371
"Bosnia and Herzegovina",4623.831055,4666.646973,4572.123047,5272.881836,6428.207031,11908.0459,16073.61621,18656.01953,20497.01367,21687.29492,24487.95508,24216.37305,23684.28125,26360.87109,27432.34375,32854.11328,32773.41016,31381.13867,30897.60352,31995.87891,32745.02148,32282.81836,32993.32031,33512.83203,34082.00781,34990.48047
Botswana,23877.56836,24124.33398,24149.94336,25170.20703,26062.75391,26606.09766,27448.48633,26872.48633,27696.11914,26559.24414,26828.99805,28608.91602,30264.54883,29654.12109,29561.4375,30160.83984,31998.48047,30952.74219,28578.03516,31091.14844,32028.9668,32651.11914,34842.33594,35377.66016,34784.79688,35360.58594
Brazil,26047.98828,24833.06641,25282.31445,25838.49609,26082.56445,27173.95117,27259.08008,27709.05469,26883.24414,27293.82422,26888.28125,26974.40234,26899.6875,27353.75781,26947.125,27698.20703,28859.69922,29346.27344,28870.74414,30652.47852,31632.98438,31687.20703,32267.81641,31630.86719,30588.73633,30230.375
Brunei,188765.3281,191008.7656,184826.6875,183742.2656,184407.0625,183250.7344,174096.6563,166667.7969,165207.0313,163481.0781,163715.4531,166052.9063,166779.7969,163567.5938,160238.1875,164165.75,160938.8281,154258.4531,148141.3125,148771.8594,151240.625,150680.75,146539.5938,141793.7344,138970.0156,137803.7031
Bulgaria,22320.98828,19894.30859,21962.55078,22457.79297,22420.62109,22671.54102,22963.80664,23861.87305,23539.64453,25952.94727,27438.41797,28801.66406,29330.32031,30283.46094,32362.06445,33005.11328,34006.38672,34815.83984,34535.92188,36833.16797,38744.69141,39208.56641,39754.88672,39801.70313,40293.875,41347.32813
"Burkina Faso",2043.547974,1985.376953,2013.375,1969.970947,2020.912964,2182.556885,2252.544922,2350.537109,2449.540039,2422.821045,2501.816895,2557.208984,2651.378906,2706.818115,2873.25,2912.621094,3012.435059,3131.886963,3120.853027,3278.795898,3384.875977,3492.341064,3504.568115,3526.87207,3545.283936,3608.844971
Burundi,2347.406982,2349.961914,2183.300049,2081.684082,1900.477051,1739.21106,1703.852051,1774.463013,1727.365967,1676.932007,1650.536987,1656.156006,1567.44104,1573.46106,1520.779053,1538.829956,1548.321045,1562.51001,1553.640991,1550.462036,1562.866943,1572.447021,1591.18396,1611.968994,1502.172974,1451.425049
"Cape Verde",5534.288086,5943.199219,6244.581055,7179.335938,7911.020996,8522.506836,9173.600586,10003.70801,10787.20508,11920.06543,11721.20801,11862.16602,11894.70313,12623.81836,13041.20996,13604.34473,15177.81641,15702.97168,15025.32227,14802.50293,15026.25781,14783.94336,14542.85059,14577.73438,14483.40918,14707.44922
Cambodia,2201.587891,2292.791992,2335.791016,2512.603027,2577.554932,2623.738037,2672.301025,2705.780029,2876.668945,2965.013916,2981.065918,3094.438965,3293.081055,3588.50708,3921.820068,4188.797852,4445.410156,4693.419922,4430.250977,4454.050781,4634.291016,5051.97998,5392.179199,5653.435059,5936.654785,6232.435059
Cameroon,7533.323242,7063.161133,6289.904785,6208.279785,6179.437988,6546.773926,6646.210938,6716.478027,6588.73584,6633.189941,6764.619141,6675.676758,6705.457031,6644.727051,6501.833008,6432.707031,6360.678223,6332.649902,6245.837891,6260.754883,6339.184082,6443.974121,6611.152832,6802.981934,7004.051758,7142.76416
Canada,64155.58984,65456.83203,66889.95313,68555.88281,69284.79688,69925.36719,71403.3125,72487.08594,74115.9375,76030.59375,76483.35938,76900.03125,76449.60938,77506.94531,78923.07031,79477.03906,79073.61719,78651.78125,77869.00781,79464.80469,80575.13281,81119.38281,81720.50781,83139.77344,83369.8125,83890.67969
"Central African Republic",2193.449951,1994.839966,1945.675049,1987.186035,2071.256104,1936.255005,1997.23999,2043.833008,2070.462891,1970.536987,2026.95105,2065.783936,1915.889038,1997.969971,1977.51001,2010.744995,2060.02002,2054.329102,2042.360962,2055.750977,2073.487061,2107.931885,1298.344971,1284.781006,1313.967041,1350.676025
Chad,3283.989014,3456.195068,2809.736084,3007.563965,2950.508057,2932.354004,3006.584961,3114.168945,2987.5,2858.531006,3090.27002,3234.011963,3578.611084,4617.944824,5205.646973,5063.397949,5057.466797,5036.270996,5067.789063,5555.167969,5362.101074,5636.737793,5739.587891,5932.549805,5815.286133,5550.978027
"Channel Islands",58790.37109,59217.88281,59500.65234,61016.66016,63098.77344,64661.73828,67014.72656,69209.61719,70990.00781,74380.45313,72754.79688,70836.71875,67767.375,67120.02344,67569.21094,70381.07031,74008.57813,73712.11719,69805.15625,69966.75781,70937.25,70070.20313,69715.45313,70667.21094,72613.66406,73857.13281
