Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,0.06405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93224,0.9145,0.8968,0.8791,0.8614,0.8437,0.826,0.80829,0.8208,0.8333,0.8458,0.91191,,,,
Algeria,,,,,,,,,,,,,,,,,,0.2316,0.2314,0.2312,0.2311,0.2309,0.2307,0.2305,0.2303,0.2301,0.23,0.2298,0.2296,0.2294,0.2292,0.229,0.22886,0.2178,0.2068,0.1958,0.18479,0.2443,0.30372,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39461,0.3828,0.371,0.3591,0.3473,0.3355,0.3237,0.3118,0.3,0.2882,0.2764,0.2645,0.2527,0.24088,,
Anguilla,,,,,,,,,,,,,,,0.99221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,0.96594,0.9673,0.9687,0.9701,0.9715,0.9729,0.9743,0.9757,0.9771,0.9785,0.9799,0.98132,0.9823,0.9834,0.9844,0.9854,0.9864,0.9875,0.9885,0.9895,0.9905,0.99156,0.9919,0.9923,0.9927,0.9931,0.9934,0.9938,0.9942,0.9946,0.995,0.9953,0.9957,0.9961,0.9965,0.99685,
Armenia,,,,,,,,,,,,,,,,,,,,0.90733,0.9124,0.9174,0.9224,0.9275,0.9325,0.9375,0.9426,0.9476,0.9526,0.9576,0.9627,0.96771,0.97,0.9723,0.9746,0.9769,0.9792,0.9815,0.9838,0.9862,0.9885,0.99076,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96993,0.9701,0.9704,0.9706,0.9708,0.971,0.9712,0.9714,0.9717,0.9719,0.97208,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9064,0.9132,0.9199,0.9267,0.9334,0.9402,0.9469,0.9537,0.9604,0.975,0.98956,0.98874,0.9923,0.99465,0.99496,0.99619,0.99645,0.99649
Bahrain,,,,,,,,,,,,0.22767,0.2346,0.2416,0.2485,0.2555,0.2624,0.2694,0.2763,0.2833,0.2902,0.29717,0.3196,0.342,0.3645,0.3869,0.4094,0.4318,0.4542,0.4767,0.4991,0.52156,0.5164,0.5112,0.506,0.5008,0.4955,0.4903,0.4851,0.4799,0.47474,,,,,,
Bangladesh,,,,,,,,,,,,0.13836,0.1459,0.1534,0.161,0.1685,0.176,0.1835,0.1911,0.1986,0.2061,0.21367,0.2318,0.25,0.2682,0.2864,0.3045,0.3227,0.3409,0.3591,0.3772,0.39541,0.3452,0.295,0.2448,0.1946,0.1444,0.09417,0.1034,0.1127,0.122,0.13123,0.2004,0.2696,0.3388,0.408,0.47713
Barbados,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,0.86629,0.8779,0.8894,0.901,0.9126,0.9242,0.9358,0.9473,0.9589,0.9705,0.98206,0.9826,0.983,0.9835,0.984,0.9845,0.985,0.9855,0.986,0.9865,0.98699,,,,,,,
Ecuador,,,,,,,,,,,,,0.81366,0.817,0.8204,0.8238,0.8272,0.8306,0.834,0.8374,0.84077,0.8463,0.8519,0.8575,0.863,0.8686,0.8742,0.8797,0.8853,0.8909,0.8965,0.90202,0.8865,0.8709,0.8554,0.8399,0.8243,0.80877,0.8302,0.85168,0.86529,0.86543,0.90058,0.87499,0.87879,0.86806,0.87542
"West Bank and Gaza",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20341,0.2239,0.2445,0.265,0.2856,0.3061,0.3266,0.34716,0.3686,0.39012,0.41691,0.57847,0.46898,0.47305,0.48772,0.5316,0.55904,0.58166,0.58613,0.60504
Spain,,,,,,,,,,,,0.81653,0.8258,0.8352,0.8445,0.8538,0.8631,0.8724,0.8817,0.8911,0.9004,0.90968,0.9119,0.9142,0.9165,0.9187,0.921,0.9232,0.9255,0.9278,0.93,0.9323,0.9345,0.9368,0.93905,0.94185,0.9441,0.94625,0.94218,0.94565,0.94374,0.94859,0.94887,0.95243,0.95554,0.95537,0.95997
