Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,0.181819469,0.203614458,0.137630194,0.175329223,0.247159243,0.074734926,0.118579052,0.094685629,0.057072122,-0.106340349
Albania,,,-0.016182963,-0.0895,-0.162897274,-0.177532762,-0.210192919,-0.174558803,-0.132977307,-0.030552704,-0.086883023,-0.023275997,-0.035140377
Algeria,,,,,,-0.232023388,-0.207378626,-0.198870689,-0.198,-0.1972,-0.1964,-0.1955,-0.194670126
Angola,,,,,,,0.064475477,-0.124706,-0.093646996,-0.157882348,,,
Argentina,,-0.156323865,-0.140862063,-0.131773502,-0.129522815,-0.125791952,-0.174471676,-0.148022771,-0.130663589,-0.1645291,-0.174311623,-0.191952422,-0.186299905
Armenia,,-0.217386171,-0.238381475,-0.202991635,-0.20085761,-0.163064584,-0.212706119,-0.202869654,-0.183378756,-0.206606939,-0.190980658,-0.158838838,-0.132166177
Australia,,,0.332327545,0.290439636,0.2962,0.302013636,0.354614526,0.258976281,0.254067272,0.303706735,0.316794217,0.223268315,0.301693261
Austria,,0.294084311,0.2884,0.282747895,0.2026,0.122441232,0.123059697,0.109221973,0.159619883,0.108960405,0.090249822,0.071684547,0.124996737
Azerbaijan,,-0.255656987,-0.228774354,-0.051956583,-0.109832183,-0.146413803,-0.128828019,-0.164287835,-0.192350775,-0.232240036,-0.221827105,-0.227940142,-0.247480661
Bahrain,,,,,0.023032308,-0.014948799,-0.065667756,-0.025,0.0158,0.0565,0.097171627,0.071743779,0.120759174
Bangladesh,,0.077230178,0.048939548,-0.035330251,-0.066453718,-0.008400165,-0.061844569,-0.02715938,-0.00861888,-0.09152592,-0.062122062,-0.082764864,0.017536195
Belarus,,-0.255456418,-0.23479104,-0.230630219,-0.213615671,-0.173651129,-0.179470092,-0.228947371,-0.189207807,-0.06007617,-0.102940008,-0.136783347,-0.130582094
Belgium,,,0.059300419,-0.003464723,0.0044,0.012188927,-0.024295233,-0.059749197,0.007226236,-0.008175617,0.053085301,-0.064890452,0.045481469
Belize,,,0.015692132,0.0139,0.0121,0.0104,0.0086,0.0068,0.005,0.003250329,,,
Benin,,0.015115632,0.0184,0.021685278,-0.0243,-0.0702,-0.116167091,-0.085358299,-0.059076726,-0.070210017,-0.00132293,-0.040266801,-0.040269434
Bhutan,,,,,,,,,0.360622585,0.275819212,0.285213172,,
Bolivia,,-0.037944142,0.006720963,-0.085941449,-0.030451763,-0.062986448,-0.033948414,-0.009825646,-0.062116407,0.022335315,-0.025209729,-0.042584933,-0.115987852
