Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,870,920,920,1010,1070,1210,1250,1490,1590,1680,1900,1900,1890,1880,1900
Albania,2720,1950,1830,2130,2400,2830,3180,2900,3300,3770,4140,4600,4870,5250,5660,6060,6830,7490,8270,8680,9550,10180,10450,10610,11190,11390,11880
Algeria,6390,6270,6400,6340,6250,6420,6670,6820,7170,7360,7690,8170,8570,9270,9760,10430,10880,11670,12070,12120,12580,12850,13160,13420,13880,14230,14720
Angola,1890,2460,1590,1190,950,1580,1860,2120,2170,2090,2270,2370,2280,2390,2610,3010,3600,4480,4810,5200,5210,5360,5560,5890,6130,6300,6220
"Antigua and Barbuda",9540,10340,10600,11380,12060,11450,12170,12820,13260,13600,14100,13760,13630,14670,15710,17190,19770,21920,21990,19330,18250,17960,18640,19020,19980,20920,21840
Argentina,6680,7780,8890,9570,10190,9950,10540,11440,11830,11460,11500,11090,9480,10530,11720,13290,14730,16430,17270,16110,17710,19070,19120,19730,19400,19950,19480
Armenia,2330,2230,1130,1180,1420,1580,1780,1950,2080,2190,2380,2690,3130,3650,4150,4970,5870,6960,7690,6590,6890,7270,7950,8490,8790,9070,9000
Australia,16780,17120,17530,18670,19660,20280,21300,22250,23480,24510,25640,26660,27940,28890,30450,31380,33020,34960,35980,38880,37670,40100,41320,44530,45220,45510,45970
Austria,19460,20480,21220,21670,22550,23470,24470,25260,26430,27300,29000,29330,30970,31930,33600,34760,37560,39070,41360,40690,42260,44390,46280,47840,48720,49150,49990
Azerbaijan,,,,3360,2720,2410,2420,2630,2890,3110,3340,3710,4120,4650,5100,6280,8570,10560,12380,13800,14690,14680,15260,16320,17100,17100,16130
Bahamas,14840,14380,14330,14220,14710,18250,20690,16740,18080,19230,20130,20720,21190,21010,21380,22070,22770,23260,23150,21760,21770,22030,22710,22600,22300,22020,22090
Bahrain,19240,26740,27490,29640,29270,31330,32550,32100,33340,33520,35160,34720,33990,35060,36200,37920,38810,40210,39570,35720,36520,35440,36940,38840,38810,44690,
