Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,-3.6,-4.1,-3.8,-5.524861879,-6.82804,-3.708,-3.501,-3.055,-6.154,-5.58
Algeria,11.9,13,11.4,6.8,-8.4,-2.712,-3.618,-2.663,0.073,-6.194
Angola,,,,,-7.7,7.941,8.213,8.485,-1.469,
Argentina,1.8,1.8,1.1,1.4,-0.7,-1.7,-3.289,-4.307,-3.455,-2.704
Armenia,-2.6,-2.8,-2.9,-1.4,-7.68657,-4.9,-2.664,-1.542,-2.493,-2.092
Australia,1.9,1,0.855,0.095,-3.955,-4.644,-4.269,-2.947,-3.691,-3.578
Austria,-1.6,-1.2,-0.783,-0.411,-2.958,-4.091,-2.558,-2.544,-1.844,-3.334
Azerbaijan,-0.7,0.5,2.4,25.46578947,9.42199,13.644,13.288,3.121,0.823,0.449
Bahrain,5.1,6.7,5.2,7.5,-0.9,-7.816,-2.287,-2.571,-4.43,-5.748
Bangladesh,-4,-4.482,-4.4,-4.7,-4.006,-3.693,-4.143,-3.436,-3.965,-3.006
Barbados,-2.5,-0.9,-2.3,-4,-8.4,-6.619,-4.319,-6.21,-10.325,
Belgium,-2.3,-1.2085,-0.117,-1.247,-4.786,-4.565,-4.186,-4.025,-2.836,-3.189
Belize,,,,,,-2.447,,,,
Benin,-2.9,-2.7,-2,-0.5,-3.6,-0.396,-1.438,-0.805,-1.3725,-1.94
Bhutan,,,,,,,,-4.013,-3.995,-3.801
Bolivia,-1.5,3.66,1.7,2.4,0.1,2.014,1.8845,1.755,0.099,-3.248
"Bosnia and Herzegovina",0.8,-0.2,-1.4,-2.037074761,-4.07098,-4.251,-3.072,-2.765,-2.9065,-3.048
Botswana,1.2,-0.2,7.1,-0.3,-11.1,-10.358,-4.168,0.268,0.205,0.39
Brazil,-3,-3,-2.234,-1.5,-3.2,-2.891,-2.607,-2.756,-3.256,-6.229
Brunei,,,16.17,29.1,3.7,8.015,31.852,26.358,,
Bulgaria,1.9,3.3,3.5,3,-3.9,-3.611,-2.1,-0.451,-1.854,-3.71
"Burkina Faso",-4.9,-3.3,-6,-6.4,-5.6,-5.794,-2.456,-3.141,-3.032,
Burundi,-6.3,-0.4,0.7,-8.9,-4,-2.963,-3.957,-1.664,-1.91,-3.448
"Cape Verde",,,,,-6,-10.692,-8.857,-7.539,-7.661,-8.331
Cambodia,-3.8,-4,-0.8,-1.7,-6.7,-1.476,-2.643,-3.222,-2.97,-0.846
Cameroon,3.6,4,4.5,5.9,0.4,-0.964,-1.912,-0.918,-4.155,-5.135
Canada,1.4,0.9,0.984,0.401,-2.042,-5.499,-4.549,-3.226,-3.012,-1.76
Chad,-0.8,-1.7,0.8,12.7,-10.8,-6.96,3.22,-1.369,-2.422,-4.2
Chile,4.6,7.738,8.7,5.727,-4.4,-0.394,1.245,0.61,-0.657,-1.416
China,1.2,-1.2,0.7,-0.7,-2.2,-2.575,-1.244,-2.153,-1.861,-1.14
Colombia,-0.5,-0.7,-0.7,-2.6,-2.7,-2.771,-2.06,0.183,-1.002,-1.394
"Costa Rica",-1.6,-0.691,0.64,0.232,-3,-5.639,-4.323,-4.62,-5.583,-6.003
"Ivory Coast",,,0.3,-0.2,1.1,-1.991,-5.668,-3.445,-2.471,-2.297
Croatia,-4,-3,-2.3,-2,-3.30268,-5.32,-5.462,-4.084,-5.537,-4.971
Cyprus,-2.4,-1.4,1.435,0.988,-5.485,-5.397,-6.5,-5.573,-4.691,-0.101
"Czech Republic",-3.53,-2.95,-1.6,-1.543,-5.89283,-4.883,-3.842,-5.033,-2.869,-0.951
Denmark,4.6,4.2,4.539,3,0.038,-4.883,-3.905,-4.353,-0.386,1.817
"Dominican Republic",-0.676800648,-0.9,0.12,-1.3,-3.3,-2.27,-2.523,-7.017,-3.586,-3.034
Ecuador,0.7,3.334,3.6,-0.5,-3.9,-0.572,-1.017,-0.52,-2.841,-5.162
Egypt,-9.4,-9.3,-5.7,-6.8,-6.6,-8.284,-9.935,-10.743,-14.079,-13.596
"El Salvador",-1.1,-1.06,-0.3,-1,-3.8,-4.379,-4.165,-3.839,-4.039,-3.512
Estonia,2.3,3.8,2.8,-2.974382327,-1.71546,0.204,0.994,-0.245,-0.363,0.374
Ethiopia,-4.7,-7.4,-3.1,-3.1,-3.7,-1.33,-1.632,-1.206,-3.405,-2.615
