Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,6.943,11.927,15.069,15.698,18.303,21.478,20.918,21.17,20.801,21.937,25.028,24.977,25.402,25.917,25.963,25.069
Albania,,,,,,,,,,,,,,,,,,30.3,36.751,37.108,33.838,32.685,31.535,29.68,30.155,28.892,29.191,29.309,31.726,32.679,29.387,28.923,28.229,29.193,31.729,30.515,29.133,
Algeria,,,,,,,,,,,25.711,27.795,28.727,32.821,31.054,29.381,28.195,30.401,30.939,31.843,28.571,31.251,34.285,32.202,30.765,27.108,28.853,33.236,37.95,42.6,37.251,40.123,43.543,36.186,40.606,45.841,41.923,
Angola,,,,,,,,,,,,,,,,,40.603,43.037,42,63.323,49.619,41.937,38.189,43.185,35.738,34.736,38.36,41.167,55.394,41.916,40.002,40.159,41.824,40.549,41.917,30.629,23.381,
"Antigua and Barbuda",,,,,,,,,,,18.887,21.736,19.655,20.533,22.432,22.395,20.973,18.081,22.418,22.14,22.892,26.51,29.029,26.87,24.476,24.105,29.327,27.015,26.418,36.33,22.49,23.769,20.877,22.999,22.464,26.153,24.26,
Argentina,,,,,,,,,,,,,,22.71,23.651,23.549,23.391,23.284,23.842,26.239,26.005,27.219,22.602,22.721,23.029,24.425,26.616,29.545,30.762,34.524,33.357,34.901,36.821,37.602,38.852,41.166,41.425,40.522
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,19.871,20,22.42,22.236,28.553,26.201,24.964,22.415,23.797,23.991,26.331,26.981,
Australia,,,,,,,,,30.728,29.665,30.562,33.132,34.114,34.204,33.82,33.781,33.628,32.88,34.73,36.316,35.332,35.767,35.024,35.02,35.003,34.706,34.674,34.435,35.156,37.907,37.092,36.361,36.621,36.571,36.896,37.403,37.434,
Austria,,,,,,,,,47.57,46.284,46.57,47.594,49.003,54.009,54.018,55.821,55.629,52.276,54.054,50.305,50.654,51.357,52.43,49.926,53.704,51.154,50.378,49.242,49.871,54.141,52.835,50.892,51.207,51.019,52.327,50.975,50.526,
Azerbaijan,,,,,,,,,,,,,,,24.284,18.665,19.75,20.191,18.721,19.505,18.24,16.785,23.139,21.662,24.216,22.498,25.299,26.068,31.439,34.506,31.958,33.735,36.636,37.779,36.374,38.678,,
Bahamas,,,,,,,,,,,11.918,12.434,12.336,12.038,12.286,12.06,12.037,13.461,12.584,9.72,12.092,11.899,11.939,12.268,12.38,12.862,13.272,14.635,14.897,16.438,16.324,17.866,18.231,17.743,17.912,19.289,19.909,23.842
Bahrain,,,,,,,,,,,33.738,29.748,30.648,27.829,27.247,26.135,23.642,32.305,26.789,28.219,23.095,27.668,31.88,29.284,26.055,24.923,24.115,23.351,23.647,25.638,28.547,27.754,31.916,34.327,28.411,36.562,35.521,
Bangladesh,12.954,12.134,12.473,12.502,11.134,10.994,11.611,11.187,10.985,11.32,10.774,10.449,10.372,11.483,11.848,12.335,11.544,11.639,11.495,10.03,11.408,12.729,12.3,12.147,11.748,12.207,12.131,11.532,13.824,12.669,12.699,13.952,14.224,14.61,13.997,13.769,13.447,
Barbados,,,,,,,,,,,,,,,24.205,25.761,27.557,28.462,26.934,27.749,28.887,30.669,31.307,30.098,28.424,28.077,28.185,31.31,32.308,33.338,33.466,31.515,34.443,35.244,33.269,35.035,33.96,33.425
Belarus,,,,,,,,,,,,,,,,,,,,,,43.83,45.275,45.017,45.499,46.515,48.814,50.844,62.036,51.703,44.319,40.295,38.893,40.813,38.836,43.469,45.807,
Belgium,56.773,63.652,61.67,64.319,61.117,60.387,59.561,57.685,55.709,54.113,54.102,55.352,55.637,56.778,54.392,52.386,52.666,51.237,50.56,50.068,49.052,49.188,49.506,50.715,48.933,51.628,48.451,48.249,50.281,54.15,53.342,54.452,55.866,55.835,55.206,53.811,53.209,
Belize,,,,,,,,,,,,,,,,,25.778,26.547,28.334,30.293,31.308,34.164,31.724,31,30.727,27.587,29.553,28.588,28.201,28.421,29.059,28.751,26.85,30.553,31.428,35.34,32.541,33.308
