Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,16.11570974,16.59919818,19.10570205,14.20118961,13.88889367,11.25827913,8.412698137,5.179282607,6.472491752,6.466876819,5.463794077,5.461171067,6.545961749,7.307692214,8.762886524,9.765258427,13.65217359,12.41534931,13.87205375,13.8079,13.7438,13.6797,13.6156,13.5515,13.4874,13.4233,13.3591,13.295,13.2309,13.1668,13.1027,13.0386,12.9745,12.9103,12.8462,12.7821,12.718,12.6539,12.5898,12.5257,12.4615,12.3974,12.33331552,16.84566564,18.79230497,21.56820963,23.35623367,19.86494095,18.86967197,17.89224734,17.86878258,16.55823541,16.81390423,17.23173654,18.05414508,19.36944926,17.70661914
Albania,,,,,,,,,,,,,,,,,,,,,34.54756104,35.12101185,37.91706903,36.07390581,31.78073936,32.75217892,30.90856854,28.418248,28.90404339,31.72207126,29.30532973,7.338758974,5.1999922,13.19999965,17.89999955,20.99999998,21.15433368,20.49100016,21.02355649,22.98639335,31.73425309,38.35996916,37.90222128,40.47286205,37.19979548,36.98518298,38.97966643,38.65553205,35.77842821,34.55779326,30.30867972,31.41358,28.32854969,28.35861851,24.59094123,26.31405966,27.05221643
Algeria,42.1845774,47.189529,35.42061341,28.94066239,21.8466084,22.60394356,17.32413168,23.43441677,27.86792192,32.35273648,36.64906885,35.28134099,34.30249107,40.28419584,40.01653621,45.4068269,43.35027578,46.91473742,52.21935258,42.54592649,39.07692344,36.9905948,37.28323756,37.5695321,35.16442287,34.56916946,33.55592415,27.55637978,27.63948339,30.07323412,28.58941955,31.84132806,30.75748786,29.09090776,30.08014286,30.90855625,25.67841235,22.44697411,27.14848325,26.24766929,23.56391053,26.8410588,30.65336904,30.34066255,33.26354242,31.65641187,30.17046066,34.46948119,37.34843691,46.87646013,41.43029296,38.05320452,39.15490088,43.40526094,45.58967024,51.14187434,50.69679203
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,3.846153846,11.15241636,16.59142212,25.7067,34.82202723,25.55984895,35.66087123,28.89957428,12.75502743,13.45091872,11.82069513,12.84299324,9.166796683,8.779250861,15.36140247,13.50497897,16.21889489,15.22906152,14.43259076,12.9057398,14.93154203,14.69824075,15.34043289,9.145514481,9.930517389
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,17.62081273,16.43667959,20.54218465,29.13793968,35.30301546,33.10071201,17.20249595,19.66027067,23.29765689,30.22105402,38.9148569,33.8476807,35.10035359,27.64704673,32.04195948,29.52912079,27.02830827,27.49236723,29.08912667,30.15652111,33.44513819,36.66961866,38.3731698,29.02023154,20.61104445,22.25924813,23.36239282,23.66409163,27.11858741,36.45485991,37.6384667,37.70836803,38.0197583,28.13569143,20.66306898,21.82392256,23.43978726,22.67268394,21.80471088,
Argentina,23.47923426,27.76644706,21.73093502,18.27287883,21.47391262,22.42767575,20.54254663,21.21503579,21.69049729,23.9906052,24.44009525,24.11303242,23.89154462,20.89381153,22.26033179,29.44104696,30.72943959,30.9416888,27.80015957,25.85676946,25.25778629,22.69108872,21.75494795,20.88775231,19.96409245,17.58906692,17.46176421,19.554866,18.6400389,15.51469828,13.99698158,14.6369774,16.70240577,19.05643411,19.93891781,17.93781192,18.08214044,19.37015765,19.93497202,18.01397065,16.19269626,14.17918155,11.96061808,15.13755305,17.55127036,18.88970784,18.68048724,20.0991132,19.57277588,16.05311236,17.70553381,18.39845892,16.50198653,17.3057789,17.26251741,16.89041099,16.16130362
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.14768436,39.77914418,1.631258177,9.872202692,23.45013708,18.42448997,20.00623015,19.06556313,19.13626393,18.35231773,18.64358184,19.75796274,21.66709224,24.25793068,24.87835868,30.46632124,35.90613141,37.78256666,40.87114286,34.66971347,32.86923335,27.28064427,25.32790588,22.26353269,20.87186577,20.78545908,18.5199331
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.91138177,29.73773266,33.60323887,34.46389497,31.9426367,27.72349788,25.49411358,23.70165858,26.91448701,29.20762936,28.79040871,33.57315758,35.20777771,32.39901458,32.69022593,30.2929295,28.12149806,27.9830703,,,,,
Australia,31.52029876,33.0808656,28.45491872,30.85006763,30.72033898,33.56914848,32.65205614,32.95659537,33.01812451,33.66327559,33.00344351,32.12621455,30.45714928,28.41187578,30.60689952,26.84588267,26.46140545,26.99573494,25.84258959,27.87652011,27.10966073,28.69347658,29.85419357,25.31838807,26.63911601,28.03595716,28.51605971,27.37949229,27.98009521,29.61303949,28.95072375,24.22299997,22.3441433,23.59408776,24.25033711,25.93691424,24.77917213,24.7971273,25.46564777,26.09806763,26.27650167,23.42282754,24.39965103,25.9254454,27.06087433,27.4254073,27.65794856,27.84585816,29.12600769,27.90602567,27.5528937,27.11341551,28.32663311,28.44050751,27.20492597,26.73764514,25.53702298
Austria,,,,,,,,,,,31.19587258,31.18911194,32.16096135,32.40804982,32.68936736,27.29662643,28.65667618,29.85218005,26.66255936,29.49368599,28.92709278,27.06331462,24.70504469,23.15952313,23.89581344,24.57350697,23.85437383,24.17982345,25.73431375,26.60505174,26.82494107,27.03423573,26.33589673,25.37449415,26.21466863,26.89924073,26.4810365,26.3231237,26.22493217,26.20191111,26.00937578,25.20601495,23.66729687,24.47202963,24.11144911,23.88569193,23.67021293,24.62007465,24.53539352,22.84463631,22.65369322,24.17524295,24.01974653,23.83506031,23.65577076,23.50693171,23.7128615
