Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,80.36154,78.29462,69.3518,60.4089,62.96116,71.60319,73.87475,,
Albania,,,,,,,,,,,93.95255,93.1314,98.29545,104.40431,95.46148,106.67324,105.76621,
Algeria,,,,,84.6646,85.1343,81.724,78.31365,83.0719,87.8301,92.5883,97.3465,102.1047,106.8629,111.6211,116.37932,111.42646,
Angola,,,,,,,,,,43.23643,42.42973,42.07317,42.03094,,,,,
"Antigua and Barbuda",,,,,,,,,92.58312,67.96974,66.99875,83.06551,79.10448,86.02015,97.7442,109.46822,85.28252,
Argentina,93.37624,91.11072,95.10509,95.67021,100.14574,99.53669,96.18431,100.06056,101.99178,107.73399,110.75222,111.10721,109.78022,110.51727,108.99386,103.85033,,
Armenia,,,,,95.77205,97.93676,97.9983,98.0599,98.12143,85.99586,88.4295,90.8631,93.2967,95.7304,98.164,100.5976,103.87016,
Aruba,,,,,93.71658,88.21244,86.2248,84.23707,89.82188,97.9175,106.01307,96.43799,,,,,,
Azerbaijan,,,95.45328,92.67344,92.78948,94.82378,94.43808,96.25905,92.35,88.441,90.37417,91.12606,90.53615,89.63279,87.5278,96.84669,,
Bahamas,,,,,,,,,,,,97.97042,,,,,,
Bahrain,,,,,,,,,,,,,,,97.76446,,,
Bangladesh,,,,,,,,,57.79966,51.19941,52.60977,56.51949,54.82876,60.2164,65.6041,70.9917,76.37935,
Barbados,,,,,103.31519,98.70775,95.2844,91.8611,88.43782,92.86084,92.7391,92.61745,98.8193,97.3938,95.9682,94.5427,,
Belarus,,,,,,99.19788,96.07479,95.31614,93.84024,98.7273,105.28643,104.38089,104.78307,106.97601,100.10146,96.29013,95.26006,
Belize,,,,,71.94137,82.6087,90.3378,98.06683,95.7196,93.37237,89.50552,96.76578,101.61912,106.05136,104.08781,101.81178,101.89585,
Benin,,,,38.18816,48.50626,53.33777,57.9351,62.5325,67.1298,71.7272,61.57707,58.7544,55.93181,66.39548,61.36609,69.80299,72.46201,
Bhutan,,,,,,69.13931,72.72375,74.6997,76.6756,78.65154,82.25148,78.49377,84.26951,94.20485,96.5848,98.9647,101.3446,103.72453
Bolivia,,91.70856,94.76762,102.27619,101.6353,101.95121,100.05224,97.4108,95.25279,94.34595,95.31319,93.87764,96.58797,97.71419,95.88047,94.53436,,
Botswana,,,,,,,,,,,,,,56.03071,97.29008,,,
Brazil,,,,,,,,,,,,,,,97.15561,,,
Brunei,,,,82.90877,88.89865,82.6349,89.80569,82.60382,83.21678,85.86445,90.65471,92.05457,99.1078,106.16101,105.34819,99.12306,99.88476,
"Burkina Faso",,,,,,,,30.72675,30.8833,33.5719,36.2604,38.949,41.63754,41.65132,80.22899,74.95429,47.71585,
Burundi,,,,13.92844,14.6876,23.05101,25.7876,28.52409,28.7466,28.9692,29.1918,29.41432,33.53301,37.28177,56.45815,55.51082,54.44726,
"Ivory Coast",,,,,,,,,,,50.99308,50.6914,50.3896,50.08791,79.22671,64.14068,66.28439,
"Cape Verde",,,,86.78327,81.06752,86.74717,86.9524,87.15756,88.7069,90.2562,91.80556,95.1237,89.73839,94.89217,92.27642,100.01982,100.32239,
Cambodia,,,,,,,,80.02272,80.10346,76.48456,78.0458,79.607,81.1683,82.7295,84.29072,84.42996,88.0752,
Cameroon,,,,,50.79606,49.69604,56.97172,44.2605,43.51049,57.18042,53.15278,51.99243,50.71609,51.9832,53.2504,54.51748,50.40936,
Canada,,,,,,,,,,,,,,98.64414,100.17731,,,
"Central African Republic",,,,,,,,,,,,,,27.51865,,,,
Chad,,,,,,,,27.15281,27.6654,28.178,28.6907,29.20328,31.50876,32.7306,27.49333,,,
Chile,,,,,,,,,,,,,,,95.32194,94.75852,,
China,,,,,,,,,,,,117.96384,118.6151,119.2664,119.91775,113.3442,105.38537,
"Hong Kong",,,,,,,,,,100.09667,100.03997,95.31167,94.33096,100.7987,98.72254,99.93551,102.20636,
Macau,,,,,,108.19448,97.9798,105.0655,96.72583,93.5567,95.49949,94.5395,88.78684,91.81929,88.62249,89.13557,89.71256,
