Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,1.77,1.77,1.77,1.77,1.77,1.54,1.54,1.54,1.54,1.54,0.94,0.94,0.94,0.94,0.94,0.89,0.89,0.89,0.89,0.89,0.79,0.79,0.79,3.47,0.48,-0.08,2.55,0.75,1.58,0.14,-0.42,0.92,2.42,1.67,0.07,2.29,1.42,1.31,0.23,2.08,2.49,0.96,0.63,5.26,-4.05,2.27,8.05,4.45,0.11,-1.18,-4.93,-10.84,5.27,8.3,6.74,5.6,4.14,1.88,-1.67,2.56,2.49,0.67,0.19,0.34,2.05,1.32,1.31
Australia,0.69,0.69,0.69,0.69,0.69,0.69,0.37,-0.05,0.29,2.15,0.1,2.21,2.67,3.4,2.84,3.41,2.94,2.25,2.61,3.6,1.38,1.32,1.44,1.42,-0.33,1.87,1,0.74,2.57,1.86,-0.47,-3.15,1.88,4.34,4.23,1.26,3.2,4,3.6,0.47,-1.53,-0.63,1.18,3.49,3.26,1.29,0.94,1.31,2.31,1.67,-0.06,1.21,2.24,2.15,2.05,2.13,2.63,1.38,0.3,1.35,1.93,1.12,0.57,0.74,1.99,0.65,1.87
Austria,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,0.83,0.16,0.32,0.72,-0.07,-1.08,-1.29,-0.78,-1.28,-1.44,-2.23,-1.92,-0.8,-2.78,0.84,1.83,1.13,5.45,-4.49,0.02,1.49,-2.78,2.27,1.03,-3.91,-0.25,-0.56,-0.35,-0.04,0.04,-0.28,0.55,2.02,2.08,1.81,-1.27,-0.69,-0.12,-1.79,2.24,1.21,-0.19,1.73,0.97,0.01,-0.23,0.18,0.8,-0.1,0.72,1.24,1.47,-3.63,0.46,2,-0.31,-0.61,0.33,-0.6,0.88,0.59
Bangladesh,,,,,,,,,,,,,,,,,,,,,-0.8,-0.95,-0.92,4.56,-3.21,5.01,-1.15,3.95,9.13,2.23,1.83,2.29,2.66,2.76,2.73,5.29,1.73,3.01,0.57,4.9,4.16,3.07,4.98,4.81,4.61,4.34,3.65,3.48,3.34,3.14,2.78,2.92,2.82,1.55,1.38,1.03,2.21,2.63,2.53,2.49,1.48,2.12,1.99,1.94,2.22,2.09,2.06
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.09,0.29,12.57,4.99,6.85,2.35,3.44,2.78,4.35,2.19,,,,,,,,,,,,,,,,
Belgium,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.22,-1.55,-1.31,1.8,0.15,0.94,0.11,0.82,-0.21,-0.24,-1.03,-0.7,1.1,-0.51,0.22,-1.6,-0.57,-0.18,-2,-0.45,-1.86,-0.97,-0.08,-1.28,-3.15,-2.14,-0.96,1.41,0.83,-0.55,-0.16,1.2,1,1.94,-1.9,-1.55,-3.38,-0.42,3.3,-1.39,1.52,2.47,1.34,2.81,0.96,-0.55,-0.39,0.67,0.96,1.56,1.94,1.38,-1.56,0.49,2.27,0.45,-0.45,0.27,0.61,1.19,0.78
Brazil,3.24,3.26,3.28,3.31,3.33,3.35,3.37,3.4,3.42,3.44,2.42,2.47,2.51,2.56,2.6,2.65,2.7,2.74,2.79,2.84,5.05,4.73,11.35,1.66,1.8,1.93,8.88,2.44,-2.6,-1.95,3.61,4.83,0.57,3.03,6.83,2.22,2.99,2.88,1.51,1.9,-0.32,-0.49,0.91,1.06,0.77,-2.37,1.33,-0.78,3.8,4.41,0.23,3.33,1.22,4.51,1.81,2.52,1.78,1.41,0.57,1.63,1.11,1.04,0.92,1.92,0.23,-1.82,-0.04
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,-3.15,-4.33,-3.19,-4.09,-0.05,0.19,2.29,4.04,2.39,3.06,3.2,4.78,-4.46,-3.96,-2.28,-2.45,-0.4,0.31,0.37,0.45,0.48
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,4.5,3.79,5.17,6.57,5.04,4.32,6.32,5.74,3.42,4.72,4.55,4.26,4.31,3.82,3,2.06,2.53,1.84,2.21,-2.29,1.93,1.92,1.73
Canada,1.88,0.23,0.46,-1.14,0.35,3.69,0.33,-3.65,1.49,-1.02,-0.92,2.42,1.47,2.89,3.35,2.09,1.33,-1.11,2.15,-1,0.97,2.38,4.39,4.26,-0.35,-0.1,0.65,2.93,4.74,2.46,2.07,-4.51,0.27,3.11,3.81,3.02,3.59,3.42,2.07,0.28,-2.94,-1.12,0.62,2.46,1.46,1.84,1.72,2.06,2.62,2.09,0.49,1.45,1.73,2.41,0.8,1.47,1.9,1.07,-3.64,1.96,1.38,1.86,1.04,0.4,0.94,0.58,1.19
Chile,0.21,0.21,0.21,0.21,0.24,0.33,0.33,0.33,0.33,0.36,1.18,1.18,1.18,1.18,1.24,1.28,1.28,1.36,1.15,0.3,3.72,3.8,1.03,-2.95,-3.92,1.38,4.25,0.69,1.74,5.6,2.16,-6.67,6.8,4.69,6.33,5.52,4.03,6.22,5.59,2.32,1.59,4.72,4.72,-0.28,0.1,0.37,-0.3,4.1,-2.11,1.12,0.21,2.2,3.22,2.41,0.39,2.11,1.01,1.3,-1.65,6.41,3.77,0.33,5.12,0.23,1.44,1.07,1.17
Colombia,1.43,1.43,1.43,1.43,1.52,1.67,1.67,1.67,1.67,1.79,2.35,2.35,2.35,2.35,2.51,3.24,3.24,3.24,3.24,3.54,2.85,2.85,2.85,2.84,5.1,2.83,4.18,2.37,2.48,1.68,4.04,1.23,-0.37,0.48,2.21,3.15,4.69,3.26,4.3,2.27,6.56,1.18,6.76,4.54,4.5,0.57,1.89,-0.13,-1.47,6.56,1.28,4.1,4.26,-0.27,3.2,-1.7,3.49,3.17,2.85,3.72,5.59,2.41,0.67,0.52,3.3,0.93,2.3
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,2.95,4.44,-3.74,8.05,5.18,5.64,2.08,0.95,7,5.98,1.86,2.03,4.1,2.72,2.87,1.87,5.82,3.25,6.76,1.54,-3.61,-5.66,-0.38,6.37,-2.6,0.97,0.42,-0.17,1.2
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.92,-3.07,-3.93,-4.5,-3.25,1.78,-1.96,1.89,2.1
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,1.02,1.9,2.23,2.01,3.46,0.64,3.21,1.94,1.91,1.06,6.09,4.66,-0.62,-0.27,-0.77,-3.54,-7.45,-2.42,1.74,2.69,2.21
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,1.77,0.22,-0.42,-0.7,-1.31,-0.71,-4.34,0.53,-1.38,0.43,1.94,0.34,1.25,2.49,-2.41,0.13,0.06,-1.22,-0.42,1.34,0.19,2.61,1.13
