Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,,,,,,,15,19,21,22,22,27,34,44,53,52,58,53
Albania,51,72,53,61,76,74,79,90,113,153,166,175,217,255,238,219,255,240,253
Algeria,54,53,58,57,54,61,67,66,75,92,100,116,151,206,208,229,287,335,346
Andorra,1283,1387,1396,1831,1369,1242,1269,1451,1828,2128,2090,2256,2998,3082,2898,3174,2795,2994,4914
Angola,18,14,19,15,14,17,31,28,37,53,65,102,107,163,161,132,160,168,226
"Antigua and Barbuda",353,356,373,387,401,416,439,443,471,462,533,590,652,741,680,733,724,728,711
Argentina,613,617,684,704,724,707,673,224,278,324,390,447,539,674,712,738,796,727,731
Armenia,26,29,30,35,34,39,41,42,52,65,86,98,134,149,133,143,127,150,159
Australia,1591,1789,1788,1613,1775,1746,1665,1883,2371,2933,3214,3422,4078,4410,4257,5325,6368,6544,6258
Austria,2868,2811,2564,2676,2710,2416,2418,2644,3286,3780,3916,4075,4710,5287,5154,5050,5432,5240,5478
Azerbaijan,18,25,27,30,30,30,31,34,57,81,122,150,192,242,289,310,358,399,432
Bahamas,838,880,960,1031,1073,1106,1106,1183,1236,1325,1394,1644,1720,1728,1638,1630,1642,1643,1572
Bahrain,495,492,532,489,496,477,490,515,544,548,582,605,651,730,726,742,757,1007,1142
Bangladesh,10,11,9,9,9,9,10,10,11,12,12,14,15,18,20,23,25,26,28
Barbados,447,462,490,526,564,596,629,673,699,734,764,825,928,997,1027,981,1036,1138,1147
Belarus,70,89,92,90,75,75,82,96,120,157,216,244,305,379,313,323,293,336,465
Belgium,2138,2151,1907,1978,2013,1845,1878,2075,2800,3243,3340,3490,4018,4566,4575,4419,4864,4588,4813
Belize,127,109,116,114,112,134,154,156,167,168,175,184,206,228,247,254,253,255,273
Benin,17,18,15,16,17,15,16,16,21,23,25,26,29,31,32,34,40,36,37
Bhutan,24,39,52,51,53,54,49,70,49,49,66,71,103,119,108,114,118,91,90
Bolivia,33,44,42,54,63,57,60,60,49,52,60,65,70,88,104,110,133,149,179
"Bosnia and Herzegovina",47,74,81,91,110,104,109,124,177,240,249,278,344,427,442,429,472,447,449
Botswana,126,126,139,127,132,155,178,197,193,271,300,263,267,313,322,379,384,428,397
Brazil,314,346,353,333,240,263,226,201,211,254,391,485,600,717,732,920,1055,985,993
Brunei,476,630,627,569,542,554,508,517,580,665,691,699,758,843,790,860,938,962,1023
Bulgaria,81,56,64,83,96,98,126,155,202,239,275,300,379,483,472,488,533,519,606
"Burkina Faso",12,13,12,13,14,11,12,14,19,24,28,28,31,39,41,41,34,36,42
Burundi,9,8,8,8,7,6,6,6,6,8,14,18,16,14,14,19,21,20,21
"Ivory Coast",49,55,54,59,50,39,32,32,41,49,51,57,68,78,79,80.25,81.5,82.75,84
"Cape Verde",67,61,57,66,65,59,65,71,88,100,104,126,135,147,149,164,173,161,156
Cambodia,17,24,20,16,16,18,18,20,24,26,28,24,24,41,47,47,50,59,60
Cameroon,25,34,29,29,29,26,28,32,39,42,43,45,51,62,59,61,50,53,57
Canada,1831,1839,1883,1856,1945,2100,2162,2262,2691,3063,3474,3945,4382,4682,4582,5348,5665,5719,5619
"Central African Republic",12,13,10,10,11,10,10,11,13,13,14,14,16,20,16,17,18,17,13
Chad,12,12,11,12,11,10,12,18,16,26,26,24,27,27,27,26,31,29,34
Chile,267,303,334,341,319,326,300,290,353,430,509,585,665,740,755,891,1023,1108,1192
China,21,26,31,35,39,44,48,54,62,71,81,94,115,158,193,220,279,329,375
Colombia,167,208,247,219,188,146,143,134,133,147,197,227,292,360,361,422,480,547,549
Comoros,22,21,19,17,16,13,11,15,20,24,27,29,35,40,29,44,50,55,54
"Congo (Brazzaville)",25,26,25,25,24,22,21,23,27,35,42,51,57,65,55,68,96,127,163
"Cook Islands",265,249,196,183,167,179,246,221,262,379,439,330,460,470,389,458,511,496,524
"Costa Rica",217,219,221,267,280,289,297,340,358,346,364,410,525,607,634,771,872,930,990
Croatia,324,362,304,369,374,371,388,388,512,634,727,814,1039,1265,1193,1144,1132,1030,1061
Cuba,112,119,126,134,153,166,178,195,202,209,356,360,587,584,651,583,646,555,657
Cyprus,681,744,728,776,788,753,784,895,1260,1385,1449,1529,1734,2241,2186,2038,2236,1965,1890
"Czech Republic",374,403,369,398,384,361,404,523,667,772,884,972,1148,1486,1484,1410,1546,1411,1413
"Congo (Kinshasa)",4,4,5,6,10,18,6,4,5,6,7,8,10,14,16,13,12,15,16
Denmark,2835,2884,2634,2675,2931,2613,2730,3023,3756,4387,4653,5018,5710,6396,6465,6267,6522,6204,6638
Djibouti,30,29,33,39,47,44,42,44,52,59,66,69,82,98,107,120,128,142,154
Dominica,184,195,208,211,221,225,227,228,229,230,241,255,283,301,370,396,401,385,400
"Dominican Republic",102,106,124,134,144,163,158,163,124,102,154,166,200,207,216,218,244,254,245
Ecuador,73,81,88,82,60,49,73,101,158,168,177,196,213,242,237,275,309,368,440
Egypt,37,45,58,65,72,78,75,73,55,56,64,74,84,101,117,126,139,161,159
"El Salvador",108,139,161,176,176,185,190,192,194,195,207,208,212,222,234,245,260,263,277
"Equatorial Guinea",17,22,29,32,33,54,47,65,94,174,214,266,344,520,703,609,689,852,730
