Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,63,64,63,66,68,67,64,62,65,65
Albania,,,,,,99,88,96,97,94,96,96,96,96,97,99,98,98,98,99,98,99,99,99,99,98,99,98
Algeria,,,,,,,,,,,,,,,,81,83,80,90,91,94,95,95,95,95,95,95,91
Andorra,,,,,,,,,75,80,75,84,84,84,81,77,79,84,91,94,96,96,99,97,94,96,94,94
Angola,,,,,,,,,,,,,,,,,,,73,69,61,77,72,75,77,64,64,64
"Antigua and Barbuda",,,,,,,,,,,,,96,99,99,97,99,99,97,98,98,98,99,98,99,99,99,99
Argentina,,,,,,,,,,,,,,66,73,81,88,84,85,90,94,94,91,91,94,94,94,92
Armenia,,,,,,,,,,,,55,69,91,93,91,91,78,85,89,93,94,95,95,95,93,94,94
Australia,,,,,,,,,,,,,94,95,95,95,95,95,94,94,94,92,92,91,91,91,93,94
Austria,,,,,,,,,,,,33,44,81,83,83,86,83,85,83,83,86,89,92,95,98,93,87
Azerbaijan,,,,,,,,,,,,,,50,51,50,49,52,62,68,74,80,84,88,93,94,96,97
Bahamas,,,,,,,,,,,,,21,89,88,93,93,96,93,90,95,98,95,96,97,96,95,94
Bahrain,,,,57,90,93,95,96,95,95,97,97,99,98,98,98,98,98,97,97,98,99,99,99,99,98,98,99
Bangladesh,,,,,,,,,,,,,,,5,11,45,86,95,96,97,94,96,94,96,97,97,97
Barbados,,,,,,,,,,,,,18,66,91,93,92,84,93,85,93,86,91,87,91,94,97,97
Belarus,,,,,,,,,,,,70,93,99,56,99,99,98,91,98,98,96,98,97,98,97,99,96
Belgium,,,,,,,,,2,31,46,60,60,60,64,64,77,94,94,98,97,97,97,98,98,98,98,97
Belize,,,,,,,,,,,,76,96,97,96,97,96,98,96,94,97,96,95,98,95,95,94,95
Benin,,,,,,,,,,,,,,15,73,75,70,74,82,75,79,76,75,80,77,78,82,82
Bhutan,,,,,,,,16,84,81,90,98,89,83,95,89,95,95,95,96,93,91,95,97,97,99,99,98
Bolivia,,,,,,,,,,,,77,77,77,80,84,85,83,84,88,93,91,95,93,94,98,99,99
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,36,93,90,94,88,90,89,88,92,91,89,82,78
Botswana,,,,,,,73,62,60,77,85,86,87,88,90,91,92,93,93,94,94,95,95,95,95,95,95,95
Brazil,,,,,,4,10,15,6,13,84,94,91,92,97,96,98,99,99,96,99,96,98,96,96,96,96,86
Brunei,,96,96,96,99,99,99,98,98,99,93,99,99,99,99,99,99,99,97,96,96,96,93,99,98,99,99,99
Bulgaria,,,,71,96,94,95,94,77,97,97,94,93,88,96,94,96,96,95,96,96,95,96,95,95,95,92,91
"Burkina Faso",,,,,,,,,,,,,,,,,,76,89,93,92,91,91,90,88,91,91,91
Burundi,,,,,,,,,,,,,,,,83,87,92,99,92,94,96,96,96,96,95,94,94
"Ivory Coast",,,,,,,,,,,,,10,48,63,67,76,77,76,74,81,85,62,82,80,76,83,85
"Cape Verde",,,,,,,,,,,,,,40,66,91,93,95,96,98,98,98,90,94,94,97,96,96
Cambodia,,,,,,,,,,,,,,,,,,80,82,91,92,89,88,86,83,88,89,90
Cameroon,,,,,,,,,,,,,,,,,79,81,82,84,80,84,82,85,89,87,84,85
Canada,,,,,,,,,,,,,,,14,14,14,14,14,28,42,56,70,70,55,55,55,55
"Central African Republic",,,,,,,,,,,,,,,,,,,,,42,45,47,47,23,47,47,47
Chad,,,,,,,,,,,,,,,,,,,,17,24,39,33,40,39,37,46,46
Chile,,,,,,,,,,,,,,,,,,95,92,95,94,92,94,90,90,95,97,95
China,,,,,,,,,,,,60,65,70,75,79,84,91,92,95,99,99,99,99,99,99,99,99
Colombia,,,,,,,71,95,85,75,77,78,80,78,92,89,93,93,93,92,92,88,85,92,91,90,91,91
Comoros,,,,,,,,,,,,,,,28,77,68,69,75,81,83,74,83,89,88,88,91,91
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,64,73,75,74,70,62,85,90,80,80
"Cook Islands",,71,85,98,76,79,85,65,99,88,90,98,93,93,93,99,99,99,99,99,82,99,93,98,98,99,99,99
"Costa Rica",,,,,,,,,76,86,83,89,80,94,86,89,90,88,89,89,87,89,84,91,94,91,92,97
Croatia,,,,,,,,,,,,,,,,,,,95,97,97,97,97,98,96,95,94,93
Cuba,,,,,84,98,99,99,98,98,99,98,98,98,99,99,95,89,93,95,96,96,96,96,96,97,99,99
Cyprus,,,20,27,41,54,68,88,88,88,89,89,89,88,88,88,88,93,93,93,96,96,96,96,96,96,97,97
"Czech Republic",,,,,,,,,,,,,,86,92,98,99,98,99,99,99,99,99,99,99,99,97,96
"North Korea",,,,,,,,,,,,,,,27,98,92,96,92,92,93,93,94,96,93,93,96,96
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,70,65,72,60,74,75,74,80,81,79
Djibouti,,,,,,,,,,,,,,,,,,,25,88,89,88,87,81,82,78,84,84
Dominica,,,,,,,,,,,,,,,,,,7,93,96,99,98,98,97,96,97,98,99
"Dominican Republic",,,,,,,,,,62,76,68,66,63,79,82,87,84,81,81,80,83,80,74,80,89,81,80
Ecuador,,,,,,,,,,,,36,69,75,82,88,92,96,94,93,91,90,88,88,87,83,78,84
Egypt,,,,,,57,74,77,81,88,97,98,99,97,98,97,98,98,98,97,97,97,96,93,97,94,93,95
"El Salvador",,,,,,,,,,,1,99,75,81,94,90,89,96,99,98,91,89,89,92,92,93,91,93
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,20,16,19
Eritrea,,,,,,,,,,,,,,86,91,84,96,94,91,94,92,90,96,94,94,94,95,95
Estonia,,,,,,,,,,,,,,,,90,95,95,95,94,95,94,94,94,93,93,91,93
Ethiopia,,,,,,,,,,,,,,,,,,,47,52,56,62,65,69,72,77,77,77
Fiji,,,,,88,60,82,90,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
France,,,,,,,,,,27,24,26,28,29,28,35,35,39,42,47,51,65,74,78,74,83,86,88
Gabon,,,,,,,,,,,,,,,,,28,52,75,82,79,67,75,82,79,70,80,75
Gambia,,,78,67,56,57,87,88,94,92,93,91,91,92,94,95,95,95,97,98,97,97,96,98,97,96,97,95
Georgia,,,,,,,,,,,,55,61,51,48,64,79,84,94,89,54,95,89,92,96,91,94,92
Germany,,,,,15,32,45,57,71,81,81,84,86,87,90,88,90,87,86,87,88,88,88,88,88,88,88,88
Ghana,,,,,,,,,,,,,,80,80,80,84,84,94,93,94,94,91,92,90,98,88,93
Greece,,,10,15,2,2,12,12,50,69,88,89,90,91,92,92,93,94,95,95,95,95,95,98,98,96,96,96
Grenada,,,,,,,,,,,,,96,98,97,83,99,91,96,99,99,97,94,97,97,97,92,96
Guatemala,,,,,,,,,,,,,,,,,87,89,85,95,92,94,88,96,85,73,74,80
Guinea,,,,,,,,,,,,,,,,,,,57,57,57,64,63,62,63,51,54,57
"Guinea Bissau",,,,,,,,,,,,,,,,,,,,,80,83,86,87,87,87,87,87
Guyana,,,,,,,,,,,,,85,91,90,91,93,93,94,93,98,95,93,97,98,98,95,97
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,68,48,60,58
Honduras,,,,,,,,,,,,93,95,94,91,93,97,94,93,92,97,97,97,97,97,97,97,97
India,,,,,,,,,,,,,,,,6,8,6,6,29,37,38,44,73,70,79,87,88
Indonesia,,,,28,43,42,50,62,65,76,77,65,62,63,64,64,65,66,76,82,82,83,81,83,85,78,78,79
Iran,,,,,,62,59,84,93,94,95,99,94,99,98,95,94,98,97,99,99,99,99,98,99,99,98,99
Iraq,,,,,,40,57,22,65,3,52,67,66,65,63,62,65,59,56,66,75,72,77,61,66,62,56,61
Ireland,,,,,,,,,,,,,,,,,,,,,,46,95,95,95,95,95,95
Israel,,,,92,92,92,93,96,97,97,96,98,96,98,98,99,96,96,99,99,98,97,98,97,97,97,96,95
Italy,,,95,95,95,95,95,95,95,95,97,94,95,95,95,96,96,96,97,96,96,96,96,96,96,95,93,93
Jamaica,,,,,,,,,,,,,,,36,98,99,97,92,92,90,94,92,96,93,92,91,98
Jordan,,,,,,,54,85,90,91,92,93,97,95,97,95,95,98,98,97,98,98,98,98,98,98,99,98
Kazakhstan,,,,,,,,,,49,90,99,95,95,99,99,94,99,94,99,99,99,99,95,99,95,98,82
Kenya,,,,,,,,,,,,,,84,73,73,76,80,81,88,88,90,96,94,93,92,89,89
Kiribati,,73,7,6,8,36,36,66,97,89,82,90,85,79,73,67,50,88,96,83,86,91,95,94,95,75,82,81
Kuwait,,,,38,91,93,99,99,98,99,95,95,99,99,99,94,99,99,99,99,99,99,99,98,99,96,99,99
Kyrgyzstan,,,,,,,,,,,10,44,57,99,99,99,97,90,94,97,96,96,96,96,97,96,97,96
Laos,,,,,,,,,,,,,,,50,45,49,57,50,61,67,74,78,79,87,88,89,82
Latvia,,,,,,,,,,9,94,95,96,98,98,98,99,94,91,93,92,91,89,90,94,92,94,98
Lebanon,,,,,,,,,,,86,83,80,77,74,75,77,78,80,81,81,81,81,81,81,81,81,81
Lesotho,,,,,,,,,,,,,,,17,60,87,91,90,88,91,93,96,95,93,93,93,93
Liberia,,,,,,,,,,,,,,,,,,,,64,64,47,77,80,76,50,52,79
Libya,,,,88,91,92,92,93,91,92,92,92,93,91,96,99,97,98,98,98,98,98,98,98,96,94,97,97
Lithuania,,,,,,,,,,73,96,98,95,94,95,94,95,95,96,96,95,94,95,93,93,94,94,95
Luxembourg,,,,,,,,,49,58,67,77,86,95,95,94,95,95,87,94,95,94,95,94,94,94,94,94
Madagascar,,,,,,,,,,,,,,51,61,71,81,82,84,77,77,70,73,70,74,73,69,77
Malawi,,,,,,,,,,,,,,64,84,89,93,99,87,91,93,93,97,96,89,91,88,84
Malaysia,69,86,89,86,86,94,96,96,97,96,96,97,95,95,95,94,96,95,96,97,96,96,96,97,96,96,99,98
Maldives,,,,,21,63,80,96,50,45,90,96,98,98,98,97,98,98,98,98,98,97,96,99,99,99,99,99
Mali,,,,,,,,,,,,,,,79,73,83,90,74,74,71,72,66,66,69,73,64,68
Malta,,,,,,,,,,,,,,,89,85,85,86,82,86,86,75,82,93,94,90,95,97
"Marshall Islands",3,10,17,24,17,46,47,68,70,80,80,38,76,80,74,72,89,97,93,97,99,97,89,80,80,79,85,73
Mauritania,,,,,,,,,,,,,,,,,42,68,74,74,64,64,75,80,80,84,73,73
Mauritius,,,,,,,,,90,90,85,88,92,88,97,98,97,97,97,99,99,99,98,98,98,97,97,72
Mexico,,,,,,,,,,,,97,97,97,98,98,98,98,98,97,95,93,98,99,82,84,82,93
Micronesia,47,56,65,73,82,82,82,80,78,79,77,87,81,85,89,80,91,84,90,89,89,88,83,82,83,81,78,76
Monaco,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Mongolia,,,18,47,69,67,88,93,88,91,92,93,95,98,98,98,98,98,98,96,97,96,99,99,98,99,99,99
Montenegro,,,,,,,,,,,,,,,,,,90,90,93,87,90,91,90,90,87,82,75
Morocco,,,,,,,,,,,10,43,84,92,90,95,96,95,95,97,98,98,98,99,99,99,99,99
Mozambique,,,,,,,,,,,,,25,76,76,76,75,75,75,75,74,74,76,76,78,79,80,80
"Burma (Myanmar)",,,,,,,,,,,,,,,8,39,62,75,85,85,91,92,40,58,75,88,89,90
Namibia,,,,,,,,,,,,,,,,,,,,,,83,82,84,89,88,92,92
Nauru,,,79,90,99,79,57,72,86,29,62,58,95,75,77,78,80,99,99,99,99,99,99,79,87,95,91,91
Nepal,,,,,,,,,,,,,,,2,27,41,69,82,82,89,82,92,90,92,92,91,87
Netherlands,,,,,,,,,,,,,,,,,,,,,,,20,20,51,92,94,93
"New Zealand",,,,67,74,81,88,94,99,87,89,90,90,89,89,88,87,87,88,90,93,90,95,93,93,93,92,92
Nicaragua,,,,,,,,,,,80,83,87,85,86,79,86,88,93,97,98,98,98,98,98,98,98,98
Niger,,,,,,,,,,,,,,,,,,,,,71,70,75,71,67,68,65,67
Nigeria,,,,,,,,,,,,,,,,,18,27,42,41,63,49,46,42,46,49,49,49
Niue,,,99,99,99,99,90,99,99,99,99,99,99,98,94,99,85,99,98,99,99,99,98,98,99,99,99,99
Oman,,,94,99,96,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,98,98,99,99,99
Pakistan,,,,,,,,,,,,,,,63,65,70,78,75,65,78,82,74,72,72,72,72,72
Palau,,,89,75,94,73,99,99,90,96,96,96,98,99,99,98,98,98,91,92,69,80,91,89,99,99,90,98
Panama,,,,,,,,,,,,,98,98,98,95,92,88,85,86,85,94,87,85,80,80,73,73
"Papua New Guinea",,20,19,12,7,20,23,43,44,47,54,57,59,60,67,60,63,71,61,59,66,56,66,68,73,67,67,66
Paraguay,,,,,,,,,,,,,,,86,90,92,92,86,87,85,89,89,87,86,87,93,93
Peru,,,,,,,,,,,,,,,65,92,94,94,93,93,93,93,91,95,88,88,90,89
Philippines,,,,,,,38,35,31,30,32,7,45,42,52,48,49,77,87,88,85,77,87,88,89,67,60,86
Poland,,,1,1,1,4,23,56,97,99,99,99,95,98,97,98,98,98,98,98,98,98,98,97,96,96,96,96
Portugal,,,,,,,6,34,49,64,61,58,70,82,94,94,94,97,97,97,96,97,97,98,98,98,98,98
Qatar,,,86,89,93,90,90,90,90,92,92,89,93,98,93,97,97,96,94,97,99,97,93,93,97,89,99,98
"South Korea",,,,,,,99,93,88,82,88,93,89,92,91,92,99,99,91,94,94,94,99,99,99,99,98,98
Moldova,,,,,,,19,81,87,93,94,92,94,99,99,99,99,98,95,97,89,98,96,94,91,92,88,90
Romania,,,,,,,,99,99,99,99,98,98,99,98,99,98,99,99,97,95,98,96,96,96,94,90,90
Russia,,,,,,,,,,,,,43,81,94,96,97,98,98,98,98,97,97,97,97,97,97,97
Rwanda,,,,,,,,,,,,,,88,96,89,95,99,97,97,97,97,97,98,98,98,98,98
"Saint Kitts and Nevis",,,,,,,,,,99,99,99,99,96,99,96,99,99,99,98,97,96,98,98,97,98,94,98
"Saint Lucia",,,,,,,,,,,,,,14,84,91,95,85,99,96,95,97,99,98,99,99,99,95
"Saint Vincent and Grenadines",,,,,,,,,,,,,,,31,99,99,99,99,99,99,99,96,96,97,98,98,98
Samoa,,,,18,1,94,96,98,99,97,94,89,89,86,83,54,41,35,46,12,44,57,58,64,60,56,59,55
"San Marino",,,99,99,98,98,98,98,97,97,97,94,95,95,96,97,95,95,92,87,92,78,86,96,69,80,75,66
"Saint Thomas and Principe",,,,,,,,,,,,,,,43,70,96,75,87,99,98,98,96,96,97,95,96,96
"Saudi Arabia",,66,86,89,93,94,93,92,91,95,92,93,95,97,95,96,97,96,96,98,98,98,98,98,98,98,98,98
Senegal,,,,,,,,,,,,,,,,54,84,89,94,88,86,89,92,91,92,89,89,93
Serbia,,,,,,,,,,,,,,,,89,65,93,99,93,93,89,94,97,91,92,94,91
Seychelles,,,,,,,99,98,97,97,99,98,96,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97
"Sierra Leone",,,,,,,,,,,,,,,,,,,63,77,84,86,89,91,92,83,86,84
Singapore,,74,76,78,90,94,96,96,97,96,96,97,95,95,95,94,96,95,96,97,96,96,96,97,97,96,96,96
Slovakia,,,,,,,,,,,,98,99,99,99,99,99,99,99,99,99,99,99,99,98,97,96,96
"Solomon Islands",,,,,53,65,68,97,73,75,79,81,83,75,79,81,83,99,90,89,92,90,99,99,94,88,98,99
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,42,42,42,42
"South Africa",,,,,,,,,74,74,73,73,72,72,71,76,79,83,83,76,74,71,76,68,70,80,75,66
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,31,26
Spain,,,,,,,,82,84,81,80,77,83,82,81,97,96,97,96,97,96,97,97,96,95,96,97,97
"Sri Lanka",,,,,,,,,,,,,,,32,62,99,98,98,98,97,99,99,99,99,99,99,99
"West Bank and Gaza",,,,,,,93,91,99,91,90,95,92,91,97,96,99,97,98,96,97,98,99,99,99,99,99,99
Sudan,,,,,,,,,,,,,,,,,22,60,78,78,72,75,93,92,93,94,93,93
Suriname,,,,,,,,,,,,,,,,,83,84,84,84,87,86,86,84,86,85,89,91
Swaziland,,,,,,,,76,76,78,81,83,86,88,90,93,95,93,92,90,88,89,91,95,98,98,90,90
Sweden,,,,,,,,,,,,,,,,,,,,,,,42,53,67,67,67,67
Syria,,,,5,23,64,74,75,76,77,78,79,80,80,81,82,83,83,83,83,84,84,66,43,71,47,41,50
