Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,5.655449755,5.574368578,5.460476033,5.475538549,5.565157068,5.617489707,5.615181126,5.660732978,5.698537474,5.77702593,5.881572717,5.970061235,5.924916108,5.896054112,5.871442479,5.783428406,5.71681996,5.638671927,5.518678243,5.38979915,5.281106696,5.160009597,5.03462569,4.910855935,4.80068358,4.710548029,4.626712979,4.549548061
Albania,2.963184178,3.690874864,4.220684571,4.825660868,5.446853676,6.611418323,7.970655115,9.672306984,9.89277634,8.871746646,7.484872875,6.328045769,5.276325282,4.275394384,3.37901277,2.501910841,2.12086255,2.03644718,1.911562602,1.670174865,1.728198615,1.741729952,1.73904473,1.743903419,1.754169854,1.746947452,1.738432131,1.727117726
Algeria,0.646717591,0.644064294,0.64264686,0.643643304,0.661354822,0.662949882,0.663996637,0.665455409,0.658905966,0.657051246,0.647441627,0.637494185,0.624725172,0.59618225,0.553067111,0.528684443,0.50332616,0.478417503,0.466256456,0.453938795,0.440188315,0.434350765,0.425238034,0.418788647,0.416497955,0.412704896,0.399011492,0.389807367
"American Samoa",1.401462126,1.383537583,1.363194005,1.349649083,1.348715234,1.33469893,1.318695236,1.340424914,1.221549757,1.181377946,1.15509542,1.137855179,1.119686168,1.092060855,1.011752986,0.938627818,0.88093612,0.842808703,0.782271574,0.748971271,0.736826528,0.714973279,0.704312608,0.684487989,0.690530275,0.718528789,0.71476622,0.715692776
Andorra,0.263681797,0.261616406,0.260428394,0.252668932,0.245582206,0.23843407,0.231980454,0.225311448,0.219972868,0.214591004,0.209295195,0.203066941,0.197310012,0.194108216,0.192060859,0.187715169,0.183325981,0.179717638,0.175719126,0.172110827,0.168172877,0.164280045,0.161967835,0.158549637,0.155714762,0.151485233,0.150204237,0.148778364
Angola,1.764511587,1.7627196,1.776342412,1.818828988,1.839763371,1.777188685,1.628038543,1.57015,1.734269116,1.609288467,1.525207351,1.450175878,1.36444415,1.326803595,1.317536958,1.253244878,1.225543703,1.182874779,1.145833168,1.120543401,1.095218003,1.074116651,1.061480708,1.035876622,0.992909957,0.978171447,0.947118785,0.938781823
"Antigua and Barbuda",1.369555237,1.404963341,1.415648729,1.443565134,1.492190188,1.599060121,1.528111452,1.594166105,1.585593876,1.595663972,1.63835647,1.837678763,1.796707996,1.863305706,1.980963998,2.13973557,2.182140493,2.411436274,2.485653281,2.705315463,2.602281005,2.575908996,2.554734191,2.493290521,2.383652756,2.345155184,2.356065668,2.34056241
Argentina,3.427424416,3.406110403,3.5182227,3.475146962,3.522483449,3.525240473,3.680862668,3.749709889,3.778995343,3.992934135,4.121154141,4.259209689,4.216280707,3.778437712,3.206062379,2.977865825,2.916034148,2.877069122,2.995010137,3.058998754,3.061994166,3.210315082,3.408228645,3.573734132,3.570851385,3.497710857,3.462527728,3.426180628
Armenia,0.878901674,1.11200873,1.363381969,1.546026541,1.514880285,1.430434642,1.232138646,1.057346504,0.98616022,0.893077827,0.821381825,0.776595108,0.731260584,0.697008063,0.713550816,0.747767164,0.764856816,0.750444892,0.766618204,0.783463911,0.779292933,0.779391434,0.769906186,0.720231177,0.680042262,0.72106945,0.687669889,0.694852361
Australia,0.548665412,0.519212277,0.497923447,0.452679639,0.439628181,0.426729941,0.430106463,0.398949885,0.365161679,0.332726727,0.307234194,0.268404793,0.245948683,0.226192367,0.194047058,0.183786625,0.189248742,0.187569664,0.189674477,0.193114699,0.192319752,0.184772281,0.181042052,0.177710681,0.179781428,0.179636583,0.181295902,0.182211359
Austria,0.397986516,0.405906465,0.408136273,0.398131719,0.377213435,0.351250422,0.327612787,0.282965769,0.281146567,0.245239754,0.236082414,0.209574779,0.195862462,0.18877442,0.177630937,0.173085156,0.16087345,0.160063385,0.159144196,0.167565466,0.158659629,0.144017766,0.135266269,0.138847613,0.136313547,0.135175396,0.137165291,0.132233723
Azerbaijan,2.476359614,3.226539621,4.506375491,5.089239177,5.037840074,4.154383075,3.403783596,2.830668579,2.337867143,1.922542304,1.603591673,1.376896403,1.227936047,1.129166373,1.045975573,1.000653527,0.92056658,0.814264633,0.846638947,0.858051728,0.882125884,0.902528911,0.914645978,0.930572678,0.940336689,0.936745874,0.939535794,0.952736664
Bahamas,10.74120629,10.09129633,10.4118602,10.75920114,11.15163669,11.22538184,11.25887601,11.69760414,11.70521167,11.94615981,12.29778245,11.54619619,11.43714844,11.67483636,12.02889623,13.28311401,14.22583479,15.21283413,16.5197542,17.83137771,19.13060209,20.44989339,21.76395975,21.91354439,21.19928926,20.36647221,19.76981624,19.21897105
Bahrain,0.564410157,0.590472275,0.613624727,0.63503634,0.647311697,0.661347373,0.658192306,0.656292678,0.686543618,0.677288877,0.642061548,0.577972142,0.555868066,0.520489881,0.521869174,0.508164777,0.488533424,0.478777585,0.464174288,0.441687346,0.428644286,0.428683646,0.400460609,0.380142886,0.369848391,0.368425408,0.365780332,0.362021301
Bangladesh,0.098327849,0.094484704,0.097080023,0.098748914,0.100749881,0.105221103,0.107091634,0.107637027,0.107304054,0.103700875,0.102146582,0.088443226,0.080493122,0.075329146,0.074788956,0.070977547,0.067691938,0.06829859,0.064614574,0.064170621,0.065889122,0.061540033,0.060999171,0.064654014,0.076113303,0.077698076,0.073864651,0.071709978
