Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,1115,983,1231,1948,,,,
Albania,131,220,216,166,131,154,95,105,93,85,127,142,157,124,117,66,79
Algeria,,,,650,449,204,312,271,328,277,254,280,523,480,577,542,
"American Samoa",,1,7,3,4,6,4,1,3,2,5,5,2,3,3,4,3
Andorra,,,,,1,1,1,1,1,1,1,1,,,,,
Angola,,,,,,,,,,,,1055,1217,,,,
Anguilla,1,1.5,2,2,1,3,5,4,1,1,2.3333,3.6667,5,1,4,,
"Antigua and Barbuda",5,7,5,5,4,3,11,17,16,16,6,8,10,,,,
Argentina,,,,,,,,,,,,,,,3227,2837,2605
Armenia,91,88,69,76,83,58,79,77,97,97,56,71,65,63,72,75,87
Aruba,,4,5,4,2,6,5,3,5,4,4,2,4,6,2,,
Australia,362,347,366,341,302,259,281,255,261,263,231,248,243,245,243,236,227
Austria,82,70,65,50,59,54,61,45,58,51,58,75,79,62,45,46,57
Azerbaijan,226,218,212,183,201,192,190,189,192,199,206,204,202,221,236,222,208
Bahamas,74,43,52,50,44,52,61,78,73,87,94,127,111,119,123,146,111
Bahrain,,9,8,3,7,4,7,4,6,13,11,7,4,5,7,,
Bangladesh,3343,3678,3503,3471,3902,3592,4166,3863,4099,4219,3988,3966,4114,4393,4514,4035,
Barbados,20,25,25,33,22,29,35,25,23,19,31,27,22,24,25,31,
Belarus,1013,969,989,879,815,825,734,649,541,487,401,373,340,333,340,,
Belgium,212,282,319,230,268,221,221,211,203,189,189,214,205,205,208,220,
Belize,41,64,87,67,79,81,92,97,103,97,129,124,145,99,123,119,138
Benin,502,516.4,530.8,545.2,559.6,574,580,586,592,598,604,614,624,634,644,654,
Bermuda,,3,1,2,1,2,3,3,5,6,7,8,6,5,4,4,8
Bhutan,18,19,19,5,15,11,9,14,18,16,16,32,33,24,18,12,9
Bolivia,,,,,,478,482,770,828,819,1273,1236,1221,932,942,671,686
"Bosnia and Herzegovina",99,82,90,79,68,70,73,66,66,71,56,51,63,46,50,57,45
Botswana,,213,255,312,259,291,261,280,281,289,303,,,,,,
Brazil,41595,43975,45585,46828,44379,43645,45086,44625,45885,44518,43272,48084,53054,54163,57091,58459,61283
"British Virgin Islands",,1,1,2,4,3,2,,,,,,,,,,
Brunei,4,3.6667,3.3333,3,2,2,3,3,1,3,1,1,4,2,,,
Bulgaria,332,308,255,247,244,199,186,177,172,150,148,128,141,109,116,129,81
"Burkina Faso",,,78,81,78,63,69,94,108,77,93,82,84,122,138,67,
"Burma (Myanmar)",1041,916,814,764,743,676,777,749,791,879,801,1055,1436,1238,1230,1152,1198
Burundi,,,,,,,,,341,376,347,349,500,520,564,461,635
Cambodia,571,407,425,509,511,448,400,393,333,331,331,268,,,,,
Cameroon,459,755,1031,1002,956.8,911.6,866.4,821.2,776,1277,999,835,880,,,,
Canada,546,554,582,549,625,664,608,597,614,610,556,606,548,509,521,604,611
"Cape Verde",,,,15,21,44,35,29,34,38,39,53,56,54,65,46,62
"Cayman Islands",4,2,2.5,3,5,3,1,2,4,8,9,7.6667,6.3333,5,5,,
"Central African Republic",,,,,,,,,,,,,,,,,913
Chad,949,975,1001,1027,1053,1079,1093.4,1107.8,1122.2,1136.6,1151,1174,1197,1220,1243,1266,
"Channel Islands",,,,,,1,2,1.5,1,,,,,,,,
Chile,,,,513,544.5,576,590,616,588,630,541,636,434,556,638,534,620
China,26858,25939,26276,24393,24711,20770,17973,16119,14811,14667,13410,12015,11286,10640,10083,9200,8634
Colombia,26539,27840,28387,23523,20210,18111,17479,17198,16140,15817,15459,16127,16440,15419,13343,12782,12402
Comoros,56,56.4,56.8,57.2,57.6,58,58.2,58.4,58.6,58.8,59,59.2,59.4,59.6,59.8,60,
"Congo (Brazzaville)",366,372,378,384,390,396,403.4,410.8,418.2,425.6,433,439.6,446.2,452.8,459.4,466,
"Congo (Kinshasa)",6617,6897.8,7178.6,7459.4,7740.2,8021,8259.4,8497.8,8736.2,8974.6,9213,9434.8,9656.6,9878.4,10100.2,10322,
"Cook Islands",,,,,,,,,,,,,1,,,,
"Costa Rica",249,257,258,300,280,335,351,369,512,525,527,474,407,411,477,557,578
Croatia,101,81,73,69,83,68,74,62,71,49,62,49,51,46,36,37,44
Cuba,587,605,661,642,660,684,576,568,515,565,505,534,621,674,600,619,572
