Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,11.5,10.9,10.4,9.8,9.8,9.7,9.6,9.5,9.3,9.1,8.7,8.5,8.3,8.3,8.3,8.3,8,7.7,7.5,7.8,7.7,7.3,6.9,6.7,6.7,7.4,7.4,7.4,7.3,7.2,6.85,6.5,6.6,6.4,6.4,6.5,6.4,6.2,6.1,6.2,6.1,6.2,6.2,6.1,6.1,6,5.9,5.55,5.2,5.1,5,4.9,4.8,4.7,4.7,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11.1,10.5,10.1,10,9.6,9.7,9.5,8.3,8.2,7.8,7.6,7.4,7.3,7.2,7.2,6.9,6.9,6.8,6.8,6.7,6.6,6.5,6.5,6.5,6.5,6.5,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7.7,7.6,7.6,7.5,7.4,7.7,7.2,7.1,7.1,7.2,7.2,7.1,7,6.9,6.9,,
Canada,,,,,,,,,,,,,,,,,,,,,10,10.2,10,10,10.2,10.4,10.3,10.5,10.4,10.2,10.2,10,9.9,9.8,7.4,7.2,7.1,7,7,7.1,7.2,7.3,7.4,7.3,7.3,7.2,7.4,7.5,7.7,7.7,7.7,7.6,7.6,7.5,7.6,7.4,
"Czech Republic",,,,,,,,,,,,,,,,13.1,13,12.9,12.9,13.1,13.6,13.5,13.3,13.3,13.2,13.1,13.4,13.2,13,12.8,12,11.9,11.6,11.2,10.8,10.2,9.74,9.28,8.82,8.36,7.9,7.9,7.9,7.9,7.9,7.9,7.75,7.6,7.45,7.3,7.1,6.9,6.7,6.6,6.6,6.6,
Denmark,,,,,,,,,,,12.5,12.16,11.82,11.48,11.14,10.8,10.25,9.7,9.6,8.8,8.5,8.3,8.2,8.1,7.9,7.8,7.5,7.3,6.9,6.6,6.4,6.3,6.1,6,4.1,4.1,4.1,4,3.9,3.9,3.8,3.8,3.7,3.6,3.4,3.5,,,,,,,,,,,
Finland,12.5,12.6,12.8,12.9,13.3,13.2,13.4,13.3,13.2,13,12.8,12.6,12.2,12,11.8,11.4,10.7,9.4,9.4,9,8.8,8.5,8.3,8.2,8.2,8,8,7.5,7.6,7.3,7,7,6.1,5.7,5.6,5.5,6,5.9,5.9,5.8,6.9,7,7.1,7.1,7.1,7.1,7.2,7.2,7.1,7,7,6.9,6.9,6.8,6.7,6.6,
France,,,,,,,,,,,,,,,12.3,11.9,11.3,10.9,10.6,10.1,10.2,10,9.7,9.3,9,8.6,8.3,7.9,7.6,7.3,7,6.7,6.5,6.4,6.4,6.2,6.1,5.9,5.8,5.5,5.6,5.7,5.7,6.1,6,5.9,5.9,5.9,5.8,5.7,5.8,5.7,5.7,5.8,5.7,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.5,12.1,11.2,10.8,10.5,10.1,9.8,9.6,9.3,8.9,8.8,8.7,8.5,8.3,8.2,8.1,7.9,7.8,7.7,7.6,7.6,
Greece,,,,,,,,,,,,,,,,,,11,10.9,10.5,10.2,10.3,10.2,9.5,9.6,8.9,8.4,8.3,7.8,7.6,7.5,7.2,7.1,6.6,6.7,6.4,6.5,6.3,6.3,6.3,6.2,6.2,6.2,6,5.7,5.6,5.8,5.4,5.4,5.3,5.3,5.4,5.2,,,,
Hungary,11.3,11.2,11.2,11.2,11.1,11.2,12.2,11.3,11.2,11.1,11.2,11.2,11.2,11.1,11.3,11.3,11.4,11.4,11.4,11.2,11.2,11.1,11.2,10.9,10.9,10.6,10.4,10.3,10,9.9,9.9,9.7,9.5,9.5,9.8,9.2,8.6,8.2,7.8,7.5,7.1,7,6.9,6.7,6.7,6.5,6.3,6,5.9,5.8,5.8,5.8,5.7,5.7,5.7,5.6,
Ireland,,,,,,,,,,,,,,,,,,,,,8.5,8.2,8,7.8,7.6,7.4,7.2,6.9,6.9,6.7,6.7,6.7,6.8,6.7,6.7,6.6,6.5,6.5,6.5,6.5,6.4,6.5,6.5,6.5,6.4,6.5,6.3,6.1,6.2,6.1,6,5.9,5.9,5.7,5.6,6.1,
