Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046.426904,2033.672789,1927.871463,1940.834662,1957.254606,1745.940573,1852.415402,1852.415402
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2374.293704,2380.715882,2316.684543,2340.140988,2397.252514,2313.638717,2323.207896,2290.488956,2255.459601,2241.881916,2260.787542,2230.199703,2218.007582,2215.203873,2215.203873,2215.203873,2215.203873
Bangladesh,,,,,,,,,,,,,,,,,,,,,2027.626684,2027.620392,2027.604979,2027.581519,2027.197072,2025.854043,2026.572489,2026.072347,2026.438537,2027.518149,2027.530768,2027.165932,2026.844159,2026.519078,2026.189193,2003.103156,1993.751587,1984.610549,1975.545893,1966.498722,1959.065103,1952.380955,1993.419108,2032.2053,2068.66315,2102.730074,2134.347585,2168.372488,2200.932039,2232.027625,2261.649858,2260.807072,2259.280158,2257.150481,2264.107515,2271.485715,2279.30489,2265.424726,2261.038192,2255.659196,2249.362131,2247.014604,2242.861203,2236.372633,2236.383653,2236.383653,2236.383653,2236.383653
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184.563221,2154.676785,2181.236194,2185.91408,2196.351297,2233.333646,2259.365223,2290.773157,2318.166111,2364.539178,2364.181688,2372.321835,2371.976662,2372.567845,2380.295174,2381.554504,2388.101008,2387.864085,2393.570746,2387.081812,2397.384456,2301.918423,2301.918423,2301.918423,2301.918423
"Hong Kong",3214.762208,3192.942082,3171.27006,3149.745136,3128.366311,3107.132596,3086.043003,3065.096556,3044.292282,3023.629216,3003.106401,2982.722884,2962.47772,2942.369969,2922.398699,2902.562984,2882.861903,2863.294542,2843.859995,2824.557359,2805.38574,2805.836421,2785.602454,2765.386846,2745.122832,2724.776801,2703.966458,2684.730744,2665.509033,2619.682717,2548.828385,2497.862747,2458.397783,2424.933929,2393.755562,2356.082794,2360.248639,2324.306256,2372.438796,2314.031253,2278.52188,2309.90456,2224.171328,2287.959307,2291.928358,2254.849743,2304.267736,2257.813149,2259.152745,2301.92571,2330.667073,2326.357777,2343.43083,2330.898773,2354.375092,2346.386093,2315.494947,2327.780024,2277.022791,2251.99881,2302.080045,2256.761174,2235.594312,2225.358638,2175.452426,2175.452426,2175.452426,2175.452426
Indonesia,,,,,,,,,,,,,,,,,,,,,1844.937101,1844.904315,1844.88067,1844.889202,1844.936081,1845.023294,1845.120828,1872.383245,1871.730667,1882.445956,1893.419784,1892.910101,1891.241509,1889.897331,1888.960577,1888.417445,1872.793446,1871.646688,1897.868767,1942.268699,1920.862586,1928.294802,1897.538645,1917.223116,1929.720463,1947.654606,1917.212725,1948.20181,1866.236729,1884.208058,1913.022397,1935.449421,1917.73333,1919.889149,1969.054451,1953.516006,1965.110997,2042.989891,2044.329593,2063.680077,2054.324112,2023.279115,2026.351368,2024.239536,2008.462271,2008.462271,2008.462271,2008.462271
Japan,2030.413757,2012.990686,1995.717124,1978.591787,2008.9454,2034.516378,2084.966797,2108.042786,2133.144807,2156.244645,2172.898933,2175.313753,2152.700041,2146.327615,2153.529144,2135.122274,2142.947382,2156.571118,2160.340031,2147.011777,2137.217316,2129.295432,2131.664773,2117.544246,2058.716301,2030.261873,2057.499994,2064.006284,2067.987691,2072.703053,2073.943761,2068.827628,2068.618542,2074.860164,2089.279754,2076.767332,2078.495232,2083.96817,2080.437718,2061.361691,2028.41875,2010.741898,1962.130556,1926.776852,1909.1,1911.6,1914.8,1887.1,1866.5,1850.9,1858.5,1843.1,1830.6,1834.2,1841.5,1827.8,1836,1826.5,1807.3,1757.2,1777.8,1772.7,1782.9,1761.5,1756.5,1750.9,1744.313684,1746.293076
Malaysia,,,,,,,,,,,,,,,,,,,,,2276.073878,2276.347023,2276.693606,2277.004887,2277.280161,2277.55683,2277.580563,2277.655296,2277.718284,2277.697099,2277.693884,2277.626907,2277.449952,2276.382378,2282.508865,2278.645004,2271.474853,2272.474239,2270.751023,2278.927114,2282.429274,2289.927853,2297.478774,2298.90717,2299.347919,2299.818862,2300.230081,2305.183949,2302.377878,2303.890118,2303.160985,2306.759431,2334.033356,2324.47505,2318.824781,2361.263984,2349.085184,2324.452311,2298.306747,2306.564057,2290.211337,2285.455818,2268.275811,2239.644885,2248.285891,2248.285891,2248.285891,2248.285891
Pakistan,,,,,,,,,,,,,,,,,,,,,2215.517493,2256.368661,2204.079822,2239.972609,2271.67625,2308.281355,2264.651935,2219.666501,2175.079059,2130.69652,2137.882331,2119.028231,2125.777721,2132.988321,2140.693932,2157.970045,2164.002602,2134.23807,2108.900276,2143.404355,2175.93768,2205.851348,2202.446218,2233.546948,2195.501606,2217.460454,2208.300163,2199.747745,2177.577558,2178.456292,2186.436771,2176.948207,2169.929183,2178.532548,2176.870137,2156.680273,2131.496632,2135.804359,2128.708118,2109.135279,2127.923443,2114.874235,2101.567821,2088.753035,2095.756929,2095.756929,2095.756929,2095.756929
Philippines,,,,,,,,,,,,,,,,,,,,,2292.498776,2326.226908,2322.043269,2263.647539,2317.072635,2281.462353,2260.425165,2297.798876,2261.271701,2256.570763,2251.890985,2248.550258,2236.095957,2239.697995,2264.964897,2259.39306,2250.235107,2252.621754,2182.73952,2197.49613,2191.850747,2176.250218,2176.111048,2136.093643,2149.986901,2130.213942,2094.384315,2146.977284,2105.127659,2115.290862,2160.480821,2067.740966,2061.513881,2077.916367,2084.905658,2103.687739,2078.059748,2093.226502,2113.464019,2082.567174,2106.061832,2076.107303,2076.560181,2103.897083,2066.496947,2066.496947,2066.496947,2066.496947
