Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,370.0504743,358.9784184,352.7664528,357.0559225,362.9704392,363.2329649,364.6081627,367.3937773,369.8136956,372.2469924,371.9513445,368.4902535,355.8708514,350.1887476,341.8581056,331.0811191,320.2875784,306.5021038,292.5475289,278.2761753,265.0947492,252.4725103,239.7294396,227.3272139,216.5716077,208.0648033,200.6279496,194.3335609,187.2769889,179.4553489
Albania,97.25254112,98.11234817,93.2941562,88.00647596,81.51332731,81.76004257,80.92313427,76.9848265,72.16222022,68.40641519,63.70081896,57.58114465,56.15543849,55.71071423,51.9697951,47.43948942,41.52145862,36.12850971,33.03456796,29.49455349,27.00723604,25.55047755,24.11283307,22.96266251,22.10134731,21.2667667,20.19794403,19.23666919,18.34878157,17.54366701
Algeria,28.32325041,24.38124994,21.23391561,18.46259998,16.06162681,13.91603623,11.98003853,10.21194327,8.60147177,7.336597695,6.217256114,5.274853363,4.449428544,3.732100357,3.129844202,2.625006974,2.192657323,1.810553371,1.483099001,1.214199734,1.007996494,0.852510386,0.716447699,0.601025556,0.509760422,0.434104843,0.370873238,0.320503344,0.275400145,0.233389392
"American Samoa",49.46355686,45.4383581,41.56577867,38.01741637,35.27862504,33.2012199,31.69829031,30.54135942,29.56416165,28.74324541,27.56834907,26.18735546,24.62006656,23.07036229,21.82531334,21.20417885,21.03061265,20.88293448,20.89825532,20.90735654,20.71991801,20.29646021,19.38268964,18.23498606,17.00459022,16.0324835,15.36245106,14.70457637,13.92913135,13.06600529
Andorra,0.13544938,0.122645411,0.111494303,0.099643216,0.08992379,0.080632001,0.073101826,0.066117011,0.060211455,0.054951394,0.050305475,0.045924576,0.041811068,0.038049253,0.035163964,0.032339724,0.030034281,0.027703824,0.025819527,0.024439111,0.023210127,0.022363946,0.021615375,0.021021262,0.020327023,0.019481583,0.018363372,0.01726033,0.016474142,0.015843427
Angola,260.3436815,257.1207893,254.2702449,252.7825831,250.0300006,244.766957,236.7121789,230.2212414,226.1009959,221.0980594,214.5466088,205.8435522,197.4638336,191.7151954,188.1994178,178.7984395,171.5870164,162.1299099,154.9629398,146.9913144,139.0125536,130.5364147,121.6317933,111.7046377,100.9608219,93.21896628,85.65618387,79.09244459,73.49278625,68.3851746
"Antigua and Barbuda",4.850842624,4.522628071,4.169588694,4.05802871,3.721680238,3.427015983,2.992974823,2.696333084,2.445661473,2.232737841,2.036126171,1.887189909,1.749527029,1.635035081,1.535513053,1.438537339,1.358452722,1.381613457,1.299053524,1.155032238,1.08616093,1.020782879,0.949360877,0.889376178,0.841758795,0.78246823,0.719570896,0.658273098,0.60080805,0.548651547
Argentina,12.8675216,11.74007318,10.87940619,9.890047612,8.878260718,8.229464038,7.616124296,7.067480137,6.640467446,6.195990114,5.547372443,5.137875595,4.817315285,4.486258221,4.025438239,3.618293555,3.307549365,3.095758541,2.746856027,2.514794855,2.344676744,2.182931743,2.024127697,1.894822224,1.763473721,1.669665872,1.610871637,1.507427505,1.389146368,1.307024658
Armenia,38.4886483,39.99930077,43.8772353,45.58187463,43.02579458,41.95732947,41.2251998,38.26007291,36.27169149,34.58012146,32.02569011,29.77902486,26.61970843,23.34531373,19.52056269,16.46996002,13.86614784,11.05666236,8.884817516,7.003425898,5.693845414,4.813795624,4.073933102,3.453858104,3.045150934,2.768275135,2.500117566,2.318998887,2.144810889,1.978052438
Australia,0.758338093,0.66908764,0.604802122,0.536103807,0.485865608,0.430335643,0.384541256,0.338130537,0.294465362,0.256315458,0.223470798,0.193234596,0.167530043,0.14239936,0.120548182,0.103492328,0.090866413,0.081517783,0.073160955,0.065006353,0.058328428,0.053363436,0.048465679,0.044728957,0.042037846,0.039263814,0.035498116,0.033043584,0.031765668,0.030455277
Austria,0.424021955,0.39571401,0.366401201,0.338885247,0.311091373,0.289247219,0.271867964,0.250577667,0.233476056,0.216159329,0.196023071,0.177073384,0.163761391,0.151571823,0.136100824,0.124028138,0.111637575,0.101656385,0.092228422,0.085256004,0.077743673,0.072315935,0.068084139,0.064184202,0.060462485,0.057488689,0.053269651,0.049262734,0.046641023,0.044587536
Azerbaijan,75.86461937,77.43062133,80.56841899,83.09777998,84.83347171,82.30267691,78.43683638,73.93092019,70.05580099,66.12000721,61.95577953,56.75402615,52.97898264,49.49944844,44.94283827,41.41383942,36.81456011,31.41703447,26.39419465,22.21299416,19.38689323,17.5702147,16.10053865,14.88528969,14.00364564,12.98250953,12.16103108,11.43833421,10.23231885,9.38676446
Bahamas,5.222176447,4.915275918,4.631348248,4.403316454,4.152656967,3.851539511,3.657572851,3.185877128,2.806990429,2.559247813,2.22373077,2.074896358,1.869796076,1.751792058,1.641377799,1.452531163,1.338671672,1.178485176,1.093263039,1.038372117,0.955310363,0.899799955,0.842341074,0.796378398,0.752698814,0.724078661,0.686466904,0.647539275,0.615294404,0.584013012
Bahrain,17.79624304,16.12467186,14.26990521,12.23752052,10.5960694,9.360793016,8.368776521,7.240356976,6.300456372,5.479361917,4.169380567,3.111492313,2.997133592,2.800561836,2.394375673,2.049426898,1.742266234,1.480083475,1.266589336,1.082473635,0.939402798,0.823611428,0.726146263,0.616224601,0.521820161,0.458084896,0.421743974,0.389640523,0.338620075,0.288910768
Bangladesh,249.2863531,228.0474606,223.2266143,216.2595088,209.6263095,207.4792128,199.8215755,191.9842169,188.4524119,186.932235,187.4407337,184.9947175,187.4003856,188.7097043,185.894679,184.7686673,183.3389219,175.6585909,164.4144123,155.5293414,148.7224012,129.5768156,112.9534819,104.6160924,100.3938196,93.38283069,89.5049878,89.29571092,84.67409591,79.25479103
Barbados,0.288639576,0.261319742,0.244660725,0.226404449,0.210276123,0.196289752,0.183326734,0.173937684,0.162981056,0.151034189,0.143923631,0.130523589,0.125837742,0.121150846,0.11291182,0.103041606,0.09639356,0.090822505,0.084264188,0.077173931,0.071923779,0.067722205,0.062365698,0.058784311,0.05569748,0.052653024,0.049957288,0.047494286,0.045251723,0.043501555
Belarus,7.45852602,7.162246066,6.883964392,7.011951236,6.656719245,6.47647016,6.064650648,5.867095808,5.665240683,5.520242378,4.942845257,4.82023583,4.713650545,4.22333944,3.795957261,3.5028075,3.010664942,2.482602265,2.103386923,1.806677618,1.579479928,1.431016258,1.151816425,1.023909064,0.913885284,0.814019447,0.750788701,0.700074492,0.63934172,0.594864423
Belgium,0.291096458,0.260759671,0.236430181,0.216089417,0.19489842,0.178158953,0.163768335,0.150833774,0.140224199,0.129420797,0.117911173,0.106651434,0.098291016,0.089453909,0.078972033,0.07095935,0.062954588,0.057131537,0.051978036,0.047075634,0.042469275,0.038865633,0.036100718,0.033219225,0.03005555,0.02829054,0.026160519,0.024937522,0.023699403,0.022547927
Belize,51.45748498,45.17707801,41.26450874,38.72005209,36.91164978,36.03229992,36.42575706,37.31887589,37.49490384,37.50003106,36.69799295,32.25065243,29.25837338,27.62587945,26.45855015,24.82381886,23.82983235,22.14611376,20.14752836,19.27681622,18.520307,17.4134983,16.10591759,15.34614724,14.76612372,14.03961977,13.10364556,12.34748176,11.8956901,11.18486587
Benin,247.4222182,243.833548,239.824088,235.6556047,233.354859,230.7238503,228.2839887,223.2620078,218.8970392,214.735965,212.733143,208.2024145,206.9325271,202.5048493,199.3745664,195.2343272,192.4619209,187.2143003,185.3466738,183.3202332,181.2675303,178.1788099,174.5897013,169.7875787,164.0971402,161.902002,157.9648917,155.0629532,148.9577812,143.4844465
Bermuda,10.58897053,9.530155256,8.462805903,7.776114921,7.020727726,6.161908458,5.690185858,4.914968929,4.342575534,3.90895289,3.532852955,3.09359728,2.750053884,2.44442009,2.186036596,1.962390236,1.748256265,1.529666456,1.337134259,1.176282125,1.04338793,0.952766123,0.870509607,0.80813284,0.751934642,0.703074865,0.665539643,0.634201245,0.593504362,0.545315294
Bhutan,225.902612,225.4226921,220.76767,215.9061913,210.9800133,206.3831803,200.1375262,196.493526,191.689765,183.0714656,179.1571651,171.4049019,162.5560934,155.1265688,146.5878225,138.2490624,128.9915065,121.5416803,113.3151127,106.0470999,99.90670583,94.88393444,90.2816919,86.30758939,82.8248112,80.01282323,77.66151309,75.45563727,72.95124364,70.04096991
Bolivia,112.0902224,105.4339869,99.40991502,94.02488071,88.41364723,83.99724818,79.54797953,76.62434639,73.01004741,69.71633451,66.44071646,62.85558372,59.74028368,56.67817972,53.81399578,51.4975989,49.41118331,47.81952906,46.21306568,44.71616884,43.36033944,42.30490357,41.33228579,40.35431012,39.08637142,37.54725392,34.59551972,31.37493975,29.31828898,27.75903854
"Bosnia and Herzegovina",90.59530675,96.92661683,96.87411616,96.47749554,95.58698404,93.06626993,86.98865047,79.42509675,66.00792425,57.04552842,51.96381239,51.89912614,50.44226632,47.35413898,44.37677759,42.28964538,38.9482476,37.81765063,33.61145924,31.37740189,29.28436828,28.07040715,26.2798697,25.13434713,24.25388648,23.97870788,22.76755282,21.90214395,21.13339189,20.10527349
Botswana,165.059865,160.8837335,158.0928641,155.5368865,154.1935921,152.5621916,149.1944778,145.0419726,142.6012382,139.6284175,137.7074531,134.4466887,130.238066,123.5587324,114.7910454,105.3799859,98.06462917,90.29682013,85.55753718,80.66440995,77.04834255,73.67550597,69.88463925,66.72406732,63.85910758,61.19148445,58.47733914,56.37616413,53.56255587,50.05638446
