Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,..,..,..,..,..,..,..,..,..,..,..,28.4,30,29.7,29.7,30.9,30.6,29.1,28.7,28.1,..,24.6,24.6,24.7,25.6,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,28.2,29.6,26.4,26.8,24.3,..,22.8,23.1,24.8,26.3,27.3,28.6,28.4,26.6,..
"Costa Rica",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27,21,26,30,30.6,29.8
Lithuania,..,..,..,..,..,..,..,..,..,..,14.5,15.7,15.8,15.2,13.5,12.8,10.5,9.5,7.7,8.8,9.5,10.6,11.5,11,11,10.5
Russia,..,..,7.6,6.3,7.1,7.2,6.8,6.8,7.2,11.2,10,7.3,5.3,7.3,7.2,7.4,6.9,6.6,6.5,6.2,5.6,5.4,5.4,5.8,5.3,..
"South Africa",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,12.2,11.5,10.7,11.7,12.2,11.9,13
Australia,..,..,..,..,..,..,..,..,..,..,..,38.8,39.1,39.4,38.4,38.7,38.3,37.7,37.7,38.2,38.6,38.4,38.2,38.1,38.4,38
Austria,..,..,..,..,..,21.6,21.7,21.3,22.8,24.4,23.9,25.3,26.1,26.7,29.3,30.3,31.2,31.4,31.3,32.4,33,32.8,33.5,33.4,34.9,35
Belgium,28.8,30.5,30.4,30.2,30,29.9,30.2,30.5,31.2,36.6,35.5,33.5,32.9,33.7,33.9,33.1,33.8,32.2,32.5,31.8,31.7,32.4,32.1,31.4,30.5,30.2
Canada,26.7,27.9,28.3,29,28.8,28.5,29,29.3,28.6,27.9,27.2,27,27.7,27.9,27.2,27,26.4,26.3,26.6,27.2,27.7,27,26.7,26.7,27,26.4
Chile,..,..,..,..,..,..,9.4,9.6,8.6,8.7,8.7,9.8,9,9.9,11.7,12.1,13.3,13.9,15.2,17,25.7,25.5,24.6,24.3,25,24.5
"Czech Republic",..,..,..,5.8,5.6,5.6,5.3,5.5,5.4,5.6,5.4,5.4,4.9,5.3,5.2,5.5,5.6,5.9,5.8,6.2,7,6.6,7,8,7.7,7.4
Denmark,29.7,28.8,29,28.5,26.2,25.8,24.4,24.5,25.6,22.7,22.4,21.3,21.4,22.7,23.8,23.9,24.6,23.4,23.3,24.5,25.4,25.2,24.9,24.7,25.4,25.8
Estonia,..,..,..,..,..,..,..,..,..,..,10,10.1,10,10.6,9.3,9.5,10.3,10.1,9,11.3,11.7,12.9,11.9,11.3,10.3,12.2
Finland,10.6,10.5,10.6,11.5,11.5,11.7,11.4,12.5,13,13.5,13.9,14,14.8,15,15,14.8,14.9,15.5,15.1,15.9,16,16,16.5,16.7,16.8,16.4
France,22.5,21.9,22.7,23.7,24.5,24.8,24.4,25.8,25.5,25.4,24.3,23.8,23.6,22.8,23.1,22.6,22.6,22.8,22.1,22.7,22.5,22.3,22.6,22.5,22.5,22.3
Germany,29.8,25.2,26.1,27.2,28,29.1,29.9,31.4,32.4,33.1,33.9,35,35.3,36.3,37,38.8,39,39.1,38.5,38.3,38.2,38.3,38,38.1,37.5,37.4
Greece,11.6,12.1,12.3,12.3,13.1,13.3,13.8,14.2,15.5,13.6,9.4,8.5,9.7,10.1,10.5,11.4,12.8,13.3,13.6,14.4,14.5,14,15.1,15.6,16.2,16.3
Hungary,..,..,..,..,..,4.6,4.6,5,5.2,5.1,4.7,4,4.3,5.1,5.1,5.3,4.4,4.5,4.6,5.2,5.4,6.7,7,6.5,6,6
Iceland,..,39.7,39.4,38.6,37.9,37.9,35.3,36.8,38.6,35.2,33.7,32.6,31.2,25.1,26.4,26.6,26,25.4,23.6,25.8,25.9,24.1,23.7,24.6,23.2,23.7
Ireland,21.2,21.5,22.7,25.5,25.5,27,26.9,27.6,31.9,32.7,32,32.6,32.8,33.4,34,34.6,34.3,35,35.5,37.4,38.2,39.1,37.5,36.2,35.4,35.4
Israel,..,..,..,..,..,26.3,25.5,24,25.6,25.7,25.4,26.3,26.1,26.1,26.1,26.9,26.2,25.3,24.5,24.5,23.3,22.5,23.6,23.4,23.5,23.3
Italy,18.4,18.5,19.8,20.5,20.6,21.1,20.9,22.2,22.4,23.2,22.5,22.6,22.7,23,28.7,28.8,29.3,29.8,30.5,30.5,31,31.2,32.2,32.8,32.9,32.8
Japan,25.1,25.7,26.1,26.4,26.8,26.2,27.5,28.8,29.3,29.8,29,30.8,30.9,31.4,31.3,31.7,31.3,32.6,33.2,33.8,33.9,34.8,34.5,36.2,37.2,36.9
"South Korea",6.5,6.7,7.3,6.9,6.8,6.6,6.8,7.7,9.2,10.4,9.8,10.4,10.6,11.2,11.9,12.5,12.3,12.5,13.2,14.2,15.5,18.5,15,16.2,15.6,15.9
Latvia,..,..,..,..,..,..,..,..,..,..,11.4,10.7,11.5,10.6,11.2,9.4,7.3,7.4,8.2,9,10,9.8,10.7,9.9,9,9.4
Luxembourg,19.1,22.2,22,23.8,25.7,28.4,24.8,26.2,29.2,28.4,28.9,29.9,27.7,30.2,29.6,30.7,27.2,27.6,28.9,31.1,30.4,30.2,28.1,27.7,27.7,26.7
