Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,,,,,,,,,,,,,,21.22,21.9233,22.6267,23.33,24.0333,24.7367,25.44,25.0733,24.7067,24.34,24.38,24.42,24.46,24.0775,23.695,23.3125,22.93,,
Angola,,,,,,,,,,,,,,,,,,,,40.25,39.2575,38.265,37.2725,36.28,35.2875,34.295,33.3025,32.31,,,,,,
Argentina,,,,,,32.43,34.42,34.965,35.51,36.055,36.6,34.29,33.2,34.44,36.96,36.87,36.36,38.05,37.05,37.7,39.46,40.51,39.9,36.66,36.32,35.38,34.92,33.65,32.56,32.42,31.84,30.77,30.56,30.75
Armenia,,,,,,,,,,,,,,,,35.22,33.3567,31.4933,29.63,29.365,29.1,29,28.2,31.69,30.78,27.47,24.28,25.27,24.37,26.21,26.13,24.86,25.56,25.74
Australia,23.33,23.57,23.81,24.05,24.29,24.3925,24.495,24.5975,24.7,24.7283,24.7567,24.785,24.8133,24.8417,24.87,24.9317,24.9933,25.055,25.1167,25.1783,25.24,25.235,25.23,25.678,26.126,26.574,27.022,27.47,27,26.53,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,23.86,22.85,23.71,23.85,24.11,24.68,23.57,23.69,23.45,,
Azerbaijan,,,,,,,,,,,,,,,26.77,27.2267,27.6833,28.14,28.5967,29.0533,29.51,17.59,17.96,17.14,17.41,20.1867,22.9633,25.74,,,,,,
Bangladesh,,,21.87,22.64,23.41,23.8,24.19,24.58,24.15,23.72,23.29,24.4875,25.685,26.8825,28.08,28.036,27.992,27.948,27.904,27.86,27.888,27.916,27.944,27.972,28,27.784,27.568,27.352,27.136,26.92,,,,
Belarus,,,,,,,,19.2,19.24,19.28,19.32,19.36,19.4,20.975,22.55,23.3933,24.2367,25.08,24.24,24.04,23.99,24.02,22.63,21.35,21.8,22.4,23.57,22.33,22.58,22.85,21.85,21.8,22.06,22.56
Belgium,,,,,,,,,,,,,,,,,,,,,,,,25.14,23.98,22.45,23.61,22.85,22.74,22.77,22.43,21.96,,
