Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,14.66736031,14.66736031,14.66736031,14.66736031,14.66736031,14.66736031,14.66736031,14.66736031,14.66736031,14.66736031,14.65284061,14.63814259,14.62373161,14.60819817,14.59014797,14.57098675,14.55137253,14.53733635,14.52096176,14.50607586,14.490448,14.47982883,14.46607113,14.45986176,14.46453285,14.47742558,14.52643013,13.90180492,13.9725771,14.04904079,14.77119446,14.41033554,17.37558174,23.50302696,24.52871513,31.11183357,31.64140701,33.81089401,37.11538696,42.78461075,42.99963379,44.86711884,45.48651505,48.20055008,50.06367111,51.4744606,52.73168945,54.38439941,53.99682236
Albania,36.65593338,36.65593338,36.65593338,36.65593338,36.65593338,36.65593338,36.65593338,36.65593338,36.65593338,36.65593338,36.65563202,36.66029739,36.67436981,36.69379044,36.71319962,36.73601151,36.75074768,36.77151489,36.79403305,36.824543,36.85536957,36.88340378,36.89699554,36.88234711,36.8433342,33.85362244,34.17174149,34.51135635,43.02668762,46.39851761,47.70234299,50.33018875,54.31542206,57.27476501,59.15919876,59.45005417,68.53026581,70.98152924,71.75567627,80.7522049,81.11924744,75.17233276,75.33661652,76.54563904,76.85331726,78.48971558,77.68712616,76.58493805,76.1696701
Algeria,22.84639549,22.66986847,21.96376228,22.31681633,23.19944954,24.08208275,22.84639549,22.66986847,22.84639549,22.31681633,21.62968063,21.46971703,21.30934525,20.61316872,21.34611511,20.82827377,20.48366737,20.14012146,19.61355782,19.62917709,20.14800835,19.61128235,19.59696198,19.70354271,18.8515625,19.41312027,19.93486214,23.43016815,25.0801487,31.21500015,31.49439049,34.979702,42.53033447,45.13812256,45.63324738,46.99898529,51.80602646,63.73859024,63.66503143,68.61740875,69.65353394,71.32678223,72.0151062,72.96174622,75.22676086,75.75175476,75.1776123,75.15155792,74.65374756
Andorra,73.83374023,73.83374023,73.83374023,73.83374023,73.83374023,73.83374023,73.83374023,73.83374023,73.83374023,73.83374023,73.83057404,73.83128357,73.83665466,73.84415436,73.85037994,73.85892487,73.86429596,73.86894226,73.87864685,73.89208984,73.90861511,73.92362213,73.94530487,73.94189453,73.91421509,73.85803986,73.7612381,74.97520447,75.8660202,76.0541153,76.49437714,76.63162994,77.21762848,78.06887054,79.37581635,80.20924377,81.8555603,87.02057648,87.20101929,88.09505463,89.14741516,89.50499725,90.04099274,90.94619751,91.32164764,91.59780884,91.41661072,92.68148041,94.24136353
Angola,,,,,,19.25707245,19.25707245,19.25707245,19.25707245,19.25707245,19.26442719,19.27954292,19.30361366,19.34057045,19.38387871,19.43512917,19.48964691,19.53026199,19.58592224,19.63925171,19.67809296,19.67571831,19.7092762,19.73543167,19.74086571,20.83036232,22.41942978,23.88023567,26.39230347,28.81533432,29.1611805,30.00927353,31.88802719,33.46854019,34.64082718,40.10529327,42.48570633,43.85634232,44.49079895,46.67926788,48.46990204,50.69518661,52.84452438,54.11460114,55.49161148,54.24934387,54.10379028,53.51275253,53.47844696
"Antigua and Barbuda",,,,,,,,,,,,68.80838776,68.96492767,68.96602631,68.96699524,69.12451935,69.12516785,69.12564087,69.28450012,69.28552246,69.28874207,69.29486847,69.29788208,69.45710754,69.61109161,68.04829407,68.42247772,66.96622467,67.38049316,67.61109161,66.46437836,67.56896973,69.86460114,73.77897644,75.05988312,77.70531464,78.17386627,77.52255249,80.65643311,81.20825195,81.83293152,82.58258057,83.20644379,83.97091675,85.72233582,85.45739746,86.26399994,85.92601776,84.68540192
Argentina,47.49065018,45.54885864,46.96107101,46.96107101,46.60801697,46.07843781,45.54885864,45.72538376,45.72538376,45.90191269,45.95669937,46.18647003,45.70178223,45.21449661,45.44664764,45.50120544,45.19282913,45.05413818,44.73478699,44.5946846,44.46327209,44.1533432,44.36505127,47.96720505,49.06108475,51.15288544,52.09243393,55.14358139,58.14704895,60.05656433,63.4949379,67.0226593,67.38840485,67.22294617,68.79061127,68.48990631,69.88360596,79.54069519,80.88892365,80.77407837,82.39951324,82.89358521,83.14157104,83.78735352,84.42058563,84.50337982,84.27978516,85.01221466,84.96787262
Armenia,,,,,,,,,,,,,,,,,,,,,,31.03630447,31.04226875,31.04792595,34.12028503,38.86458588,42.97589493,43.76519012,36.87887573,42.37757492,44.31473923,46.96765518,45.10487366,47.37413788,48.92987442,51.67827225,52.15026093,60.07496643,61.89173508,65.40950775,68.73197937,73.14491272,71.83179474,73.81509399,73.90138245,74.93005371,74.10309601,74.76312256,75.76766205
Aruba,,,,,,,,,,,,,,,,,67.94054413,67.92417145,67.90862274,67.89353943,67.87931824,67.86858368,67.8657608,67.86460114,67.86663055,67.85923004,67.85614014,68.13811493,68.43299103,68.73029327,71.31957245,70.71911621,70.30249023,71.03527069,71.68727875,72.73260498,81.8097229,79.78038025,81.45127106,86.11691284,85.13300323,86.13938141,87.12349701,87.17125702,87.39618683,87.36251831,87.4930954,87.56455231,87.4568634
Australia,62.97829437,62.80176926,62.62524414,62.80176926,62.62524414,62.62524414,62.62524414,62.44871521,62.44871521,62.44871521,62.52869797,62.60347748,62.67112732,62.73917007,62.81976318,62.90139389,62.98431396,62.57198715,63.10926056,64.82697296,65.99601746,65.80383301,67.34973145,68.1912384,69.49887085,72.60336304,73.057724,74.93146515,77.35825348,78.74306488,81.18743896,82.46434784,83.37055969,82.68882751,83.76320648,85.10224915,85.37892151,92.21099091,92.56447601,93.13654327,93.71936798,94.40394592,94.64175415,94.8758316,93.81317139,93.87414551,94.37874603,95.07674408,95.14187622
