Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,554000000,666000000,726000000,786000000,782000000,850000000,825000000,835000000,858100000,1057000000,1097000000,1064100000,1213400000,1352000000,1223000000,1254000000,1358000000,1412000000,1506000000,1756000000,1808000000,1764000000,1857000000,2024000000
Afghanistan,,,,,,,,,,,,,,36000000,89000000,147000000,165000000,167000000,179000000,121000000,86000000,62000000,16000000,50000000
Angola,27000000,38000000,24000000,39000000,31000000,34000000,35000000,51000000,63000000,82000000,103000000,91000000,236000000,293000000,554000000,726000000,653000000,711000000,1241000000,1597000000,1171000000,628000000,884000000,557000000
Albania,70000000,94000000,34000000,60000000,218000000,398000000,451000000,492000000,537000000,756000000,880000000,1057000000,1479000000,1850000000,2013000000,1778000000,1833000000,1623000000,1670000000,1849000000,1613000000,1821000000,2050000000,2306000000
"United Arab Emirates",632000000,743000000,814000000,859000000,893000000,1063000000,1200000000,1332000000,1438000000,1593000000,3218000000,4972000000,6072000000,7162000000,7352000000,8577000000,9204000000,10924000000,12389000000,15221000000,17481000000,19496000000,21048000000,21390000000
Argentina,2550000000,2975000000,3153000000,3353000000,3175000000,3195000000,2756000000,1716000000,2306000000,2660000000,3209000000,3926000000,5030000000,5273000000,4455000000,5605000000,6058000000,5665000000,5199000000,5645000000,5441000000,5466000000,5835000000,5999000000
Armenia,14000000,18000000,33000000,41000000,47000000,52000000,81000000,81000000,90000000,189000000,243000000,406000000,522000000,564000000,570000000,694000000,762000000,853000000,905000000,994000000,956000000,988000000,1140000000,1237000000
"American Samoa",,,,,,,,,,,,,,,,,,,,,,22000000,22000000,
"Antigua and Barbuda",247000000,258000000,278000000,282000000,290000000,291000000,272000000,274000000,300000000,337000000,309000000,327000000,338000000,334000000,305000000,298000000,312000000,319000000,299000000,803000000,802000000,844000000,820000000,971000000
Australia,10370000000,11882000000,11735000000,10169000000,11408000000,11594000000,11333000000,12148000000,14981000000,18032000000,19719000000,20408000000,25024000000,27189000000,26909000000,31064000000,34315000000,34137000000,32889000000,35736000000,36249000000,39059000000,43975000000,47327000000
Austria,14529000000,13980000000,12275000000,12694000000,12358000000,11382000000,11511000000,12334000000,15128000000,17251000000,18471000000,16512000000,18557000000,21630000000,19168000000,18751000000,19791000000,18931000000,20221000000,20913000000,20422000000,20965000000,22424000000,25411000000
Azerbaijan,87000000,57000000,176000000,143000000,93000000,68000000,57000000,63000000,70000000,79000000,100000000,201000000,317000000,382000000,545000000,792000000,1500000000,2634000000,2618000000,2713000000,2535000000,2855000000,3214000000,2830000000
Burundi,2424994,2141381,1440072,1300000,1200000,1400000,900000,1600000,1200000,1800000,1900000,1600000,2300000,1600000,1700000,2100000,3700000,1500000,2300000,4100000,2200000,1900000,3000000,3900000
Belgium,4548000000,4844000000,4529000000,4623000000,6472000000,6592000000,8304000000,7598000000,8848000000,10089000000,10881000000,11625000000,12369000000,12020000000,12718000000,12680000000,14114000000,13704000000,14534000000,15249000000,8975000000,8784000000,9636000000,10381000000
Benin,85000000,79100000,56200000,64200000,94400000,77400000,85500000,94500000,107900000,120900000,107700000,121600000,206300000,236400000,131400000,149400000,201000000,174000000,193000000,153000000,148000000,129000000,160000000,
"Burkina Faso",,,,,,23000000,25000000,37000000,38000000,52000000,46000000,55000000,61000000,82000000,99000000,105000000,116000000,128000000,200000000,183000000,152000000,172000000,172000000,
