Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,1.877649256,2.483284374,3.123899677,3.833657157,4.421813574,4.504513091,4.18815945,4.120828079,4.781927155,5.174403217
Algeria,2.668801743,2.234723072,2.143107091,2.545012381,2.63064087,2.356066217,2.170657266,2.41123028,2.772783559,3.142555314
Angola,,,,1.801654,1.591360614,2.1139,2.636364,2.428856346,,
Argentina,3.013072938,2.817020209,3.011554956,2.981205246,3.257104316,3.705929784,4.035263265,4.119794328,4.127524014,4.107350423
Armenia,2.302895055,2.447668865,2.797237489,3.04111555,3.555274899,3.881732664,4.045393718,4.305429402,4.24333035,4.211215394
Australia,5.694243722,5.453581737,5.32742395,5.458124447,5.917200538,6.053506886,5.949620216,6.163592195,6.130303036,6.020197447
Austria,6.088132312,6.113702999,5.916105047,5.817675241,5.925598975,5.735134885,5.720201738,5.576467247,5.292724823,5.332050603
Azerbaijan,3.120134928,3.923657295,4.0270456,3.709295055,3.749608325,3.875493875,4.193404967,4.294941557,4.294941557,4.529948489
Bahrain,4.397070174,4.548229752,5.153306938,5.344960561,5.385755994,5.25022851,4.970647621,5.240103436,5.278274617,4.960599775
Bangladesh,1.767211538,1.557792938,1.622600658,2.05759215,2.500814495,2.646455745,2.844740604,3.091901423,3.153860851,3.241497498
Barbados,4.237445469,4.190300129,4.508264413,5.038766909,5.450283082,5.316918075,5.110664912,5.035506019,4.7906,4.545623723
Belgium,5.202191709,5.123911387,5.387331728,5.755000897,5.894829378,5.65932827,5.681758314,5.873242835,5.615670172,5.38808832
Belize,,,,,3.587947,,,,,
Benin,2.23675154,2.495212221,2.393155495,3.120534104,3.277833186,2.4816006,2.034942071,2.6917,3.348484755,3.214280844
Bhutan,,,,,,,3.839282,3.917250145,3.839866009,3.818719452
Bolivia,2.000037219,1.902775856,2.453060941,2.635179027,3.150645421,3.44110613,3.528849142,3.610870775,3.495095237,3.275345551
"Bosnia and Herzegovina",2.992856108,2.836544097,3.429472762,3.824399871,3.829551,4.19467895,4.49342,4.2179,3.942307711,4.114387472
Botswana,2.79267567,2.548677095,2.864394769,3.314108112,3.530932262,3.513650246,3.426379459,3.44016537,3.336731171,3.588086258
