Country,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,0.109650369,0.078683463,0.073001466,0.1279,0.182827526
Albania,0.24,0.2447,0.249408528,0.290040419,0.267532014,0.2944,0.321332878
"Antigua and Barbuda",,,,,0.920030938,0.8904,0.860770777
Argentina,0.63,0.5935,0.557046457,0.633052698,0.627081173,0.6507,0.674235315
Australia,0.94,0.9408,0.941683685,0.944447797,0.934956572,0.9484,0.961767709
Austria,0.88,0.8797,0.879471509,0.924362858,0.945981174,0.9549,0.963725115
Bahamas,,,,,0.77404397,0.7975,0.820932301
Bangladesh,0.25,0.2706,0.291127743,0.30449922,0.323909016,0.313,0.302137328
Barbados,,,,,0.915443791,0.9058,0.896156244
Belarus,0.47,0.5132,0.556351046,0.611738726,0.59675521,0.6668,0.736753493
Belgium,0.88,0.8709,0.861825436,0.865587537,0.912009383,0.9245,0.936937844
Belize,,,,0.568023156,0.550432071,0.5764,0.602268831
Bolivia,0.22,0.2228,0.225683532,0.214539413,0.212628901,0.1847,0.156767422
"Bosnia and Herzegovina",0.51,0.5141,0.51816408,0.569850891,0.546821694,0.5687,0.59059671
Botswana,0.8,0.7768,0.753668338,0.791402347,0.745399963,0.7628,0.780150125
Brazil,0.67,0.6526,0.635237798,0.636811595,0.656500073,0.6974,0.738376514
Bulgaria,0.47,0.4648,0.459579105,0.468145151,0.495741048,0.534,0.572298758
"Burkina Faso",0.58,0.5604,0.540816416,0.489895897,0.427208125,0.4777,0.528143373
"Burma (Myanmar)",,,0.168305153,0.190298535,0.242751005,0.26,0.277228064
Cambodia,0.19,0.2031,0.216118109,0.189260207,0.133708973,0.1431,0.15253967
Cameroon,0.28,0.2946,0.309265346,0.248766383,0.240492981,0.2543,0.268162657
Canada,0.88,0.8853,0.890699848,0.909281979,0.917138361,0.9346,0.952150742
Chile,0.78,0.7644,0.748812907,0.753255083,0.777596085,0.8052,0.83284178
China,0.4,0.3711,0.342202758,0.403365966,0.507748692,0.5446,0.581455417
Colombia,0.51,0.4976,0.485227922,0.532511662,0.52961846,0.5285,0.52745666
"Costa Rica",,,,0.771795611,0.780803112,0.8004,0.820000644
Croatia,0.62,0.5909,0.561738608,0.623695418,0.620784371,0.6626,0.704390498
