Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Angola,1500,1500,1500,1500,1500,1500,2000,2000,2000,2000,1500,1500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1107,1000,933,926,900,800,900,1000,1130,800,1000,933,924,923,977,1000,1000,1000,1000,1093,1200,1114,1196,1200,1172
Bangladesh,864900,728200,719700,709500,936700,899700,1022100,922205,1014731,945305,717316,920299,910786,598402,524363,664542,750176,851062,773740,645221,579758,584505,589732,685063,934360,1067273,779670,518218,550327,561811,588439,589097,479296,566700,459500,509643,578493,479963,409928,450282,458699,438771,410125,392857,405000,421548,443054,423017,418501,418788,711105,762827,683400,667992
Bhutan,,,,,,,9,10,10,15,15,15,15,15,18,18,20,20,20,20,30,30,30,30,50,60,75,90,90,97,84,85,84,89,86,86,87,87,87,87,87,88,88,87,88,90,88,88,88,104,87,75,78,85
Brazil,45428,51988,46794,52495,57969,45192,54173,59424,56952,44304,47347,62407,91968,67052,73754,101071,87890,69262,71747,71876,92711,57395,56436,76303,63710,64690,64994,60777,39355,24208,16558,18695,13407,11769,7724,3453,3016,5662,5509,4876,5764,6831,7468,8607,16657,16861,16916,10140,10014,11193,12118,7426,7008,6625
Cambodia,1897,1800,2400,2400,1500,1800,4500,6400,12870,10000,5500,5200,3500,3300,2500,3000,2500,2000,1000,300,700,1100,1800,1270,2100,3000,5400,2900,1980,1600,1400,1895,2345,1800,915,1700,1950,1021,261,208,198,434,442,435,514,449,461,397,347,594,248,273,274,263
Cameroon,,,,,,,,,,,,,,,,100,120,90,160,170,180,180,180,180,180,180,183,185,185,186,190,192,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,215,245,245,250,255,244
"Central African Republic",,130,500,900,1000,1200,2500,2300,2930,3650,1620,1620,1860,1800,1800,1200,800,390,250,366,370,370,380,400,400,410,410,420,420,427,440,442,440,440,440,440,447,452,454,460,461,470,466,467,470,470,470,470,446,500,485,500,500,531
Chile,,,,,,,,,,,,,,,,,,5000,5000,10200,10000,10000,10000,10000,10000,10000,10000,10000,10000,10352,13894,13712,13530,13348,13167,12985,12804,12623,12442,12262,12026,11324,11000,11500,12000,11947,11795,11591,11358,11123,10917,11000,11500,11087
China,66000,62000,75000,84000,97000,174000,176000,148000,139000,135000,132000,167000,250000,287000,297000,328000,376700,412100,361000,313000,306000,246000,227000,320000,992000,345000,272000,277000,286000,300000,269650,277000,274000,175000,146460,147000,162000,92710,65000,50600,51850,55400,41000,32000,31000,31100,33400,26200,24000,19000,19310,17560,17100,13671
Taiwan,11052,7734,6696,6819,7527,6596,5343,6753,7030,4208,1276,708,431,275,221,121,35,88,27,14,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
