Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,513584,539884,575385,613961,650544,683702,700157,711242,722129,737871,752915,794512,847727,908622,972554,1036885,1060898,1084479,1112739,1152008,1206862,1286605,1386812,1505400,1637072,1720021,1802429,1883521
Albania,575527,592079,597414,596632,594976,588196,581737,582348,570231,559805,552584,546819,548141,542650,537011,530560,525873,520137,513857,507461,502147,495219,488169,480798,473311,474395,474762,476891
Algeria,724280,770136,819861,873757,932055,995001,1059704,1089948,1124593,1163590,1207054,1257106,1311189,1369927,1433688,1502210,1574334,1650696,1731847,1818523,1877198,2022244,2179992,2314885,2329272,2378733,2425280,2469711
Angola,2034964,2101044,2195278,2349970,2432640,2499344,2550697,2610807,2677116,2760079,2852427,2943634,3011486,3119140,3209191,3272172,3326292,3375814,3460653,3612626,3771631,3914648,4066695,4225555,4399429,4559469,4722276,4890349
Argentina,4673977,4731169,4827524,4969114,5112479,5296153,5403973,5517019,5635211,5758013,5884403,6073413,6259263,6443030,7134389,7227481,7305550,7367088,7433019,7625128,7440379,7512614,7604942,7844536,8011947,8127354,8239873,8352479
Armenia,653242,651431,654879,643984,630470,618951,612598,610058,609222,610768,611932,612872,616621,618389,619503,619056,616459,613672,613711,635056,646825,683223,684082,693104,696172,700674,704640,707156
Australia,3513132,3551814,3596813,3628480,3729824,3860531,3918564,3961239,4020968,4077881,4197535,4299822,4377999,4495341,4538655,4712221,4842484,4928871,5070477,5190288,5270552,5374536,5460151,5550196,5637407,5712984,5781358,5839418
Austria,1459325,1484483,1538487,1561046,1647258,1655191,1639814,1651553,1656954,1672388,1680543,1708020,1755867,1785540,1792191,1838077,1882586,1917371,1950321,1986232,1986414,2004461,2033952,2061787,2063267,2087098,2112931,2114215
Azerbaijan,1321953,1342840,1388005,1436271,1480663,1516421,1541053,1563852,1586027,1612097,1666930,1721114,1773324,1825432,1881042,1942103,2001021,2064632,2098186,2180066,2226508,2238294,2268363,2301586,2331786,2363826,2387084,2406876
Bahamas,57269,59540,61667,63692,65736,66842,67508,68101,68615,70466,72368,74925,77572,80276,83046,85913,88594,91354,94245,97265,100391,102380,104572,106673,108420,110002,111438,112375
Bahrain,36601,39076,41166,43564,46254,49144,51671,54514,57702,61275,65234,69904,73458,77649,82554,88832,98536,109172,120481,131782,141943,145112,146855,147687,148685,151280,154823,158785
Bangladesh,18493817,19073459,19227515,19374678,19511157,19634802,19734391,20277719,20835092,21406920,21994213,22101910,22185582,22236021,22247867,22221887,22129012,22008915,21865888,21705767,21536399,22082985,22643145,23242443,23924109,24434586,24928479,25423060
Barbados,63842,63711,64931,66224,67395,68657,69821,69296,69850,70108,70618,71512,70639,71844,73048,73501,73869,74216,74521,74743,75026,75596,74283,75612,75530,75532,75596,75428
Belarus,2573982,2537029,2507241,2480563,2448686,2415494,2391693,2366115,2340210,2316428,2331345,2343963,2354563,2363497,2371389,2377306,2379320,2384474,2390637,2396515,2396628,2391710,2384720,2377243,2369536,2360698,2347272,2319760
Belgium,1543201,1608610,1647903,1683347,1712451,1732770,1738511,1762460,1792918,1869392,1895539,1826493,1893437,1922106,1978119,2041786,2062337,2113564,2145702,2164258,2219429,2215949,2234983,2277933,2299630,2311696,2322157,2327424
Belize,19341,19556,19734,20000,20447,21212,22344,23972,25737,27552,29380,31260,33174,35147,37225,39435,42069,44849,47760,50779,53887,57281,60715,63600,66575,69000,71284,73818
Benin,815553,842400,872826,917003,963061,1010516,1054595,1100211,1147598,1197163,1249294,1302187,1358121,1415591,1474416,1534247,1590945,1648600,1707435,1768041,1830517,1889622,1949847,2012978,2079232,2143338,2208152,2275570
Bhutan,72718,71112,69411,67820,66518,65701,68325,71835,76154,81295,87182,95877,104983,113915,122129,129407,134982,139889,144204,148182,148339,148486,155307,146262,149853,154217,158521,162890
Bolivia,1012268,1055393,1100413,1147347,1196234,1247015,1332135,1418978,1454279,1490467,1527313,1572326,1618813,1666497,1715118,1764587,1823274,1882795,1943252,2004785,2034764,2063891,2133060,2202274,2274936,2328814,2382864,2437375
"Bosnia and Herzegovina",544380,526280,507514,491205,477546,478759,495113,495562,495198,495555,495908,496647,498272,500278,501907,507822,506549,512031,531295,538234,556833,554859,551625,546067,538781,534462,532431,530646
Botswana,264271,275645,287177,298995,311307,324312,335890,348074,360640,373191,385532,396222,406784,417404,428388,439914,450999,462237,474403,488649,500650,513206,526183,538999,552071,565073,577443,590039
Brazil,22013353,24690788,27552931,28193729,29229004,30304102,29860854,31226475,32195905,33903763,34567553,35187030,36907522,37950766,39426681,41079187,41722563,42219775,43033758,44013774,43672727,43276213,43982150,44468016,45603385,46164276,46670388,47166629
Brunei,35542,37714,39778,42013,44502,47298,50110,53294,56784,60423,64026,66335,67754,69074,70263,71306,71863,72567,73396,74309,75294,76217,76831,77179,77325,78645,79757,80920
Bulgaria,1954496,1931683,1912249,1872763,1839923,1801542,1762286,1718035,1671915,1624348,1574833,1641218,1600075,1545074,1568571,1526749,1590854,1622573,1638509,1603856,1577464,1553999,1563531,1575761,1568357,1555129,1541543,1526326
"Burkina Faso",1879212,1929060,1981723,2036257,2096362,2157145,2210040,2271228,2335834,2403591,2478936,2545514,2617760,2691895,2773294,2854945,2934603,3022870,3113946,3213354,3312535,3413719,3515888,3627638,3744096,3861427,3980775,4104250
Burundi,1348803,1357264,1367821,1379097,1389261,1397584,1396358,1393126,1390890,1404485,1426039,1474147,1530694,1594883,1663409,1734907,1806078,1880689,1957562,2035752,2114422,2181259,2248902,2317332,2386906,2455506,2527505,2601850
"Cape Verde",43002,44262,45721,47341,49091,50933,52832,54785,56790,58869,61049,63422,65861,68347,70891,73321,75735,78094,80462,82925,85486,87947,90581,93325,96080,98512,100972,103144
Cambodia,2052992,2109080,2158667,2208761,2265310,2337467,2414340,2488945,2577150,2789237,2947161,3188958,3239099,3258888,3249733,3349033,3449662,3549708,3514559,3814827,4081535,4202328,4044837,4031463,4107191,4185728,4263323,4337192
Cameroon,1770135,1852333,1938253,2027942,2121645,2219541,2314257,2406615,2504245,2607259,2715483,2821691,2933126,3049992,3172736,3301397,3428126,3562710,3703995,3850753,4002461,4120747,4243551,4369855,4503043,4640791,4778670,4922769
Canada,6489246,6580241,6598216,6653676,6705921,6765134,6843518,6973539,7129622,7277123,7421276,7564917,7808570,8046105,8163688,8222476,8358880,8560216,8709314,8805034,8910528,8979856,9090251,9212405,9249185,9314350,9407847,9463023
"Central African Republic",596291,611866,631731,651450,670727,689475,708536,724735,741200,758267,777734,791033,804889,822295,836231,852467,864144,876589,890526,901464,911227,913167,912631,929015,931508,936508,951415,971804
Chad,1024338,1044083,1066152,1121009,1154032,1189514,1223552,1260869,1301493,1345469,1392791,1439893,1491272,1546060,1603416,1662867,1718529,1776596,1837818,1903000,1972598,2042211,2116869,2195777,2278168,2363413,2446280,2532566
"Channel Islands",27933,28652,29292,29618,29480,29289,29667,29866,30274,30944,31420,31976,32630,33275,33512,33816,34023,34251,34917,36048,35830,34914,35313,35707,35569,35641,35672,35447
Chile,1527130,1544994,1671291,1783862,1815939,1789578,1803375,1885295,1935569,1978541,2009587,2001175,2030315,2146513,2274852,2372951,2462426,2568067,2746512,2816469,3138561,3310551,3369615,3471255,3575780,3622149,3667378,3709012
China,290119155,293738150,298101991,302841027,307342557,311214329,316723755,320820442,324159240,327778442,332149292,334094635,336427837,338862972,340886266,342373710,343148285,343720886,343979942,343748540,342965561,345313033,347264424,349018149,350371380,351278139,351790558,351400938
Colombia,3531865,3615312,3692815,3770856,4148154,4550306,4973200,5421143,5891918,6381279,6885378,7408342,7938689,8475475,8293934,8363005,8296952,8329540,8562949,9276452,9628795,9872696,10222368,10394438,10693172,10860667,11023037,11181252
Comoros,30497,31758,33094,34506,35993,37557,39166,40844,42598,44432,46347,48270,50280,52378,54566,56838,59137,61540,64040,66635,69322,71714,74187,76738,79365,81973,84564,87098
"Congo (Kinshasa)",6801813,7057695,7349679,7666471,7952416,8213147,8421670,8631622,8829223,9050694,9305916,9552245,9812707,10090660,10385808,10700509,11008141,11337645,11689408,12073461,12459923,12840193,13243449,13663967,14106062,14581404,15055460,15559740
"Congo (Brazzaville)",394485,411586,429628,448741,468936,489685,510632,532772,555712,579884,604599,628414,653167,679280,706721,735582,759319,788285,815434,841645,866252,886756,906245,925808,944998,968397,994575,1022726
"Costa Rica",327444,344355,349521,369118,391137,415330,407441,459819,502148,512049,502589,586627,598940,611356,604632,674823,690795,721995,733433,757578,760420,810009,820193,844833,863773,878646,893456,907529
"Ivory Coast",1359447,1433940,1513723,1598169,1686136,1776714,1861846,1949088,2037776,2109333,2181104,2239364,2297558,2356541,2417310,2480795,2551449,2625734,2704514,2788758,2878727,2968456,3064986,3167569,3274832,3383645,3490717,3602371
Croatia,933285,880941,872363,904840,905833,908064,875643,892142,879448,891352,868339,867242,867074,870197,898790,906875,908320,897379,901402,907620,896412,848273,849494,845531,878832,870361,863336,859161
Cuba,1406885,1434941,1462430,1488238,1511379,1531439,1553807,1570704,1584125,1596994,1610719,1624044,1638830,1654265,1668728,1743927,1820948,1907983,1938237,2011282,1993444,2026418,2036915,2045831,2051511,2050902,2045858,2038034
