Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,11,11,11,11,11,12,12,12,13,12,13,13,13,13,14,15,15,15,16,17,18,18,19,20,20,20,20,21,20,21,21,20,19,19,19,18,19,19,18,17,17,18,20,21,21,21,22,22,22,21,21,21,21,22,22,23,23,24,25,24,26,26,26,27,26,26,25,25
Australia,15,15,15,15,16,17,18,18,19,20,20,20,21,22,22,23,23,24,25,25,26,27,27,28,29,29,30,30,31,32,32,33,34,33,34,34,35,35,36,36,36,36,38,39,39,39,40,41,43,44,44,46,47,47,48,49,49,50,50,51,52,52,53,54,55,55,56,57
Austria,7,8,8,8,9,10,11,11,12,12,13,13,14,15,16,16,18,19,20,21,23,24,25,26,26,27,28,29,30,31,31,32,33,34,34,35,36,37,38,38,39,40,41,42,43,45,45,45,47,48,49,50,51,51,52,53,55,56,56,56,57,57,58,58,58,59,60,60
Bangladesh,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,19,19,18,19,19,18,18,18,,,,,,,,,,,,,,,,
Belgium,13,13,13,14,14,15,15,16,16,17,17,18,19,20,21,22,22,23,25,26,28,29,31,33,34,34,36,37,39,40,42,43,44,45,45,45,46,47,49,50,51,53,54,56,58,57,59,60,60,61,62,62,63,64,66,67,67,68,68,67,69,68,68,69,69,70,70,70
Brazil,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,9,10,10,10,11,11,12,12,12,13,14,13,13,12,13,13,13,13,13,13,12,13,13,13,14,14,15,15,15,15,15,15,15,15,15,15,15,16,17,17,18,18,18,19,18,18,17,17
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,13,15,14,15,16,17,17,18,19,19,20,20,21,22,23,23,23,24,25,25,26
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
Canada,13,13,14,15,15,16,17,17,18,19,20,20,21,22,23,24,25,25,27,27,28,30,31,31,31,32,34,35,35,35,35,35,35,36,37,38,38,38,38,39,39,39,40,41,41,42,42,43,44,45,46,47,47,47,48,49,49,49,49,50,50,51,51,52,53,53,53,54
