Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,4.51,0.43,4.54,3.86,6.31,2.03,7.38,5.57,5.42,6.39,1.71,3.98,4.00,3.98,4.05,3.97,4.01,3.96,4.02,3.97,3.39,3.37,3.35,-0.35,-0.39,-0.36,-0.35,-0.37,-0.39,-0.24,-0.92,-2.03,-0.30,0.48,1.13,-0.66,-0.34,0.89,0.78,2.20,-26.31,19.02,14.72,-1.49,11.17,11.26,-10.27,11.09,15.01,6.64,8.29,4.58,4.84,4.95,5.43,5.57,5.54,11.95,2.38,4.39,-2.15,0.20,5.68,0.90,-2.40,-3.56,2.20
Angola,2.33,2.40,2.35,-3.97,6.60,-3.16,8.11,3.93,-0.87,2.68,9.06,-4.04,4.12,10.38,6.71,4.12,3.71,-2.47,2.20,5.78,-1.02,0.11,5.41,-6.32,-39.19,-11.44,0.90,2.69,1.04,3.41,-3.46,-6.18,-4.72,-0.97,-0.98,-10.35,9.62,12.64,0.19,1.96,-1.68,-9.15,-27.44,-1.65,11.73,10.84,4.55,1.93,-0.83,-0.15,1.14,10.54,1.56,7.40,14.95,17.70,19.53,10.36,-1.45,-0.41,0.47,1.55,3.08,0.97,-0.72,-3.39,0.10
Argentina,2.29,-6.58,3.74,2.50,5.46,1.39,3.74,4.72,-7.71,6.38,5.81,-2.84,-3.63,8.92,7.77,-0.54,1.44,2.99,7.23,4.08,3.86,2.14,5.09,2.75,-1.52,-0.32,3.24,-5.26,5.31,1.12,-5.96,-4.66,0.43,-0.29,-7.29,4.24,0.49,-3.79,-7.03,-2.60,7.12,8.54,6.99,1.89,1.63,3.57,0.43,-0.21,-4.29,-0.94,-2.21,-5.64,3.61,1.69,3.78,2.56,5.56,2.19,-6.39,7.92,3.38,-3.07,1.54,-3.95,0.58,-3.57,1.67
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,2.05,-0.16,2.44,2.20,-0.86,-5.38,-5.55,8.53,-8.90,-13.87,-38.36,-12.13,9.36,8.85,8.17,8.16,9.01,6.28,7.55,10.60,31.25,13.93,13.12,12.44,13.76,12.81,5.41,-11.93,-6.06,5.60,7.34,4.05,5.87,8.86,-0.56,1.83
Australia,2.60,-0.71,1.47,4.52,3.77,1.79,0.69,3.88,4.87,1.06,0.40,3.76,3.18,3.14,2.02,-0.79,3.51,3.36,3.20,2.47,2.04,0.39,3.20,1.97,2.33,2.68,0.14,2.19,2.92,-0.53,3.07,1.08,-0.64,2.81,1.55,-0.47,2.36,0.93,0.18,0.02,-0.05,4.14,3.49,1.82,0.16,2.03,2.85,3.47,1.97,1.06,0.32,1.60,0.76,1.81,0.35,-0.42,1.38,-0.09,0.40,0.67,0.49,2.21,1.17,1.58,0.48,0.82,0.54
Austria,6.91,0.15,4.42,10.29,11.12,6.95,5.11,3.36,2.39,7.32,4.73,2.90,4.79,6.18,3.57,6.51,4.75,5.83,6.49,6.91,3.97,5.43,3.44,2.61,0.38,4.23,3.51,-0.78,4.94,1.50,0.54,3.06,3.09,0.47,2.04,2.26,1.29,2.80,2.90,2.47,2.18,1.64,1.07,2.42,3.03,2.00,1.46,2.52,2.04,2.40,0.63,1.75,0.10,2.07,0.94,1.58,1.75,-0.35,-3.38,1.20,1.23,-0.30,-0.21,-0.29,0.32,0.15,0.79
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,3.46,1.24,3.41,1.31,0.66,2.30,4.81,-9.25,-10.75,-1.46,-22.39,-22.94,-17.84,-12.59,0.49,8.66,5.80,11.36,6.19,6.18,7.81,9.88,8.39,25.06,32.91,23.45,9.40,7.86,3.57,-0.96,0.56,4.03,0.98,-0.39,-4.30,0.30
Bahrain,3.62,3.62,3.60,3.65,3.59,3.66,3.63,3.58,3.64,3.67,3.40,3.38,3.52,3.45,3.48,3.38,3.56,3.41,3.49,3.83,2.43,0.18,-0.41,-0.11,-17.98,5.35,1.49,-1.85,-8.39,-0.08,-2.74,1.99,3.11,0.52,-4.15,-2.11,-2.84,-1.48,-2.31,-4.43,-1.69,5.90,5.15,0.76,-0.42,1.61,0.62,3.32,-3.31,2.51,-2.85,-7.42,-1.70,-6.13,-9.13,2.19,0.79,-14.11,-0.27,-0.50,-0.73,1.91,5.15,4.48,2.17,1.81,0.77
Bangladesh,0.35,1.86,0.37,0.89,-6.27,9.35,-3.14,-2.96,4.24,4.61,4.49,-1.63,9.37,-0.07,3.71,0.14,-3.29,8.07,0.25,4.23,-3.60,-11.04,1.67,8.42,1.96,-0.50,2.16,3.31,-3.93,-1.38,1.52,-1.06,2.17,2.58,-0.86,-1.38,1.94,-0.57,1.47,1.27,-1.02,2.87,0.93,1.47,1.81,2.16,3.22,3.04,3.45,3.75,1.96,1.80,2.78,4.81,5.19,6.12,3.58,2.61,2.47,3.17,4.83,3.86,3.67,4.29,4.52,4.83,4.76
Barbados,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,5.70,3.92,2.82,6.55,2.59,6.91,9.99,13.36,9.53,10.07,1.68,-0.91,-0.84,-6.70,-4.01,-2.72,4.79,4.90,-4.21,3.35,-2.88,-1.96,1.55,6.94,2.20,0.72,0.51,1.43,-3.18,-1.46,-0.15,-0.73,1.81,-8.60,-1.65,-1.34,2.91,0.31,-2.09,1.27,-3.90,2.39,1.35,-0.14,2.48,8.10,0.17,1.20,-1.03,1.06,-0.06,2.68,-0.88,0.89,-1.46,1.61,1.67
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,0.91,4.64,2.84,0.67,2.26,0.96,-0.93,6.03,-2.49,1.12,-7.18,-6.38,-9.32,-5.21,3.83,11.30,7.29,2.76,5.72,5.23,5.89,8.00,11.98,7.26,8.62,7.48,8.03,-0.55,6.45,5.62,3.41,1.73,2.38,-2.66,-2.04,2.11
Belgium,5.28,-1.16,2.81,3.72,4.34,2.51,1.15,0.97,4.02,3.01,4.08,3.55,3.68,5.54,3.11,2.81,4.36,4.26,4.87,6.11,3.03,5.48,5.19,2.67,0.12,6.22,1.03,2.76,1.41,4.62,0.60,2.74,1.32,2.50,0.53,0.85,1.61,2.74,2.01,1.93,1.49,1.66,-0.31,3.66,0.77,1.33,3.01,0.22,2.15,1.59,-0.55,1.97,0.86,2.63,0.64,1.36,1.72,-1.04,-2.12,2.04,0.42,-0.30,0.27,1.22,0.55,-0.10,0.50
Bolivia,8.11,4.05,-8.56,3.11,6.31,-4.70,-2.03,3.72,0.99,5.62,0.69,4.14,4.98,3.39,3.44,5.72,4.76,7.00,3.00,3.69,1.54,2.79,4.52,2.84,4.13,4.00,2.15,1.31,-2.00,-2.98,-1.50,-4.41,-6.55,-3.22,-4.46,-4.97,-0.34,5.61,-2.16,-1.18,0.49,-1.81,1.59,-1.29,1.84,1.18,2.18,3.46,-1.69,-0.77,-0.13,-0.21,0.34,-2.03,3.33,1.70,1.26,2.02,1.72,-0.56,-0.32,1.88,4.57,3.31,2.51,2.03,1.83
Brazil,1.93,3.06,1.93,3.66,4.33,-1.41,5.25,5.96,5.27,5.18,5.01,3.60,-1.39,0.85,-0.52,3.57,1.34,6.06,5.82,6.85,4.05,4.96,0.29,5.30,2.56,6.50,-4.60,1.72,9.11,10.13,-8.23,-4.59,-4.49,1.71,0.49,5.09,-0.20,-3.57,1.18,-6.50,0.79,-0.54,3.77,4.28,3.35,4.42,1.78,0.87,-4.64,1.31,0.63,-0.79,-0.49,0.74,0.24,1.16,4.39,3.81,-0.99,5.82,2.47,0.51,1.42,-2.29,-3.99,-1.81,0.54
Bulgaria,19.97,-5.05,10.65,-2.36,6.63,-0.41,10.05,8.16,7.43,8.93,6.03,7.72,4.09,7.39,5.52,7.40,4.89,1.37,4.39,5.21,2.87,4.34,3.55,2.74,7.81,2.60,-1.34,1.77,3.45,-3.24,1.34,2.44,-2.20,3.45,-3.01,2.35,-0.12,-0.20,0.53,-5.10,5.30,0.91,0.09,1.17,1.65,-11.46,2.05,4.54,-1.77,7.50,4.56,5.69,2.14,3.75,4.31,3.42,4.04,3.58,-1.91,5.41,4.21,2.60,1.30,0.96,3.26,2.93,2.44
"Burkina Faso",2.50,2.37,2.33,2.38,2.43,2.46,2.32,2.51,2.29,1.67,3.96,6.10,-1.30,2.28,3.80,0.45,8.76,3.07,1.95,0.18,2.91,3.02,-6.23,-2.87,-5.23,-1.96,6.01,10.55,0.02,0.64,2.07,-0.09,-3.35,-0.65,10.56,12.92,-4.29,5.24,-4.13,-3.82,5.59,-2.84,1.40,-2.15,2.57,8.00,3.22,4.35,4.14,-1.02,3.25,2.22,3.69,2.08,6.15,1.37,1.91,2.52,-0.35,5.06,3.34,3.18,2.29,0.82,0.54,1.98,2.53
"Ivory Coast",1.64,1.61,1.57,1.62,1.67,1.62,1.65,1.67,1.61,6.79,5.06,0.33,11.86,13.28,-6.03,3.69,-2.53,11.07,0.32,6.52,0.95,1.45,3.73,-1.10,-3.96,7.65,0.66,5.66,-2.06,3.55,0.43,-2.77,-6.74,-6.17,1.81,-0.06,-4.51,-4.72,-4.25,-11.08,-4.49,-3.73,-3.52,-3.65,2.03,5.10,3.13,-1.67,-1.19,-4.69,-1.67,-3.41,-3.02,-0.46,-0.09,-0.57,-0.42,0.25,0.83,-0.52,-6.78,7.45,6.23,5.72,5.82,4.64,5.33
