Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,9,9,9,9,9,9,9,9,7,7
Algeria,3,3,3,3,3,3,3,3,2,2
Angola,,,,4,4,3.5,3,3,,
Argentina,3,3,4,4,4,4,4,4,2,2
Armenia,5,5,7,6,6,6,6,6,5,5
Australia,9,9,9,9,9,9,10,10,11,11
Austria,5,5,7,7,7,7,7,7,5,5
Azerbaijan,7,7,8,8,6,6,6,6,2,2
Bahrain,,,4,4,4,4,4,3,1,1
Bangladesh,7,7,8,7,7,7,7,7,6,6
Barbados,,,,,,,9,9,8,7
Belgium,5,5,7,7,7,7,6,6,4,4
Belize,,,,,8,,,,,
Benin,4,4,3,3,3,6,6,6,6,6
Bhutan,,,,,,,3,3,4,4
Bolivia,3,1,1,1,1,1,1,1,,
"Bosnia and Herzegovina",8,7,5,5,5,5,5,6,7,7
Botswana,7,7,7,7,7,7,7,6,5,5
Brazil,2,2,3,3,3,3,3,3,2,2
Brunei,,6,7,7,7,7,7,6,5,4
Bulgaria,6,6,8,8,8,8,8,9,9,9
"Burkina Faso",4,4,3,3,3,6,6,6,,
Burundi,2,1,2,2,2,3,3,3,2,2
"Cape Verde",,,,2,2,2,3,3,2,2
Cambodia,,,9,8,8,8,8,8,11,11
Cameroon,3,3,3,3,3,6,6,6,6,6
Canada,7,7,6,6,6,7,7,7,9,9
Chad,4,3,3,3,3,6,6,6,6,6
Chile,4,4,4,4,4,6,6,6,4,4
China,2,3,6,6,6,6,6,5,4,4
Colombia,3,2,5,5,5,5,5,5,12,12
"Congo (Kinshasa)",,,,,,,,,,6
"Costa Rica",4,4,5,5,5,3,3,3,2,10
"Ivory Coast",,3,3,3,3,6,6,6,6,6
Croatia,5,6,6,6,6,6,7,7,5,5
Cyprus,,,,9,9,9,9,9,7,7
"Czech Republic",6,6,6,6,6,6,6,6,7,7
Denmark,8,8,9,9,9,9,9,9,8,8
"Dominican Republic",4,4,3,3,3,3,3,3,1,1
Ecuador,3,1,3,3,3,3,3,2,1,1
Egypt,1,1,3,3,3,3,3,3,2,2
"El Salvador",4,3,5,5,5,5,5,5,3,9
Estonia,4,4,6,6,7,7,7,7,7,7
Ethiopia,5,4,4,4,4,4,4,4,3,3
Finland,6,6,7,7,7,8,8,8,7,7
France,5,6,7,7,7,7,7,7,4,4
Gabon,,,,,,6,6,6,6,6
Gambia,4,4,5,5,5,5,5,5,4,4
Georgia,6,5,6,6,7,8,9,9,9,9
Germany,8,8,7,7,7,7,7,7,6,6
Ghana,,5,7,7,8,8,8,8,7,7
Greece,3,3,3,3,3,4,4,4,3,3
Guatemala,4,3,7,8,8,8,8,8,9,9
Guinea,,,,,,6,6,6,6,
Guyana,3,3,4,4,4,4,4,4,3,
Haiti,,,,,3,3,3,3,2,
Honduras,6,6,6,6,6,8,8,8,9,9
"Hong Kong",10,10,10,10,10,10,10,10,7,8
Hungary,6,6,7,7,7,7,7,7,10,10
Iceland,7,7,7,7,7,7,7,7,5,5
India,5,6,8,8,8,8,8,8,6,6
Indonesia,5,5,3,3,3,3,3,5,4,5
Iran,,,,4,4,4,4,4,2,2
Ireland,8,8,8,8,8,9,9,9,7,7
Israel,8,8,9,9,9,9,9,9,6,6
Italy,3,3,3,3,3,3,3,3,2,2
Jamaica,6,5,8,8,8,8,8,8,10,10
Japan,6,6,7,7,7,7,7,7,4,4
Jordan,5,5,4,4,4,4,2,2,,
Kazakhstan,5,5,5,5,4,4,4,4,3,4
Kenya,8,8,10,10,10,10,10,10,7,7
"South Korea",6,5,7,7,7,8,8,8,5,5
Kuwait,4,4,4,4,4,4,4,3,2,2
Kyrgyzstan,5,5,7,10,10,10,10,10,8,8
Laos,,,,,,,4,4,7,6
Latvia,8,8,9,9,9,10,10,10,9,9
Lebanon,,,,3,3,4,3,3,2,2
Lesotho,5,5,8,7,6,6,6,6,5,5
Liberia,,,,,,7,7,5.5,4,8
Libya,,,,,,,,1,,
Lithuania,4,4,5,5,5,5,5,7,6,6
Luxembourg,,6,7,7,7,6,5,4,3,3
"Macedonia (F.Y.R.O.M.)",6,6,7,7,7,7,7,9,6,6
Madagascar,2,1,2,2,2,2,2,2,1,3
Malawi,,7,8,8,7,7,7,7,5,5
Malaysia,8,8,10,10,10,10,10,10,7,7
Mali,3,3,3,3,3,6,6,6,6,6
Malta,,,,,,,3,3,2,2
Mauritania,5,4,3,3,3,3,3,3,2,2
Mauritius,6,5,5,5,5,6,6,6,6,6
Mexico,2,3,4,4,5,6,6,6,8,10
Moldova,,,,8,8,8,8,9,8,8
Mongolia,5,5,6,6,6,6,6,6,5,5
Montenegro,7,7,9,9,10,10,10,10,12,12
Morocco,3,3,3,3,3,3,3,3,2,2
Mozambique,4,3,2,2,2,2,3,3,1,1
"Burma (Myanmar)",,,,,,,,4,2,
Namibia,5,5,8,8,8,8,8,7,5,5
Nepal,4,4,5,5,6,7,7,8,7,6
Netherlands,7,7,6,6,6,6,6,5,3,3
"New Zealand",9,9,9,9,10,10,10,10,12,12
Nicaragua,4,3,3,3,3,3,3,3,1,1
Nigeria,7,7,8,8,8,9,9,9,6,6
Norway,6,6,7,7,7,7,6,6,5,5
Oman,3,4,4,4,4,4,4,4,1,1
Pakistan,4,4,6,6,6,6,6,6,3,3
Panama,6,6,6,6,6,5,5,5,7,7
Paraguay,3,3,3,3,3,3,3,3,2,2
Peru,4,4,7,7,7,7,7,7,8,8
Philippines,3,3,3,3,3,4,4,4,3,3
Poland,4,4,8,9,9,9,9,9,7,7
Portugal,4,4,3,3,3,3,3,3,2,2
"Puerto Rico",6,6,8,7,7,8,9,9,,
Qatar,,,3,3,3,4,4,3,1,1
Romania,4,7,8,8,8,9,9,9,10,10
Russia,3,3,3,3,3,3,3,3,4,6
