Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,3.5,3,2.5,2.8,2.9,3.6,3.4,3.8,4.3,5.3,4,2.8,3.6,3,4.5,2.3,1.6,2.1,2.8,2.6,,,,
Argentina,0.1,0.4125,0.725,1.0375,1.35,1.6625,1.975,2.2875,2.6,2.9125,3.225,3.5375,3.85,4.1625,4.475,4.7875,5.1,5.2,5.4,6.2,5.7,5.7143,5.7286,5.7429,5.7571,5.7714,5.7857,5.8,5.1,5.5,5.5,5.5,5.5,5.1,5.3,5,5.2,4.2,4.3,4.9,5.1,5.2,5,4.7,4.8,4.7,4.8,4.8,5,4.9,4.9,4.8,4.7,4.4,4.2,4.7,4.3,4.5,4.1,4.3,4,3.9,3.8,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,5.4,5.3333,5.2667,5.2,3.2,4.9,3.6,5.4,3.8,4.9,4.5,5.8,5,3.9,4.5,4.7,5.1,4.5,3.9,5,5,5.1,4.8333,4.5667,4.3,4.35,4.4,4.9,5,5,5.2,
Australia,5,4.8,5.4,5.3,4.6,5.4,5.8,5.5,5.9,5.9,6.3,6.2,6.4,5.7,6.6,6.7,6.4,6.1,6.4,6.1,6.3,6.8,6.5,6.6,6.4,5.8,6.3,6.4,6.5,5.6,6.9,6.3,6.3,6.3,6.6,6.8,6.2,6,6.1,6.3,5.9,5.9,6.1,5.8,6.3,6,6.1,5.4,6.1,5.7,5.7,5.3,5.8,5.2,5.1,4.95,4.8,4.9,4.7,4.9,4.9,4.5,,
Austria,,,,,,5.8,5.5,6.4,5.7,6.2,6.4,6,6.2,6.3,5.5,5.5,5.8,5.5,5.4,6.3,6.4,6.3,6.1,6,6.5,5.8,6.3,5,6.1,5.9,5.8,5.8,6.3,5.7,5.6,5.8,6.3,5.1,5.6,6,5.5,5.2,5.6,5.6,5,5.1,4.6,5,5.4,5.3,5.3,5.5,5.4,5.6,5.6,5.1,5,5.1,5,4.7,4.9,4.7,4.7,4.7
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,5,4.6333,4.2667,3.9,4.5,4.5,4.3,2.2,0.2,1.1,3.9,4,4.1,3.9,4,3.9,3.2,3.5,3.8,3.6,3,3.8,3.7,3.1667,2.6333,2.1,,,,,,
Barbados,2.4,2.38,2.36,2.34,2.32,2.3,2.28,2.26,2.24,2.22,2.2,1.9,2.2,1.7,1.2,1.9,2.6,1.7,5.5,5.2,3.25,1.3,3.4,2.6,3.9,4.1,2.5,3.3,4,7.6,3.6,4.7,3.9,4.5,4.6,3.1,2.7,6.2,2.8,6.6,4.4,2.2,2.6,4.6,5.2,3.1,3.2,3.3,3.4,3.5,3.6,2.1,0.6,4.5,2.3,2.6,6.3,1.2,6.2,4.1,5.5,1.8,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,7.1,6.8667,6.6333,6.4,5.8,6.5,5.9,6.1,6.2,5.7,6.1,5.4,5.2,4.7,4.8,4.9,5.4,5,5.4,5.7,5.8,5.6,5.65,5.7,5.75,5.8,5.7,6.2,5.85,5.5,,
Belgium,,,,,4.7,5.1,5,4.6,5.8,6.2,6.6,6.7,6,6.6,6.1,5.6,6.1,6.2,6.5,5.9,6.1,6.3,6.2,6.3,5.9,6.4,6.5,6.3,6.5,6.6,6.4,6.6,6.2,5.7,5.8,6,6,6.3,6.3,6.2,6.1,6,5.9,6.1,6,6,5.9,6.2,5.3,5.4,5,5.1,5.5,4.9,5,5,4.6,4.3,5,4.4,4.7,3.9,4.4,
Belize,,,,,,,,,,,,,,,,,,,3.2,2.65,2.1,2.3,3,4.9,3.15,1.4,1,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,1.2667,1.7333,2.2,2.3,2.4,1.95,1.5,5.5,4.3,3.1,9.4,2.2,7.4,3.5,7.2,2.1,2.05,2,2.5,2.1,5.9,4.1,2.7,6,3.9,1,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3,2.9,3,3.2,3.2,3.2,3.1,3.1,3,2.9,3,3.1,3.1,3,3.1,3,3.1,3.1,3.2,3.1,3.3,3.2,3.4,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,
