Country,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.083,0.083,0.151,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.139,0.177,0.177,0.227,0.298,0.292,0.292,0.292,0.277,0.277,0.296,0.259,0.258,0.261,0.258,0.266,0.266,0.266,0.266,0.266,0.266,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.282,0.315,0.289,0.289,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.292,0.358,0.331,0.331,0.343,0.343,0.343,0.33,0.33,0.338,0.235,0.225,0.225,0.225,0.237,0.208,0.211,0.171,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.185,0.181,0.157,0.201,0.13,0.098,0.105,0.066,0.086,0.094,0.1,0.1,0.098,0.114,0.244,0.237,0.256,0.222,0.518,0.531,0.493,0.527,0.531,0.533,0.525,0.523,0.543,0.549,0.485,0.489,0.506,0.397
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323,0.419,0.44,0.294,0.336,0.334,0.369,0.382,0.341,0.445,0.509,0.315,0.305,0.403,0.42,0.413,0.419,0.43,0.43,0.43,0.43,0.426,0.458,0.458,0.458,0.336,0.336,0.297,0.206,0.2,0.2,0.201,0.232,0.134,0.174,0.184,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.184,0.184,0.184,0.184,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.169,0.173,0.176,0.176,0.176,0.225,0.55,0.741,0.65,0.756,0.76,0.76,0.737,0.725,0.705,0.761,0.798,0.78,0.731,0.811,0.811,0.811,0.811,0.787,0.751,0.797,0.795,0.781,0.827,0.836,0.836,0.836,0.797,0.835,0.845
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.327,0.327,0.327,0.327,0.327,0.319,0.319,0.319,0.319,0.319,0.319,0.306,0.324,0.31,0.292,0.106,0.106,0.106,0.106,0.106,0.106,0.128,0.26,0.252,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.233,0.227,0.257,0.289,0.271,0.271,0.271,0.28,0.292,0.292,0.292,0.276,0.289,0.257,0.223,0.191,0.213,0.232,0.269,0.269,0.269,0.269,0.28,0.256,0.256,0.256,0.256,0.262,0.287,0.308,0.305,0.29,0.326,0.28,0.298,0.284,0.294,0.266,0.321,0.291,0.297,0.298,0.248
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172,0.171,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.157,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.157,0.161,0.161,0.161,0.161,0.186,0.204,0.206,0.198,0.198,0.198,0.223,0.224,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.209,0.209,0.242,0.279,0.25,0.237,0.237,0.253,0.253,0.253,0.253,0.253,0.263,0.266,0.259,0.327,0.324,0.352,0.352,0.348,0.377,0.35,0.366,0.349,0.374,0.36,0.354,0.333,0.342,0.386,0.431,0.49
Argentina,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.104,0.222,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.2087,0.2164,0.2241,0.2318,0.2395,0.2472,0.2549,0.2626,0.2703,0.278,0.2857,0.2934,0.3011,0.3088,0.3165,0.3242,0.3319,0.3396,0.3473,0.355,0.3627,0.3703,0.378,0.3857,0.3934,0.4011,0.4088,0.4165,0.4242,0.4319,0.4396,0.4473,0.455,0.4627,0.4704,0.4781,0.4858,0.4935,0.5012,0.5089,0.5166,0.5243,0.532,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.618,0.618,0.618,0.6,0.6,0.62,0.62,0.62,0.62,0.62,0.633,0.67,0.67,0.67,0.742,0.727,0.736,0.725,0.712,0.712,0.754,0.753,0.732,0.732,0.732,0.732,0.732,0.705,0.495,0.358,0.595,0.544,0.552,0.552,0.552,0.552,0.573,0.573,0.573,0.574,0.574,0.358,0.38,0.42,0.513,0.48,0.503,0.519,0.517,0.517,0.47,0.43,0.43,0.324,0.263,0.284,0.43,0.56,0.56,0.575,0.48,0.49,0.735,0.731,0.374,0.28,0.28,0.296,0.307,0.307,0.307,0.43,0.506,0.494,0.24,0.171,0.181,0.181,0.191,0.191,0.191,0.45,0.659,0.721,0.721,0.722,0.722,0.729,0.671,0.697,0.704,0.704,0.701,0.722,0.705,0.705,0.69,0.682,0.743,0.767,0.747,0.793,0.793,0.75,0.773,0.738,0.72,0.72,0.718,0.719,0.698,0.725,0.725,0.723,0.82,0.783,0.743,0.743
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557,0.495,0.467,0.472,0.462,0.468,0.447,0.461,0.431,0.41,0.414,0.411,0.41,0.408,0.428,0.436,0.413,0.398,0.405,0.428,0.455,0.448,0.446,0.481,0.466,0.469,0.464,0.467,0.591,0.772
Australia,0.283,0.283,0.283,0.283,0.267,0.265,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.314,0.314,0.314,0.391,0.4915,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.729,0.729,0.729,0.729,0.729,0.729,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.868,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.885,0.899,0.899,0.892,0.892,0.908,0.915,0.915,0.915,0.915,0.908,0.908,0.908,0.908,0.893,0.907,0.892,0.892,0.914,0.914,0.888,0.888,0.888,0.888,0.888,0.888,0.895,0.895,0.895,0.895,0.902,0.902,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.881,0.886,0.868,0.868,0.868,0.868,0.895,0.905,0.906,0.901,0.901,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.933,0.928,0.929,0.929,0.929,0.929,0.93,0.934,0.951,0.951,0.951,0.951,0.954,0.954,0.954,0.954,0.954,0.956,0.956,0.956,0.956,0.956,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.957,0.957,0.956,0.957,0.96,0.957,0.962,0.956,0.958,0.963
Austria,0.186,0.186,0.186,0.186,0.186,0.186,0.153,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.278,0.261,0.2215,0.182,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.169,0.2113,0.2536,0.2959,0.3381,0.3804,0.4227,0.465,0.4937,0.5223,0.551,0.5797,0.6083,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.646,0.642,0.642,0.642,0.642,0.647,0.577,0.622,0.764,0.764,0.764,0.773,0.773,0.773,0.766,0.766,0.766,0.719,0.719,0.712,0.49,0.374,0.326,0.326,0.332,0.3583,0.3845,0.4108,0.437,0.4633,0.4895,0.5158,0.542,0.777,0.779,0.77,0.77,0.783,0.783,0.783,0.783,0.783,0.785,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.828,0.833,0.809,0.809,0.809,0.842,0.847,0.847,0.881,0.881,0.883,0.849,0.849,0.849,0.849,0.842,0.897,0.897,0.897,0.897,0.897,0.902,0.921,0.896,0.896,0.89,0.89,0.89,0.89,0.89,0.89,0.886,0.886,0.886,0.891,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.893,0.889,0.889,0.928,0.928,0.921,0.914,0.914,0.91,0.914,0.916,0.879,0.911
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221,0.288,0.461,0.294,0.207,0.182,0.192,0.192,0.191,0.189,0.177,0.179,0.188,0.184,0.189,0.154,0.168,0.161,0.181,0.152,0.166,0.17,0.14,0.177,0.163,0.16,0.122,0.17,0.16,0.165
Baden,0.364,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.415,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,0.181,0.19,0.215,0.22,0.22,0.242,0.208,0.181,0.086,0.082,0.09,0.101,0.1,0.115,0.085,0.156
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368,0.423,0.405,0.396,0.374,0.337,0.308,0.364,0.405,0.407,0.407,0.364,0.36,0.36,0.36,0.377,0.396,0.393,0.393,0.429,0.383,0.406,0.406,0.406,0.406,0.459,0.447,0.447,0.447,0.453,0.448,0.399,0.399,0.387,0.387,0.285,0.33,0.3,0.337,0.296,0.292,0.314,0.29,0.281,0.263,0.241,0.262,0.276,0.211
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.639,0.666,0.654,0.654,0.659,0.645,0.645,0.648,0.644,0.652,0.664,0.664,0.664,0.66,0.66,0.66,0.66,0.651,0.624,0.624,0.666,0.656,0.655,0.655,0.655,0.655,0.655,0.67,0.643,0.643,0.649,0.649,0.641,0.641,0.635,0.635,0.635,0.625,0.629,0.658,0.667,0.668,0.668,0.666,0.666,0.666,0.679,0.682,0.663,0.663,0.684,0.725,0.725,0.71,0.701,0.719,0.721,0.735,0.748,0.748,0.725,0.759,0.759,0.723,0.723,0.722,0.83,0.842,0.842,0.832,0.834,0.852,0.867,0.864,0.864,0.864,0.859,0.866,0.866,0.866,0.883,0.883,0.864,0.864,0.864,0.869,0.872,0.872,0.872,0.86,0.875,0.875,0.875,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.855,0.855,0.853,0.853,0.856,0.865,0.859,0.862,0.862,0.862,0.857,0.848,0.848,0.848,0.85,0.84,0.84,0.861,0.873,0.889
Bavaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.402,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.49,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.5,0.5,0.5,0.5,0.5,0.543,0.543,0.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.681,0.693,0.73,0.802,0.731,0.634,0.348,0.245,0.241,0.225,0.183,0.226,0.207,0.192,0.195,0.229,0.22,0.212,0.238,0.238,0.216,0.214,0.222,0.24,0.207,0.219,0.26,0.266,0.269,0.274
