Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,18.15768,18.5822,19.0066,19.4311,19.8556,20.2801,20.7046,21.1291,21.5535,21.978,22.4025,22.827,23.2515,23.676,24.1004,24.5249,24.9494,25.3739,25.7984,26.2228,26.6473,27.0718,27.4963,27.9208,28.3453,28.7697,29.1942,29.6187,30.0432,30.4677,30.8922,31.3166,31.74112,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.71298,98.3166,97.9203,97.524,97.1276,96.7313,96.335,95.93864,96.2409,96.5431,96.8453,97.24697,,,,
Algeria,,,,,,,,,,,,,,,,,,49.63088,50.9804,52.3299,53.6794,55.0289,56.3784,57.7279,59.0774,60.4269,61.7765,63.126,64.4755,65.825,67.1745,68.524,69.8735,70.5673,71.2611,71.9549,72.64868,73.8924,75.13605,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.40542,67.2996,67.1938,67.088,66.9822,66.8765,66.7707,66.6649,66.5591,66.4533,66.3475,66.2417,66.1359,66.03011,,
Anguilla,,,,,,,,,,,,,,,95.4071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.95,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,93.91286,94.1143,94.3156,94.517,94.7184,94.9198,95.1212,95.3226,95.524,95.7254,95.9268,96.1282,96.2347,96.3412,96.4477,96.5542,96.6608,96.7673,96.8738,96.9803,97.0868,97.19331,97.2574,97.3214,97.3855,97.4495,97.5136,97.5776,97.6417,97.7057,97.7698,97.8338,97.8979,97.9619,98.026,98.09,
Armenia,,,,,,,,,,,,,,,,,,,,98.75196,98.806,98.86,98.914,98.968,99.022,99.0761,99.1301,99.1841,99.2381,99.2921,99.3461,99.40016,99.4346,99.469,99.5034,99.5379,99.5723,99.6067,99.6411,99.6756,99.71,99.74441,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.29125,97.2444,97.1975,97.1507,97.1038,97.0569,97.0101,96.9632,96.9164,96.8695,96.82264,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7918,98.8931,98.9943,99.0956,99.1969,99.2981,99.3994,99.5006,99.60191,99.6809,99.75984,99.77114,99.77863,99.77577,99.78936,99.78899,99.78806,99.79006
Bahrain,,,,,,,,,,,,69.75351,71.1795,72.6056,74.0316,75.4576,76.8837,78.3097,79.7357,81.1618,82.5878,84.01383,84.2673,84.5208,84.7743,85.0278,85.2813,85.5348,85.7883,86.0418,86.2952,86.54874,87.4385,88.3283,89.2181,90.1079,90.9977,91.8874,92.7772,93.667,94.55679,,,,,,
Bangladesh,,,,,,,,,,,,29.22723,29.8364,30.4456,31.0549,31.6641,32.2733,32.8825,33.4917,34.1009,34.7101,35.3193,36.5359,37.7525,38.9692,40.1858,41.4024,42.619,43.8356,45.0523,46.2689,47.4855,47.3485,47.2115,47.0746,46.9376,46.8006,46.6636,46.767,46.8705,46.9739,47.07731,52.2136,57.3499,62.4862,67.6224,72.75872
