Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,61.87907,,,,,
Albania,,,99.36846,99.2497,99.1309,99.0122,98.8934,98.7746,98.6559,98.53712,98.6019,98.6666,98.73136,99.37598,,,,
Algeria,,,,94.05754,94.1385,94.2195,94.3005,94.38148,95.0643,95.74706,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,100,100
Angola,,,83.77693,83.8604,83.9439,84.0274,84.1109,84.1944,84.2779,84.3614,84.4449,84.5284,84.6119,84.6954,84.7789,84.86238,,
Argentina,,,98.7079,98.7381,98.7682,98.7984,98.8285,98.8587,98.8888,98.919,98.9491,98.9793,99.0094,99.0396,99.0697,99.0999,99.13,
Armenia,,,99.75235,99.759,99.7656,99.7722,99.7788,99.7854,99.792,99.7986,99.8052,99.8118,99.81842,,,,,
Aruba,,98.88176,98.8902,98.8986,98.907,98.9153,98.9237,98.9321,98.9405,98.9489,98.9573,98.96573,,,,,,
Azerbaijan,99.87034,99.8865,99.9028,99.919,99.9352,99.9514,99.9676,99.9838,100,99.9784,99.95678,99.96745,99.95603,99.955,99.97687,99.97624,99.96367,99.96238
Bahrain,,,96.82708,97.0263,97.2255,97.4247,97.6239,97.8231,98.0223,98.2215,98.4207,98.61991,,,,,,
Bangladesh,,,67.16381,65.0156,62.8673,60.7191,58.5708,56.4226,54.27433,54.6442,55.0141,55.384,55.75393,62.7842,69.8145,76.8448,83.8751,90.90535
Belarus,99.75687,99.7612,99.7656,99.7699,99.7743,99.7786,99.7829,99.7873,99.7916,99.796,99.80033,,,,,,,
Benin,,,,59.20508,58.1205,57.036,55.9515,54.86694,56.3793,57.8916,59.4039,60.9163,62.4286,63.94092,,,,
Bhutan,,,,,,,80.04192,81.521,83.0002,84.4793,85.9584,87.4376,88.9167,90.39581,,,,
Bolivia,,,98.54929,98.75,98.9507,99.1515,99.3522,99.5529,99.75361,99.39023,99.69364,99.4701,99.24663,99.16245,99.2396,99.3168,99.39402,
"Bosnia and Herzegovina",,99.7482,99.7485,99.7488,99.749,99.7493,99.7496,99.7499,99.7501,99.7504,99.7507,99.751,99.75125,99.7045,99.65765,,,
Botswana,,,,,92.08331,,,,,,,,,,,,,
Brazil,,92.65401,93.4365,94.219,95.0014,95.78389,96.2904,96.797,97.05688,97.18046,97.44572,96.71617,97.90999,98.22743,98.25204,98.44697,,
Brunei,,,98.8743,98.9069,98.9394,98.972,99.0045,99.0371,99.0697,99.1022,99.1348,99.1673,99.19989,,,,,
Bulgaria,,,98.30967,98.2854,98.2611,98.2368,98.2126,98.1883,98.164,98.1398,98.1155,98.0912,98.06693,,,,,
"Burkina Faso",,,,,38.38109,39.3805,40.37981,39.82187,46.73374,48.1996,49.6655,51.1314,52.5973,54.0631,55.529,56.99489,,
Burundi,,76.78002,75.5093,74.2386,72.968,71.6973,70.4266,69.1559,67.8852,66.61451,69.7271,72.8397,75.9523,79.0649,82.1775,85.29008,,
"Cape Verde",,,,,,,,,,,,,,97.87189,97.7763,97.6806,97.58501,
Cambodia,,,,,,87.92011,88.286,88.6519,89.0178,89.38368,88.35612,,,,,,,
Cameroon,,88.42245,88.5646,88.7067,88.8488,88.9909,89.1331,89.2752,89.41732,88.0774,86.7374,85.39748,,,,,,
"Cayman Islands",,,,,,,,,99.14231,,,,,,,,,
"Central African Republic",,72.59475,70.221,67.8472,65.4735,63.0997,60.7259,58.3522,55.9784,53.6046,51.2309,48.8571,,,,,,
Chad,,55.6862,55.1917,54.6972,54.2027,53.70823,53.5381,53.3679,53.1977,53.0275,52.8574,52.6872,52.517,52.3468,52.1767,52.0065,51.8363,40.69289
Chile,,,,98.80364,98.8555,98.9073,98.9591,99.0109,99.0627,99.11452,98.85938,99.0369,99.21439,99.1121,99.00978,,,
China,,99.19846,99.2476,99.2967,99.3458,99.3949,99.444,99.4932,99.5423,99.5914,99.6405,99.68962,,,,,,
Colombia,,,,,,97.55252,97.51703,97.53366,97.48288,97.54666,97.44113,97.68272,97.76047,97.8759,97.9913,98.10671,98.15518,
Comoros,,83.95133,83.1063,82.2612,81.4162,80.5711,79.7261,78.8811,78.036,77.191,76.3459,75.5009,74.6558,73.81077,,,,
"Congo (Kinshasa)",,,77.98111,78.1403,78.2995,78.4588,78.618,78.7772,78.93642,81.3586,83.7809,86.2031,88.6253,91.04756,91.0259,91.0043,90.9826,90.96097
"Congo (Brazzaville)",,,,,,,,,,,,,85.68361,,,,,
"Costa Rica",,97.19749,97.3621,97.5266,97.6912,97.8557,98.0203,98.1849,98.3494,98.514,98.6786,98.8431,99.00768,,,,,
"Ivory Coast",,70.84072,69.7984,68.756,67.7137,66.6714,65.629,64.5867,63.5443,62.502,61.4597,60.4173,59.375,58.33263,58.7285,59.12435,,
Croatia,,,99.64426,99.651,99.6578,99.6646,99.6714,99.6782,99.6849,99.6917,99.6985,99.7053,99.71204,,,,,
Cuba,,,,99.95741,99.9472,99.937,99.9268,99.9166,99.9063,99.8961,99.8859,99.8757,99.8655,99.85527,,,,
Cyprus,,,99.73631,99.7431,99.75,99.7568,99.7636,99.7704,99.7772,99.7841,99.7909,99.7977,99.80454,,,,,
"Dominican Republic",,,,92.99864,93.3244,93.6501,93.9758,94.3015,94.62721,95.0099,95.3926,95.7753,96.09187,96.32187,96.7627,97.35356,97.22539,
Ecuador,,,96.3794,96.1859,95.9924,95.7989,95.6053,95.4118,95.21831,96.0186,96.81895,98.46887,98.5865,98.77316,98.57941,99.01074,99.33717,98.9792
Egypt,,,,,,,90.07912,87.8568,88.532,89.2072,89.8824,90.55763,91.4567,92.35576,93.64928,,,
"El Salvador",,,,,,,,94.39687,93.21922,95.40501,94.70805,95.66904,96.15056,96.5488,96.94699,97.2045,97.46197,
"Equatorial Guinea",,97.6079,,,,,,,,,,,,,,,,
Eritrea,,,,86.25322,87.0921,87.931,88.7699,89.6088,90.4477,91.28661,,,,,,,,
Estonia,,99.7291,99.7482,99.7673,99.7864,99.8055,99.8246,99.8437,99.8628,99.8819,99.901,99.9201,99.93924,,,,,
Ethiopia,,,,,,62.2,55.88474,59.4278,62.97093,,,,,,,,,
Gabon,,,,,,,,,,,,,,87.38959,,,,
Gambia,,64.34049,64.4663,64.5921,64.7179,64.8437,64.9694,65.0952,65.221,65.3468,65.4726,65.5984,65.7242,65.85,65.97576,,,
