Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,1.3,2.2333,3.1667,4.1,4.1,4,3.4,3.8,3.7,3.9,3.6,3.4,3.3,3.3,3.3,3.2,3.1,3,3.2,2.9,2.9,3.1,2.7,2.8,2.6,2.5,2.4,2.4,2.5,2.2,2.1,2.4,2.4,2.4,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.5667,3.4333,4.3,5.1667,6.0333,6.9,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.8,0.7,0.7,0.8,1,0.9,0.8,0.9,0.8,1,1.2,1.2,1.1,1.2,1.2,1.4,1.3,1.3,1.6,1.5,1.7,2.15,2.6,1.8,1.9,1.9,1.9,1.7,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.6,1.2,1.5,1.3,1.4,1.2,1.6,0.9,0.8,0.9,1.1,0.9,0.9,1.1,1.2,1.1,1.2,1.3,1.4,1.4,1.5,2.3,2.5,2.3,2.5,2.45,2.4,2.2,2.3,2.4,2.1,2.4,2.2
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.7,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7333,0.6667,0.6,0.3,0.3,0.3,0.3,0.3,0.8,1.3,0.2,0.3,0.45,0.6,1.6,1.8667,2.1333,2.4,2.6667,2.9333,3.2,2.2,1.4,3.6,2.6,2.5,2,2.8,0.8,2.4,1.3,1.5,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,1.2,2,1.9,1.7,2,1,0.9,1,1,0.7,1,1.1,1.2,1.2,1.2,1.4,1.6,1.65,1.7,2.1,2,1.9,2,1.8,2,1.8,1.9,9.9,1.8,2,2.1,2.2,2.2,2.1,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.7,3.65,3.6,4.3,4.61,4.92,5.23,5.54,5.85,6.16,6.47,6.78,7.09,7.4,11.5,9,10.3,6.8,9.5,2.9,6,9.4,3,10.9,4,4,11.1,6.3,3,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9,0.9,0.7,0.7,0.7,1.1,1.2,0.9,0.9,0.9,0.8,0.7,0.7,0.6,0.6,0.7,2.8,2.9,2.6,2.9,2.9,2.9,2.9,3,3,3,3.9,2.9,3,3.1,3,3.1,3.1,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.6,5.5,5.9,4.8,5.7,5.1,4.6,4.5,4.2,4.5,4.4467,4.3933,4.34,4.2867,4.2333,4.18,4.1267,4.0733,4.02,3.9667,3.9133,3.86,3.8067,3.7533,3.7,1.7,3.7,3.2,2.9,2.9,2.7,2.2,
Canada,,,,0.7,1,0.7,0.7,0.7,0.7,0.6,0.9,0.6,0.8,0.8,0.7818,0.7636,0.7455,0.7273,0.7091,0.6909,0.6727,0.6545,0.6364,0.6182,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.8,1,1.1,1.6,1.6,1.7,1.7,1.7,1.7,3.4,1.9,1.9,1.8,2,2,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.6,1.7,3,4.3,4.3,4.2,2.7,1.2,1.2,1.2,1.1,1.2,1.3,1,1.1,1.1,4,3.9,3.3,3,3.1,3.3,3.3,3.5,3.3,5.6,3.4,3.8,3.5,3.5,3.6,3.8,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,1.6,1.6,1.9,2.1,1.3,1.8,1.8,2,1.3,1.5,1.6,2,4.9,4.7,4.8,4.7,4.9,5,4.8,5.1,4.5,4.5,4.1,4.3,3.8,3.8,3.6,,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.2,2.3,4.4,4.6,4.8,3.9,4.7,4.3,3.7,4.1,1.4,2.1,1.9,1.2,1.5,1.7,4.7,4.5,4.5,4,3.9,4.2,4.8,3.7,4,3.5,2.4,2.6,3.5,3.8,2.9,4.5,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.2,2.9,3.3,2.5,3.3,2.8,2.6,2.8,3.1,2.5,2.6,2.4,2.5,2.9,2.4,3.1,2.2,2.9
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.9,1.1,1.4,0.9,1.3,0.9,1,1.5,1.2,1.4,1.4,1.4,1.4,1.4,1.3667,1.3333,1.3,1.3,1.3,1.3,3.7,3.7,3.6,3.4,3.7,3.7,3.7,3.6,3.3,3.9,3.7,3.2,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.8,2,1.8,2,2,1.9,1.7,3.6,3.6,3.4,3.6,3.4,3.4,3.4,3.3,3.3,3.4,3.1,2.9,2.8,2.7,2.4,2.2,2.1,2.1,2.2,2.2
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.4,2.4,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,
