Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,43.46,44.09,47.13,48.67,51.54,57.09,60.39,64.95,65.3,59.61,57.73,53.17,58.46,61.01,63.4,69.08,68.59,69.39,69.96,71,73.03,73.48,72.06,68.25,61.31,52.02,55.56,58.09,60.37,70.86,72.23,72.29,77.1,84.87,91.61,100.73,110.11,117.88,123.56,104.49,83.36,103.66,97.77,104.99,103.38,91.63,95.07,99.16,102.21,105.77,108.22,109.41,104.11,105
Albania,22.99,23.32,23.35,23.01,23.86,24.7,27.77,26.24,26.79,27.73,29.57,29.11,30.62,31.46,31.72,33.73,34.74,38.32,39.76,40.86,42.82,43.01,43.5,42.31,41.53,41.35,43.96,47.89,50.43,55.48,54.01,60.59,65.38,77.09,88.31,90.02,78.85,80.02,84.47,89.14,91.29,94.06,97.92,101.07,98.56,100.36,103.02,97.41,98.89,100.93,104.53,107.96,110.43,109.66
Algeria,16.31,15.21,13.99,15.97,17.64,18.72,19.98,22.29,23.2,23.27,25.32,26.58,27.63,29.3,30.31,31.79,33.08,33.41,34.95,37.23,38.56,43.85,46.79,48.84,51.47,51.82,57.33,61.24,64.45,69.56,69.33,72.97,75.47,77.14,79.85,80.7,79.37,84.03,83.95,89.78,88.93,90.99,92.74,96.65,99.26,104.09,105.5,104.58,112.39,121.7,129.38,150.47,159.4,159.58
"American Samoa",118.21,103.39,131.13,161.42,197.61,196.75,126.93,110.32,96.24,94.57,86.07,87.72,87.61,94.97,94.62,106.93,108.03,99.11,100.4,117.77,98.39,96.33,96.16,96.5,96.84,97.73,97.93,97.95,98.7,98.9,99.11,99.31,99.63,99.88,99.92,99.97,100.01,99.89,99.93,99.97,100.33,100.42,100.19,99.79,99.79,100.42,101.23,101.14,101.32,102.43,101.73,101.54,101.63,101.68
Angola,37.39,38.42,39.29,41.64,43.29,44.37,45.39,45.25,47.2,50.38,51.19,50.63,52.3,53.13,57.82,53.13,54.16,55.96,57.44,58.5,59.65,62.15,63.08,64.06,65.76,67.62,67.61,68.11,68.62,70.63,71.07,75.5,77.03,75.78,71.69,83.1,87.82,93.2,93.7,99.85,101.53,103.87,104.26,93.23,102.44,104.33,109.93,114.85,117.06,122.76,127.36,131.64,138.3,128.98
"Antigua and Barbuda",38.84,29.69,35.97,42.97,40.7,41.11,37.82,38.59,41.49,41.96,53.08,51.54,49.63,48.42,42.11,44.67,48.87,65.68,72.78,87.48,80.31,78.07,81.07,79.92,93.95,94.5,94.68,94.7,82.17,85.87,88.32,90.68,90.51,91.19,93.27,90.05,88.45,87.74,89.79,91.76,95.72,94.82,98.01,97.99,100.84,101.17,101.69,102.84,94.83,63.82,66.15,64.27,63.47,65.28
Argentina,61.52,65.77,70.95,59.85,60.23,67.99,71.66,72.54,78.83,73.06,62.53,66.75,65.18,65.75,71.91,79.47,80.41,85.94,83.4,79.82,81.74,74.45,72.47,74.62,80.24,83.23,77.39,74.72,76.76,83.61,82.41,81.14,85.65,89.49,89.93,88.58,89.67,86.69,94.96,93.93,87.28,82.99,85.39,93.68,102.39,103.94,106.67,107.69,113.78,100.8,101.5,101.67,108.79,101.64
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.25,72.26,72.59,74.95,75.72,76.46,78.87,78.78,79.87,79.68,82.94,87.93,94.15,99.03,106.82,111.96,116.09,114.74,112.83,112.83,115.01,124.45,124.44
Australia,51.44,56.44,59.11,61.41,62.45,60.82,60.75,61.82,64.36,69.67,71.1,75.78,74.43,66.52,72.56,78.64,79.61,82.58,79.98,73.23,71.6,72.64,73.43,69.4,71.61,75.28,79.73,81.27,79.85,86.36,88.09,87.73,89.89,92.18,91.72,92.79,97.43,99.25,103.65,104.18,106.85,105.67,100.98,97.32,101.47,101.21,104.36,101.23,100.63,97.96,98.13,100.05,106.18,101.94
Austria,67.06,70.79,71.85,72.46,72.6,72.02,77.08,79.42,79.57,79.61,80.7,79.19,79.63,83.28,84.41,85.94,86.4,87.87,91.98,93.05,94.06,95.51,95.69,100.17,99.76,100.15,100.53,97.86,96.55,97.32,99.09,101.74,99.09,104.81,97.72,99.76,100.49,104.86,106.45,100.92,101.32,101.53,100.32,99.01,100.88,100.11,102.11,102.92,104.47,106.69,103.43,102.81,103.64,104.25
