Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,25,46,32,22,40,36,24,32,49,47
Algeria,,,,,,,,,2,6,2,1,1,1,1,1,1,1,1,1,1,,,,,,
Angola,,,,,,,,,,25572,9510,9473,14434,38598,12459,13768,10220,9812,9465,10530,8114,6909,5736,7300,5714,7832,15997
Bangladesh,,,,,,1393,794,469,528,552,478,490,588,577,535,501,307,228,154,47,37,36,11,15,45,9,17
Belize,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Benin,,,,,,,,,682,544,506,468,707,560,944,322,1226,1290,1332.5,1375,964,1753,2261,2288,1869,1416,1646
Bhutan,,,,,,,25,14,17,16.4,15.8,15.2,14.6,14,7,5,7,2,4,4,2,1,1,,,,
Bolivia,7,2,11,20,29,21.5,14,21,27,15,11,8,5,2,1.9091,1.8182,1.7273,1.6364,1.5455,1.4545,1.3636,1.2727,1.1818,1.0909,1,,
Botswana,,,,,,,,141,23,49,39,29,23,18,19,11,40,6,12,6,8,8,3,7,22,5,3
Brazil,,,,,413,305.3333,197.6667,90,156,193,231,142,93,103,100,122,105,94,51,79,76,70,60,40,36,35,37
"Burkina Faso",,,,,,,,,2624,2808,3520.5,4233,4032,4860,4205,5224,8083,6472,7834,7982,9024,7001,7963,6294,5632,5379,3974
Burundi,,,,,,,,,,,691,417,483,425,689,776,434,167,226,714,2677,2233,2263,3411,2974,3799,5853
"Cape Verde",,,,,,,,,,,,,2,4,4,2,8,2,2,2,1,1,1.3333,1.6667,2,1.5,1
Cambodia,1020,1163,1408,1100,1009,614,745,811,621,891,608,476,457,492,382,296,396,241,209,279,151,94,45,12,18,10,3
Cameroon,,,,,,,,,,,,,,,,836,930,1811,7673,4943,4536,3808,3209,4349,4398,3440,2639
"Central African Republic",,,,,,,,,374,484,439,535,476,417,859,668,865,578,456,667,526,858,1442,1026,635,1763,2668
Chad,,,,,,,,,,,712,957,98,1021,13,558,837,617,1018,221,886,1220,1359,1881,1720,1572,1686
China,35,43.5,52,19,43,34,30,46,24,67,47.5,28,42,52,31,48,38,18,23,12,19,33,,,,,
Colombia,69,47,58.3333,69.6667,81,59.3333,37.6667,16,33,12,41,58,40,24,25,28,53,19,22,12,42,23,24,10,17,18,36
Comoros,,,,,,,,,,50,45.6,41.2,36.8,32.4,28,92,56,20,47,50,53,19,17,15,8,1,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,113,114.5,116,504,892,623,2870,271,435,733
"Costa Rica",,,,,,,2,1.9231,1.8462,1.7692,1.6923,1.6154,1.5385,1.4615,1.3846,1.3077,1.2308,1.1538,1.0769,1,,,,,,,
"Ivory Coast",,,,,,,,,1337,974,951.875,929.75,907.625,885.5,863.375,841.25,819.125,797,1249,18156,1023,1389,1534,3261,4069,2604,3340
"Congo (Kinshasa)",,,,,,,,,,,3856,416,2152,989,13613,15322,12970,14372,18928,21168,23476,23748,21601,30918,25502,39054,33997
Djibouti,,,,,,,,,,,,,,,,,29,1,3.6667,6.3333,9,11.6667,14.3333,17,28,,
"Dominican Republic",2,4.5,7,9,11,14,5,5,14,13,6,17,11,12,16,16,10,17,9,14,15,10,8,5,4,3,1
Ecuador,,,,,67,50.6667,34.3333,18,16,16,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,23,30,52,77,66,47,28,109
Eritrea,,,,,,,,,404,169,151,133,86,79,24,49,47,42,19,23,27,12,30,6,15,12,21
Ethiopia,,,,,,,,,,,,1681,1607,2138,3327,1086,1357,991,1169,1121,1581,936,1621,358,213,662,510
"French Guiana",8,2,2,2,2,2,2,2,2,5,4.75,4.5,4.25,4,4.3333,4.6667,5,5,3.6667,2.3333,1,2,2,3,,,
Gabon,,,,,,,,,,,2016,1693,1141,692,466,353,238,216,156,197,182,74,134,273,159,309,101
Gambia,,,,,,,,,,,,275,259,192,153,426,150,424,403,240,151,440,289,262,170,167,79
Ghana,,,,,,,,,2798,2826,6108,1717,2376,2103,1575,2037,3125,4622,3889,3378,3859,3259,2855,2506,2200,2137,1264
Guatemala,180,127,110.1429,93.2857,76.4286,59.5714,42.7143,25.8571,9,7.8333,6.6667,5.5,4.3333,3.1667,2,4,2,3,2.6667,2.3333,2,1.6667,1.3333,1,1,1,
Guinea,,,,,,,,,13,13,626,517,440,586,528,490,481,472,441,586,735,743,979,108,1067,846,867
"Guinea Bissau",,,,,,,,,,,,635,780,1137,565,565,507,370,487,369,296,472,370,418,357,477,191
Guyana,,4,14,82,150,110.6667,71.3333,32,34,29.6667,25.3333,21,16.6667,12.3333,8,22,20,10,1,12.5,24,36,35,14,11,12,13
