Country,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.40999985,37.615,36.81999969,38.59000015,39.43999863,40.63999939,41.15000153,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.93000031,53.675,53.41999817,53.84000015,52.2167,50.5933,48.97,47.3467,45.7233,44.1,42.4767,40.8533,39.22999954,28.29999924,,
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,51.36999893,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.45999908,69.44999695,69.45999908,69.47000122,69.44999695,69.45999908,69.44999695,69.44999695,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.36000061,58.72000122,61.15999985,62.00999832,64.37999725,65.87000275,64.26000214,64.51999664,66.30999756,67.47000122,68.61000061,70.48000336,68.33999634,66.93000031,65.62000275,65.5,64.77,64.04000092,65.18000031,60.56000137,59.34000015,61.24000168,64.05999756,60.22000122,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27000046,29.30999947,30.46999931,32.84000015,32.91999817,41.40999985,35.24000168,38.81000137,41.54000092,41.09999847,41.90000153,44.79000092,45.145,45.5,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.33000183,72.06,72.79,73.51999664,72.8867,72.2533,71.62000275,70.8057,69.9914,69.1771,68.3629,67.5486,66.7343,65.91999817,68.6367,71.3533,74.06999969,74.43000031,,,,,
Australia,,,,,,,46.75,46.74000168,47.22000122,47.66999817,47.97000122,48.47000122,50.15999985,50.97000122,51.34000015,54.52999878,52.95999908,52.68999863,53.54999924,54.24000168,55.49000168,56.20999908,57.86999893,58.18999863,58.75,58.77999878,58.72999954,59.72000122,61.68000031,61.84000015,61.72999954,62.02000046,62.86000061,63.29000092,63.33000183,63.56000137,63.84000015,63.18000031,64.29000092,64.33999634,64.80000305,64.36000061,64.54000092,64.16000366,64.37999725,63.59000015,64.30999756,64.58999634,65.12000275,65.16999817,65.68000031,65.72000122,67.19000244,67.19000244
Austria,,,,,,,,,,,,,,,,,,,,,42.27000046,42.56000137,42.84999847,43.47000122,43.34999847,43.68000031,44.09000015,44.27000046,44.72999954,46.25999832,46.25,49.56000137,50.13000107,51.88000107,52.54000092,52.61000061,52.29999924,51.77000046,52.95000076,52.65999985,52.90999985,57.06999969,54.99000168,54.34999847,55.27999878,56.70999908,57.90000153,58.04000092,56.97000122,57.08000183,57.83000183,57.59000015,57.31999969,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.27999878,49.68999863,48.52000046,43.86000061,46.24000168,43.90000153,43.72999954,44.00999832,43.49000168,43.45000076,48.18000031,46.79000092,46.29999924,46.34999847,46.72999954,46.84999847,47.24000168,
